,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600201,15.9862087000,17.0775181500,15.6027756500,16.8710542000,18269779,100630030.0000,1,11.207427,7.116105
1,2007-01-12,sh.600201,16.9890336000,20.6758898500,16.9300439000,19.9090237500,77724183,493062554.0000,1,47.679181,18.006993
2,2007-01-19,sh.600201,20.0564980000,23.8908285000,20.0564980000,23.4779006000,86725822,656723576.0000,1,53.201153,17.925926
3,2007-01-26,sh.600201,23.6253748500,25.3655710000,21.0888177500,22.3276014500,70091801,554104612.0000,1,42.997167,-4.899497
4,2007-02-02,sh.600201,22.3276014500,23.4779006000,19.7025598000,19.9385186000,41922640,308725128.0000,1,25.717055,-10.700132
5,2007-02-09,sh.600201,20.0564980000,22.5635602500,19.8205392000,22.0621478000,31532451,232203084.0000,1,19.343290,10.650888
6,2007-02-16,sh.600201,22.2686117500,28.3150560000,22.0326529500,26.4863753000,61199410,515617833.0000,1,37.542212,20.053476
7,2007-03-02,sh.600201,26.6043547000,27.7251590000,23.3009315000,25.4835504000,57820302,496454348.0000,1,35.469329,-3.786192
8,2007-03-09,sh.600201,26.0144577000,27.3712208000,24.8346637000,26.7813238000,57694425,511983808.0000,1,35.392111,5.092593
9,2007-03-16,sh.600201,26.5453650000,26.9582929000,24.4807255000,24.7166843000,41210081,359171916.0000,1,25.279943,-7.709251
10,2007-03-23,sh.600201,23.5958800000,26.8698083500,23.4484057500,26.5748598500,41939700,363818160.0000,1,25.727521,7.517900
11,2007-03-30,sh.600201,26.6338495500,28.0790972000,25.0706225000,25.6900143500,52102208,473815591.0000,1,31.961617,-3.329634
12,2007-04-06,sh.600201,25.7490040500,28.5215199500,25.6605195000,28.3150560000,48180704,447737228.0000,1,29.556007,10.218140
13,2007-04-13,sh.600201,29.0524272500,30.3796955000,27.7546538500,28.6689942000,67528630,667400587.0000,1,41.424813,1.250000
14,2007-04-20,sh.600201,28.6984890500,31.5004998000,28.1675817500,30.2617161000,66352310,672797106.0000,1,40.703210,5.555556
15,2007-04-27,sh.600201,30.2617161000,36.4851294500,30.2617161000,33.8895826500,100362760,1140596776.0000,1,61.566606,11.988304
16,2007-04-30,sh.600201,33.5946341500,34.4499848000,32.7392835000,33.6241290000,12459723,141562519.0000,1,7.643302,-0.783290
17,2007-05-11,sh.600201,34.5089745000,38.1958307500,33.7716032500,37.5469440500,80552243,989550958.0000,1,49.414028,11.666667
18,2007-05-18,sh.600201,37.0160367500,40.7028930000,35.3938200000,38.3727998500,40604742,533408039.0000,1,24.908603,2.199529
19,2007-05-25,sh.600201,37.1635110000,42.1481406500,36.8980573500,40.3194599500,65786618,892201867.0000,1,40.356192,5.073021
20,2007-06-01,sh.600201,40.7028930000,42.7085428000,34.5384693500,36.7800779500,90557304,1240277731.0000,1,55.551540,-8.778347
21,2007-06-08,sh.600201,37.9008822500,43.6523780000,29.8192933500,42.7675325000,86239331,1126661917.0000,1,52.902719,16.279070
22,2007-06-15,sh.600201,43.3574295000,48.9319561500,42.4135943000,45.9234814500,56765336,881492449.0000,1,34.822170,7.379310
23,2007-06-22,sh.600201,46.3069145000,47.7816570000,40.2309754000,42.6200582500,41020115,621435423.0000,1,25.163410,-7.193320
24,2007-06-29,sh.600201,42.9739964500,44.0948007500,32.8277680500,35.6887685000,28736272,364863351.0000,1,17.628000,-16.262976
25,2007-07-06,sh.600201,35.3053354500,37.9893668000,30.6746440000,34.6269539000,17927378,215290128.0000,1,10.997384,-2.975207
26,2007-07-13,sh.600201,34.4499848000,37.4584595000,33.2701908000,36.1606861000,17998024,215779030.0000,1,9.541372,4.429302
27,2007-07-20,sh.600201,36.5441191500,38.6677483500,35.0988715000,38.2253256000,22343390,278804847.0000,1,9.544524,5.709625
28,2007-07-27,sh.600201,38.7857277500,41.2927900000,37.7534080000,40.8208724000,31740232,428686621.0000,1,13.558615,6.790123
29,2007-08-03,sh.600201,40.7028930000,43.6523780000,38.3433050000,42.3546046000,34244744,478062482.0000,1,14.628478,3.757225
