,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600259,2.0154660000,2.1666259500,1.9751566800,2.0658526500,4244876,8735141.0000,1,4.492836,0.000000
1,2007-01-12,sh.600259,2.0356206600,2.3379405600,1.9953113400,2.1565486200,14230513,30640424.0000,1,15.061772,4.390244
2,2007-01-19,sh.600259,2.1565486200,2.2270899300,2.0759299800,2.2270899300,14829603,31724047.0000,1,15.695857,3.271028
3,2007-01-26,sh.600259,2.2270899300,2.5697191500,2.2270899300,2.3782498800,24536512,58168840.0000,1,25.969784,6.787330
4,2007-02-02,sh.600259,2.3984045400,2.4185592000,2.1162393000,2.1767032800,19515133,43947735.0000,1,20.655087,-8.474576
5,2007-02-09,sh.600259,2.1767032800,2.5797964800,2.1767032800,2.5092551700,18213433,43322539.0000,1,19.277350,15.277778
6,2007-02-16,sh.600259,2.5193325000,3.0433536600,2.4185592000,2.9728123500,22833247,64033912.0000,1,24.167025,18.473896
7,2007-03-02,sh.600259,2.9728123500,3.5572974900,2.8317297300,3.5572974900,16494419,53625014.0000,1,17.457922,19.661017
8,2007-03-09,sh.600259,3.7386894300,3.9301587000,3.4363695300,3.4968335100,21921319,78558034.0000,1,23.201828,-1.699717
9,2007-03-16,sh.600259,3.5169881700,4.2022466100,3.3759055500,3.8394627300,24475250,93110341.0000,1,25.904944,9.798271
10,2007-03-23,sh.600259,3.6782254500,4.4138705400,3.5472201600,4.2828652500,40359353,164626357.0000,1,42.716899,11.548556
11,2007-03-30,sh.600259,4.2022466100,4.7665770900,3.8696947200,4.7464224300,59639104,258599540.0000,1,63.122854,10.823529
12,2007-04-06,sh.600259,4.7867317500,6.0665526600,4.7363451000,6.0665526600,30058513,159058025.0000,1,31.814347,27.813163
13,2007-04-13,sh.600259,6.3688725600,6.6913471200,5.7440781000,6.6006511500,47736906,292742532.0000,1,50.525403,8.803987
14,2007-04-20,sh.600259,6.4898005200,8.0618640000,6.3487179000,7.6184614800,37890302,279030171.0000,1,40.103621,15.419847
15,2007-04-27,sh.600259,7.3665282300,7.9610907000,6.5301098400,7.9610907000,48307793,353328197.0000,1,51.129638,4.497354
16,2007-04-30,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
17,2007-05-11,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
18,2007-05-18,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
19,2007-05-25,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
20,2007-06-01,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
21,2007-06-08,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
22,2007-06-15,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
23,2007-06-22,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
24,2007-06-29,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
25,2007-07-06,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
26,2007-07-13,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
27,2007-07-20,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
28,2007-07-27,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
29,2007-08-03,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
30,2007-08-10,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
31,2007-08-17,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
32,2007-08-24,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
33,2007-08-31,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
34,2007-09-07,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
35,2007-09-14,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
36,2007-09-21,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
37,2007-09-28,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
38,2007-10-12,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
39,2007-10-19,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
40,2007-10-26,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
41,2007-11-02,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
42,2007-11-09,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
43,2007-11-16,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
44,2007-11-23,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
45,2007-11-30,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
46,2007-12-07,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
47,2007-12-14,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
48,2007-12-21,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
49,2007-12-28,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
50,2008-01-04,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
51,2008-01-11,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
52,2008-01-18,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
53,2008-01-25,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
54,2008-02-01,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
55,2008-02-05,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
56,2008-02-15,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
57,2008-02-22,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
58,2008-02-29,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
59,2008-03-07,sh.600259,7.9610907000,7.9610907000,7.9610907000,7.9610907000,0,0.0000,1,0.000000,0.000000
