,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600298,24.2183040000,24.3173788800,22.2368064000,22.6771392000,1068487,22512433.0000,1,2.312742,-5.634448
1,2007-01-12,sh.600298,22.5670560000,24.4274620800,22.2147897600,22.2478147200,3209590,67649090.0000,1,6.947165,-1.893204
2,2007-01-19,sh.600298,22.2478147200,29.4912892800,22.0166400000,27.8180246400,7566371,180408435.0000,1,16.377426,25.037110
3,2007-01-26,sh.600298,27.8620579200,29.0619648000,23.7999878400,24.9778780800,4844912,120197798.0000,1,10.486823,-10.209735
4,2007-02-02,sh.600298,25.1099779200,27.2896252800,24.1412457600,24.9228364800,4039409,94343903.0000,1,8.743310,-0.220361
5,2007-02-09,sh.600298,24.9228364800,26.9153424000,23.1615052800,26.1337516800,5281125,118327960.0000,1,11.431006,4.858657
6,2007-02-16,sh.600298,25.4292192000,27.7079414400,24.3614121600,26.2878681600,5117953,123727124.0000,1,11.077820,0.589722
7,2007-03-02,sh.600298,26.3208931200,26.6621510400,22.1817648000,23.5578048000,5280108,116123710.0000,1,11.428805,-10.385260
8,2007-03-09,sh.600298,23.6568796800,26.6181177600,22.0166400000,26.3649264000,4445510,99569067.0000,1,9.622316,11.915888
9,2007-03-16,sh.600298,26.3869430400,29.5022976000,26.1998016000,27.0254256000,4971181,125462453.0000,1,10.760132,2.505219
10,2007-03-23,sh.600298,26.0897184000,28.5886070400,26.0897184000,26.7502176000,3120992,77172077.0000,1,6.755394,-1.018330
11,2007-03-30,sh.600298,26.7502176000,31.3516953600,26.5300512000,28.3794489600,5543153,145791627.0000,1,11.998167,6.090535
12,2007-04-06,sh.600298,28.3794489600,29.6674224000,28.0712160000,29.3151561600,3571411,93468099.0000,1,7.730327,3.297130
13,2007-04-13,sh.600298,29.6894390400,30.9333792000,29.1720480000,30.1187635200,5433852,148822322.0000,1,11.761584,2.741269
14,2007-04-20,sh.600298,30.3059049600,36.1072896000,29.7224640000,34.5661248000,8015676,241615480.0000,1,17.349948,14.766082
15,2007-04-27,sh.600298,35.6669568000,36.1953561600,32.9258851200,33.3552096000,5994316,187306184.0000,1,12.974710,-3.503185
16,2007-04-30,sh.600298,34.1147836800,36.6907305600,33.3552096000,36.6907305600,3980983,130157241.0000,1,4.915915,10.000000
17,2007-05-11,sh.600298,37.6594627200,45.1341120000,37.6594627200,41.4573331200,7625697,283446947.0000,1,9.416589,12.991299
18,2007-05-18,sh.600298,40.5106176000,42.1068240000,37.5383712000,40.2244012800,7224875,264852542.0000,1,8.921634,-2.973978
19,2007-05-25,sh.600298,39.5198688000,42.8003481600,37.9897123200,42.7342982400,12076937,440498095.0000,1,14.913200,6.239737
20,2007-06-01,sh.600298,44.0442883200,45.6955363200,35.7770400000,42.0297657600,12959916,484353305.0000,1,16.003547,-1.648635
21,2007-06-08,sh.600298,41.8316160000,48.2241000000,35.1715824000,45.1421920000,11545477,432922444.0000,1,14.256927,7.405257
22,2007-06-15,sh.600298,45.5412880000,54.0996800000,45.1865360000,50.0532900000,8973543,400330996.0000,1,11.080976,10.879175
23,2007-06-22,sh.600298,50.2306660000,61.5273000000,50.2306660000,59.8311420000,8141411,404159110.0000,1,10.053418,19.534884
24,2007-06-29,sh.600298,57.6472000000,61.4164400000,51.5499000000,54.0109920000,3916405,198153073.0000,1,4.836171,-9.727626
25,2007-07-06,sh.600298,53.2128000000,56.8268360000,51.0510300000,54.8202700000,4603477,223105170.0000,1,5.684602,1.498358
26,2007-07-13,sh.600298,56.7603200000,58.5340800000,55.4300000000,57.9021780000,3082606,158997195.0000,1,3.806555,5.621840
27,2007-07-20,sh.600298,59.3101000000,66.9372680000,56.6605460000,60.3965280000,12246415,672908866.0000,1,15.122480,4.307869
28,2007-07-27,sh.600298,60.4187000000,70.7286800000,60.4187000000,67.9017500000,19793521,1176022127.0000,1,24.442021,12.426579
29,2007-08-03,sh.600298,67.7908900000,82.4022380000,64.9639600000,78.7438580000,25754845,1691281338.0000,1,31.803359,15.967347
30,2007-08-10,sh.600298,79.2649000000,83.3667200000,68.7997160000,69.8196280000,14505462,992901186.0000,1,17.912063,-11.333239
31,2007-08-17,sh.600298,67.9571800000,73.1676000000,65.2743680000,68.7332000000,13626760,858153336.0000,1,16.826999,-1.556050
32,2007-08-24,sh.600298,70.7286800000,78.3558480000,69.2875000000,71.1277760000,24671406,1226447516.0000,1,22.889400,3.483871
33,2007-08-31,sh.600298,71.8372800000,73.1676000000,67.7354600000,69.5535640000,33923052,1065525165.0000,1,20.944933,-2.213217
34,2007-09-07,sh.600298,69.8418000000,70.4847880000,65.6291200000,65.6512920000,24877200,768067505.0000,1,15.359800,-5.610456
35,2007-09-14,sh.600298,65.1413360000,67.1811600000,60.0861200000,63.6779840000,15475129,440980208.0000,1,9.554728,-3.005741
36,2007-09-21,sh.600298,62.9241360000,66.2942800000,60.9730000000,61.5716440000,19872657,568965866.0000,1,12.269871,-3.307799
37,2007-09-28,sh.600298,59.8644000000,61.6381600000,57.6472000000,59.2657560000,16261365,433988482.0000,1,10.040170,-3.745049
38,2007-10-12,sh.600298,59.8644000000,64.9861320000,57.5363400000,59.5318200000,25367351,700083823.0000,1,15.662431,0.448934
39,2007-10-19,sh.600298,58.5340800000,61.3942680000,57.8689200000,58.6892840000,13927094,370476736.0000,1,8.598933,-1.415270
40,2007-10-26,sh.600298,58.5340800000,59.4209600000,43.2132280000,43.2132280000,19546593,443347335.0000,1,12.068551,-26.369475
41,2007-11-02,sh.600298,43.2132280000,47.8250040000,40.0204600000,42.1489720000,23365770,467144820.0000,1,14.426606,-2.462801
42,2007-11-09,sh.600298,41.8385640000,45.8960400000,40.0869760000,40.9295120000,10901977,212672951.0000,1,6.731151,-2.893214
43,2007-11-16,sh.600298,40.0869760000,41.6833600000,36.9163800000,39.6213640000,12914102,228553674.0000,1,7.973487,-3.196100
44,2007-11-23,sh.600298,39.9096000000,44.2996560000,39.9096000000,42.4815520000,14119559,270472518.0000,1,8.717766,7.218802
45,2007-11-30,sh.600298,43.2354000000,45.6743200000,42.1489720000,44.2553120000,13992298,277147350.0000,1,8.639192,4.175365
46,2007-12-07,sh.600298,44.3440000000,46.5612000000,43.4349480000,45.5412880000,10554308,212483668.0000,1,6.516491,2.905812
47,2007-12-14,sh.600298,45.4304280000,59.8644000000,44.6765800000,56.7381480000,60384852,1493046581.0000,1,37.283104,24.586173
48,2007-12-21,sh.600298,57.4254800000,65.6069480000,57.4254800000,61.5051280000,54153886,1509798743.0000,1,33.435951,8.401719
49,2007-12-28,sh.600298,61.5494720000,69.0657800000,60.0861200000,66.2499360000,52030844,1525531407.0000,1,32.125133,7.714492
50,2008-01-04,sh.600298,66.0725600000,69.3983600000,63.8553600000,65.8508400000,19924141,595991315.0000,1,12.301658,-0.602410
51,2008-01-11,sh.600298,65.8064960000,67.5802560000,60.9730000000,62.9019640000,33306133,966358513.0000,1,20.564032,-4.478114
52,2008-01-18,sh.600298,62.4363520000,68.4893080000,60.9730000000,62.0816000000,38832897,1137535998.0000,1,23.976393,-1.304195
53,2008-01-25,sh.600298,62.1924600000,63.3010600000,48.3349600000,55.0752480000,27997476,687840488.0000,1,17.286336,-11.285714
54,2008-02-01,sh.600298,53.9001320000,54.7204960000,44.2553120000,45.1643640000,13645220,306092930.0000,1,8.424897,-17.995169
55,2008-02-05,sh.600298,47.8471760000,52.5476400000,46.5612000000,50.8182240000,5063312,113749056.0000,1,3.126214,12.518409
56,2008-02-15,sh.600298,50.9512560000,53.1684560000,49.4435600000,51.2173200000,4857959,112721675.0000,1,2.999424,0.785340
57,2008-02-22,sh.600298,52.1263720000,56.4942560000,49.8870000000,52.1263720000,14449334,351396222.0000,1,8.921377,1.774892
