,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600325,18.9514052000,19.2850567000,16.5491144000,17.8303361600,8552669,116263903.0000,1,8.434585,-3.047896
1,2007-01-12,sh.600325,17.3765701200,20.4194718000,17.3498780000,18.1639876600,13529799,191743376.0000,1,13.342997,1.871257
2,2007-01-19,sh.600325,18.0171810000,20.8865839000,16.6558828800,16.6825750000,24364153,329148032.0000,1,24.027764,-8.155768
3,2007-01-26,sh.600325,16.9494962000,18.2307179600,16.5357683400,17.8837204000,25754348,337263237.0000,1,25.398765,7.200000
4,2007-02-02,sh.600325,17.8837204000,18.5376773400,14.2802842000,14.7340502400,26666136,325429586.0000,1,26.297964,-17.611940
5,2007-02-09,sh.600325,14.8141266000,15.4146993000,14.0400551200,14.7740884200,23167533,256632118.0000,1,22.847666,0.271739
6,2007-02-16,sh.600325,14.4804751000,20.0190900000,14.4671290400,19.4985936600,64663345,866203701.0000,1,35.551255,31.978320
7,2007-03-02,sh.600325,19.4985936600,23.3556050000,18.8846749000,22.6749559400,51662896,816406344.0000,1,24.818593,16.290212
8,2007-03-09,sh.600325,22.9685692600,25.0238625000,22.3813426200,24.0362540600,34941413,621054929.0000,1,16.205391,6.003531
9,2007-03-16,sh.600325,24.1563686000,26.1582776000,22.5548414000,24.4499819200,34870679,630041299.0000,1,15.955549,1.721266
10,2007-03-23,sh.600325,23.6225262000,26.2917382000,23.1554141000,24.2898292000,20039145,377564576.0000,1,9.051827,-0.655022
11,2007-03-30,sh.600325,24.3298673800,31.3632410000,24.1563686000,29.2812556400,32873801,682347222.0000,1,14.533511,20.549451
12,2007-04-06,sh.600325,29.3613320000,31.4967016000,27.8799193400,29.0009883800,45267873,999061714.0000,1,19.032494,-0.957156
13,2007-04-13,sh.600325,29.5615229000,31.8970834000,29.0944108000,31.8970834000,14212725,333790447.0000,1,5.975620,9.986194
14,2007-04-20,sh.600325,31.8970834000,36.3012832000,31.2164343400,32.8313076000,30385871,765999717.0000,1,12.775482,2.928870
15,2007-04-27,sh.600325,33.7655318000,38.5434212800,32.0305440000,32.3641955000,35246109,913847876.0000,1,14.818928,-1.422764
16,2007-04-30,sh.600325,32.9647682000,33.3651500000,30.7626683000,33.3518039400,7976469,190960599.0000,1,3.353639,3.051546
17,2007-05-11,sh.600325,34.2326439000,36.2745910800,32.0305440000,35.8475171600,43959756,1153253128.0000,1,18.482507,7.482993
18,2007-05-18,sh.600325,36.0076698800,43.6282701400,35.1001378000,41.3727860000,56799318,1676155053.0000,1,23.880793,15.413254
19,2007-05-25,sh.600325,39.6377982000,49.9142644000,39.3708770000,47.5253196600,45951275,1596685083.0000,1,19.319825,14.870968
20,2007-06-01,sh.600325,49.1135008000,57.3880580000,47.4052051200,47.4052051200,78537996,3025032164.0000,1,33.020636,-0.252738
21,2007-06-08,sh.600325,47.4052051200,47.4052051200,47.4052051200,47.4052051200,0,0.0000,1,0.000000,0.000000
22,2007-06-15,sh.600325,44.7359931200,49.1135008000,40.8389436000,44.1354204200,102195272,3357830270.0000,1,42.967137,-6.897523
23,2007-06-22,sh.600325,45.1764131000,50.0076868200,42.4404708000,44.0953822400,53816989,1890667376.0000,1,22.626898,-0.090717
24,2007-06-29,sh.600325,43.9085374000,44.1087283000,39.1039558000,40.4785999800,33479442,1047227735.0000,1,14.076148,-8.202179
25,2007-07-06,sh.600325,40.4385618000,44.0419980000,40.4385618000,40.7188290600,13621884,431185517.0000,1,5.727206,0.593472
26,2007-07-13,sh.600325,43.1077738000,48.0324699400,42.4404708000,46.3108282000,23211272,795283024.0000,1,9.758983,13.733202
27,2007-07-20,sh.600325,46.0439070000,52.4366697400,42.9743132000,51.9829037000,32261616,1167538944.0000,1,13.564123,12.247839
28,2007-07-27,sh.600325,52.1830946000,61.7922578000,50.8484886000,60.8046493600,36169120,1505250742.0000,1,15.207000,16.970475
29,2007-08-03,sh.600325,60.8046493600,66.0629970000,57.3880580000,61.7121814400,22504011,1032152782.0000,1,9.461621,1.492537
30,2007-08-10,sh.600325,61.7121814400,63.2603244000,54.7188460000,56.3604113800,20578740,921015134.0000,1,8.652157,-8.672145
31,2007-08-17,sh.600325,56.3604113800,63.3137086400,54.0515430000,58.9095088400,13883715,618565095.0000,1,5.837290,4.522851
32,2007-08-24,sh.600325,59.5367736600,73.8304039200,59.5367736600,70.3737743800,15173356,771686749.0000,1,6.379509,19.460807
33,2007-08-31,sh.600325,70.1468913600,72.0954161200,64.7283910000,69.8532780400,8015608,408397046.0000,1,3.370095,-0.739617
34,2007-09-07,sh.600325,69.1325908000,71.9352634000,62.7264820000,63.3937850000,14932204,749229627.0000,1,6.278119,-9.247230
35,2007-09-14,sh.600325,62.2593699000,71.8018028000,61.9257184000,70.4671968000,14948285,729086595.0000,1,6.284880,11.157895
36,2007-09-21,sh.600325,70.4671968000,72.7360270000,64.9686200800,66.1163812400,8728829,454106351.0000,1,3.669962,-6.174242
37,2007-09-28,sh.600325,66.0496509400,75.4052390000,65.3956940000,72.8161033600,11124733,592489190.0000,1,4.677300,10.133226
38,2007-10-12,sh.600325,74.6712057000,80.1030521200,69.2660514000,71.7884567400,11962281,688803791.0000,1,5.029440,-1.411290
39,2007-10-19,sh.600325,70.8675786000,71.6683422000,64.0744340600,69.1459368600,9385504,477832030.0000,1,3.946056,-3.680982
