,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600346,4.3164950400,4.4202569400,4.1712283800,4.4098807500,2508589,10350222.0000,1,4.721605,2.163462
1,2007-01-12,sh.600346,4.4617617000,4.7730474000,4.3476236100,4.4721378900,9949605,44206596.0000,1,18.726906,1.411765
2,2007-01-19,sh.600346,4.4825140800,5.0220759600,4.4513855100,4.9909473900,16706968,77770935.0000,1,31.445451,11.600928
3,2007-01-26,sh.600346,5.0013235800,5.4786283200,4.7211664500,4.9390664400,13283959,65491559.0000,1,25.002746,-1.039501
4,2007-02-02,sh.600346,4.9390664400,5.4163711800,4.8768093000,5.2607283300,11705425,58348550.0000,1,22.031668,6.512605
5,2007-02-09,sh.600346,5.3852426100,5.5616378400,5.2399759500,5.3229854700,9895709,51564510.0000,1,18.625464,1.183432
6,2007-02-16,sh.600346,5.3437378500,5.9974378200,5.3229854700,5.8417949700,10134667,55051153.0000,1,19.075225,9.746589
7,2007-03-02,sh.600346,5.8936759200,6.7445235000,5.6031426000,6.4954949400,27410530,165256847.0000,1,51.591436,11.190053
8,2007-03-09,sh.600346,6.4747425600,7.1491949100,6.0804473400,6.9312949200,26091100,172639271.0000,1,49.108037,6.709265
9,2007-03-16,sh.600346,6.9312949200,7.4501044200,6.4954949400,7.1491949100,15459480,105818604.0000,1,29.097459,3.143713
10,2007-03-23,sh.600346,7.0039282500,7.8443996400,6.7756520700,7.6472520300,15569990,111889458.0000,1,29.305458,6.966618
11,2007-03-30,sh.600346,7.7302615500,8.4773472300,7.5746187000,7.8651520200,15169446,116736703.0000,1,28.551564,2.849389
12,2007-04-06,sh.600346,7.8651520200,8.4150900900,7.7406377400,8.3009520000,11407809,89960628.0000,1,21.471502,5.540897
13,2007-04-13,sh.600346,8.3009520000,10.8431185500,8.1453091500,10.3761900000,34163244,316532921.0000,1,64.301231,25.000000
14,2007-04-20,sh.600346,10.4799519000,11.9326185000,10.0233995400,11.4138090000,37852181,400134239.0000,1,71.244459,10.000000
15,2007-04-27,sh.600346,11.4138090000,12.1401423000,10.6874757000,10.7497328400,24128492,267010235.0000,1,45.414064,-5.818182
16,2007-04-30,sh.600346,10.6874757000,11.1959090100,10.4903280900,10.9261280700,4904450,51279050.0000,1,9.231037,1.640927
17,2007-05-11,sh.600346,10.9987614000,11.8496089800,10.4488233300,11.7043423200,17052459,184547664.0000,1,32.095726,7.122507
18,2007-05-18,sh.600346,11.6939661300,11.8496089800,10.6667233200,11.2685423400,14941113,162344652.0000,1,28.121801,-3.723404
19,2007-05-25,sh.600346,10.8223661700,12.7108327500,10.5837138000,12.0986375400,28597676,327636181.0000,1,53.825854,7.366483
20,2007-06-01,sh.600346,12.1608946800,13.1362565400,9.4630852800,9.4630852800,27614083,313710386.0000,1,51.974559,-21.783877
21,2007-06-08,sh.600346,9.0272853000,9.0791662500,7.6680044100,8.6744948400,20260199,161319299.0000,1,38.133256,-8.333333
22,2007-06-15,sh.600346,8.9027710200,10.4903280900,8.5707329400,9.7432424100,28657947,261616118.0000,1,53.939294,12.320574
23,2007-06-22,sh.600346,9.9611424000,10.2620519100,8.5396043700,8.5396043700,17267483,159957973.0000,1,32.500439,-12.353568
24,2007-06-29,sh.600346,8.5292281800,8.7886329300,6.4747425600,6.5888806500,11544985,84078364.0000,1,21.729691,-22.843256
25,2007-07-06,sh.600346,6.5992568400,7.4293520400,6.5785044600,7.3463425200,7369028,50023059.0000,1,13.869806,11.496063
26,2007-07-13,sh.600346,7.3463425200,7.7821425000,7.1699472900,7.3255901400,6604443,47945203.0000,1,12.283501,-0.282486
27,2007-07-20,sh.600346,7.3670949000,8.0934282000,6.9831758700,7.8859044000,6158071,45083833.0000,1,11.153380,7.648725
28,2007-07-27,sh.600346,7.8340234500,9.4527090900,7.7925186900,9.4527090900,12371239,100924970.0000,1,22.406550,19.868421
29,2007-08-03,sh.600346,10.3658138100,13.3852851000,9.8781328800,12.4306756200,57216031,648502160.0000,1,103.628576,31.503842
30,2007-08-10,sh.600346,12.1920232500,15.5435326200,11.4760661400,13.6446898500,37878366,506967398.0000,1,68.604569,9.766277
31,2007-08-17,sh.600346,13.6446898500,14.7341898000,12.0363804000,13.4786708100,26088647,331036941.0000,1,47.251256,-1.216730
32,2007-08-24,sh.600346,13.4786708100,14.3191422000,13.4060374800,13.7692041300,16348652,217406205.0000,1,29.610364,2.155504
33,2007-08-31,sh.600346,13.8522136500,16.3217468700,13.4682946200,16.3217468700,23612053,336543317.0000,1,42.765697,18.538056
34,2007-09-07,sh.600346,17.2763563500,17.4319992000,15.2529993000,15.6576707100,19651595,308537717.0000,1,35.592591,-4.068659
35,2007-09-14,sh.600346,15.1596135900,16.0415897400,13.8003327000,14.9624659800,10883830,156145996.0000,1,19.712584,-4.440027
36,2007-09-21,sh.600346,14.7549421800,16.0830945000,13.6239374700,13.9144707900,10904254,156495248.0000,1,19.749575,-7.004161
37,2007-09-28,sh.600346,13.8522136500,14.6200517100,13.4060374800,14.1946279200,5913497,79411415.0000,1,10.710412,2.013423
38,2007-10-12,sh.600346,14.4229041000,14.4229041000,11.8911137400,12.3269137200,6271548,80564346.0000,1,11.358907,-13.157895
39,2007-10-19,sh.600346,12.3580422900,12.8145946500,11.7250947000,11.8288566000,5210586,61280111.0000,1,9.437313,-4.040404
40,2007-10-26,sh.600346,11.7043423200,11.8288566000,9.3178186200,9.6913614600,5850220,58651860.0000,1,10.595806,-18.070175
41,2007-11-02,sh.600346,9.6706090800,11.3930566200,9.1310472000,10.1686662000,8322880,83576830.0000,1,15.074240,4.925054
42,2007-11-09,sh.600346,9.9818947800,10.8949995000,9.6498567000,10.5837138000,4531418,45192571.0000,1,8.207217,4.081633
43,2007-11-16,sh.600346,10.4280709500,11.2062852000,10.1790423900,10.7808614100,3851490,39682482.0000,1,6.975745,1.862745
44,2007-11-23,sh.600346,10.9780090200,11.2996709100,10.1790423900,10.5214566600,3555901,37256356.0000,1,6.440380,-2.406160
45,2007-11-30,sh.600346,10.5214566600,14.6304279000,10.3346852400,14.6304279000,27522334,351387129.0000,1,49.847922,39.053254
46,2007-12-07,sh.600346,15.0454755000,16.0830945000,14.0286088800,14.8068231300,32722525,466570437.0000,1,59.266408,1.205674
