,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600362,12.4049810000,12.7070153200,12.0705858600,12.6099328600,34718974,397883653.0000,1,12.373120,0.775862
1,2007-01-12,sh.600362,12.6099328600,15.9323103800,12.4265548800,14.2171869200,153926581,2049028092.0000,1,54.856230,12.745937
2,2007-01-19,sh.600362,14.0769567000,15.6410630000,13.7641354400,15.1664376400,99232027,1346714702.0000,1,35.364229,6.676783
3,2007-01-26,sh.600362,15.3821764400,16.5795267800,14.8859772000,15.8460148600,122523872,1776688984.0000,1,43.664958,4.480797
4,2007-02-02,sh.600362,16.1804100000,16.3853618600,14.6702384000,14.7133861600,88400049,1290113857.0000,1,31.503938,-7.147720
5,2007-02-09,sh.600362,14.5407951200,15.8568018000,14.3250563200,15.4037503200,57940001,810044769.0000,1,20.648610,4.692082
6,2007-02-16,sh.600362,15.5655544200,17.7229424200,15.5655544200,17.3238256400,86481187,1337117050.0000,1,30.820095,12.464986
7,2007-03-02,sh.600362,18.1436330800,20.4628251800,17.2375301200,18.5643237400,141041167,2453506017.0000,1,50.264136,7.160648
8,2007-03-09,sh.600362,18.6506192600,18.6506192600,17.1296607200,17.6797946600,21434119,354848125.0000,1,7.638674,-4.764672
9,2007-03-16,sh.600362,17.6797946600,17.6797946600,17.6797946600,17.6797946600,0,0.0000,1,0.000000,0.000000
10,2007-03-23,sh.600362,17.6797946600,23.5263161400,17.6797946600,21.5523061200,68756497,1385643441.0000,1,24.503385,21.903600
11,2007-03-30,sh.600362,21.6601755200,22.2103094600,20.5167598800,21.0453199400,59078396,1168849804.0000,1,21.054311,-2.352352
12,2007-04-06,sh.600362,21.1963371000,22.9653952600,20.9482374800,22.7388695200,53180773,1086405526.0000,1,18.952521,8.047155
13,2007-04-13,sh.600362,22.8467389200,27.3556798400,22.8467389200,26.2877727800,105434509,2499725655.0000,1,37.574665,15.607211
14,2007-04-20,sh.600362,26.2769858400,32.1990159000,26.2122642000,29.1247380000,108074629,2882605467.0000,1,38.404091,10.791957
15,2007-04-27,sh.600362,28.1323395200,28.9089992000,25.8886560000,26.1583295000,127002557,3241129686.0000,1,44.953350,-10.185185
