,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600383,37.5626062500,40.0667800000,36.2404025100,37.2420720100,13680426,261585778.0000,1,3.200100,0.595238
1,2007-01-12,sh.600383,36.8614376000,38.6444093100,33.6560952000,34.7779650400,48821087,877077854.0000,1,11.420137,-6.616460
2,2007-01-19,sh.600383,34.0968297800,39.8664461000,30.5509197500,31.8931568800,107097365,1812462125.0000,1,25.052015,-8.294931
3,2007-01-26,sh.600383,31.5525892500,34.6577647000,30.1101851700,33.2954941800,83801391,1360031145.0000,1,19.602665,4.396985
4,2007-02-02,sh.600383,33.2954941800,33.9766294400,29.0484155000,29.6694505900,61221392,946136756.0000,1,14.320793,-10.890493
5,2007-02-09,sh.600383,29.2487494000,29.8096843200,27.4457443000,28.0667793900,46639349,663914471.0000,1,10.909789,-5.401756
6,2007-02-16,sh.600383,28.1068461700,33.7161953700,28.0066792200,31.7929899300,50435104,786033718.0000,1,11.797685,13.276231
7,2007-03-02,sh.600383,31.7929899300,32.3138580700,27.6260448100,30.1101851700,53913903,800568894.0000,1,12.611439,-5.293006
8,2007-03-09,sh.600383,30.1101851700,34.0567630000,30.1101851700,33.5158614700,66396794,1082853741.0000,1,15.531414,11.310712
9,2007-03-16,sh.600383,33.5158614700,34.7579316500,32.4540918000,32.9148597700,45944954,772812531.0000,1,10.747358,-1.793186
10,2007-03-23,sh.600383,31.5325558600,35.8998348800,31.2520884000,33.0550935000,63069749,1071716050.0000,1,14.753158,0.426050
11,2007-03-30,sh.600383,33.2554274000,34.5175309700,32.0133572200,32.5141919700,60828594,1009939983.0000,1,14.228911,-1.636364
12,2007-04-06,sh.600383,32.2337245100,36.2003357300,32.2337245100,35.8798014900,75354663,1297826559.0000,1,17.626822,10.351201
13,2007-04-13,sh.600383,35.9799684400,36.8614376000,34.0367296100,35.4390669100,75256723,1331054242.0000,1,17.603912,-1.228364
14,2007-04-20,sh.600383,35.6421546000,41.2271076000,35.4390654000,38.4041677200,105967557,2035134255.0000,1,24.787733,8.366762
15,2007-04-27,sh.600383,38.4854034000,45.4919808000,38.4854034000,42.5878052400,58126346,1214962358.0000,1,13.596806,10.893707
16,2007-04-30,sh.600383,42.3440982000,46.7105160000,42.0394644000,46.0809394800,14028480,310285614.0000,1,3.281516,8.202194
17,2007-05-11,sh.600383,47.3197836000,51.2800230000,45.8981592000,47.2182390000,49268961,1192062318.0000,1,11.524903,2.468048
18,2007-05-18,sh.600383,47.2182390000,59.3832820800,46.1012484000,57.4945525200,44180243,1132882038.0000,1,10.334560,21.763441
19,2007-05-25,sh.600383,54.4482145200,61.9422060000,54.4482145200,57.4742436000,39967897,1151364829.0000,1,9.349216,-0.035323
20,2007-06-01,sh.600383,57.4742436000,71.8935768000,57.4742436000,66.0649167600,65547267,2144610739.0000,1,15.332694,14.946996
21,2007-06-08,sh.600383,65.1916332000,67.3849965600,54.8543929200,62.5311646800,42105970,1288534409.0000,1,9.849350,-5.348909
22,2007-06-15,sh.600383,62.6733271200,72.0966660000,59.9113140000,66.6335665200,37773355,1199160559.0000,1,8.835873,6.560572
23,2007-06-22,sh.600383,67.6896303600,79.1438612400,67.6896303600,72.9090228000,26425099,958079456.0000,1,6.181310,9.417860
24,2007-06-29,sh.600383,73.0105674000,79.2047880000,67.2834519600,69.4971242400,32776515,1186480657.0000,1,7.667021,-4.679666
25,2007-07-06,sh.600383,68.5426050000,70.8781308000,60.9267600000,66.1461524400,18020472,592665918.0000,1,4.215315,-4.821742
26,2007-07-13,sh.600383,67.0397449200,73.3152012000,66.8163468000,71.0609110800,20907186,713963461.0000,1,4.890570,7.430150
27,2007-07-20,sh.600383,71.0609110800,89.7654264000,69.1112547600,88.2422574000,30870108,1243664073.0000,1,7.221078,24.178337
28,2007-07-27,sh.600383,89.8669710000,93.6444301200,85.2974640000,90.7808724000,19641795,868036033.0000,1,4.594572,2.876870
29,2007-08-03,sh.600383,89.2780123200,107.6372760000,88.3438020000,102.3163389600,27946873,1330677411.0000,1,6.537280,12.706935
30,2007-08-10,sh.600383,104.3878488000,107.6372760000,97.9905390000,100.5088450800,24994331,1250659380.0000,1,5.846627,-1.766574
31,2007-08-17,sh.600383,100.9353324000,101.5446000000,90.0091334400,91.5932292000,30570832,1436868704.0000,1,7.151072,-8.870479
32,2007-08-24,sh.600383,92.4055860000,119.8226280000,92.4055860000,115.0297228800,18818786,984874108.0000,1,4.402055,25.587583
33,2007-08-31,sh.600383,115.2125031600,122.2596984000,111.1101013200,113.7096430800,23521246,1344189509.0000,1,4.180134,-1.147599
34,2007-09-07,sh.600383,114.7453980000,119.2945960800,109.9931107200,112.6941970800,24853794,1401479721.0000,1,4.416951,-0.893017
35,2007-09-14,sh.600383,105.6470018400,119.8226280000,103.5754920000,118.7868730800,35702317,1999359503.0000,1,6.344922,5.406380
36,2007-09-21,sh.600383,115.9030064400,123.8844120000,105.3626769600,107.5763492400,24873569,1420058152.0000,1,4.420465,-9.437511
37,2007-09-28,sh.600383,108.2465436000,118.3400768400,104.3878488000,109.0182825600,19914671,1095492674.0000,1,3.539183,1.340381
38,2007-10-12,sh.600383,111.6787510800,128.3117565600,105.9719445600,113.8111876800,53423514,3149867558.0000,1,9.494287,4.396423
39,2007-10-19,sh.600383,113.7299520000,113.7299520000,98.7013512000,104.1035239200,24416613,1267147728.0000,1,4.339256,-8.529622
40,2007-10-26,sh.600383,103.5551830800,125.1029472000,99.5137080000,125.1029472000,22319078,1253219029.0000,1,3.966488,20.171674
41,2007-11-02,sh.600383,126.3214824000,149.2705620000,126.3214824000,132.0689067600,20443688,1367814087.0000,1,3.580676,5.568182
42,2007-11-09,sh.600383,128.7585528000,128.9616420000,111.6990600000,120.2084974800,14260996,851149682.0000,1,2.380799,-8.980471
43,2007-11-16,sh.600383,115.7608440000,126.5854983600,104.3878488000,107.0483173200,28276410,1609073037.0000,1,4.720599,-10.947795
44,2007-11-23,sh.600383,106.7843013600,106.7843013600,94.8426564000,97.9296122400,20658473,1017988034.0000,1,3.448824,-8.518308
45,2007-11-30,sh.600383,99.2090742000,99.5340169200,86.7190884000,91.1464329600,17638905,796481983.0000,1,2.944723,-6.926586
46,2007-12-07,sh.600383,90.9433437600,107.6372760000,89.3592480000,100.5697718400,17416357,853498270.0000,1,2.907570,10.338681
47,2007-12-14,sh.600383,100.5697718400,101.3415108000,79.4281861200,83.2259541600,54740001,2356766196.0000,1,9.138557,-17.245557
48,2007-12-21,sh.600383,82.4135973600,83.2665720000,74.9602237200,81.2356800000,41670133,1619320921.0000,1,6.956611,-2.391410
49,2007-12-28,sh.600383,81.6418584000,85.9473494400,75.0820772400,82.8603936000,78108428,3098627643.0000,1,13.039794,2.000000
50,2008-01-04,sh.600383,84.3835626000,90.9839616000,83.6930593200,89.6841907200,31079798,1323195076.0000,1,5.188610,8.235294
51,2008-01-11,sh.600383,89.9278977600,98.4982620000,88.3438020000,97.1578732800,48148102,2222913957.0000,1,8.038074,8.333333
52,2008-01-18,sh.600383,97.3812714000,101.1384216000,80.0780715600,85.7442602400,45724331,2050126494.0000,1,7.633438,-11.747492
53,2008-01-25,sh.600383,86.1098208000,88.2016395600,72.0560481600,88.2016395600,37196823,1451561095.0000,1,6.209815,2.865940
54,2008-02-01,sh.600383,89.3592480000,92.3852770800,83.6727504000,90.7402545600,35779564,1549717030.0000,1,5.973211,2.878195
55,2008-02-05,sh.600383,92.6492930400,96.8126216400,90.4153118400,92.4055860000,13611021,632526844.0000,1,2.272289,1.835273
56,2008-02-15,sh.600383,91.9181719200,93.7865925600,85.0943748000,87.0237222000,8688999,381742995.0000,1,1.450583,-5.824176
57,2008-02-22,sh.600383,88.3641109200,94.4364780000,81.2762978400,83.2665720000,20834116,909531302.0000,1,3.478147,-4.317386
58,2008-02-29,sh.600383,84.7085053200,87.3283560000,74.5337364000,82.0277278800,25115471,984239988.0000,1,4.192897,-1.487805
59,2008-03-07,sh.600383,80.7076480800,84.5866518000,72.9090228000,78.9407720400,25978835,1007279785.0000,1,4.337031,-3.763308
60,2008-03-14,sh.600383,77.1332781600,78.3924312000,60.5205816000,64.0340247600,31453495,1049902262.0000,1,5.250996,-18.883458
61,2008-03-21,sh.600383,63.3638304000,76.5240105600,61.9625149200,72.6450068400,39890622,1366988877.0000,1,6.659531,13.447510
62,2008-03-28,sh.600383,72.5028444000,80.8295016000,63.6278463600,80.4030142800,43988078,1599934562.0000,1,7.343580,10.679340
63,2008-04-03,sh.600383,77.7831636000,80.6264124000,62.8269615000,69.1299900000,55187177,1319610512.0000,1,6.207152,-14.020673
64,2008-04-11,sh.600383,67.0560903000,77.5069182000,65.0635200000,69.9432840000,55943654,995639200.0000,1,4.669750,1.176471
65,2008-04-18,sh.600383,66.4867845000,68.7233430000,49.7329281000,51.4408455000,81469666,1162158874.0000,1,6.800467,-26.453488
66,2008-04-25,sh.600383,55.5073155000,63.6402555000,44.5278465000,59.2078032000,138469828,1904214475.0000,1,11.558407,15.098814
67,2008-04-30,sh.600383,56.9305800000,58.7604915000,53.2707570000,55.1006685000,34407152,471897161.0000,1,2.872047,-6.936813
68,2008-05-09,sh.600383,60.6310677000,62.7049674000,52.7827806000,54.0027216000,117142804,1672295171.0000,1,9.778189,-1.992620
69,2008-05-16,sh.600383,52.6607865000,57.1745682000,48.7976400000,53.6774040000,73128951,957083730.0000,1,6.104248,-0.602410
70,2008-05-23,sh.600383,53.9620569000,53.9620569000,45.9511110000,47.0083932000,58944986,717919249.0000,1,4.920279,-12.424242
71,2008-05-30,sh.600383,46.3170933000,49.3262811000,44.6905053000,46.3984227000,69998771,811486517.0000,1,5.842964,-1.297578
72,2008-06-06,sh.600383,46.0324404000,48.7976400000,44.7311700000,46.5610815000,52070854,596665321.0000,1,4.346478,0.350570
73,2008-06-13,sh.600383,44.6905053000,44.7311700000,38.2248180000,38.8754532000,37690750,370474727.0000,1,3.146137,-16.506550
74,2008-06-20,sh.600383,38.3468121000,39.7294119000,32.7350835000,34.9716420000,50994668,463886953.0000,1,4.256647,-10.041841
75,2008-06-27,sh.600383,34.5243303000,40.9900176000,33.6297069000,35.0529714000,56019955,520820253.0000,1,4.676119,0.232558
76,2008-07-04,sh.600383,34.6056597000,36.9642123000,32.0437836000,33.0197364000,80220456,669652653.0000,1,5.763019,-5.800464
77,2008-07-11,sh.600383,32.5317600000,45.1784817000,32.2471071000,40.9086882000,423806930,4192872017.0000,1,27.445883,23.891626
78,2008-07-18,sh.600383,40.4613765000,41.2746705000,31.1084955000,33.9143598000,308732675,2719601935.0000,1,19.993635,-17.097416
79,2008-07-25,sh.600383,32.9384070000,38.6314650000,32.6537541000,38.0621592000,354790676,3155186057.0000,1,22.976367,12.230216
80,2008-08-01,sh.600383,38.3061474000,40.1360589000,33.1417305000,34.7683185000,273484674,2440885636.0000,1,17.710962,-8.653846
81,2008-08-08,sh.600383,34.1583480000,34.5649950000,30.0918780000,30.2952015000,129243377,1020104738.0000,1,8.369846,-12.865497
82,2008-08-15,sh.600383,30.8238426000,31.9217895000,27.7333254000,29.7665604000,108428381,792085645.0000,1,7.021859,-1.744966
83,2008-08-22,sh.600383,29.8885545000,30.4578603000,26.5540491000,28.0993077000,97515540,685504652.0000,1,6.315140,-5.601093
84,2008-08-29,sh.600383,28.0179783000,29.9292192000,26.6760432000,28.6279488000,78504392,536683455.0000,1,4.782981,1.881331
85,2008-09-05,sh.600383,28.0586430000,28.3839606000,26.4320550000,26.6353785000,53335885,360745400.0000,1,3.249557,-6.960227
86,2008-09-12,sh.600383,26.6353785000,27.1640196000,22.3655850000,22.6909026000,56046852,330524859.0000,1,3.414726,-14.809160
87,2008-09-19,sh.600383,23.4228672000,23.5448613000,19.9257030000,23.1382143000,104197685,571524185.0000,1,6.348377,1.971326
88,2008-09-26,sh.600383,23.9921730000,25.4561022000,20.1290265000,24.6021435000,294912234,1677979816.0000,1,17.967905,6.326889
89,2008-10-10,sh.600383,23.6261907000,27.2453490000,21.8776086000,22.3249203000,298386257,1826750799.0000,1,18.179565,-9.256198
90,2008-10-17,sh.600383,22.2029262000,26.1067374000,21.0643146000,25.3341081000,313864125,1892039151.0000,1,19.122574,13.479053
91,2008-10-24,sh.600383,25.0087905000,27.6519960000,23.6668554000,24.5208141000,294774616,1861492837.0000,1,17.959521,-3.210273
92,2008-10-31,sh.600383,23.6668554000,24.3988200000,20.6983323000,23.0568849000,241330186,1368201905.0000,1,14.703351,-5.970149
93,2008-11-07,sh.600383,22.6502379000,23.2602084000,18.5431032000,20.2103559000,176879192,886197994.0000,1,10.776591,-12.345679
94,2008-11-14,sh.600383,20.6576676000,26.0660727000,20.4136794000,25.9440786000,318577838,1813277565.0000,1,19.409763,28.370221
95,2008-11-21,sh.600383,25.5374316000,29.7665604000,23.1382143000,28.3432959000,361196492,2347555005.0000,1,22.006359,9.247649
96,2008-11-28,sh.600383,27.6519960000,31.3524837000,25.7814198000,28.6279488000,357839829,2565322882.0000,1,21.801850,1.004304
97,2008-12-05,sh.600383,28.6686135000,33.7517010000,28.2213018000,33.4670481000,230933687,1764139147.0000,1,14.069931,16.903409
98,2008-12-12,sh.600383,34.0770186000,35.7036066000,30.7831779000,31.0271661000,203185663,1668534167.0000,1,12.379347,-7.290401
99,2008-12-19,sh.600383,31.7997954000,34.9716420000,29.9292192000,33.6297069000,184793008,1510854502.0000,1,11.258751,8.387942
100,2008-12-26,sh.600383,33.3450540000,33.3857187000,27.3673431000,27.8146548000,142614619,1048342356.0000,1,8.688978,-17.291415
101,2008-12-31,sh.600383,27.0420255000,28.5872841000,26.1067374000,26.4727197000,88947871,594770141.0000,1,5.419263,-4.824561
102,2009-01-09,sh.600383,27.1233549000,31.1084955000,26.6353785000,30.1732074000,176097469,1261062075.0000,1,10.728964,13.978495
103,2009-01-16,sh.600383,29.7665604000,31.1084955000,27.6926607000,30.2952015000,148059332,1070382235.0000,1,9.020704,0.404313
104,2009-01-23,sh.600383,30.4171956000,32.2471071000,29.4412428000,31.1898249000,145211583,1110599242.0000,1,8.847202,2.953020
105,2009-02-06,sh.600383,31.5964719000,34.4430009000,28.8719370000,33.9143598000,287511862,2233882285.0000,1,17.517028,8.735332
106,2009-02-13,sh.600383,34.0770186000,38.8347885000,33.3450540000,38.2654827000,370377960,3285097091.0000,1,22.565751,12.829736
107,2009-02-20,sh.600383,38.0621592000,39.0787767000,32.7350835000,34.2396774000,300766284,2621933312.0000,1,18.324571,-10.520723
108,2009-02-27,sh.600383,35.0529714000,38.5501356000,29.4819075000,30.6205191000,275334863,2373273931.0000,1,16.775129,-10.570071
109,2009-03-06,sh.600383,30.4985250000,38.7534591000,30.1325427000,37.4521887000,280401365,2462233935.0000,1,17.083812,22.310757
110,2009-03-13,sh.600383,37.7368416000,39.4854237000,33.7517010000,35.1343008000,226755485,2033870502.0000,1,13.815368,-6.188925
111,2009-03-20,sh.600383,34.5649950000,40.9900176000,34.4023362000,39.4040943000,344324684,3283968812.0000,1,20.978422,12.152778
112,2009-03-27,sh.600383,39.3634296000,45.9511110000,39.0381120000,44.2025289000,305589035,3273931268.0000,1,18.618403,12.177503
113,2009-04-03,sh.600383,43.7145525000,48.5536518000,41.1933411000,46.3577580000,242955066,2696422188.0000,1,14.802348,4.875805
114,2009-04-10,sh.600383,46.7644050000,47.0083932000,41.3966646000,45.7477875000,220358206,2394090857.0000,1,13.425606,-1.315789
115,2009-04-17,sh.600383,46.1137698000,49.2042870000,44.9751582000,47.9030166000,232194987,2688342359.0000,1,14.146777,4.711111
116,2009-04-24,sh.600383,47.7403578000,48.7163106000,43.1045820000,44.7718347000,145846545,1655774322.0000,1,8.885887,-6.536503
117,2009-04-30,sh.600383,43.8365466000,50.1802398000,41.3966646000,50.0989104000,189453341,2134668890.0000,1,11.542687,11.898274
118,2009-05-08,sh.600383,49.8549222000,57.6218799000,49.2042870000,56.9305800000,158826972,2092850726.0000,1,9.676737,13.636364
119,2009-05-15,sh.600383,60.5904030000,69.2113194000,54.9786744000,67.0967550000,220195241,3378266984.0000,1,13.415677,17.857143
120,2009-05-22,sh.600383,66.0801375000,70.1872722000,62.9489556000,63.6809202000,190242939,3093632609.0000,1,11.590795,-5.090909
121,2009-05-27,sh.600383,61.4443617000,65.8361493000,61.4443617000,63.7215849000,122638784,1915997899.0000,1,7.471925,0.063857
122,2009-06-05,sh.600383,66.3241257000,80.2122542000,65.9581434000,76.5952560000,251852067,3695777059.0000,1,12.334249,20.203011
123,2009-06-12,sh.600383,76.7548294500,79.7867250000,68.9889215500,70.8506118000,330062452,4592326892.0000,1,15.468829,-7.500000
124,2009-06-19,sh.600383,71.1697587000,82.1803267500,69.5740242000,81.1696949000,372283265,5343480705.0000,1,17.447565,14.564565
125,2009-06-26,sh.600383,81.7016064000,85.1590311500,77.8186524500,83.9356347000,281892718,4308110839.0000,1,13.211288,3.407602
126,2009-07-03,sh.600383,84.9994577000,98.4036275000,83.5101055000,97.9249071500,239111078,4029852435.0000,1,11.206268,16.666667
127,2009-07-10,sh.600383,98.5100098000,101.1163761500,90.4249550000,94.9462027500,289747606,5191664203.0000,1,13.579418,-3.041825
128,2009-07-17,sh.600383,93.4036594000,97.8717160000,91.8079249000,93.6696151500,280846480,4960977993.0000,1,13.162255,-1.344538
129,2009-07-24,sh.600383,93.0845125000,104.9993301000,89.3611320000,102.7653018000,522478692,9483189697.0000,1,24.486679,9.710392
130,2009-07-31,sh.600383,102.1270080000,107.9780345000,87.1802948500,94.0419532000,608622832,11067164638.0000,1,28.523942,-8.488613
131,2009-08-07,sh.600383,92.8185567500,97.3398045000,83.9356347000,89.4143231500,649329366,11100006293.0000,1,30.431710,-4.920814
132,2009-08-14,sh.600383,89.6270877500,95.1057762000,85.1058400000,92.4462187000,546583811,9253123208.0000,1,25.616399,3.390839
133,2009-08-21,sh.600383,89.8930435000,93.4036594000,74.5208011500,78.8824754500,399766816,6166243871.0000,1,18.735619,-14.672037
134,2009-08-28,sh.600383,79.3611958000,81.2760772000,69.9995534000,70.2655091500,345222113,4875697115.0000,1,15.824263,-10.923803
135,2009-09-04,sh.600383,69.0421127000,75.7441976000,62.0740720500,74.2548454000,514853161,6626855639.0000,1,23.599797,5.677517
136,2009-09-11,sh.600383,75.2654772500,80.3186365000,71.8612436500,79.4675781000,394272191,5679003431.0000,1,18.072616,7.020057
137,2009-09-18,sh.600383,80.5845922500,82.4462825000,73.4037870000,75.3718595500,367215774,5495965970.0000,1,16.832406,-5.153949
138,2009-09-25,sh.600383,73.4037870000,74.8931392000,66.0102171500,70.2123180000,374788136,4979167333.0000,1,17.179508,-6.845448
139,2009-09-30,sh.600383,70.4782737500,71.1697587000,65.0527764500,68.4570100500,141673322,1811848724.0000,1,6.494010,-2.500000
140,2009-10-09,sh.600383,70.2655091500,72.8186843500,68.8825392500,72.4463463000,51431346,687569745.0000,1,2.357506,5.827506
141,2009-10-16,sh.600383,72.0208171000,80.2654453500,71.3825233000,79.5207692500,347074036,5009952382.0000,1,15.909151,9.765051
142,2009-10-23,sh.600383,79.5739604000,90.2653815500,79.5739604000,87.6058240500,480082879,7795499462.0000,1,22.005999,10.167224
143,2009-10-30,sh.600383,89.0951762500,89.8398523500,79.0420489000,80.8505480000,381537736,6006336137.0000,1,17.488895,-7.710990
144,2009-11-06,sh.600383,78.1909905000,87.4994417500,76.8080206000,86.1696630000,507870367,8000003396.0000,1,23.279720,6.578947
145,2009-11-13,sh.600383,86.2228541500,87.8185886500,81.2760772000,83.9356347000,393787499,6303718552.0000,1,18.050399,-2.592593
146,2009-11-20,sh.600383,84.2015904500,90.1589992500,84.2015904500,87.7653975000,311853752,5123309172.0000,1,14.294726,4.562738
147,2009-11-27,sh.600383,88.5632647500,90.6377196000,79.7867250000,80.2122542000,546156216,8875378391.0000,1,25.034663,-8.606061
148,2009-12-04,sh.600383,81.1165037500,86.0632807000,79.5207692500,85.3186046000,495596798,7702995151.0000,1,22.717125,6.366048
149,2009-12-11,sh.600383,84.9994577000,89.8930435000,81.9143710000,82.5526648000,455225223,7351679344.0000,1,20.866576,-3.241895
150,2009-12-18,sh.600383,82.1803267500,83.4037232000,68.8825392500,70.2123180000,434149140,6291775371.0000,1,19.900492,-14.948454
151,2009-12-25,sh.600383,69.8399799500,72.2335817000,68.6165835000,71.5420967500,292729933,3877388198.0000,1,13.418130,1.893939
152,2009-12-31,sh.600383,71.5420967500,74.7335657500,69.2016861500,73.8293162000,281436577,3816438682.0000,1,12.900466,3.197026
153,2010-01-08,sh.600383,73.7761250500,74.0952719500,69.2016861500,71.1697587000,314284451,4194353085.0000,1,14.406145,-3.602305
154,2010-01-15,sh.600383,72.0740082500,72.4463463000,67.1272313000,70.8506118000,332018321,4353292390.0000,1,15.219028,-0.448430
155,2010-01-22,sh.600383,70.8506118000,72.3399640000,65.4251145000,65.9570260000,274569249,3593592477.0000,1,12.585682,-6.906907
156,2010-01-29,sh.600383,65.8506437000,66.4889375000,60.4783375500,62.8719393000,220143230,2613630387.0000,1,10.090907,-4.677419
157,2010-02-05,sh.600383,62.6059835500,66.8612755500,60.4783375500,63.0315127500,235932875,2861155481.0000,1,10.814672,0.253807
158,2010-02-12,sh.600383,63.2974685000,66.0102171500,61.4889694000,65.6378791000,116573607,1400573351.0000,1,5.343491,4.135021
159,2010-02-26,sh.600383,64.8932030000,68.3506277500,62.3932189500,67.6059516500,134519648,1656705337.0000,1,6.166100,2.998379
160,2010-03-05,sh.600383,67.2868047500,70.0527445500,65.2123499000,65.9038348500,200707297,2555362230.0000,1,9.200004,-2.517703
161,2010-03-12,sh.600383,66.2229817500,74.3612277000,65.4783056500,70.2655091500,552895546,7483803295.0000,1,25.343580,6.618241
162,2010-03-19,sh.600383,70.5314649000,75.6378153000,69.9995534000,74.2548454000,303997557,4185392123.0000,1,13.934615,5.677517
163,2010-03-26,sh.600383,74.6271834500,74.8931392000,70.9569941000,73.2974047000,187778646,2569339687.0000,1,8.607382,-1.289398
164,2010-04-02,sh.600383,73.6697427500,78.6165197000,72.8718755000,77.2335498000,254184828,3630082062.0000,1,11.651303,5.370102
165,2010-04-09,sh.600383,77.6590790000,77.8718436000,71.1697587000,72.3931551500,293036965,4034677383.0000,1,13.432204,-6.267218
166,2010-04-16,sh.600383,72.3399640000,72.3399640000,65.8506437000,67.4995693500,334886348,4335947710.0000,1,15.350493,-6.759735
167,2010-04-23,sh.600383,65.6910702500,65.7974525500,58.9357942000,62.1272632000,358596126,4152045800.0000,1,16.437300,-7.959023
168,2010-04-30,sh.600383,62.2868366500,66.4357463500,61.0634402000,64.6272472500,277791089,3349083097.0000,1,12.733365,4.023973
