,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600392,14.1711046200,14.6450034800,13.7277798800,14.6297164200,4411752,40596562.0000,1,6.425437,5.745856
1,2007-01-12,sh.600392,15.2870600000,18.0234437400,15.1341894000,16.1737094800,31922162,345151720.0000,1,46.492603,10.553814
2,2007-01-19,sh.600392,16.2807189000,18.8030838000,16.1278483000,18.5432037800,24701620,281752455.0000,1,35.976342,14.650284
3,2007-01-26,sh.600392,18.5432037800,19.9037521200,16.5253118600,17.3508131000,16517287,199291001.0000,1,24.056380,-6.430338
4,2007-02-02,sh.600392,17.5342578200,18.0845919800,16.5405989200,16.9074883600,12873023,146957268.0000,1,18.748741,-2.555066
5,2007-02-09,sh.600392,16.9074883600,18.1763143400,16.8310530600,17.5036837000,8392447,96843625.0000,1,12.223066,3.526221
6,2007-02-16,sh.600392,17.3508131000,19.8273168200,17.3049519200,19.0171026400,15043027,182310446.0000,1,21.909214,8.646288
7,2007-03-02,sh.600392,19.0782508800,19.9954744800,17.5801190000,17.9622955000,17134161,208493579.0000,1,24.954818,-5.546624
8,2007-03-09,sh.600392,19.2616956000,22.3649687800,19.2616956000,21.4783193000,40138518,544698306.0000,1,58.459204,19.574468
9,2007-03-16,sh.600392,21.3713098800,22.1509499400,20.4235121600,21.9216440400,18679018,260252845.0000,1,27.204804,2.064057
10,2007-03-23,sh.600392,21.4018840000,22.7471452800,20.9585592600,21.4783193000,16391064,235539498.0000,1,23.872544,-2.022315
11,2007-03-30,sh.600392,21.5547546000,24.2299901000,21.2795875200,22.3191076000,25943234,385420441.0000,1,37.784674,3.914591
12,2007-04-06,sh.600392,22.3191076000,23.6337947600,22.1815240600,23.5114982800,12746061,190419498.0000,1,18.563829,5.342466
13,2007-04-13,sh.600392,23.7102300600,25.3000843000,22.6401358600,24.1535548000,19680551,305233418.0000,1,28.663473,2.730819
14,2007-04-20,sh.600392,24.3064254000,26.0797243600,23.8325265400,25.9268537600,21280147,346552139.0000,1,30.993184,7.341772
15,2007-04-27,sh.600392,26.4466138000,26.7523550000,22.7165711600,23.2210441400,40932248,642614600.0000,1,59.615221,-10.436321
16,2007-04-30,sh.600392,23.5879335800,23.9242489000,23.2516182600,23.9242489000,8169414,126278664.0000,1,11.898233,3.028308
17,2007-05-11,sh.600392,24.4134348200,24.6121666000,22.6248488000,23.0375994200,21152193,324939855.0000,1,30.806827,-3.706070
18,2007-05-18,sh.600392,22.7318582200,24.1841289200,22.3955429000,23.4809241600,21338469,325498226.0000,1,31.078126,1.924353
19,2007-05-25,sh.600392,23.4809241600,25.0554913400,23.3280535600,23.7255171200,25882751,408401873.0000,1,37.696584,1.041667
20,2007-06-01,sh.600392,23.7866653600,24.8261854400,18.3291849400,18.3291849400,32507426,481510662.0000,1,47.345003,-22.744845
21,2007-06-08,sh.600392,18.7725096800,19.2005473600,16.1278483000,18.8030838000,24715068,294887749.0000,1,35.995928,2.585488
22,2007-06-15,sh.600392,18.7113614400,19.9037521200,17.7788507800,19.0782508800,22736969,284271349.0000,1,33.114952,1.463415
23,2007-06-22,sh.600392,19.2616956000,20.8974110200,18.3597590600,18.7419355600,22081171,288552023.0000,1,32.159824,-1.762821
24,2007-06-29,sh.600392,18.8948061600,19.1088250000,15.5928012000,16.0208388800,11591349,132601371.0000,1,16.882064,-14.518760
25,2007-07-06,sh.600392,15.9291165200,18.3750461200,15.8985424000,18.2680367000,5444218,61966317.0000,1,7.929158,14.026718
26,2007-07-13,sh.600392,18.2680367000,18.2680367000,18.2680367000,18.2680367000,0,0.0000,1,0.000000,0.000000
27,2007-07-20,sh.600392,18.2680367000,18.2680367000,18.2680367000,18.2680367000,0,0.0000,1,0.000000,0.000000
28,2007-07-27,sh.600392,18.2680367000,18.2680367000,18.2680367000,18.2680367000,0,0.0000,1,0.000000,0.000000
