,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600415,81.1520445600,81.9057787200,74.1695350500,74.4207797700,1903391,138271686.0000,1,3.318450,-8.270968
1,2007-01-12,sh.600415,74.3160944700,78.9222476700,73.4158008900,75.7816886700,8895840,648157210.0000,1,15.509374,1.828668
2,2007-01-19,sh.600415,75.7398145500,102.5915940000,75.3734160000,102.1414472100,6422122,546394056.0000,1,11.196592,34.783810
3,2007-01-26,sh.600415,104.1618735000,104.7376426500,81.9267157800,89.2337497200,9543788,832397967.0000,1,16.639033,-12.637081
4,2007-02-02,sh.600415,88.9825050000,88.9825050000,78.5244435300,78.8384994300,5804241,466291973.0000,1,10.119353,-11.649460
5,2007-02-09,sh.600415,78.2836673400,81.1311075000,75.3734160000,77.4566534700,7049764,527075467.0000,1,12.290849,-1.752755
6,2007-02-16,sh.600415,76.9436955000,86.9934843000,76.0015278000,86.0617851300,6308229,494591380.0000,1,10.998026,11.109609
7,2007-03-02,sh.600415,85.8419460000,86.0617851300,75.1954509900,75.3315418800,4184477,316111924.0000,1,7.295390,-12.468070
8,2007-03-09,sh.600415,76.1794928100,80.0633174400,72.2328570000,77.7707093700,3115068,228876612.0000,1,5.430938,3.237910
9,2007-03-16,sh.600415,77.7811779000,81.4137578100,76.4202690000,78.9745903200,3955375,296521892.0000,1,6.895964,1.547988
10,2007-03-23,sh.600415,77.9905485000,84.6904077000,76.6924507800,76.8390102000,5372177,407852896.0000,1,9.366075,-2.704136
11,2007-03-30,sh.600415,77.2682199300,81.4137578100,76.4621431200,79.8225412500,6368116,479726203.0000,1,11.102436,3.882834
12,2007-04-06,sh.600415,80.0842545000,89.6734279800,78.5244435300,89.4431203200,10604228,849680161.0000,1,18.487848,12.052459
13,2007-04-13,sh.600415,89.5059315000,92.0916584100,86.6794284000,88.6370435100,5626556,475533808.0000,1,9.809569,-0.901217
14,2007-04-20,sh.600415,88.6684491000,90.5527845000,84.7950930000,88.7731344000,3646096,307445170.0000,1,6.356754,0.153537
15,2007-04-27,sh.600415,88.9825050000,92.6464905000,79.5712965300,81.7173451800,6673580,552097791.0000,1,11.634994,-7.948113
16,2007-04-30,sh.600415,80.4820586400,84.2193238500,80.4820586400,83.8843308900,1065903,84802291.0000,1,1.858339,2.651806
17,2007-05-11,sh.600415,84.3763518000,86.3653725000,80.6076810000,84.8474356500,7392974,587635824.0000,1,12.889215,1.148134
18,2007-05-18,sh.600415,84.2716665000,89.9665468200,82.8898205400,88.7731344000,5685378,466488688.0000,1,9.912122,4.626774
