,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600438,27.7588568400,28.6765050000,26.4032402400,27.0706207200,5010088,65793901.0000,1,3.630499,-4.135894
1,2007-01-12,sh.600438,27.0706207200,29.4064524000,26.7160748400,26.8829199600,15925365,216058863.0000,1,11.540120,-0.693374
2,2007-01-19,sh.600438,26.8829199600,33.5775804000,26.4658071600,32.3470976400,27762749,409561982.0000,1,20.117934,20.325834
3,2007-01-26,sh.600438,32.6390766000,34.9749082800,29.5941531600,31.3668825600,21107678,330872646.0000,1,15.295419,-3.030303
4,2007-02-02,sh.600438,31.4920164000,32.9519112000,29.4898749600,31.2417487200,21098009,318254735.0000,1,15.288412,-0.398936
5,2007-02-09,sh.600438,31.8465622800,37.4567294400,31.8048510000,36.2262466800,20310221,335374704.0000,1,14.717551,15.954606
6,2007-02-16,sh.600438,36.0802572000,38.1658212000,35.8299895200,36.8102046000,10886297,194025174.0000,1,7.888621,1.611975
7,2007-03-02,sh.600438,37.1230392000,39.3754483200,31.6588615200,33.7652811600,18566373,309957191.0000,1,13.453893,-8.271955
8,2007-03-09,sh.600438,33.8904150000,39.3754483200,33.8904150000,38.2283881200,19039286,338974669.0000,1,12.323399,13.218036
9,2007-03-16,sh.600438,38.0615430000,38.8749129600,36.2471023200,37.9364091600,15842367,285080742.0000,1,10.254156,-0.763775
10,2007-03-23,sh.600438,36.7059264000,43.7551327200,36.4973700000,42.5872168800,15000736,289176483.0000,1,9.709401,12.259483
11,2007-03-30,sh.600438,42.7540620000,48.9898983600,42.7540620000,46.6540666800,14865195,332413794.0000,1,9.621670,9.549461
12,2007-04-06,sh.600438,46.7166336000,54.8711888400,46.7166336000,54.8711888400,12341929,300017221.0000,1,7.988457,17.612874
13,2007-04-13,sh.600438,55.2883016400,64.6316283600,53.3904384000,55.8305482800,28157727,757027262.0000,1,18.225416,1.748385
14,2007-04-20,sh.600438,56.3519392800,63.0674553600,55.2674460000,59.7305529600,24041501,670126159.0000,1,15.561141,6.985431
15,2007-04-27,sh.600438,60.4813560000,61.4615710800,55.7888370000,59.5219965600,28643459,808804125.0000,1,18.539812,-0.349162
16,2007-04-30,sh.600438,59.5219965600,59.5219965600,59.5219965600,59.5219965600,0,0.0000,1,0.000000,0.000000
17,2007-05-11,sh.600438,60.4813560000,65.3824314000,53.9118294000,57.2487318000,23318734,648138847.0000,1,15.093322,-3.819201
18,2007-05-18,sh.600438,56.3102280000,68.4064992000,54.6417768000,63.8599696800,35733708,1054447081.0000,1,23.129058,11.548270
19,2007-05-25,sh.600438,61.9412508000,69.2231745800,61.5449936400,67.8453912500,64654953,1167168390.0000,1,23.935179,6.240863
20,2007-06-01,sh.600438,68.8891665000,76.7383563800,60.3302094500,60.3719604600,113542912,1887856481.0000,1,36.745985,-11.015385
21,2007-06-08,sh.600438,58.7436710700,64.5053104500,48.8904327100,61.6244907600,71802542,983346659.0000,1,23.237515,2.074689
22,2007-06-15,sh.600438,62.6682660100,68.2629013500,60.1214544000,61.6244907600,66208769,1015961221.0000,1,21.427198,0.000000
23,2007-06-22,sh.600438,62.5430129800,66.8016160000,59.7039443000,61.2904826800,61537333,948351439.0000,1,19.915377,-0.542005
24,2007-06-29,sh.600438,61.5827397500,62.4177599500,45.8426089800,46.4688741300,42066197,533632790.0000,1,13.613918,-24.182561
25,2007-07-06,sh.600438,46.4271231200,49.6419508900,39.8722145500,44.5900786800,30504850,327429215.0000,1,9.872310,-4.043127
26,2007-07-13,sh.600438,44.8823357500,47.8884084700,43.0035403000,45.9678620100,22067279,241658165.0000,1,7.141652,3.089888
27,2007-07-20,sh.600438,45.9261110000,48.9321837200,41.7927610100,48.5146736200,20146807,222023306.0000,1,6.520128,5.540418
28,2007-07-27,sh.600438,48.5146736200,55.5288433000,48.5146736200,54.5685700700,42404253,538417883.0000,1,13.723323,12.478485
29,2007-08-03,sh.600438,54.4433170400,64.6723144900,54.2763130000,62.0420008600,81390031,1165471389.0000,1,26.340322,13.695486
30,2007-08-10,sh.600438,62.0420008600,62.9605230800,54.3180640100,55.9463534000,52720192,745767153.0000,1,17.061879,-9.825034
31,2007-08-17,sh.600438,54.6938231000,58.3679119800,53.0237827000,56.3221124900,31988123,427544491.0000,1,10.352342,0.671642
32,2007-08-24,sh.600438,57.4076387500,60.2049564200,56.4473655200,56.9901286500,38076159,529793140.0000,1,12.322618,1.186064
33,2007-08-31,sh.600438,57.1988837000,62.6265150000,55.1113332000,60.2049564200,68808559,971746477.0000,1,22.268570,5.641026
34,2007-09-07,sh.600438,60.9564746000,62.0002498500,58.0756549100,58.7436710700,53257632,767408578.0000,1,17.235811,-2.427184
