,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600487,11.3410927000,12.3549968400,11.3097348400,12.1250392000,6498870,72730376.0000,1,9.597014,8.108108
1,2007-01-12,sh.600487,12.1563970600,13.1180381000,11.8114606000,11.8741763200,19575155,234082776.0000,1,28.907030,-2.068966
2,2007-01-19,sh.600487,11.8741763200,13.8810793600,11.7591975000,13.6824795800,27371648,340084614.0000,1,40.420270,15.228873
3,2007-01-26,sh.600487,13.6406691000,15.8357193000,13.6093112400,14.4141629800,29177430,409992518.0000,1,43.086905,5.347594
4,2007-02-02,sh.600487,14.4559734600,15.6580247600,13.1493959600,13.6511217200,21473111,300707650.0000,1,31.709780,-5.293691
5,2007-02-09,sh.600487,13.8079110200,14.7904573000,13.5884060000,14.3828051200,10336802,140715650.0000,1,15.264566,5.359877
6,2007-02-16,sh.600487,14.3828051200,16.7137393800,14.3200894000,16.0343190800,14684631,218091739.0000,1,21.009426,11.482558
7,2007-03-02,sh.600487,15.7834562000,16.4942343600,14.1214896200,14.6859311000,18815324,272616586.0000,1,26.919243,-8.409387
8,2007-03-09,sh.600487,14.6336680000,15.3548987800,14.0169634200,14.8009099200,9853910,140021681.0000,1,14.098072,0.782918
9,2007-03-16,sh.600487,14.7904573000,15.6580247600,14.4246156000,15.2190147200,16901634,244318102.0000,1,24.181311,2.824859
10,2007-03-23,sh.600487,14.6023101400,16.0552243200,14.3723525000,15.3862566400,15630875,230198932.0000,1,22.363225,1.098901
11,2007-03-30,sh.600487,15.4907828400,16.2224662400,14.9576992200,15.1040359000,18126254,272189908.0000,1,25.933385,-1.834239
12,2007-04-06,sh.600487,15.1040359000,16.0238664600,15.0622254200,15.9506981200,13572497,202877190.0000,1,19.418286,5.605536
13,2007-04-13,sh.600487,16.0552243200,16.8287182000,15.5534985600,15.9402455000,26181990,403905374.0000,1,37.458795,-0.065531
14,2007-04-20,sh.600487,15.9402455000,17.2259177600,15.1876568600,15.9088876400,32787752,509026030.0000,1,46.909714,-0.196721
15,2007-04-27,sh.600487,16.0447717000,17.7694540000,15.9297928800,17.4454227800,31312579,497942009.0000,1,44.799172,9.658344
16,2007-04-30,sh.600487,17.4140649200,17.4140649200,16.9436970200,17.1736546600,7310282,120100518.0000,1,10.458882,-1.557819
17,2007-05-11,sh.600487,17.3304439600,18.1666535600,16.5360448400,16.8600760600,15941939,264842308.0000,1,22.119075,-1.825928
18,2007-05-18,sh.600487,16.4733291200,17.0377706000,15.7834562000,16.7137393800,18085916,286212863.0000,1,25.093793,-0.867948
19,2007-05-25,sh.600487,16.1806557600,18.1457483200,16.0029612200,18.0412221200,29259400,483056426.0000,1,40.596746,7.942464
20,2007-06-01,sh.600487,18.2398219000,21.8355231800,17.6022120800,17.6022120800,47617778,901469045.0000,1,66.068574,-2.433372
21,2007-06-08,sh.600487,17.6022120800,17.9785064000,14.2573736800,16.8287182000,26369007,409832104.0000,1,36.586392,-4.394299
22,2007-06-15,sh.600487,16.8914339200,19.0237684000,16.3688029200,18.6161162200,24417341,419951381.0000,1,33.878500,10.621118
23,2007-06-22,sh.600487,19.1805577000,19.3373470000,15.8566245400,16.1702031400,20084128,348674490.0000,1,27.866267,-13.138686
