,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600536,25.1904881400,25.3731750000,23.5463064000,24.2567553000,2532686,30283821.0000,1,3.522512,-3.395311
1,2007-01-12,sh.600536,24.4597407000,28.1946720600,24.1552626000,25.8400414200,12722102,164642493.0000,1,17.694161,6.527197
2,2007-01-19,sh.600536,26.0227282800,33.3910983000,26.0024297400,32.0513946600,16328879,237468152.0000,1,22.710541,24.037706
3,2007-01-26,sh.600536,32.2746786000,34.4669209200,30.9146764200,31.3409457600,11970874,192776052.0000,1,16.649338,-2.216593
4,2007-02-02,sh.600536,32.0716932000,35.4006537600,28.6006428600,29.1690019800,10135345,159026506.0000,1,14.096446,-6.930052
5,2007-02-09,sh.600536,29.0269122000,31.8078121800,29.0269122000,30.7319895600,4625626,69940703.0000,1,6.433416,5.358386
6,2007-02-16,sh.600536,30.4681085400,34.4466223800,29.9403465000,33.2693070600,12252691,191851566.0000,1,17.041295,8.256275
7,2007-03-02,sh.600536,33.2693070600,35.1164742000,29.5952713200,31.4424384600,9493214,148714323.0000,1,13.203357,-5.491153
8,2007-03-09,sh.600536,31.6048267800,34.1015472000,30.5493027000,33.4722924600,10205344,165079204.0000,1,14.193803,6.455778
9,2007-03-16,sh.600536,33.3302026800,38.1206581200,32.5182610800,37.2072238200,15071912,265622586.0000,1,20.962325,11.158278
10,2007-03-23,sh.600536,35.7457289400,39.7851384000,35.7457289400,37.2884179800,7755627,143772608.0000,1,10.786686,0.218221
11,2007-03-30,sh.600536,37.3493136000,40.2317062800,36.1314012000,36.9027457200,11100694,206957502.0000,1,15.439074,-1.034295
12,2007-04-06,sh.600536,36.5373720000,38.9731968000,35.4818479200,38.2830464400,7685207,139454362.0000,1,10.688744,3.740374
13,2007-04-13,sh.600536,38.3236435200,40.3737960600,36.5373720000,38.6484201600,17140894,320038985.0000,1,23.839908,0.954401
14,2007-04-20,sh.600536,38.8920026400,46.4633580600,37.7755829400,44.9003704800,22418680,457611312.0000,1,31.180362,16.176471
15,2007-04-27,sh.600536,44.6567880000,45.8544018600,40.3534975200,41.1857376600,20680946,443899691.0000,1,28.763485,-8.273056
16,2007-04-30,sh.600536,40.5970800000,41.9367836400,40.3940946000,41.2060362000,2752221,55733609.0000,1,3.827846,0.049285
17,2007-05-11,sh.600536,41.2263347400,43.0329048000,38.7499128600,40.4955873000,11820863,239138554.0000,1,16.440700,-1.724138
18,2007-05-18,sh.600536,40.4955873000,45.0221617200,40.4955873000,43.5606668400,22918519,490414418.0000,1,29.624644,7.568922
19,2007-05-25,sh.600536,41.7743953200,47.0926128000,40.8203639400,43.9666376400,21607775,473910141.0000,1,27.930367,0.931966
20,2007-06-01,sh.600536,44.2711157400,46.5242536800,34.6902048600,34.8119961000,20823089,428652012.0000,1,26.916076,-20.821791
21,2007-06-08,sh.600536,35.1570712800,36.2328939000,28.2149706000,34.2842340600,16310202,261633787.0000,1,21.082686,-1.516035
22,2007-06-15,sh.600536,34.4872194600,37.2681194400,32.3964698400,35.7051318600,14959724,259511393.0000,1,19.337048,4.144464
23,2007-06-22,sh.600536,35.7051318600,42.2209632000,34.8119961000,36.1516997400,15845638,303742181.0000,1,20.482187,1.250711
24,2007-06-29,sh.600536,36.1516997400,36.4358793000,28.6209414000,28.8848224200,11815933,185681686.0000,1,15.273361,-20.101067
25,2007-07-06,sh.600536,29.1284049000,30.4478100000,27.2250277200,29.9638818600,6614911,95014102.0000,1,8.550482,3.735727
26,2007-07-13,sh.600536,30.2704700100,31.6398970800,28.8192861000,30.3726660600,5792156,86269962.0000,1,7.486983,1.364256
27,2007-07-20,sh.600536,30.3726660600,32.1917557500,29.8003681800,31.9260460200,5052717,76435988.0000,1,6.531179,5.114401
28,2007-07-27,sh.600536,32.2530733800,34.3174335900,31.8851676000,33.6429396600,8111042,131370885.0000,1,10.484392,5.377721
29,2007-08-03,sh.600536,33.4385475600,34.8692922600,31.8851676000,33.2954730900,7957297,130961172.0000,1,10.285660,-1.032807
30,2007-08-10,sh.600536,33.3772299300,36.6270643200,32.3961478500,35.7481782900,12110195,203948177.0000,1,15.653726,7.366483
31,2007-08-17,sh.600536,35.0532451500,38.8344990000,34.7670962100,35.6051038200,15284865,272244703.0000,1,19.757328,-0.400229
32,2007-08-24,sh.600536,36.7496995800,37.8125385000,35.7686175000,36.8110172100,8970558,161465388.0000,1,11.595409,3.386912
33,2007-08-31,sh.600536,36.8110172100,38.0578090200,34.9510491000,37.0562877300,8490130,152403474.0000,1,10.974404,0.666297
34,2007-09-07,sh.600536,37.5059503500,40.0199731800,37.0358485200,37.7920992900,13056669,245009000.0000,1,16.877145,1.985659
35,2007-09-14,sh.600536,37.6285856100,37.9351737600,34.0926022800,35.0941235700,6866294,119606917.0000,1,8.875422,-7.138994
36,2007-09-21,sh.600536,34.8488530500,36.1774017000,34.2356767500,35.0736843600,6497103,111678536.0000,1,8.398203,-0.058241
37,2007-09-28,sh.600536,35.0736843600,35.3598333000,33.7655749200,34.7262177900,4846514,81829011.0000,1,6.264639,-0.990676
38,2007-10-12,sh.600536,35.1350019900,37.7103424500,32.0895597000,34.0721630700,8455425,148568301.0000,1,10.929544,-1.883461
39,2007-10-19,sh.600536,34.2356767500,41.2258865700,33.8268925500,36.7496995800,14013783,263809145.0000,1,18.114318,7.858428
40,2007-10-26,sh.600536,36.3817938000,36.3817938000,29.1258742500,30.4135444800,5954507,96816067.0000,1,7.696839,-17.241379
41,2007-11-02,sh.600536,30.5566189500,33.2137162500,29.8821250200,30.9245247300,3366274,51951774.0000,1,4.351270,1.680108
42,2007-11-09,sh.600536,30.9245247300,32.4574654800,29.9025642300,31.9669244400,2622050,40566830.0000,1,3.389281,3.370787
43,2007-11-16,sh.600536,31.0880384100,32.6005399500,30.1478347500,32.1304381200,2913447,44963097.0000,1,3.765943,0.511509
44,2007-11-23,sh.600536,32.1508773300,33.9290886000,31.8442891800,33.2137162500,5584048,90481717.0000,1,7.217981,3.371501
45,2007-11-30,sh.600536,33.3772299300,33.8882101800,30.6588150000,31.0880384100,3019031,47257008.0000,1,3.902421,-6.400000
46,2007-12-07,sh.600536,31.0471599900,32.6005399500,30.9654031500,32.4983439000,3029686,47137277.0000,1,3.916194,4.536489
47,2007-12-14,sh.600536,31.9260460200,34.7262177900,31.9260460200,33.7860141300,5617117,92094417.0000,1,7.260726,3.962264
48,2007-12-21,sh.600536,33.7042572900,36.0547664400,33.7042572900,35.3598333000,7319464,125105968.0000,1,9.461192,4.658197
49,2007-12-28,sh.600536,35.4824685600,38.1395658600,35.1554412000,36.7496995800,6356121,113753790.0000,1,8.215968,3.930636
50,2008-01-04,sh.600536,36.4226722200,39.4476753000,36.4226722200,38.7731813700,4073236,76431304.0000,1,5.265094,5.506118
51,2008-01-11,sh.600536,38.7731813700,39.6520674000,37.0154093100,38.3030795400,7274960,136950700.0000,1,9.403666,-1.212441
52,2008-01-18,sh.600536,38.2213227000,41.7981844500,36.7905780000,39.1206479400,8690395,167329685.0000,1,11.233268,2.134472
53,2008-01-25,sh.600536,39.3454792500,41.0828121000,34.1743591200,36.4839898500,7700983,138557913.0000,1,9.954347,-6.739812
54,2008-02-01,sh.600536,36.0752056500,36.7496995800,31.3946265600,32.2735125900,4833405,82031180.0000,1,6.247694,-11.540616
55,2008-02-05,sh.600536,32.9480065200,35.0532451500,32.9480065200,34.6240217400,1382633,23185598.0000,1,1.787201,7.283091
56,2008-02-15,sh.600536,34.1947983300,35.8708135500,33.7246965000,35.3189548800,1522819,26004079.0000,1,1.968407,2.007084
57,2008-02-22,sh.600536,35.4007117200,36.9949701000,34.8079746300,35.5437861900,3903030,69045633.0000,1,5.045085,0.636574
58,2008-02-29,sh.600536,35.6664214500,37.4037543000,34.1334807000,36.9540916800,3464302,60779817.0000,1,4.477982,3.967798
59,2008-03-07,sh.600536,36.6679427400,40.4696358000,36.1160840700,37.2402406200,7329047,137733361.0000,1,9.473579,0.774336
60,2008-03-14,sh.600536,37.3015582500,38.6096676900,34.9510491000,35.2985156700,3658805,65708035.0000,1,4.729398,-5.214050
61,2008-03-21,sh.600536,34.9510491000,35.2985156700,29.8412466000,33.0706417800,3845963,60836780.0000,1,4.971320,-6.311523
62,2008-03-28,sh.600536,33.6225004500,33.7246965000,29.6368545000,31.2719913000,2239754,34919524.0000,1,2.895122,-5.438813
63,2008-04-03,sh.600536,30.8632071000,30.8632071000,24.8745185700,25.9577967000,2467327,32809803.0000,1,3.189285,-16.993464
64,2008-04-11,sh.600536,25.7534046000,28.7375292600,25.3446204000,26.6936082600,3119694,41196345.0000,1,4.032539,2.834646
65,2008-04-18,sh.600536,25.9577967000,25.9782359100,22.6466446800,22.6670838900,2133040,25720538.0000,1,2.757183,-15.084227
66,2008-04-25,sh.600536,24.5270520000,27.8586432300,21.0523863000,27.8586432300,6794952,85335912.0000,1,8.783204,22.903517
67,2008-04-30,sh.600536,27.4907374500,29.4324624000,26.8775611500,29.0032389900,7458812,103905744.0000,1,9.641315,4.108584
68,2008-05-09,sh.600536,29.0645566200,31.1697952500,27.0206356200,29.4120231900,13941152,200502773.0000,1,18.020435,1.409443
69,2008-05-16,sh.600536,28.7579684700,30.2091523800,27.6338119200,29.1871918800,7418807,105815288.0000,1,9.081209,-0.764420
70,2008-05-23,sh.600536,28.8192861000,29.1871918800,24.7314441000,27.1228316700,5534805,72574837.0000,1,5.363501,-7.072829
71,2008-05-30,sh.600536,26.8775611500,28.7784076800,25.2833027700,28.7784076800,4836887,64523560.0000,1,4.687184,6.103994
72,2008-06-06,sh.600536,29.4324624000,31.8442891800,28.7579684700,29.6164152900,19196160,285129556.0000,1,18.602034,2.911932
73,2008-06-13,sh.600536,28.2061098000,28.2061098000,23.6277267600,23.7299228100,5685679,69581985.0000,1,5.509706,-19.875776
74,2008-06-20,sh.600536,23.5459699200,24.2204638500,20.7049197300,20.7049197300,4683791,50922113.0000,1,4.538826,-12.747631
75,2008-06-27,sh.600536,21.1954607700,23.4028954500,20.7457981500,21.3385352400,5233250,56554544.0000,1,5.071279,3.060217
76,2008-07-04,sh.600536,21.3385352400,23.5535775600,21.0523863000,23.0603089200,3955893,43264070.0000,1,3.833457,8.068880
77,2008-07-11,sh.600536,22.8753331800,25.0333834800,22.8342274600,24.3756919600,5454896,64607271.0000,1,5.286065,5.704100
78,2008-07-18,sh.600536,24.0057404800,24.8484077400,21.7654787400,23.2041789400,3179888,36306976.0000,1,3.081470,-4.806071
79,2008-07-25,sh.600536,23.4302604000,26.0610264800,22.9164389000,26.0610264800,5216257,63733617.0000,1,5.054812,12.311780
80,2008-08-01,sh.600536,27.2941980800,28.6712397000,24.1496105000,25.4033349600,21673187,285140005.0000,1,21.002396,-2.523659
81,2008-08-08,sh.600536,24.9717249000,25.6910750000,22.9575446200,22.9575446200,9009086,108344506.0000,1,8.730252,-9.627832
82,2008-08-15,sh.600536,22.9164389000,23.1836260800,18.6825497400,19.7101927400,5212604,51179493.0000,1,5.051272,-14.145031
83,2008-08-22,sh.600536,19.7307456000,20.0595913600,17.4904838600,18.3331511200,4362406,40033706.0000,1,4.227388,-6.986444
84,2008-08-29,sh.600536,18.6003383000,18.7031026000,16.0723365200,17.4082724200,3411285,28711418.0000,1,3.305705,-5.044843
85,2008-09-05,sh.600536,17.3466138400,17.4288252800,16.1956536800,16.4422880000,2515614,20562614.0000,1,2.437755,-5.548996
86,2008-09-12,sh.600536,16.3395237000,17.2027438200,15.7845964800,15.9490193600,3333312,26635699.0000,1,3.230145,-3.000000
87,2008-09-19,sh.600536,16.0312308000,16.0312308000,13.1332775400,15.3118807000,3062613,21984160.0000,1,2.967824,-3.994845
88,2008-09-26,sh.600536,16.3395237000,16.8533452000,15.0035878000,15.5585150200,5547701,42635651.0000,1,5.375998,1.610738
89,2008-10-10,sh.600536,15.5174093000,15.5174093000,13.0099603800,13.0099603800,3917527,27047415.0000,1,3.796278,-16.380449
90,2008-10-17,sh.600536,12.5783503200,13.7704162000,11.4068373000,11.6740244800,3598306,21705114.0000,1,3.486937,-10.268562
91,2008-10-24,sh.600536,11.4684958800,12.5989031800,11.4684958800,12.2083988400,2856900,16897931.0000,1,2.768478,4.577465
92,2008-10-31,sh.600536,12.0850816800,12.0850816800,10.8930158000,11.5712601800,2379286,13387930.0000,1,2.305646,-5.218855
93,2008-11-07,sh.600536,11.5712601800,11.9412116600,10.7696986400,11.8384473600,2128531,11718843.0000,1,2.062652,2.309059
94,2008-11-14,sh.600536,11.7356830600,13.5648876000,11.5096016000,13.5237818800,6747726,41748540.0000,1,6.538882,14.236111
95,2008-11-21,sh.600536,13.8320747800,14.2636848400,12.6605617600,13.6882047600,6978749,45949824.0000,1,6.762755,1.215805
96,2008-11-28,sh.600536,13.7704162000,14.0787091000,12.5989031800,13.0305132400,3990067,25663819.0000,1,3.866573,-4.804805
97,2008-12-05,sh.600536,13.1332775400,15.2502221200,12.9894075200,15.0446935200,10489481,73989762.0000,1,10.164829,15.457413
98,2008-12-12,sh.600536,15.2707749800,16.8122394800,15.1885635400,16.4422880000,6318709,49206886.0000,1,6.123143,9.289617
99,2008-12-19,sh.600536,16.4422880000,17.4699310000,14.9624820800,16.2162065400,8629580,66983377.0000,1,8.362492,-1.375000
100,2008-12-26,sh.600536,16.2162065400,16.5450523000,14.5103191600,16.4011822800,8115889,62809208.0000,1,7.864700,1.140684
101,2008-12-31,sh.600536,16.4217351400,19.7307456000,16.2367594000,18.5386797200,14229940,126179406.0000,1,13.789519,13.032581
102,2009-01-09,sh.600536,18.4564682800,19.0319483600,16.8533452000,17.7782239000,23873276,208459040.0000,1,23.134392,-4.101996
103,2009-01-16,sh.600536,17.6343538800,18.9291840600,17.0588738000,17.7782239000,16297315,143610641.0000,1,15.792909,0.000000
104,2009-01-23,sh.600536,18.0454110800,18.7853140400,17.6754596000,17.9220939200,10134422,89972827.0000,1,9.820759,0.809249
105,2009-02-06,sh.600536,18.0865168000,21.0666815000,17.8398824800,20.8817057600,20807017,203451413.0000,1,20.163034,16.513761
106,2009-02-13,sh.600536,20.8817057600,24.1701633600,20.4706485600,23.4713661200,18606355,195431926.0000,1,18.030483,12.401575
107,2009-02-20,sh.600536,24.2523748000,24.4579034000,21.2722101000,23.2658375200,19200534,216831314.0000,1,18.606272,-0.875657
108,2009-02-27,sh.600536,23.0192032000,23.9235290400,18.6619968800,18.8880783400,12869172,138240373.0000,1,12.470868,-18.816254
109,2009-03-06,sh.600536,18.7647611800,28.8973211600,18.5592325800,28.8973211600,33971345,410386766.0000,1,32.919923,52.992383
110,2009-03-13,sh.600536,27.7874667200,33.4806089400,26.9447994600,31.8158272800,41817819,622070254.0000,1,40.523546,10.099573
111,2009-03-20,sh.600536,31.2403472000,39.2354097400,30.9115014400,38.1255553000,27331425,481828354.0000,1,26.485510,19.832041
112,2009-03-27,sh.600536,37.4062052000,41.1057200000,36.1730336000,40.6124513600,22254974,421370113.0000,1,21.566176,6.522911
113,2009-04-03,sh.600536,40.6330042200,53.8690460600,38.4544010600,53.8690460600,24880712,570865503.0000,1,24.110647,32.641700
114,2009-04-10,sh.600536,53.8690460600,58.7400738800,50.1489784000,57.3835851200,45705657,1207030262.0000,1,44.291054,6.524227
115,2009-04-17,sh.600536,59.3566596800,69.6741954000,57.6507723000,63.6933131400,47292386,1455540546.0000,1,45.828674,10.995702
116,2009-04-24,sh.600536,60.6309370000,62.6862230000,54.2184446800,56.5614707200,31935620,910467525.0000,1,30.947204,-11.197160
117,2009-04-30,sh.600536,57.7740894600,60.3226441000,54.4856318600,58.9456024800,15032735,416822569.0000,1,14.567468,4.215116
118,2009-05-08,sh.600536,58.9044967600,64.5565332600,57.3424794000,58.1234880800,22081204,656216553.0000,1,21.397785,-1.394700
119,2009-05-15,sh.600536,57.6507723000,59.3566596800,55.3899577000,56.2120721000,15632760,434398582.0000,1,14.092710,-3.288543
120,2009-05-22,sh.600536,56.2737306800,58.1029352200,52.4303458600,54.8761362000,20931145,562552009.0000,1,12.975640,-2.376600
121,2009-05-27,sh.600536,53.4374360000,58.3701224000,52.8002973400,56.6436821600,9005905,247600949.0000,1,5.582942,3.220974
122,2009-06-05,sh.600536,55.3899577000,58.2262523800,54.5267375800,55.7599091800,18874206,516035010.0000,1,11.700502,-1.560232
123,2009-06-12,sh.600536,55.7599091800,56.2120721000,53.4168831400,54.7322661800,10593291,281175023.0000,1,6.566995,-1.842978
124,2009-06-19,sh.600536,55.2666405400,66.1596563400,55.2666405400,57.6507723000,39335744,1160026684.0000,1,24.385022,5.332332
125,2009-06-26,sh.600536,57.6507723000,58.4728867000,54.0540218000,55.1227705200,21407698,582750117.0000,1,13.271064,-4.385027
126,2009-07-03,sh.600536,55.0816648000,56.5409178600,53.4374360000,55.3899577000,16482646,438332046.0000,1,10.217925,0.484713
127,2009-07-10,sh.600536,54.8761362000,57.1163979400,53.4374360000,55.6776977400,19303472,513437958.0000,1,11.966612,0.519481
128,2009-07-17,sh.600536,55.6776977400,58.3495695400,54.3828675600,55.1429659800,27830461,760916371.0000,1,17.252665,-0.960399
129,2009-07-24,sh.600536,56.1298647000,60.2419427000,53.7037386800,54.1355068700,30880742,849192492.0000,1,19.143596,-1.826995
