,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600580,17.6578468000,17.6989115600,15.8304649800,16.6928249400,13208144,107295916.0000,1,9.824194,-4.800937
1,2007-01-12,sh.600580,16.6517601800,19.1361781600,16.6312278000,17.1445373000,26566299,232844921.0000,1,19.759966,2.706027
2,2007-01-19,sh.600580,17.1445373000,21.5589990000,17.1445373000,21.1278190200,31663623,301316160.0000,1,23.551347,23.233533
3,2007-01-26,sh.600580,21.2510133000,21.7232580400,18.1711563000,19.0745810200,20199173,201416223.0000,1,15.024109,-9.718173
4,2007-02-02,sh.600580,19.1977753000,20.9430276000,18.1095591600,19.0951134000,31554810,305270337.0000,1,23.470412,0.107643
5,2007-02-09,sh.600580,19.3004372000,22.9962656000,19.2183076800,22.2981646800,27657147,284794594.0000,1,20.571337,16.774194
6,2007-02-16,sh.600580,22.3802942000,24.6388560000,21.8875170800,23.5711722400,19456965,217519618.0000,1,14.472056,5.709024
7,2007-03-02,sh.600580,24.0639493600,25.0084388400,20.5529123800,21.3331428200,20654657,225675223.0000,1,15.362898,-9.494774
8,2007-03-09,sh.600580,21.1278190200,22.6882799000,20.9019628400,22.0107113600,14222508,152001958.0000,1,10.578676,3.176131
9,2007-03-16,sh.600580,22.0107113600,23.1194598800,21.2510133000,22.2160351600,25041481,269846441.0000,1,18.625810,0.932836
10,2007-03-23,sh.600580,21.4768694800,24.1666112600,21.0456895000,23.1194598800,27630255,307834337.0000,1,20.551335,4.066543
11,2007-03-30,sh.600580,23.2221217800,24.0023522200,21.7643228000,22.0723085000,28565629,318714839.0000,1,21.247065,-4.529307
12,2007-04-06,sh.600580,22.0723085000,24.6388560000,21.9491142200,24.3103379200,39401759,450778084.0000,1,29.306959,10.139535
13,2007-04-13,sh.600580,24.6388560000,26.6715616200,23.3863808200,25.5217483400,43372644,527818968.0000,1,32.260496,4.983108
14,2007-04-20,sh.600580,25.8913311800,28.0472310800,24.4129998200,26.0761226000,45569275,585847867.0000,1,33.894347,2.172164
15,2007-04-27,sh.600580,26.1787845000,28.5400082000,26.0761226000,27.5544539600,39668498,527876109.0000,1,29.505359,5.669291
16,2007-04-30,sh.600580,27.5544539600,27.5544539600,27.5544539600,27.5544539600,0,0.0000,1,0.000000,0.000000
17,2007-05-11,sh.600580,28.8069291400,29.0738500800,26.4251730600,27.5339215800,33709908,454476550.0000,1,25.073370,-0.074516
18,2007-05-18,sh.600580,27.4517920600,29.6692891000,26.8152882800,28.5605405800,49624359,677555367.0000,1,36.910511,3.728561
19,2007-05-25,sh.600580,27.7597777600,31.1065557000,27.4928568200,30.8191023800,42387901,614412422.0000,1,31.528046,7.907980
20,2007-06-01,sh.600580,31.8251890000,33.4713120000,24.7050160000,24.7505552000,43974590,579775881.0000,1,30.314073,-19.690863
21,2007-06-08,sh.600580,25.9573440000,28.2115344000,23.3388400000,27.6422944000,53935789,624303896.0000,1,36.470314,11.683533
22,2007-06-15,sh.600580,28.4620000000,31.1488128000,27.2552112000,29.3500144000,50794018,656706813.0000,1,34.345910,6.177924
23,2007-06-22,sh.600580,30.0558720000,33.0159200000,28.6896960000,28.7580048000,55154359,758703458.0000,1,37.294287,-2.017067
24,2007-06-29,sh.600580,29.1678576000,29.5549408000,21.9954336000,22.5191344000,31095718,349805498.0000,1,21.026309,-21.694378
25,2007-07-06,sh.600580,21.9043552000,24.3407024000,20.7658752000,22.7240608000,18097933,181023820.0000,1,12.237464,0.910010
26,2007-07-13,sh.600580,22.9972960000,23.6576144000,21.8360464000,22.0409728000,20620530,203959169.0000,1,10.270336,-3.006012
27,2007-07-20,sh.600580,22.0182032000,23.4071488000,20.9708016000,23.0883744000,18481393,179970815.0000,1,9.204909,4.752066
28,2007-07-27,sh.600580,23.2249920000,26.7998192000,23.1794528000,26.6176624000,33578570,363508746.0000,1,16.724264,15.285996
29,2007-08-03,sh.600580,26.6404320000,27.9610688000,25.5019520000,27.5967552000,38740088,459214903.0000,1,19.295028,3.678358
30,2007-08-10,sh.600580,28.0066080000,29.0084704000,24.9327120000,26.8453584000,33325105,405087634.0000,1,16.076997,-2.722772
31,2007-08-17,sh.600580,26.7315104000,27.1185936000,25.2742560000,26.1167312000,25421061,291232810.0000,1,11.974180,-2.714165
32,2007-08-24,sh.600580,26.7770496000,31.3309696000,26.2305792000,29.8509456000,52572261,675094145.0000,1,24.763314,14.298169
33,2007-08-31,sh.600580,30.4884944000,30.5568032000,27.5739856000,29.3044752000,29445450,373761678.0000,1,13.869803,-1.830664
34,2007-09-07,sh.600580,29.3727840000,33.1297680000,28.8263136000,31.3992784000,55331933,749319874.0000,1,26.063212,7.148407
35,2007-09-14,sh.600580,31.0121952000,34.5414832000,29.6004800000,33.1753072000,67102128,952038413.0000,1,31.607372,5.656273
36,2007-09-21,sh.600580,33.1069984000,36.1125856000,31.4220480000,32.5377584000,49274565,735889714.0000,1,23.209987,-1.921757
37,2007-09-28,sh.600580,32.6060672000,37.6609184000,32.6060672000,36.8412128000,49828735,773060810.0000,1,23.471020,13.226032
38,2007-10-12,sh.600580,37.5243008000,37.5243008000,29.2589360000,30.4884944000,44996531,663966281.0000,1,21.194888,-17.243511
39,2007-10-19,sh.600580,30.5568032000,31.5358960000,29.0312400000,29.2133968000,24414183,326788441.0000,1,11.499906,-4.182226
40,2007-10-26,sh.600580,29.0312400000,29.0312400000,24.7050160000,25.6158000000,18386261,218553268.0000,1,8.660551,-12.314887
41,2007-11-02,sh.600580,25.9118048000,29.2133968000,25.3197952000,26.0028832000,25711557,310115636.0000,1,12.111013,1.511111
42,2007-11-09,sh.600580,25.5474912000,29.6687888000,25.4564128000,27.8244512000,24804196,307799875.0000,1,11.683615,7.005254
43,2007-11-16,sh.600580,27.2552112000,29.0540096000,26.6859712000,27.5512160000,15201430,187198412.0000,1,7.160388,-0.981997
44,2007-11-23,sh.600580,27.7789120000,30.1697200000,27.3235200000,30.1469504000,28748584,370124158.0000,1,13.541556,9.421488
45,2007-11-30,sh.600580,30.5112640000,30.9438864000,28.4620000000,28.5530784000,17979313,232835883.0000,1,8.468865,-5.287009
46,2007-12-07,sh.600580,28.2343040000,29.6004800000,27.3235200000,29.4638624000,15376739,192705296.0000,1,7.242964,3.189793
47,2007-12-14,sh.600580,29.0767792000,32.5605280000,28.7352352000,32.0823664000,34764408,473559018.0000,1,16.375212,8.887172
48,2007-12-21,sh.600580,32.0823664000,33.1980768000,30.9666560000,32.9931504000,24833588,352042154.0000,1,11.697460,2.838893
49,2007-12-28,sh.600580,33.4257728000,34.2682480000,32.6516064000,32.6971456000,27216416,397875943.0000,1,12.819853,-0.897170
50,2008-01-04,sh.600580,32.9931504000,36.0215072000,32.9703808000,35.5205760000,18201466,278934998.0000,1,8.573506,8.635097
51,2008-01-11,sh.600580,35.8621200000,38.6400112000,35.2245712000,36.4996688000,43503906,705760393.0000,1,20.491812,2.756410
52,2008-01-18,sh.600580,36.2492032000,37.2966048000,32.4011408000,33.9039344000,26684364,411746321.0000,1,12.569238,-7.111666
53,2008-01-25,sh.600580,33.8128560000,33.8128560000,28.3709216000,30.6251120000,23479662,315750742.0000,1,11.059715,-9.670920
54,2008-02-01,sh.600580,30.6478816000,30.6478816000,26.5948928000,28.0066080000,15761508,198185539.0000,1,7.424203,-8.550186
55,2008-02-05,sh.600580,28.5986176000,33.0159200000,28.5986176000,31.7408224000,15505198,213269423.0000,1,7.303473,13.333333
56,2008-02-15,sh.600580,30.9894256000,32.0595968000,30.5112640000,31.2171216000,7179488,99049617.0000,1,3.381782,-1.649928
