,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600584,16.5252499500,17.9636495500,16.3291045500,17.6203951000,11536908,121761543.0000,1,6.631906,7.907908
1,2007-01-12,sh.600584,17.6857769000,20.5625761000,17.6857769000,18.1434495000,39086526,460733860.0000,1,22.468599,2.968460
2,2007-01-19,sh.600584,18.1107586000,21.8865575500,18.1107586000,21.5269576500,62783300,753953853.0000,1,36.090514,18.648649
3,2007-01-26,sh.600584,21.8375212000,23.0470845000,20.2683580000,21.1019759500,37653937,506238154.0000,1,21.645086,-1.974184
4,2007-02-02,sh.600584,21.1019759500,22.5567210000,19.4674309500,20.5789215500,30016175,386710792.0000,1,17.254574,-2.478699
5,2007-02-09,sh.600584,20.6606488000,22.0009757000,20.1866307500,21.2327395500,8904712,116157482.0000,1,5.118807,3.177125
6,2007-02-16,sh.600584,21.2327395500,21.2327395500,21.2327395500,21.2327395500,0,0.0000,1,0.000000,0.000000
7,2007-03-02,sh.600584,21.2327395500,21.2327395500,21.2327395500,21.2327395500,0,0.0000,1,0.000000,0.000000
8,2007-03-09,sh.600584,21.2327395500,21.2327395500,21.2327395500,21.2327395500,0,0.0000,1,0.000000,0.000000
9,2007-03-16,sh.600584,21.2327395500,23.3576480500,19.2876310000,19.4510855000,48661379,613516628.0000,1,27.070907,-8.391070
10,2007-03-23,sh.600584,18.9116856500,21.5759940000,18.7318857000,21.4942667500,47898992,591009271.0000,1,23.313454,10.504202
11,2007-03-30,sh.600584,21.6577212500,22.1971211000,19.9414490000,20.3991216000,46140493,600114864.0000,1,22.457555,-5.095057
12,2007-04-06,sh.600584,20.5952670000,22.0663575000,20.1866307500,21.9029030000,52265194,683625898.0000,1,25.438577,7.371795
13,2007-04-13,sh.600584,22.0500120500,23.9787751500,21.0039032500,22.8836300000,77808997,1074778728.0000,1,37.871286,4.477612
14,2007-04-20,sh.600584,24.0278115000,24.8123931000,22.0663575000,24.4691386500,90420200,1297972696.0000,1,44.009426,6.928571
15,2007-04-27,sh.600584,24.5181750000,25.2537202500,23.0634299500,23.2922662500,62123005,922289602.0000,1,30.236582,-4.809619
16,2007-04-30,sh.600584,22.9490118000,23.5374480000,22.8836300000,23.3249571500,10327460,146388742.0000,1,5.026593,0.140351
17,2007-05-11,sh.600584,23.6191752500,24.5508659000,22.5730664500,24.0931933000,52763684,762127918.0000,1,25.681202,3.293623
18,2007-05-18,sh.600584,24.0931933000,25.8258110000,23.0634299500,25.2537202500,56257158,852265234.0000,1,27.381550,4.816825
19,2007-05-25,sh.600584,24.3056841500,26.4796290000,23.7335934000,24.7143204000,76033724,1169175971.0000,1,37.007224,-2.135922
20,2007-06-01,sh.600584,24.5345204500,25.7277383000,19.7943399500,20.1702853000,79389999,1152814109.0000,1,38.640794,-18.386243
21,2007-06-08,sh.600584,20.4318125000,21.9029030000,18.9607220000,21.1346668500,51735308,658684048.0000,1,25.180670,4.781199
22,2007-06-15,sh.600584,21.1837032000,22.7201755000,20.1049035000,21.9192484500,46065000,612699735.0000,1,22.420811,3.712297
23,2007-06-22,sh.600584,22.3605756000,23.6845570500,19.5981945500,19.7616490500,47022835,636306999.0000,1,22.887010,-9.843400
24,2007-06-29,sh.600584,20.2356671000,20.7587215000,17.7838496000,19.1405219500,33037964,394794951.0000,1,16.080277,-3.143093
25,2007-07-06,sh.600584,19.5981945500,20.4318125000,17.8655768500,19.0424492500,20239638,240816671.0000,1,9.851060,-0.512383
26,2007-07-13,sh.600584,19.1241765000,20.2356671000,18.9607220000,19.4837764000,17523360,210446138.0000,1,8.528990,2.317597
27,2007-07-20,sh.600584,19.4183946000,20.0722126000,18.4703585000,19.9904853500,10422722,124540238.0000,1,5.072960,2.600671
28,2007-07-27,sh.600584,20.0231762500,21.4942667500,19.9087581000,21.2654304500,24838468,315437762.0000,1,12.089408,6.377760
29,2007-08-03,sh.600584,21.3961940500,22.2134665500,20.0885580500,20.7587215000,26326680,339084956.0000,1,12.813753,-2.382782
30,2007-08-10,sh.600584,20.9058305500,21.2490850000,19.2385946500,19.6145400000,19208756,239503478.0000,1,9.349308,-5.511811
31,2007-08-17,sh.600584,19.7126127000,23.8480115500,19.5818491000,22.8672845500,52170427,712805708.0000,1,25.392452,16.583333
32,2007-08-24,sh.600584,23.1288117500,25.2700657000,22.3932665000,24.5835568000,43410340,633025069.0000,1,21.128732,7.505361
33,2007-08-31,sh.600584,24.6979749500,25.3354475000,22.8836300000,23.6355207000,30811235,454906993.0000,1,14.996481,-3.856383
34,2007-09-07,sh.600584,23.6355207000,28.0324467500,23.6355207000,25.7931201000,60529690,964811690.0000,1,29.461082,9.128631
35,2007-09-14,sh.600584,25.5479383500,28.6045375000,25.3027566000,27.6401559500,46882804,776922968.0000,1,22.818853,7.160963
36,2007-09-21,sh.600584,27.5420832500,31.3178822000,27.2151742500,30.8765550500,49413772,879371843.0000,1,24.050729,11.709048
37,2007-09-28,sh.600584,30.6477187500,31.8082457000,28.6045375000,29.5198827000,26482587,487064335.0000,1,12.889636,-4.393859
38,2007-10-12,sh.600584,29.8304462500,30.1573552500,22.8836300000,23.7662843000,63046850,990322856.0000,1,30.686237,-19.490587
39,2007-10-19,sh.600584,23.8807024500,24.9104658000,22.8999754500,23.4230298500,53639731,786945895.0000,1,26.107593,-1.444292
40,2007-10-26,sh.600584,23.3739935000,24.3220296000,20.5952670000,21.3144668000,30408324,425009500.0000,1,14.800375,-9.002094
41,2007-11-02,sh.600584,21.4615758500,22.6874846000,20.8567942000,21.4452304000,31582712,420620896.0000,1,15.371975,0.613497
42,2007-11-09,sh.600584,21.1346668500,24.3547205000,20.9221760000,22.7365209500,25967893,360327011.0000,1,12.639123,6.021341
43,2007-11-16,sh.600584,22.5076846500,24.2239569000,21.9355939000,22.9980481500,29214266,417182757.0000,1,14.219202,1.150252
44,2007-11-23,sh.600584,22.7528664000,24.4854841000,22.5567210000,24.0605024000,19712589,283606309.0000,1,9.594534,4.619758
45,2007-11-30,sh.600584,24.6816295000,25.7440837500,23.3249571500,24.9921930500,45872902,692382689.0000,1,22.327313,3.872283
46,2007-12-07,sh.600584,24.7633567500,27.3786287500,24.7633567500,27.0190288500,42578481,686833163.0000,1,20.723848,8.109876
