,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600597,11.1671560000,11.4420398400,10.8235512000,11.4248596000,24338810,157824706.0000,1,9.054617,4.395604
1,2007-01-12,sh.600597,11.4420398400,12.5931159200,11.3904991200,11.3904991200,85142234,589299335.0000,1,31.674938,-0.300752
2,2007-01-19,sh.600597,11.3733188800,14.5344830400,11.3733188800,14.4142213600,167628549,1295866917.0000,1,62.361811,26.546003
3,2007-01-26,sh.600597,14.4657620800,14.9124483200,12.5759356800,13.1085231200,94532341,770194445.0000,1,35.168282,-9.058403
4,2007-02-02,sh.600597,13.1600638400,14.3970411200,12.3697728000,12.4384937600,63786299,498815412.0000,1,23.730022,-5.111402
5,2007-02-09,sh.600597,12.3354123200,13.4864884000,12.2323308800,13.2116045600,35031730,263829255.0000,1,13.032638,6.215470
6,2007-02-16,sh.600597,13.2116045600,14.3798608800,13.2116045600,14.0018956000,54693454,441964032.0000,1,20.347267,5.981795
7,2007-03-02,sh.600597,14.1565177600,15.5996579200,13.5723896000,14.9124483200,114058020,978864817.0000,1,42.432299,6.503067
8,2007-03-09,sh.600597,14.9639890400,16.6476525600,14.7750064000,16.2181465600,120067461,1120376413.0000,1,44.667954,8.755760
9,2007-03-16,sh.600597,16.3040477600,16.3212280000,14.9124483200,15.3419543200,67979644,620623103.0000,1,25.290046,-5.402542
10,2007-03-23,sh.600597,14.8437273600,16.6132920800,14.7406459200,16.1322453600,56643819,524748031.0000,1,21.072849,5.151176
11,2007-03-30,sh.600597,15.9260824800,17.0084376000,15.5137567200,16.0807046400,104205162,982093220.0000,1,38.766801,-0.319489
12,2007-04-06,sh.600597,16.2353268000,17.9189903200,16.0291639200,17.3520424000,104665853,1041044912.0000,1,38.938189,7.905983
13,2007-04-13,sh.600597,17.3520424000,19.7400957600,17.1802400000,19.3277700000,122400912,1307763197.0000,1,45.536054,11.386139
14,2007-04-20,sh.600597,19.4995724000,20.0149796000,17.9533508000,18.8810837600,112145269,1259641897.0000,1,41.720710,-2.311111
15,2007-04-27,sh.600597,18.8982640000,20.1008808000,18.2110544000,18.6405604000,70912888,796827368.0000,1,26.381283,-1.273885
16,2007-04-30,sh.600597,18.4515777600,19.0872466400,18.2110544000,18.8467232800,16615612,180584264.0000,1,6.181403,1.105991
17,2007-05-11,sh.600597,19.2418688000,20.5475670400,18.6577406400,19.6541945600,89009009,1022809004.0000,1,33.113471,4.284412
18,2007-05-18,sh.600597,19.1387873600,25.2377725600,18.9841652000,25.2377725600,206072375,2653876377.0000,1,76.663830,28.409091
19,2007-05-25,sh.600597,24.9113480000,28.6738205600,24.7051851200,27.1963199200,137068843,2136232379.0000,1,50.992873,7.760381
20,2007-06-01,sh.600597,27.4883840000,29.5500128000,22.0422479200,22.0422479200,129006745,1961418197.0000,1,47.993581,-18.951358
21,2007-06-08,sh.600597,22.1625096000,22.6779168000,17.8674496000,21.7594087200,100031550,1192705232.0000,1,37.214118,-1.283171
22,2007-06-15,sh.600597,22.1751936000,23.6997381600,20.4600809700,22.3137885600,93399698,1203818855.0000,1,34.746911,2.547771
23,2007-06-22,sh.600597,22.7295734400,23.5611432000,19.2646994400,19.5938624700,80200251,1029620374.0000,1,29.836403,-12.189441
24,2007-06-29,sh.600597,19.7497818000,20.1135935700,15.2627699700,16.1116641000,50431078,511907212.0000,1,18.761562,-17.771883
25,2007-07-06,sh.600597,15.9384204000,17.3243700000,14.5351464300,15.8864472900,30769988,285796336.0000,1,11.447168,-1.397849
