,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600600,17.4926855500,19.9827475500,17.4304340000,19.9578469300,24230611,367077175.0000,1,10.277856,15.406767
1,2007-01-12,sh.600600,19.9204960000,22.6346635800,19.4224836000,22.1117505600,43505848,740725835.0000,1,18.453800,10.792265
2,2007-01-19,sh.600600,22.1117505600,27.2163776600,21.6759897100,25.7845920100,40127083,813047841.0000,1,17.020635,16.610360
3,2007-01-26,sh.600600,26.0211479000,26.8055174300,22.4105580000,23.7178405500,29537216,588647597.0000,1,12.528750,-8.015451
4,2007-02-02,sh.600600,23.7676417900,24.9006200000,19.2979805000,19.8084432100,26595365,473317280.0000,1,11.280910,-16.482940
5,2007-02-09,sh.600600,19.3104308100,21.9872474600,19.2979805000,21.1655270000,22295141,370174536.0000,1,9.456891,6.851037
6,2007-02-16,sh.600600,21.1655270000,23.6431386900,21.1032754500,23.1824772200,21927857,389310355.0000,1,9.301101,9.529412
7,2007-03-02,sh.600600,23.2322784600,24.6391634900,19.7959929000,20.5305611900,28077015,498829211.0000,1,11.909379,-11.439313
8,2007-03-09,sh.600600,20.5430115000,21.1281760700,18.6754650000,20.6301636700,27643075,443155643.0000,1,11.725315,0.485143
9,2007-03-16,sh.600600,20.6301636700,21.9000952900,19.9951978600,20.4185084000,26123644,442898167.0000,1,11.080821,-1.025951
10,2007-03-23,sh.600600,19.1734774000,20.7671170800,19.0987755400,20.2193034400,37597300,609475258.0000,1,15.947582,-0.975610
11,2007-03-30,sh.600600,20.3687071600,22.1615518000,20.1819525100,21.2277785500,57219671,964435521.0000,1,24.270769,4.987685
12,2007-04-06,sh.600600,21.2900301000,24.1536014000,21.0534742100,23.4065828000,53705454,970848549.0000,1,22.780149,10.263930
13,2007-04-13,sh.600600,23.2820797000,23.9917473700,22.1366511800,23.4439337300,47000699,870057872.0000,1,19.936205,0.159574
14,2007-04-20,sh.600600,23.4439337300,24.5271107000,22.1989027300,23.9419461300,63278903,1212121455.0000,1,26.840903,2.124270
15,2007-04-27,sh.600600,24.4026076000,25.9464460400,23.8423436500,23.8921448900,47990258,953969025.0000,1,20.355945,-0.208008
16,2007-04-30,sh.600600,23.6555890000,24.1660517100,23.5061852800,24.1038001600,8653204,165257091.0000,1,3.670415,0.885878
17,2007-05-11,sh.600600,24.3901572900,24.8757193800,23.0704244300,23.4190331100,36976088,711573647.0000,1,15.684083,-2.840909
18,2007-05-18,sh.600600,23.0330735000,25.7223404600,22.4105580000,24.8383684500,55019469,1069953571.0000,1,23.337513,6.060606
19,2007-05-25,sh.600600,23.8921448900,27.4653838600,23.6680393100,26.7308155700,57020833,1202006597.0000,1,24.186428,7.619048
20,2007-06-01,sh.600600,27.3906820000,33.5784860700,27.0794242500,31.5739861600,75486761,1827246258.0000,1,32.019089,18.118305
21,2007-06-08,sh.600600,30.8892191100,31.1257750000,25.6227379800,30.4783588800,35539585,820188992.0000,1,15.074764,-3.470032
22,2007-06-15,sh.600600,31.1880265500,37.2264269000,31.1880265500,35.6327872200,46903357,1278630336.0000,1,19.894916,16.911765
