,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600737,79.6207365900,79.6207365900,79.6207365900,79.6207365900,0,0.0000,1,0.000000,0.000000
1,2007-01-12,sh.600737,79.6207365900,79.6207365900,79.6207365900,79.6207365900,0,0.0000,1,0.000000,0.000000
2,2007-01-19,sh.600737,79.6207365900,79.6207365900,79.6207365900,79.6207365900,0,0.0000,1,0.000000,0.000000
3,2007-01-26,sh.600737,79.6207365900,104.4691736400,79.6207365900,92.3093001900,105606013,957044957.0000,1,25.993085,15.936255
4,2007-02-02,sh.600737,94.1068467000,107.9585286300,91.9920861000,107.8527906000,85720355,825112379.0000,1,21.098576,16.838488
5,2007-02-09,sh.600737,111.0249315000,113.2454301300,97.2789876000,100.5568665300,43720614,427119234.0000,1,10.761069,-6.764706
6,2007-02-16,sh.600737,100.5568665300,110.1790272600,99.9224383500,106.1609821200,38802878,380711257.0000,1,9.550654,5.573081
7,2007-03-02,sh.600737,107.7470525700,109.9675512000,94.4240607900,100.9798186500,52316549,511167908.0000,1,12.876810,-4.880478
8,2007-03-09,sh.600737,101.0855566800,107.5355765100,94.3183227600,94.6355368500,56605772,530640570.0000,1,13.932527,-6.282723
9,2007-03-16,sh.600737,94.3183227600,115.0429766400,91.4633959500,105.7380300000,106777990,1069042321.0000,1,26.281547,11.731844
10,2007-03-23,sh.600737,100.4511285000,120.5413542000,99.3937482000,120.5413542000,102662780,1069595411.0000,1,25.268660,14.000000
11,2007-03-30,sh.600737,121.5987345000,125.9339937300,112.0823118000,115.3601907300,101324718,1150983138.0000,1,24.939319,-4.298246
12,2007-04-06,sh.600737,115.3601907300,126.8856360000,113.7741202800,118.3208555700,172256987,1925705759.0000,1,42.398064,2.566453
13,2007-04-13,sh.600737,116.3118330000,119.9069260200,108.1700046900,110.9191934700,168301361,1802649655.0000,1,41.424456,-6.255585
14,2007-04-20,sh.600737,110.4962413500,120.5413542000,107.2183624200,111.9765737700,146584716,1589626580.0000,1,36.079281,0.953289
15,2007-04-27,sh.600737,113.1396921000,124.3479232800,112.0823118000,116.6290470900,163402064,1840872765.0000,1,40.218579,4.154863
16,2007-04-30,sh.600737,116.1003569400,122.6561148000,114.8315005800,120.4356161700,33555212,380761477.0000,1,8.259032,3.263826
17,2007-05-11,sh.600737,122.2331626800,141.4774841400,120.7528302600,129.1061346300,167627923,2090480964.0000,1,41.258701,7.199298
18,2007-05-18,sh.600737,126.8856360000,148.6676701800,122.6561148000,143.4865067100,165512125,2154684373.0000,1,40.737934,11.138411
