,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600764,28.9617916000,29.8744531000,28.0491301000,29.3268562000,7821483,37497668.0000,1,5.666658,1.902748
1,2007-01-12,sh.600764,29.2660121000,35.0462016000,29.0834798000,30.9088028000,57937334,305070724.0000,1,41.975553,5.394191
2,2007-01-19,sh.600764,30.9088028000,35.3504221000,30.9088028000,34.8636693000,50006024,274085421.0000,1,36.229325,12.795276
3,2007-01-26,sh.600764,34.9853575000,38.5143153000,32.4299053000,34.3769165000,61246111,365342245.0000,1,44.372760,-1.396161
4,2007-02-02,sh.600764,34.5594488000,36.9323687000,32.4299053000,33.8293196000,44497866,255844034.0000,1,32.238669,-1.592920
5,2007-02-09,sh.600764,34.1943842000,38.3317830000,33.4642550000,36.6281482000,36327472,217110783.0000,1,26.319225,8.273381
6,2007-02-16,sh.600764,36.6281482000,41.3739880000,36.2022395000,39.8528855000,49542995,315134100.0000,1,35.893861,8.803987
7,2007-03-02,sh.600764,40.0354178000,42.2258054000,36.2022395000,38.2709389000,46226091,294730048.0000,1,33.490767,-3.969466
8,2007-03-09,sh.600764,38.3926271000,43.5035315000,37.2365892000,41.5565203000,68524430,465923766.0000,1,49.645896,8.585056
9,2007-03-16,sh.600764,41.5565203000,45.5113868000,41.4348321000,41.9215849000,64393933,459771101.0000,1,42.887049,0.878477
10,2007-03-23,sh.600764,40.1571060000,46.0589837000,39.9137296000,45.2071663000,61056119,438155770.0000,1,40.664029,7.837446
11,2007-03-30,sh.600764,46.3023601000,49.6487856000,43.8685961000,48.0059949000,77592554,596243446.0000,1,51.677472,6.191117
12,2007-04-06,sh.600764,48.0668390000,49.5270974000,46.9108011000,47.9451508000,48217638,382311031.0000,1,32.113463,-0.126743
13,2007-04-13,sh.600764,48.4319036000,53.9687167000,46.4240483000,51.5349527000,71294051,588894779.0000,1,47.482601,7.487310
14,2007-04-20,sh.600764,51.5349527000,57.0717658000,50.0746943000,55.1855987000,53307692,470994058.0000,1,35.503493,7.083825
15,2007-04-27,sh.600764,56.1591043000,65.7116280000,56.1591043000,62.1826702000,68943335,702586557.0000,1,45.916999,12.679162
16,2007-04-30,sh.600764,62.0001379000,64.1296814000,61.0874764000,63.5212404000,10368127,107126030.0000,1,6.905284,2.152642
17,2007-05-11,sh.600764,64.8598106000,71.3092852000,60.9657882000,70.2749355000,52692912,576125659.0000,1,35.094043,10.632184
18,2007-05-18,sh.600764,68.6321448000,80.0099915000,67.4152628000,79.1581741000,67239805,823126218.0000,1,44.782430,12.640693
19,2007-05-25,sh.600764,75.7509045000,92.2396556000,74.8990871000,91.5703705000,67892293,964589529.0000,1,45.216994,15.680246
20,2007-06-01,sh.600764,95.0993283000,112.3182086000,92.7872525000,92.9697848000,84033312,1386111288.0000,1,55.967085,1.528239
21,2007-06-08,sh.600764,91.0227736000,91.0836177000,74.8382430000,88.1022568000,62967009,850752715.0000,1,41.936702,-5.235602
22,2007-06-15,sh.600764,89.4408270000,100.5752973000,87.3112835000,89.7450475000,62764961,962759442.0000,1,41.802136,1.864641
23,2007-06-22,sh.600764,91.2661500000,100.3927650000,88.8932301000,89.0149183000,75869706,1176503575.0000,1,50.530036,-0.813559
24,2007-06-29,sh.600764,90.3534885000,93.0306289000,61.0874764000,61.0874764000,51433426,603438166.0000,1,34.255212,-31.373889
25,2007-07-06,sh.600764,60.2356590000,62.6085789000,48.8578123000,54.6380018000,38708972,356437123.0000,1,25.780590,-10.557769
26,2007-07-13,sh.600764,54.5771577000,58.4103360000,52.2042378000,53.9078726000,31015017,280056774.0000,1,20.656333,-1.336303
27,2007-07-20,sh.600764,53.9078726000,55.2464428000,47.2758657000,55.0639105000,25683242,215999120.0000,1,17.105314,2.144470
28,2007-07-27,sh.600764,55.1855987000,66.8068218000,55.1855987000,65.5899398000,45138071,455019422.0000,1,30.062438,19.116022
29,2007-08-03,sh.600764,65.8941603000,67.9020156000,59.6272180000,62.3652025000,36154921,380213554.0000,1,24.079564,-4.916512
30,2007-08-10,sh.600764,62.6694230000,72.2219467000,62.3652025000,66.1983808000,51809285,575893075.0000,1,34.505538,6.146341
31,2007-08-17,sh.600764,66.9893541000,69.9098709000,64.7989665000,67.4152628000,26713925,295090157.0000,1,17.791760,1.838235
