,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600809,43.1524493400,44.2375206000,39.9250579000,40.3980376800,5810408,175620010.0000,1,5.697043,-6.292352
1,2007-01-12,sh.600809,40.0641696000,55.1717002200,39.1182100400,55.1717002200,14754370,476287000.0000,1,14.466502,36.570248
2,2007-01-19,sh.600809,59.8180310000,63.9913820000,54.9491215000,63.9774708300,11701367,494040690.0000,1,11.473065,15.960666
3,2007-01-26,sh.600809,63.8244479600,66.0780575000,53.2519587600,57.6061549700,12877947,545758128.0000,1,12.626689,-9.958687
4,2007-02-02,sh.600809,57.6617996500,57.6617996500,51.2070167700,52.5007555800,5617523,222337341.0000,1,5.507921,-8.862594
5,2007-02-09,sh.600809,52.1668875000,57.0357970000,50.1497678500,55.1995225600,2994072,114249230.0000,1,2.935655,5.140435
6,2007-02-16,sh.600809,55.1995225600,57.5922438000,52.2086210100,53.3632481200,6313511,247250470.0000,1,6.190330,-3.326613
7,2007-03-02,sh.600809,52.8624460000,52.8902683400,43.1385381700,47.3258003400,14966229,505837697.0000,1,14.674227,-11.313869
8,2007-03-09,sh.600809,47.2840668300,50.9148822000,44.6548557000,48.4108716000,8053713,280066702.0000,1,7.896579,2.292769
9,2007-03-16,sh.600809,48.2717599000,48.2717599000,43.2637387000,44.4600993200,10927645,358475386.0000,1,10.714439,-8.160920
10,2007-03-23,sh.600809,43.0550711500,45.6147264300,42.8464036000,44.5018328300,16536485,523967499.0000,1,16.213846,0.093867
11,2007-03-30,sh.600809,44.5852998500,46.8528205600,43.9592972000,44.7800562300,19023677,620976315.0000,1,18.652511,0.625195
12,2007-04-06,sh.600809,45.2113025000,50.3167018900,43.9592972000,49.2733641400,26334303,883504873.0000,1,25.820502,10.034172
13,2007-04-13,sh.600809,49.8298109400,53.3910704600,47.0197546000,51.8747529300,30194138,1078643828.0000,1,29.605028,5.279503
14,2007-04-20,sh.600809,52.1668875000,53.8084055600,46.8528205600,48.8282067000,25312927,919452589.0000,1,24.819053,-5.872888
15,2007-04-27,sh.600809,48.6890950000,50.7757705000,44.6548557000,45.4895259000,19044804,662117321.0000,1,18.673226,-6.837607
16,2007-04-30,sh.600809,44.9191679300,46.4633078000,44.0288530500,45.9485945100,4849895,157473748.0000,1,4.755270,1.009174
17,2007-05-11,sh.600809,46.7415312000,47.8961583100,44.7661450600,45.1417466500,17886109,591770520.0000,1,13.169075,-1.755979
18,2007-05-18,sh.600809,44.9330791000,53.1406694000,44.6548557000,52.5285779200,27871486,991738691.0000,1,18.380508,16.363636
19,2007-05-25,sh.600809,49.3846535000,53.8640502400,49.3846535000,52.5981337700,22904802,846000532.0000,1,15.105111,0.132415
20,2007-06-01,sh.600809,52.9180906800,58.7051374000,48.5221609600,55.3803677700,34544350,1367659049.0000,1,22.781085,5.289606
21,2007-06-08,sh.600809,54.3370300200,54.9491215000,44.9330791000,54.3024166500,21389907,779283028.0000,1,14.106078,-1.946473
22,2007-06-15,sh.600809,55.9082468700,60.5567027700,53.7812261400,56.4012649200,25512586,1043788550.0000,1,16.824876,3.865110
23,2007-06-22,sh.600809,56.7675069000,59.7256152000,53.5276740000,54.5418825600,16031580,650299732.0000,1,10.572403,-3.296703
24,2007-06-29,sh.600809,54.4010202600,55.6406085000,46.4563865400,47.3015603400,17353733,637203312.0000,1,11.444328,-13.274793
25,2007-07-06,sh.600809,47.2593016500,51.4569981900,45.6112127400,49.0200804000,9873017,343506565.0000,1,6.510994,3.633115
26,2007-07-13,sh.600809,49.0200804000,52.7951900400,47.0480082000,47.3719914900,8885150,313211559.0000,1,5.859521,-3.362069
27,2007-07-20,sh.600809,47.4001639500,49.1045977800,46.2028344000,48.7383558000,7156903,240588607.0000,1,4.719788,2.884329
28,2007-07-27,sh.600809,48.5974935000,50.7104280000,48.5974935000,49.3018050000,14501716,512526487.0000,1,9.563498,1.156069
