,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600873,5.4673088400,5.5974828600,5.2792797000,5.5974828600,1635868,6123215.0000,1,2.451295,2.380952
1,2007-01-12,sh.600873,5.5396277400,6.1471065000,5.5107001800,5.7565844400,12024705,48896202.0000,1,18.018628,2.842377
2,2007-01-19,sh.600873,5.6842655400,6.3062080800,5.6842655400,6.2772805200,13287481,55505572.0000,1,19.910857,9.045226
3,2007-01-26,sh.600873,6.3206718600,6.6967301400,5.8578309000,6.1181789400,16590317,73076539.0000,1,24.860049,-2.534562
4,2007-02-02,sh.600873,6.2194254000,7.1451073200,6.1760340600,6.8847592800,28417979,131678782.0000,1,42.583415,12.529551
5,2007-02-09,sh.600873,6.9570781800,8.2298908200,6.6678025800,7.7815136400,26484821,134903936.0000,1,39.686641,13.025210
6,2007-02-16,sh.600873,7.8104412000,8.2154270400,7.6368758400,8.0273979000,19343121,106284184.0000,1,28.985036,3.159851
7,2007-03-02,sh.600873,8.0418616800,8.7795144600,7.4488467000,7.8972238800,17775898,98694581.0000,1,26.636604,-1.621622
8,2007-03-09,sh.600873,7.9116876600,8.6782680000,7.7091947400,8.4034561800,19907762,114875441.0000,1,29.831132,6.410256
9,2007-03-16,sh.600873,8.4034561800,9.1121814000,8.3456010600,8.6782680000,19597388,119178696.0000,1,29.366047,3.270224
10,2007-03-23,sh.600873,8.5047026400,9.5316310200,8.3889924000,9.4303845600,16282204,102607600.0000,1,24.398352,8.666667
11,2007-03-30,sh.600873,9.5460948000,11.5710240000,9.5460948000,10.3994578200,32270001,240496845.0000,1,48.355544,10.276074
12,2007-04-06,sh.600873,10.3416027000,11.1081830400,10.1246460000,10.9201539000,17212544,126196287.0000,1,25.792436,5.006954
13,2007-04-13,sh.600873,10.9635452400,11.5710240000,10.7321247600,10.9490814600,23779218,183127458.0000,1,35.632383,0.264901
14,2007-04-20,sh.600873,10.9924728000,12.1929665400,10.8189074400,11.6722704600,27269726,217944360.0000,1,40.862795,6.605020
15,2007-04-27,sh.600873,11.6722704600,13.7405910000,11.6722704600,12.9161555400,23098801,208124290.0000,1,34.612800,10.656753
16,2007-04-30,sh.600873,12.7281264000,12.8872279800,12.3231405600,12.6991988400,4334187,37898185.0000,1,6.494638,-1.679731
17,2007-05-11,sh.600873,12.8727642000,13.7116634400,12.5834886000,13.3500689400,22523940,206120667.0000,1,33.751390,5.125285
18,2007-05-18,sh.600873,13.0174020000,14.4203886600,12.6702712800,13.9141563600,26381180,246874494.0000,1,39.531338,4.225352
19,2007-05-25,sh.600873,13.4223878400,15.6642737400,13.3066776000,14.9990836800,31851640,327623138.0000,1,47.728644,7.797271
20,2007-06-01,sh.600873,15.0714730800,16.0849246800,11.4085694400,11.4085694400,26316934,258711760.0000,1,39.435068,-23.938224
21,2007-06-08,sh.600873,11.2348348800,11.2637906400,9.2368874400,11.0611003200,21162745,152424093.0000,1,28.172658,-3.045685
22,2007-06-15,sh.600873,11.0611003200,12.3061980000,10.1345160000,11.8139500800,23071739,183457390.0000,1,27.770923,6.806283
23,2007-06-22,sh.600873,11.8718616000,12.3496316400,10.4240736000,10.4385514800,17880609,144323700.0000,1,21.522479,-11.642157
24,2007-06-29,sh.600873,10.3082505600,10.6412418000,8.0497012800,8.2523916000,12434188,79676239.0000,1,14.966747,-20.943135
25,2007-07-06,sh.600873,8.3103031200,9.2658432000,8.2668694800,9.1210644000,9637794,58045073.0000,1,11.600792,10.526316
26,2007-07-13,sh.600873,9.1934538000,10.6267639200,9.0486750000,9.9028699200,19672805,135916423.0000,1,23.679704,8.571429
27,2007-07-20,sh.600873,9.9028699200,9.9752593200,8.7012058800,9.7146574800,7532887,49152269.0000,1,9.067163,-1.900585
28,2007-07-27,sh.600873,9.7146574800,11.4520030800,9.7146574800,11.4085694400,21466248,161800460.0000,1,25.838430,17.436662
29,2007-08-03,sh.600873,11.2637906400,12.2627643600,11.0176666800,11.6402155200,20965920,166879559.0000,1,25.236197,2.030457
30,2007-08-10,sh.600873,11.6981270400,12.2193307200,10.5688524000,10.8439321200,12979841,103539033.0000,1,15.623537,-6.840796
31,2007-08-17,sh.600873,10.8004984800,11.8429058400,10.5398966400,11.2493127600,9455875,72993122.0000,1,11.381820,3.738318
32,2007-08-24,sh.600873,11.5099146000,12.0166404000,11.4375252000,11.7270828000,14923418,121048347.0000,1,17.962976,4.247104
33,2007-08-31,sh.600873,11.8429058400,12.2338086000,11.2927464000,11.8863394800,15293506,124441363.0000,1,18.408442,1.358025
34,2007-09-07,sh.600873,12.0745519200,17.0115090000,11.9442510000,17.0115090000,74129273,753179682.0000,1,89.227705,43.118149
35,2007-09-14,sh.600873,17.3734560000,18.6764652000,14.9122164000,17.1852435600,61737557,716744000.0000,1,74.312081,1.021277
36,2007-09-21,sh.600873,17.5182348000,20.7033684000,16.7653850400,17.2141993200,48013856,609662038.0000,1,57.793177,0.168492
37,2007-09-28,sh.600873,17.1997214400,18.0249606000,16.2152256000,17.6340578400,20001364,236932667.0000,1,24.075183,2.439024
38,2007-10-12,sh.600873,17.9815269600,18.0828721200,13.7829417600,14.5213136400,18911729,207755033.0000,1,22.763614,-17.651888
39,2007-10-19,sh.600873,14.7384818400,16.6495620000,14.4778800000,14.7674376000,13241831,140670282.0000,1,15.938888,1.694915
40,2007-10-26,sh.600873,14.4778800000,15.0280394400,12.1035076800,12.5088883200,8624824,81037179.0000,1,10.381503,-15.294118
41,2007-11-02,sh.600873,12.3351537600,13.5512956800,11.7994722000,11.8429058400,12043101,104690023.0000,1,14.496004,-5.324074
42,2007-11-09,sh.600873,11.6257376400,13.0156141200,11.6257376400,12.5667998400,9281121,79670370.0000,1,11.171472,6.112469
43,2007-11-16,sh.600873,12.4364989200,13.7395081200,12.2338086000,12.9721804800,13099190,119300223.0000,1,15.767195,3.225806
44,2007-11-23,sh.600873,12.8853132000,13.7105523600,11.6546934000,12.1758970800,7327952,65264680.0000,1,8.820488,-6.138393
45,2007-11-30,sh.600873,12.2482864800,12.7405344000,11.9876846400,12.0745519200,4640345,39477320.0000,1,5.585477,-0.832342
46,2007-12-07,sh.600873,12.1469413200,14.4054906000,12.0890298000,13.5657735600,14137925,131464565.0000,1,17.017496,12.350120
47,2007-12-14,sh.600873,13.3920390000,14.3186233200,12.9142689600,13.4789062800,12032211,114208778.0000,1,14.482896,-0.640342
48,2007-12-21,sh.600873,13.5368178000,14.4634021200,13.3051717200,14.3910127200,10691826,102956127.0000,1,12.869506,6.766917
49,2007-12-28,sh.600873,14.4778800000,15.5058094800,14.3475790800,14.7674376000,19122921,198054698.0000,1,23.017821,2.615694
50,2008-01-04,sh.600873,14.7529597200,15.9111901200,14.6226588000,15.6216325200,7272897,77449813.0000,1,8.754219,5.784314
51,2008-01-11,sh.600873,15.5637210000,16.7943408000,15.2017740000,15.7808892000,12822505,141433650.0000,1,15.434155,1.019462
52,2008-01-18,sh.600873,15.7808892000,17.9236154400,15.7374555600,16.9535974800,19383864,225607416.0000,1,23.331912,7.431193
53,2008-01-25,sh.600873,16.9535974800,17.5471905600,13.4933841600,14.6371366800,16111218,168832284.0000,1,19.392704,-13.663535
54,2008-02-01,sh.600873,14.6660924400,15.3320749200,12.6826228800,12.8418795600,17538284,170683336.0000,1,21.110430,-12.265084
55,2008-02-05,sh.600873,13.6381629600,15.5492431200,13.6381629600,15.5492431200,3034811,31767116.0000,1,3.652932,21.082300
56,2008-02-15,sh.600873,16.6929956400,19.4148370800,16.2152256000,19.4148370800,42071848,516528524.0000,1,50.640918,24.860335
57,2008-02-22,sh.600873,20.5585896000,22.1077227600,19.4872264800,20.3848550400,77654900,1117007724.0000,1,93.471422,4.996271
58,2008-02-29,sh.600873,20.4427665600,21.4127845200,17.9525712000,20.5151559600,56337453,772972095.0000,1,67.812100,0.639205
59,2008-03-07,sh.600873,20.5296338400,22.4696697600,18.5461642800,18.6764652000,53976767,766690419.0000,1,64.970596,-8.962597
60,2008-03-14,sh.600873,18.3289960800,18.6475094400,16.2586592400,16.9391196000,17556796,212499166.0000,1,21.132713,-9.302326
61,2008-03-21,sh.600873,16.5047832000,17.4892790400,13.7250302400,16.5337389600,29720334,320402936.0000,1,35.773684,-2.393162
62,2008-03-28,sh.600873,16.4758274400,16.9101638400,14.6081809200,16.3165707600,23608471,260414951.0000,1,28.416975,-1.313485
63,2008-04-03,sh.600873,15.6361104000,16.4613495600,11.8718616000,12.9432247200,21507614,212844877.0000,1,25.888222,-20.674357
64,2008-04-11,sh.600873,12.5378440800,14.1593666400,11.9587288800,13.0445698800,14843726,134694563.0000,1,17.867052,0.782998
65,2008-04-18,sh.600873,12.7839680400,12.7839680400,9.9607814400,9.9752593200,10453153,82501119.0000,1,12.582220,-23.529412
66,2008-04-25,sh.600873,10.7136312000,11.5678261200,9.0921086400,11.5678261200,10149358,75596990.0000,1,12.216549,15.965167
67,2008-04-30,sh.600873,11.6981270400,12.2772422400,11.5823040000,12.1324634400,14069916,115924509.0000,1,16.935635,4.881101
68,2008-05-09,sh.600873,12.3641095200,12.6681450000,11.0900560800,12.2772422400,19253840,159456744.0000,1,23.175406,1.193317
69,2008-05-16,sh.600873,12.2772422400,14.8253491200,11.7270828000,13.3341274800,34944463,335754247.0000,1,42.061848,8.608491
70,2008-05-23,sh.600873,13.2762159600,13.9856320800,11.2927464000,12.1469413200,20028373,176907186.0000,1,24.107693,-8.903366
71,2008-05-30,sh.600873,12.0166404000,12.6681450000,11.4520030800,11.9008173600,10439110,86320650.0000,1,12.565317,-2.026222
72,2008-06-06,sh.600873,11.8718616000,11.9008173600,10.9018436400,11.2927464000,8073415,63508466.0000,1,9.633585,-5.109489
73,2008-06-13,sh.600873,10.6267639200,10.8584100000,9.3382326000,9.3671883600,5185671,35686207.0000,1,5.880332,-17.051282
74,2008-06-20,sh.600873,9.4250998800,9.6567459600,7.5284976000,8.0641791600,7175157,42138831.0000,1,8.136325,-13.910355
75,2008-06-27,sh.600873,7.9628340000,9.1789759200,7.8325330800,8.5853828400,9224750,54747488.0000,1,10.460476,6.463196
76,2008-07-04,sh.600873,8.4261261600,9.5843565600,8.0786570400,9.5843565600,11903291,73852478.0000,1,13.497828,11.635750
77,2008-07-11,sh.600873,9.5843565600,10.3516842000,9.3527104800,9.5409229200,22863774,155851730.0000,1,25.926553,-0.453172
78,2008-07-18,sh.600873,9.6857017200,10.0476487200,8.5853828400,9.1789759200,9550161,61210161.0000,1,10.829479,-3.793627
79,2008-07-25,sh.600873,9.2368874400,9.9463035600,9.0197192400,9.6422680800,10022288,66554935.0000,1,11.364851,5.047319
80,2008-08-01,sh.600873,9.6857017200,11.1769233600,9.6422680800,10.3082505600,32203516,229832324.0000,1,36.517425,6.906907
81,2008-08-08,sh.600873,10.1345160000,10.1345160000,8.3826925200,8.4116482800,10290758,66749902.0000,1,11.669284,-18.398876
82,2008-08-15,sh.600873,8.4261261600,8.6432943600,6.7466920800,7.3547630400,6304840,32006699.0000,1,7.149422,-12.564544
83,2008-08-22,sh.600873,7.2389400000,7.4271524400,6.3702672000,6.8046036000,7057898,34125191.0000,1,8.003358,-7.480315
