,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2016-10-28,sh.600926,17.2700000000,22.7900000000,17.2700000000,22.7900000000,643480,13852042.0000,1,0.245838,58.373871
1,2016-11-04,sh.600926,25.0700000000,30.2900000000,25.0700000000,26.9300000000,387195224,10825246076.0000,1,147.925587,18.165862
2,2016-11-11,sh.600926,26.6700000000,27.2000000000,25.5100000000,26.5700000000,221586487,5870488250.0000,1,84.655773,-1.336799
3,2016-11-18,sh.600926,26.4500000000,27.7900000000,25.5600000000,25.5900000000,149132922,3958219510.0000,1,56.975328,-3.688370
4,2016-11-25,sh.600926,25.5200000000,25.9400000000,24.3700000000,24.6300000000,103622075,2617891004.0000,1,39.588185,-3.751465
5,2016-12-02,sh.600926,24.6400000000,24.9600000000,23.1200000000,23.1600000000,79068900,1891690110.0000,1,30.207794,-5.968331
6,2016-12-09,sh.600926,23.1000000000,24.2900000000,22.9300000000,23.9700000000,75054137,1784567820.0000,1,28.673978,3.497409
7,2016-12-16,sh.600926,23.8500000000,24.2400000000,21.8100000000,22.1600000000,65984915,1488336176.0000,1,25.209137,-7.551106
8,2016-12-23,sh.600926,22.1400000000,22.2200000000,21.3700000000,21.3800000000,39614792,859507664.0000,1,15.134591,-3.519856
9,2016-12-30,sh.600926,21.2100000000,21.4800000000,20.8200000000,20.9500000000,30286826,639450304.0000,1,11.570898,-2.011225
10,2017-01-06,sh.600926,20.9500000000,21.3300000000,20.8500000000,20.8800000000,28509192,602868320.0000,1,10.891764,-0.334129
11,2017-01-13,sh.600926,20.8200000000,20.9700000000,19.5200000000,19.6400000000,35802504,728049376.0000,1,13.678130,-5.938697
12,2017-01-20,sh.600926,19.5300000000,19.9800000000,19.0400000000,19.7400000000,44348145,866029552.0000,1,16.942940,0.509165
13,2017-01-26,sh.600926,19.7000000000,20.2400000000,19.6000000000,20.1500000000,26778888,532413892.0000,1,10.230712,2.077001
14,2017-02-03,sh.600926,20.1700000000,20.1700000000,19.8700000000,19.8900000000,4200527,83786080.0000,1,1.604786,-1.290323
15,2017-02-10,sh.600926,19.9100000000,20.7700000000,19.6700000000,20.5300000000,47994647,971592648.0000,1,18.336064,3.217697
16,2017-02-17,sh.600926,20.5000000000,22.2200000000,20.5000000000,21.2300000000,142370499,3069787076.0000,1,54.391786,3.409644
17,2017-02-24,sh.600926,21.1200000000,23.2800000000,21.1100000000,22.3400000000,154359475,3460668216.0000,1,58.972101,5.228450
18,2017-03-03,sh.600926,22.2800000000,23.3000000000,21.7200000000,22.5700000000,151348629,3442128582.0000,1,57.821826,1.029543
19,2017-03-10,sh.600926,22.5000000000,23.1800000000,22.2100000000,22.2600000000,85834194,1946945312.0000,1,32.792433,-1.373505
20,2017-03-17,sh.600926,22.1000000000,22.9800000000,21.8300000000,22.3200000000,77860044,1753471678.0000,1,29.745958,0.269542
21,2017-03-24,sh.600926,22.3100000000,22.6000000000,21.5100000000,21.8300000000,58620781,1294852608.0000,1,22.395714,-2.195341
22,2017-03-31,sh.600926,21.7800000000,22.7000000000,20.6100000000,22.7000000000,67128922,1467348260.0000,1,25.646198,3.985341
23,2017-04-07,sh.600926,22.8000000000,23.1800000000,22.3000000000,22.7000000000,100978170,2299827390.0000,1,38.578097,0.000000
24,2017-04-14,sh.600926,22.4700000000,22.9100000000,21.4500000000,21.4800000000,90833768,2017223154.0000,1,34.702490,-5.374449
25,2017-04-21,sh.600926,21.1100000000,21.6500000000,20.7000000000,21.0800000000,49277945,1041367952.0000,1,18.826340,-1.862197
26,2017-04-28,sh.600926,21.0300000000,21.6500000000,20.5000000000,21.3800000000,50500512,1072873905.0000,1,19.293414,1.423150
27,2017-05-05,sh.600926,21.2500000000,22.0800000000,20.9500000000,21.6000000000,52534828,1131175087.0000,1,20.070612,1.028999
28,2017-05-12,sh.600926,21.5000000000,24.4400000000,21.4000000000,23.7000000000,196928289,4527767436.0000,1,75.235258,9.722222
29,2017-05-19,sh.600926,23.4600000000,23.9900000000,21.4800000000,21.6200000000,132144504,3008593056.0000,1,50.485006,-8.776371
30,2017-05-26,sh.600926,21.5100000000,22.1000000000,20.0000000000,20.9400000000,84256369,1778467730.0000,1,32.189635,-3.145236
31,2017-06-02,sh.600926,21.3200000000,22.3000000000,21.2100000000,22.2900000000,58830727,1282134128.0000,1,22.475922,6.446991
32,2017-06-09,sh.600926,22.1500000000,22.4106364700,21.5590606700,21.9848485700,95133546,1578578986.0000,1,27.662659,-1.369033
33,2017-06-16,sh.600926,21.8571122000,22.2403213100,21.2042374200,21.2184303500,68801008,1047058301.0000,1,18.775006,-3.486120
34,2017-06-23,sh.600926,21.2752020700,21.9564627100,20.8778000300,21.2184303500,72416117,1091238550.0000,1,19.761527,0.000000
35,2017-06-30,sh.600926,21.1190798400,21.5164818800,21.0055364000,21.0765010500,49324560,737486214.0000,1,13.460106,-0.668896
36,2017-07-07,sh.600926,21.0906939800,21.1474657000,20.7500636600,20.9203788200,35875067,528673833.0000,1,9.789894,-0.740741
37,2017-07-14,sh.600926,20.8636071000,21.5732536000,20.6790990100,21.3035879300,82949638,1235942642.0000,1,22.636004,1.831750
38,2017-07-21,sh.600926,21.3745525800,22.2687071700,20.8636071000,21.6584111800,138406373,2127564342.0000,1,37.769511,1.665556
39,2017-07-28,sh.600926,21.5590606700,21.9990415000,20.9487646800,21.1332727700,63164786,953429867.0000,1,17.236945,-2.424640
40,2017-08-04,sh.600926,21.1190798400,21.7861475500,20.8778000300,20.9913434700,66587795,998957626.0000,1,18.171045,-0.671592
41,2017-08-11,sh.600926,20.9203788200,21.1758515600,20.4236262700,20.4662050600,45032356,661831207.0000,1,12.288813,-2.501690
42,2017-08-18,sh.600926,20.4236262700,20.9203788200,20.3526616200,20.7358707300,38468620,559210239.0000,1,10.497645,1.317614
43,2017-08-25,sh.600926,20.7500636600,20.9487646800,20.5371697100,20.8210283100,39192029,572459536.0000,1,10.695055,0.410678
44,2017-09-01,sh.600926,20.7926424500,21.7577616900,20.7358707300,21.1332727700,71722586,1071927976.0000,1,19.572271,1.499659
