,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2018-06-22,sh.601066,6.5000000000,9.4400000000,6.5000000000,9.4400000000,1517239,13574907.0000,1,0.379310,74.169742
1,2018-06-29,sh.601066,10.3800000000,11.9800000000,10.2300000000,10.7600000000,532372973,5973625700.0000,1,133.093243,13.983051
2,2018-07-06,sh.601066,10.8600000000,10.9700000000,8.9200000000,9.3500000000,505368974,4997299878.0000,1,126.342243,-13.104089
3,2018-07-13,sh.601066,9.4200000000,10.2700000000,9.1600000000,9.8700000000,450401375,4349363802.0000,1,112.600344,5.561497
4,2018-07-20,sh.601066,9.7800000000,10.2300000000,9.2000000000,9.8200000000,338092667,3258734009.0000,1,84.523167,-0.506586
5,2018-07-27,sh.601066,9.5900000000,10.6700000000,9.4300000000,10.0200000000,490085945,5003639460.0000,1,122.521486,2.036660
6,2018-08-03,sh.601066,9.9100000000,10.3200000000,8.7700000000,8.7900000000,279227943,2697926139.0000,1,69.806986,-12.275449
7,2018-08-10,sh.601066,8.8100000000,9.0800000000,8.4000000000,8.6100000000,228531192,1996644661.0000,1,57.132798,-2.047782
8,2018-08-17,sh.601066,8.4100000000,8.6300000000,8.0300000000,8.1200000000,179890458,1506347519.0000,1,44.972614,-5.691057
9,2018-08-24,sh.601066,8.1000000000,8.5500000000,8.0800000000,8.3300000000,157388661,1305028806.0000,1,39.347165,2.586207
10,2018-08-31,sh.601066,8.3100000000,8.6300000000,8.1200000000,8.1600000000,146397690,1232110739.0000,1,36.599423,-2.040816
11,2018-09-07,sh.601066,8.1500000000,8.5700000000,8.0800000000,8.2900000000,129434140,1071549575.0000,1,32.358535,1.593137
12,2018-09-14,sh.601066,8.2300000000,8.2800000000,7.8100000000,7.8400000000,113598695,906936492.0000,1,28.399674,-5.428227
13,2018-09-21,sh.601066,7.7800000000,8.2300000000,7.6300000000,8.1900000000,130515077,1035902325.0000,1,32.628769,4.464286
14,2018-09-28,sh.601066,8.1100000000,8.2100000000,7.8300000000,7.9100000000,84097491,674587550.0000,1,21.024373,-3.418803
15,2018-10-12,sh.601066,7.7000000000,7.7400000000,6.1500000000,6.4100000000,105478180,735491103.0000,1,26.369545,-18.963338
16,2018-10-19,sh.601066,6.4300000000,6.8400000000,6.3100000000,6.8300000000,116362900,762711247.0000,1,29.090725,6.552262
17,2018-10-26,sh.601066,6.9400000000,8.8800000000,6.9400000000,8.2800000000,479446597,3913796281.0000,1,119.861649,21.229868
18,2018-11-02,sh.601066,8.2300000000,9.3600000000,7.9100000000,9.1500000000,404235437,3547086290.0000,1,101.058859,10.507246
19,2018-11-09,sh.601066,9.1300000000,9.6800000000,8.6500000000,8.8000000000,259889563,2388144965.0000,1,64.972391,-3.825137
20,2018-11-16,sh.601066,8.7300000000,10.3700000000,8.6400000000,10.0400000000,267104901,2525825707.0000,1,66.776225,14.090909
