,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2017-10-27,sh.601108,13.6600000000,21.8100000000,13.6600000000,21.8100000000,10262263,221756144.0000,1,2.858569,91.652021
1,2017-11-03,sh.601108,21.6000000000,23.9000000000,20.8800000000,22.7900000000,618594030,13935278196.0000,1,172.310315,4.493352
2,2017-11-10,sh.601108,22.5500000000,26.1200000000,21.8800000000,24.3900000000,568859011,13507892960.0000,1,158.456549,7.020623
3,2017-11-17,sh.601108,24.2500000000,24.9400000000,20.4400000000,20.5900000000,326335012,7466418101.0000,1,90.901118,-15.580156
4,2017-11-24,sh.601108,20.0000000000,21.2500000000,18.3900000000,18.6600000000,262138348,5216007202.0000,1,73.019038,-9.373482
5,2017-12-01,sh.601108,18.6000000000,19.5400000000,18.1600000000,18.7900000000,184134981,3499142600.0000,1,51.291081,0.696677
6,2017-12-08,sh.601108,18.5900000000,18.6300000000,16.9100000000,17.4000000000,158774831,2781488036.0000,1,44.226972,-7.397552
7,2017-12-15,sh.601108,17.3300000000,17.5400000000,16.5200000000,17.2600000000,143177839,2440795409.0000,1,39.882406,-0.804598
8,2017-12-22,sh.601108,17.3000000000,18.3500000000,16.8400000000,17.7000000000,160058740,2799204231.0000,1,44.584607,2.549247
9,2017-12-29,sh.601108,17.6400000000,19.3500000000,17.3500000000,18.3800000000,217559525,3964740344.0000,1,60.601539,3.841808
10,2018-01-05,sh.601108,18.4100000000,19.0600000000,18.1300000000,18.1700000000,146629470,2711615832.0000,1,40.843864,-1.142546
11,2018-01-12,sh.601108,18.0600000000,19.4000000000,17.8100000000,18.9400000000,233615908,4345049301.0000,1,65.074069,4.237755
12,2018-01-19,sh.601108,18.5600000000,23.5000000000,18.2200000000,21.8700000000,512683838,10718265480.0000,1,142.808869,15.469905
13,2018-01-26,sh.601108,21.3000000000,22.1200000000,20.5400000000,20.6500000000,329010158,7036663956.0000,1,91.646284,-5.578418
14,2018-02-02,sh.601108,20.5400000000,20.7300000000,16.2500000000,16.7300000000,250153018,4696110336.0000,1,69.680506,-18.983051
15,2018-02-09,sh.601108,16.4000000000,17.2400000000,14.8300000000,15.2300000000,191669268,3095667820.0000,1,53.389768,-8.965929
16,2018-02-14,sh.601108,15.5000000000,15.7700000000,14.8600000000,15.0200000000,77291188,1188607956.0000,1,21.529579,-1.378858
17,2018-02-23,sh.601108,15.2300000000,15.5500000000,15.0800000000,15.4400000000,41624299,637549389.0000,1,11.594512,2.796272
18,2018-03-02,sh.601108,15.6000000000,16.4900000000,15.4300000000,15.9600000000,155762802,2496562510.0000,1,43.387967,3.367876
19,2018-03-09,sh.601108,15.8300000000,16.6500000000,15.8300000000,16.4800000000,137166290,2229813982.0000,1,38.207880,3.258145
20,2018-03-16,sh.601108,16.7200000000,17.0800000000,15.2700000000,15.5500000000,137887949,2251698534.0000,1,38.408899,-5.643204
21,2018-03-23,sh.601108,15.6800000000,16.7800000000,14.5300000000,14.7400000000,143808957,2277951335.0000,1,40.058205,-5.209003
22,2018-03-30,sh.601108,14.5100000000,15.4800000000,14.4000000000,15.3100000000,115451365,1749005576.0000,1,32.159155,3.867028
23,2018-04-04,sh.601108,15.2300000000,15.7000000000,14.8300000000,14.8400000000,64923071,988339412.0000,1,18.084421,-3.069889
24,2018-04-13,sh.601108,14.7000000000,15.3700000000,14.6000000000,15.0400000000,93531946,1414294961.0000,1,26.053467,1.347709
25,2018-04-20,sh.601108,14.9000000000,14.9800000000,13.8700000000,13.8900000000,89695962,1298635680.0000,1,24.984948,-7.646277
26,2018-04-27,sh.601108,13.9200000000,14.3400000000,13.5200000000,13.6900000000,65745566,918054640.0000,1,18.313528,-1.439885
27,2018-05-04,sh.601108,13.9100000000,14.3500000000,13.6400000000,14.0700000000,51594602,726595035.0000,1,14.371755,2.775749
28,2018-05-11,sh.601108,14.1700000000,14.3500000000,13.8500000000,13.8900000000,57833711,817848889.0000,1,16.109669,-1.279318
29,2018-05-18,sh.601108,13.9000000000,14.0700000000,13.6000000000,13.8200000000,46814981,645279958.0000,1,13.040385,-0.503960
30,2018-05-25,sh.601108,13.9200000000,14.1300000000,13.5800000000,13.6000000000,56944112,789823254.0000,1,15.861870,-1.591896
31,2018-06-01,sh.601108,13.5900000000,13.7000000000,12.4200000000,12.8500000000,66936029,874666547.0000,1,18.645133,-5.514706
32,2018-06-08,sh.601108,12.8300000000,13.2500000000,12.6400000000,12.7500000000,57815670,745818003.0000,1,16.104643,-0.778210
