,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-02-09,sh.601166,24.8000000000,26.0000000000,21.3100000000,24.0100000000,372696974,8940557557.0000,1,82.683744,50.250313
1,2007-02-16,sh.601166,24.0200000000,28.0800000000,24.0000000000,27.4100000000,166663026,4253248789.0000,1,36.974604,14.160766
2,2007-03-02,sh.601166,26.9000000000,27.1900000000,23.4100000000,23.8600000000,105996275,2671803861.0000,1,23.515535,-12.951478
3,2007-03-09,sh.601166,23.7800000000,25.1500000000,22.9000000000,24.8300000000,81820790,1986522754.0000,1,18.152144,4.065381
4,2007-03-16,sh.601166,25.0000000000,25.1000000000,23.4800000000,23.6100000000,48770855,1176867323.0000,1,10.819935,-4.913411
5,2007-03-23,sh.601166,23.3200000000,25.5500000000,23.2600000000,24.9100000000,82287415,2034195649.0000,1,18.255666,5.506141
6,2007-03-30,sh.601166,24.9500000000,28.5700000000,24.6800000000,27.2000000000,163301567,4377376460.0000,1,36.228856,9.193095
7,2007-04-06,sh.601166,27.3000000000,29.6000000000,27.0700000000,28.2200000000,94747284,2699610770.0000,1,21.019919,3.750000
8,2007-04-13,sh.601166,28.1800000000,33.2000000000,27.9000000000,32.0200000000,87792473,2745758443.0000,1,19.476977,13.465627
9,2007-04-20,sh.601166,32.1800000000,33.3500000000,29.1300000000,32.0300000000,67385068,2122939791.0000,1,14.949544,0.031230
10,2007-04-27,sh.601166,32.6100000000,33.1100000000,30.8500000000,31.5800000000,64502685,2056969751.0000,1,14.310080,-1.404933
11,2007-04-30,sh.601166,31.5800000000,31.5800000000,31.5800000000,31.5800000000,0,0.0000,1,0.000000,0.000000
12,2007-05-11,sh.601166,31.5000000000,33.2400000000,29.4200000000,30.4000000000,147155223,4564059257.0000,1,20.992186,-3.736542
13,2007-05-18,sh.601166,30.3000000000,31.1700000000,28.9100000000,29.5400000000,132306339,3954016086.0000,1,18.873943,-2.828947
14,2007-05-25,sh.601166,28.8337904000,31.3761680000,28.7530800000,30.6195080000,117323938,3495742323.0000,1,16.736653,3.654372
15,2007-06-01,sh.601166,30.7203960000,31.5073224000,28.2486400000,30.1756008000,139319472,4164768711.0000,1,19.874390,-1.449753
16,2007-06-08,sh.601166,30.6195080000,30.8313728000,25.8777720000,27.8349992000,119279973,3330318653.0000,1,17.015688,-7.756603
17,2007-06-15,sh.601166,27.8450880000,32.7886000000,27.4213584000,31.8705192000,140654719,4132068401.0000,1,20.064867,14.498007
18,2007-06-22,sh.601166,32.4657584000,35.4318656000,31.6889208000,32.8289552000,131929489,4393340275.0000,1,18.820184,3.007281
19,2007-06-29,sh.601166,32.9399320000,37.7018456000,32.2942488000,35.4015992000,131170952,4583783838.0000,1,18.711976,7.836509
20,2007-07-06,sh.601166,35.3108000000,35.4923984000,32.2942488000,34.4936072000,45294801,1537825266.0000,1,6.461455,-2.564833
21,2007-07-13,sh.601166,34.6550280000,39.5279184000,34.2514760000,38.3273512000,52150999,1934265155.0000,1,7.439515,11.114361
22,2007-07-20,sh.601166,38.5190384000,43.2809520000,36.6223440000,42.8673112000,78376241,3150442166.0000,1,11.180634,11.845222
23,2007-07-27,sh.601166,43.6845040000,44.2696544000,41.1824816000,41.5053232000,70224287,2967449259.0000,1,10.017730,-3.177218
24,2007-08-03,sh.601166,41.2631920000,47.4980704000,40.3552000000,47.4072712000,73437622,3172341060.0000,1,10.476123,14.219737
25,2007-08-10,sh.601166,47.5787808000,49.4250312000,45.2079128000,48.3858848000,68237104,3193019900.0000,1,9.734252,2.064269
26,2007-08-17,sh.601166,48.2547304000,50.4440000000,46.2874144000,47.2054952000,56046094,2670275444.0000,1,7.995163,-2.439533
27,2007-08-24,sh.601166,48.6784600000,58.1821096000,48.6784600000,58.1821096000,57167429,3021207773.0000,1,8.155125,23.252832
28,2007-08-31,sh.601166,58.1114880000,63.3576640000,56.4569248000,58.8076152000,56839575,3331787772.0000,1,8.108356,1.075082
29,2007-09-07,sh.601166,58.8076152000,61.0372400000,55.2765352000,56.5679016000,52012825,2980017428.0000,1,7.419804,-3.808543
30,2007-09-14,sh.601166,56.3963920000,60.3310240000,55.4984888000,57.8491792000,53483306,3082817136.0000,1,7.629573,2.265026
31,2007-09-21,sh.601166,57.5566040000,59.9274720000,52.4617600000,53.3697520000,64134128,3563931473.0000,1,9.148948,-7.743286
32,2007-09-28,sh.601166,53.3697520000,57.3850944000,51.9573200000,56.9210096000,38655963,2099755236.0000,1,5.514403,6.654064
33,2007-10-12,sh.601166,58.1114880000,66.7676784000,57.5364264000,65.0021384000,47938122,2983276971.0000,1,6.838534,14.197093
34,2007-10-19,sh.601166,64.5683200000,67.4839832000,60.5328000000,60.8354640000,23624598,1500058052.0000,1,3.370128,-6.410057
35,2007-10-26,sh.601166,60.0283600000,69.1082800000,59.0194800000,67.6554928000,32602332,2087729967.0000,1,4.650832,11.210614
36,2007-11-02,sh.601166,68.4020640000,71.1260400000,63.8621040000,64.0739688000,39115195,2585461768.0000,1,5.579914,-5.293767
37,2007-11-09,sh.601166,62.9238456000,64.5683200000,58.7773488000,60.0888928000,18710975,1153962116.0000,1,2.669183,-6.219493
38,2007-11-16,sh.601166,58.0711328000,60.0888928000,53.5715280000,54.2071224000,36188034,2012177582.0000,1,5.162344,-9.788449
39,2007-11-23,sh.601166,54.6712072000,55.5892880000,51.4327024000,54.0658792000,37011195,1970717106.0000,1,5.279771,-0.260562
40,2007-11-30,sh.601166,54.9839600000,58.6260168000,52.5626480000,57.0017200000,27484272,1518640480.0000,1,3.920724,5.430118
41,2007-12-07,sh.601166,56.3762144000,59.1203680000,56.2955040000,58.6562832000,22729857,1302436529.0000,1,3.242490,2.902655
42,2007-12-14,sh.601166,56.9916312000,57.6574920000,49.3342320000,51.2006600000,82101525,4293863987.0000,1,11.712058,-12.710698
43,2007-12-21,sh.601166,50.4944440000,50.7264864000,46.7918544000,49.5259192000,47091659,2280594676.0000,1,6.717783,-3.270936
44,2007-12-28,sh.601166,50.3128456000,53.0569992000,48.9306800000,52.3205168000,54239461,2744933798.0000,1,7.737441,5.642697
45,2008-01-04,sh.601166,52.3709608000,52.7442464000,49.1223672000,51.1502160000,28389891,1428368125.0000,1,4.049913,-2.236791
46,2008-01-11,sh.601166,51.2309264000,62.1470080000,50.4238224000,61.5416800000,63739609,3547768388.0000,1,9.092669,20.315582
47,2008-01-18,sh.601166,61.6425680000,62.5001160000,51.2208376000,53.1477984000,67887778,3753884546.0000,1,9.684419,-13.639344
48,2008-01-25,sh.601166,52.7644240000,53.7127712000,45.3996000000,49.3947648000,73381842,3519824521.0000,1,10.468166,-7.061503
49,2008-02-01,sh.601166,48.4262400000,48.4262400000,39.4673856000,41.3035472000,76509813,3268262781.0000,1,10.914381,-16.380719
50,2008-02-05,sh.601166,42.3225160000,47.9218000000,42.0702960000,46.8725648000,92320514,4185974475.0000,1,5.354365,13.483146
51,2008-02-15,sh.601166,45.7829744000,46.6102560000,43.2305080000,43.3818400000,36488466,1634831533.0000,1,0.916796,-7.447266
52,2008-02-22,sh.601166,44.3907200000,46.5093680000,40.3552000000,41.2631920000,83770358,3679281709.0000,1,2.104783,-4.883721
53,2008-02-29,sh.601166,41.2934584000,45.3592448000,40.3249336000,44.6429400000,74562066,3209517967.0000,1,1.873419,8.190709
54,2008-03-07,sh.601166,44.1385000000,45.3592448000,41.3136360000,41.4649680000,88050894,3764585716.0000,1,2.212334,-7.118644
55,2008-03-14,sh.601166,41.1723928000,41.3640800000,32.9903760000,33.4241944000,132296335,4722183473.0000,1,3.324029,-19.391727
56,2008-03-21,sh.601166,33.2728624000,36.8947416000,31.7090984000,35.4318656000,148106264,5074564503.0000,1,3.721263,6.006641
57,2008-03-28,sh.601166,35.8959504000,36.6324328000,30.3773768000,36.6324328000,157465200,5325817560.0000,1,3.956412,3.388383
58,2008-04-03,sh.601166,35.3713328000,39.3463200000,35.1090240000,38.2869960000,150165560,5557408340.0000,1,3.773004,4.516662
