,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2015-02-27,sh.601198,11.0200000000,14.5400000000,11.0200000000,14.5400000000,219199,2985017.0000,1,0.043840,58.387800
1,2015-03-06,sh.601198,15.9900000000,23.4200000000,15.9900000000,23.4200000000,11754062,263047430.0000,1,2.350812,61.072902
2,2015-03-13,sh.601198,23.4000000000,23.4000000000,20.5500000000,20.9800000000,723613207,15796908000.0000,1,144.722641,-10.418446
3,2015-03-20,sh.601198,21.1100000000,26.3000000000,20.8500000000,25.0100000000,729385596,17070715140.0000,1,145.877119,19.208770
4,2015-03-27,sh.601198,25.0300000000,25.9900000000,23.3000000000,24.1900000000,406595954,9966609790.0000,1,81.319191,-3.278689
5,2015-04-03,sh.601198,24.0200000000,28.9600000000,23.7500000000,28.8400000000,462696254,11957931010.0000,1,92.539251,19.222819
6,2015-04-10,sh.601198,29.9000000000,35.7800000000,28.6500000000,34.6900000000,504027494,16465814480.0000,1,100.805499,20.284327
7,2015-04-17,sh.601198,34.5000000000,34.5000000000,30.0100000000,31.5000000000,321875274,10442951800.0000,1,64.375055,-9.195734
8,2015-04-24,sh.601198,31.5000000000,34.4800000000,29.3400000000,31.7700000000,370184111,11907804670.0000,1,74.036822,0.857143
9,2015-04-30,sh.601198,32.2000000000,32.7000000000,31.2300000000,31.4800000000,167363656,5347009030.0000,1,33.472731,-0.912811
10,2015-05-08,sh.601198,31.3000000000,31.7100000000,29.5500000000,30.5000000000,163823084,4996576510.0000,1,32.764617,-3.113088
11,2015-05-15,sh.601198,30.7600000000,33.7000000000,30.1000000000,30.4200000000,214761959,6841854280.0000,1,42.952392,-0.262295
12,2015-05-22,sh.601198,29.9500000000,37.1100000000,29.6800000000,37.1100000000,412952189,14019817260.0000,1,82.590438,21.992110
13,2015-05-29,sh.601198,37.9600000000,42.7800000000,36.2100000000,40.0100000000,527781656,20929043470.0000,1,105.556331,7.814605
14,2015-06-05,sh.601198,39.3800000000,43.9000000000,36.5100000000,40.2600000000,280880977,11433427710.0000,1,56.176195,0.624844
15,2015-06-12,sh.601198,40.2600000000,42.3000000000,38.1500000000,38.6600000000,154358314,6107852290.0000,1,30.871663,-3.974168
16,2015-06-19,sh.601198,39.3100000000,39.6900000000,32.7934641000,32.9139913800,157219811,5707867390.0000,1,31.443962,-14.862896
17,2015-06-26,sh.601198,33.5266717200,35.8367779200,29.8405457400,29.8405457400,155315911,5169656510.0000,1,31.063182,-9.337809
18,2015-07-03,sh.601198,31.0156867200,31.1362140000,23.9246650800,24.1657196400,229445770,6378372480.0000,1,45.889154,-19.017166
19,2015-07-10,sh.601198,26.5863091800,26.5863091800,18.5511571800,24.9391030200,282372065,6573541894.0000,1,56.474413,3.200333
20,2015-07-17,sh.601198,24.6076530000,27.0684183000,20.7708679200,23.5932150600,295033532,7139940150.0000,1,59.006706,-5.396698
21,2015-07-24,sh.601198,23.7036984000,25.9334530800,22.6591286400,24.4569939000,272528452,6618333380.0000,1,54.505690,3.661132
22,2015-07-31,sh.601198,23.6133029400,24.0351484200,19.8166936200,21.6145588800,228271902,5096325432.0000,1,45.654380,-11.622177
23,2015-08-07,sh.601198,21.2931528000,22.2372831600,20.3992421400,21.7149982800,124512065,2662683702.0000,1,24.902413,0.464684
24,2015-08-14,sh.601198,22.1468877000,26.5561773600,21.7953498000,26.1042000600,309396288,7592824070.0000,1,61.879258,20.212766
25,2015-08-21,sh.601198,25.7928379200,26.9880667800,20.5197694200,20.8713073200,234194026,5569734200.0000,1,46.838805,-20.046172
26,2015-08-28,sh.601198,19.8066496800,20.0778360600,15.3571842600,18.0489601800,199433358,3414877820.0000,1,39.886672,-13.522618
27,2015-09-02,sh.601198,17.9886965400,17.9886965400,14.7746357400,14.9654706000,122314367,1987074750.0000,1,24.462873,-17.084029
28,2015-09-11,sh.601198,15.4174479000,17.8782132000,15.1663494000,17.0144343600,208178612,3468785284.0000,1,41.635722,13.691275
29,2015-09-18,sh.601198,17.0144343600,17.0546101200,13.9108569000,15.0859978800,201857091,3062477592.0000,1,40.371418,-11.334120
30,2015-09-25,sh.601198,14.8449433200,17.2354010400,14.5938448200,15.1763933400,175666516,2792288132.0000,1,35.133303,0.599201
31,2015-09-30,sh.601198,15.1964812200,16.2310070400,14.7545478600,15.7790297400,74975901,1163345152.0000,1,14.995180,3.970880
32,2015-10-09,sh.601198,16.7030722200,17.3257965000,16.2209631000,17.0244783000,88788479,1478935110.0000,1,17.757696,7.893062
33,2015-10-16,sh.601198,16.9642146600,19.2040132800,16.8939070800,18.8022556800,231020081,4150547850.0000,1,46.204016,10.442478
34,2015-10-23,sh.601198,18.9930905400,20.0677921200,17.1249177000,18.7721238600,235362200,4400363520.0000,1,47.072440,-0.160256
35,2015-10-30,sh.601198,19.3848042000,19.9472648400,17.5869389400,18.7018162800,193988893,3613572094.0000,1,38.797779,-0.374532
36,2015-11-06,sh.601198,18.0991798800,24.1054560000,17.8681692600,24.1054560000,236364646,4988366402.0000,1,47.272929,28.893663
37,2015-11-13,sh.601198,26.5160016000,29.1676017600,26.5160016000,29.1676017600,211738465,5984011960.0000,1,42.347693,21.000000
38,2015-11-20,sh.601198,29.1676017600,31.1261700600,27.6911425800,28.2536032200,442845826,12761783790.0000,1,88.569165,-3.133609
39,2015-11-27,sh.601198,28.2335153400,29.0671623600,24.3866863200,24.3866863200,503655281,13702923530.0000,1,100.731056,-13.686456
40,2015-12-04,sh.601198,24.2159393400,27.3496486200,23.8945332600,26.0640243000,466524353,11892302330.0000,1,93.304871,6.878089
41,2015-12-11,sh.601198,25.9133652000,28.4042623200,24.2561151000,27.6308789400,384572164,10005150150.0000,1,76.914433,6.011561
42,2015-12-18,sh.601198,27.1085940600,35.1337021200,26.9880667800,32.2109155800,602284826,19043972130.0000,1,120.456965,16.575791
43,2015-12-25,sh.601198,32.0200807200,34.0991763000,29.5291836000,30.1117321200,379277855,12002904440.0000,1,75.855571,-6.516994
44,2015-12-31,sh.601198,30.3427427400,31.0960382400,28.9466350800,30.1016881800,211294648,6337992570.0000,1,42.258930,-0.033356
45,2016-01-08,sh.601198,29.6296230000,29.7802821000,23.3320726200,26.8775834400,275202597,7334104258.0000,1,55.040519,-10.710711
46,2016-01-15,sh.601198,25.1098500000,28.4544820200,24.7181363400,27.0885061800,427725214,11544508410.0000,1,85.545043,0.784753
47,2016-01-22,sh.601198,26.4155622000,28.5147456600,23.4124241400,24.5373454200,303980513,8032685560.0000,1,60.796103,-9.417872
48,2016-01-29,sh.601198,24.6076530000,24.8888833200,20.3691103200,22.6792165200,265622008,6009333940.0000,1,53.124402,-7.572657
49,2016-02-05,sh.601198,22.2975468000,22.4381619600,21.1123618800,21.2228452200,167944586,3653882570.0000,1,33.588917,-6.421612
50,2016-02-19,sh.601198,20.0677921200,23.9045772000,20.0577481800,22.8800953200,279283547,6241147394.0000,1,55.856709,7.808803
51,2016-02-26,sh.601198,23.3822923200,24.7984878600,20.0979239400,20.8612633800,269089456,6120503930.0000,1,50.278207,-8.823529
52,2016-03-04,sh.601198,20.6001209400,21.6748225200,18.4908935400,20.2084072800,274446400,5551607050.0000,1,30.359115,-3.129514
53,2016-03-11,sh.601198,20.5800330600,21.5944710000,19.3848042000,20.7708679200,237439476,4842557570.0000,1,26.265429,2.783300
54,2016-03-18,sh.601198,21.0721861200,24.1054560000,20.6202088200,23.5932150600,340221204,7412604220.0000,1,37.635089,13.588008
55,2016-03-25,sh.601198,25.0897621200,28.8763275000,24.6880045200,25.8932773200,463271050,12188635900.0000,1,51.246798,9.748829
56,2016-04-01,sh.601198,26.1042000600,28.2736911000,24.9089712000,26.2548591600,361035361,9494216190.0000,1,39.937540,1.396431
57,2016-04-08,sh.601198,26.3452546200,27.9221532000,24.5072136000,25.1600697000,233022487,6132599940.0000,1,25.776824,-4.169855
58,2016-04-15,sh.601198,27.0181986000,28.1230320000,25.3910803200,27.0985501200,408859276,10961088000.0000,1,45.227796,7.704591
59,2016-04-22,sh.601198,26.6164410000,26.6164410000,23.9146211400,24.8386636200,281722058,7127284480.0000,1,31.163944,-8.339511
60,2016-04-29,sh.601198,24.4067742000,24.9491469600,23.8543575000,24.3665984400,192049414,4667827380.0000,1,21.244404,-1.900526
61,2016-05-06,sh.601198,24.3665984400,25.6120470000,23.5932150600,23.6534787000,194033830,4802864960.0000,1,21.463919,-2.926628
62,2016-05-13,sh.601198,23.1914574600,23.2617650400,21.4940316000,21.9660967800,159723066,3554555830.0000,1,17.668481,-7.133758
63,2016-05-20,sh.601198,21.8154376800,22.7595680400,21.6246028200,22.2774589200,159035960,3495612712.0000,1,17.592473,1.417467
64,2016-05-27,sh.601198,22.5285574200,23.2015014000,21.6045149400,22.0866240600,179517612,4008809398.0000,1,19.858143,-0.856628
65,2016-06-03,sh.601198,21.8957892000,24.9692348400,21.6949104000,24.1757635800,353890349,8454603270.0000,1,39.147163,9.458845
66,2016-06-08,sh.601198,24.0552363000,24.4469499600,23.6936544600,23.9347090200,107166389,2567932540.0000,1,11.854689,-0.997092
67,2016-06-17,sh.601198,23.4023802000,24.0251044800,22.0966680000,22.9001832000,154665630,3544166018.0000,1,17.109030,-4.322283
68,2016-06-24,sh.601198,22.7495241000,24.7683560400,22.3477665000,23.1713695800,183940722,4308062716.0000,1,20.347425,1.184211
69,2016-07-01,sh.601198,22.9704907800,25.0649176500,22.9001832000,24.4355029500,223086626,5356430530.0000,1,24.677724,5.455547
70,2016-07-08,sh.601198,24.1512511500,25.5115990500,24.0395808000,24.7299066000,190506658,4663544200.0000,1,21.073745,1.204819
71,2016-07-15,sh.601198,24.6588436500,26.4151137000,24.3644400000,24.9735510000,212155229,5278210890.0000,1,23.468499,0.985222
72,2016-07-22,sh.601198,24.6182362500,24.8415769500,24.2223141000,24.3238326000,111764657,2696982052.0000,1,12.363347,-2.601626
73,2016-07-29,sh.601198,24.3238326000,24.7096029000,22.4355885000,22.5777144000,110109669,2557666048.0000,1,12.180273,-7.178631
74,2016-08-05,sh.601198,22.5066514500,22.8416625000,21.9787552500,22.4761959000,70463103,1551449456.0000,1,7.794591,-0.449640
75,2016-08-12,sh.601198,22.3036144500,23.0446995000,22.1005774500,22.9431810000,107678994,2403213120.0000,1,11.911393,2.077687
76,2016-08-19,sh.601198,23.0954587500,24.8720325000,22.8822699000,23.6030512500,174657877,4105841180.0000,1,19.320562,2.876106
77,2016-08-26,sh.601198,23.6538105000,23.6639623500,22.9634847000,23.1259143000,60671755,1390969776.0000,1,6.711477,-2.021505
78,2016-09-02,sh.601198,23.1462180000,23.5827475500,22.9939402500,23.2375846500,64018362,1467323792.0000,1,7.081677,0.482880
79,2016-09-09,sh.601198,23.2984957500,23.5015327500,22.8721180500,22.9025736000,66398559,1516272064.0000,1,7.344973,-1.441678
80,2016-09-14,sh.601198,22.3340700000,22.4761959000,22.0193626500,22.0904256000,39118427,857018128.0000,1,4.327260,-3.546099
81,2016-09-23,sh.601198,22.0904256000,22.5066514500,22.0295145000,22.1107293000,36860857,806302944.0000,1,4.077528,0.091912
82,2016-09-30,sh.601198,22.0904256000,22.4964996000,21.7858701000,22.2934626000,44527883,971777464.0000,1,4.925651,0.826446
83,2016-10-14,sh.601198,22.4355885000,23.8162401000,22.3036144500,23.4101661000,123507114,2820663128.0000,1,13.662291,5.009107
84,2016-10-21,sh.601198,23.6436586500,24.2629215000,22.8010551000,23.7654808500,164519968,3826294840.0000,1,18.199112,1.517780
85,2016-10-28,sh.601198,23.7147216000,24.8821843500,23.4304698000,23.6436586500,188313388,4457592946.0000,1,20.831127,-0.512601
86,2016-11-04,sh.601198,23.4406216500,24.1614030000,23.0954587500,23.6639623500,145247323,3375693340.0000,1,16.067182,0.085874
87,2016-11-11,sh.601198,23.7857845500,24.9532473000,23.1868254000,24.7400584500,176791587,4190643364.0000,1,19.556591,4.547405
88,2016-11-18,sh.601198,24.4659585000,25.3593213000,23.7756327000,23.8669993500,167514425,4052336890.0000,1,18.530357,-3.528929
89,2016-11-25,sh.601198,23.7350253000,24.3542881500,23.2578883500,23.7045697500,121918058,2866541274.0000,1,13.486511,-0.680561
90,2016-12-02,sh.601198,24.0598845000,24.0598845000,23.0650032000,23.3289513000,97430496,2254706816.0000,1,10.777710,-1.584582
91,2016-12-09,sh.601198,23.0548513500,23.0548513500,22.1513367000,22.3949811000,72321664,1596791504.0000,1,8.000184,-4.003481
92,2016-12-16,sh.601198,22.3746774000,22.3949811000,20.3138518500,20.5067370000,84632827,1761642898.0000,1,9.362038,-8.431550
93,2016-12-23,sh.601198,20.4762814500,20.7300777000,19.9382334000,20.0296000500,58302908,1169414048.0000,1,6.449437,-2.326733
94,2016-12-30,sh.601198,20.0194482000,20.8011406500,19.5930705000,20.3646111000,45876080,914432224.0000,1,5.074788,1.672580
95,2017-01-06,sh.601198,20.3544592500,20.5879518000,19.9483852500,19.9788408000,37766245,758382096.0000,1,4.177682,-1.894317
96,2017-01-13,sh.601198,19.9788408000,20.1108148500,19.3088187000,19.6133742000,39718079,774204096.0000,1,4.393593,-1.829268
97,2017-01-20,sh.601198,19.5727668000,19.8164112000,18.8722891500,19.4306409000,47334383,902844936.0000,1,5.236104,-0.931677
98,2017-01-26,sh.601198,19.4103372000,19.5930705000,19.3189705500,19.4712483000,19817115,379606000.0000,1,2.192159,0.208986
99,2017-02-03,sh.601198,19.4915520000,19.5220075500,19.4103372000,19.4306409000,3581607,68698784.0000,1,0.396195,-0.208551
100,2017-02-10,sh.601198,19.4509446000,19.9179297000,19.0042632000,19.6844371500,57592844,1112363520.0000,1,6.370890,1.306165
101,2017-02-17,sh.601198,19.7250445500,20.7909888000,19.5118557000,19.9788408000,92785256,1830670514.0000,1,10.263856,1.495616
102,2017-02-24,sh.601198,19.8468667500,20.4153703500,19.6235260500,19.8874741500,60637227,1191914752.0000,1,6.707658,-0.457317
103,2017-03-03,sh.601198,19.8773223000,20.2529407500,19.4915520000,19.6336779000,49922802,975186232.0000,1,5.522434,-1.276161
104,2017-03-10,sh.601198,19.6235260500,19.8367149000,19.4204890500,19.4306409000,37866301,732732288.0000,1,4.188750,-1.034126
105,2017-03-17,sh.601198,19.3900335000,20.4762814500,19.1869965000,19.9077778500,90862811,1783304336.0000,1,10.051196,2.455590
106,2017-03-24,sh.601198,19.8570186000,19.8570186000,19.2073002000,19.6133742000,65854417,1264986032.0000,1,7.284781,-1.478837
107,2017-03-31,sh.601198,19.6133742000,19.7148927000,18.4865188500,18.6692521500,59014118,1112739120.0000,1,6.528110,-4.813665
108,2017-04-07,sh.601198,18.6591003000,19.0854780000,18.6083410500,18.9027447000,25693894,478540976.0000,1,2.842245,1.250680
109,2017-04-14,sh.601198,18.9027447000,18.9230484000,17.7048264000,17.7860412000,65509659,1175875552.0000,1,7.246644,-5.907626
110,2017-04-21,sh.601198,17.7454338000,17.8266486000,16.6693377000,16.9637413500,49893875,842908568.0000,1,5.519234,-4.623288
111,2017-04-28,sh.601198,16.8622228500,17.4814857000,16.5475155000,17.4408783000,54947132,925255159.0000,1,6.078223,2.812687
112,2017-05-05,sh.601198,17.2886005500,17.6236116000,16.9332858000,17.4307264500,41272058,705972093.0000,1,4.565493,-0.058207
113,2017-05-12,sh.601198,17.2581450000,17.8977115500,16.9332858000,17.5830042000,72319977,1243567046.0000,1,7.999997,0.873617
114,2017-05-19,sh.601198,17.4814857000,17.6946745500,16.8317673000,16.8723747000,42926763,730440335.0000,1,4.748536,-4.041570
115,2017-05-26,sh.601198,16.8013117500,17.3393598000,16.1414415000,17.0551080000,64413077,1059108432.0000,1,7.125340,1.083032
116,2017-06-02,sh.601198,17.1058672500,17.5627005000,17.1058672500,17.4713338500,37041841,633411362.0000,1,3.689426,2.440476
117,2017-06-09,sh.601198,17.4104227500,17.6236116000,17.2682968500,17.2784487000,28947383,496964941.0000,1,2.883205,-1.104009
118,2017-06-16,sh.601198,17.2581450000,17.5423968000,17.0754117000,17.4205746000,25631409,437575803.0000,1,2.552929,0.822562
119,2017-06-23,sh.601198,17.4611820000,17.7454338000,17.1769302000,17.4408783000,52943155,913108691.0000,1,5.273223,0.116550
120,2017-06-30,sh.601198,17.4104227500,17.7149782500,17.3596635000,17.6542427200,31240103,539001311.0000,1,3.111564,1.223366
121,2017-07-07,sh.601198,17.6644830000,18.4017831600,17.4699176800,18.1867372800,47464878,822685243.0000,1,4.727577,3.016241
122,2017-07-14,sh.601198,18.1252956000,18.5861082000,17.6030413200,18.1150553200,59109325,1042881679.0000,1,5.887383,-0.394144
123,2017-07-21,sh.601198,18.1560164400,19.1288430400,17.5211190800,18.6475498800,94144847,1698594639.0000,1,9.376977,2.939514
124,2017-07-28,sh.601198,18.6168290400,18.9240374400,18.1764970000,18.5758679200,55370365,1005387052.0000,1,5.514977,-0.384404
125,2017-08-04,sh.601198,18.5758679200,18.9342777200,18.3813026000,18.5451470800,67247872,1224959688.0000,1,6.697995,-0.165380
126,2017-08-11,sh.601198,18.4325040000,18.6782707200,17.8692886000,17.8897691600,47543461,855011946.0000,1,4.735404,-3.533959
127,2017-08-18,sh.601198,17.9409705600,18.7397124000,17.8795288800,18.4837054000,42382749,758803535.0000,1,4.221389,3.319977
128,2017-08-25,sh.601198,18.7909138000,19.4360514400,18.5349068000,19.0059596800,88733838,1636771978.0000,1,8.838032,2.825485
129,2017-09-01,sh.601198,19.1390833200,20.1733516000,19.1390833200,19.5896556400,147466219,2837950816.0000,1,14.687870,3.071121
130,2017-09-08,sh.601198,19.5794153600,19.6306167600,19.0776416400,19.1698041600,50628454,955262552.0000,1,5.042675,-2.143231
