,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2012-02-24,sh.601231,11.0100000000,15.4800000000,11.0100000000,14.9700000000,246471539,3157583618.0000,1,288.270806,96.973684
1,2012-03-02,sh.601231,14.9700000000,16.4700000000,14.8800000000,15.7800000000,86458790,1353869386.0000,1,101.121392,5.410822
2,2012-03-09,sh.601231,15.8100000000,16.8000000000,14.9000000000,15.3000000000,119292584,1847086390.0000,1,139.523490,-3.041825
3,2012-03-16,sh.601231,15.1500000000,18.4900000000,15.0300000000,16.8100000000,157106474,2645173685.0000,1,183.750262,9.869281
4,2012-03-23,sh.601231,16.7000000000,17.4600000000,14.2000000000,14.5100000000,80639138,1260483684.0000,1,94.314781,-13.682332
5,2012-03-30,sh.601231,14.4000000000,14.6200000000,12.7100000000,12.7400000000,59835206,828621729.0000,1,69.982697,-12.198484
6,2012-04-06,sh.601231,12.8600000000,14.3000000000,12.5600000000,13.9900000000,32609547,439326182.0000,1,38.139821,9.811617
7,2012-04-13,sh.601231,13.8100000000,14.3500000000,13.0900000000,13.8900000000,64147672,882345009.0000,1,75.026517,-0.714796
8,2012-04-20,sh.601231,13.6000000000,14.6600000000,12.9100000000,14.2800000000,61342328,834143194.0000,1,71.745413,2.807775
9,2012-04-27,sh.601231,14.0200000000,14.2700000000,12.3200000000,12.6800000000,40099323,528615422.0000,1,46.899793,-11.204482
10,2012-05-04,sh.601231,12.8000000000,13.9000000000,12.5900000000,13.2800000000,24994775,328253089.0000,1,29.233655,4.731861
11,2012-05-11,sh.601231,13.0000000000,13.9700000000,12.7600000000,12.9900000000,44426609,591389612.0000,1,51.960946,-2.183735
12,2012-05-18,sh.601231,13.0200000000,13.2600000000,11.7600000000,11.8200000000,29038502,358454607.0000,1,33.963160,-9.006928
13,2012-05-25,sh.601231,11.6800000000,12.2000000000,10.9100000000,11.6700000000,54054462,625397288.0000,1,50.612792,-1.269036
14,2012-06-01,sh.601231,11.5000000000,13.7500000000,11.1900000000,12.7800000000,82891722,1050842324.0000,1,77.613972,9.511568
15,2012-06-08,sh.601231,12.4800000000,12.9400000000,11.9300000000,11.9900000000,45735141,567428422.0000,1,42.823166,-6.181534
16,2012-06-15,sh.601231,11.9300000000,12.3800309600,11.8100000000,12.1492848400,31961954,386194346.0000,1,29.926923,1.328493
17,2012-06-21,sh.601231,12.3298687600,12.7311663600,12.1894146000,12.1994470400,29520598,366644371.0000,1,27.641009,0.412882
18,2012-06-29,sh.601231,11.9987982400,12.8816529600,10.9453920400,12.6810041600,54417192,651530685.0000,1,50.952427,3.947368
19,2012-07-06,sh.601231,12.6509068400,13.2428208000,12.3298687600,12.9418476000,46640516,593513671.0000,1,43.670895,2.056962
20,2012-07-13,sh.601231,12.9117502800,12.9117502800,11.4369816000,11.8784089600,34376448,411460299.0000,1,32.187685,-8.217054
21,2012-07-20,sh.601231,11.7078574800,11.9185387200,10.9855218000,11.4470140400,29933434,341673206.0000,1,28.027560,-3.631757
22,2012-07-27,sh.601231,11.2463652400,12.0288955600,11.1460408400,11.3868194000,28233541,329818149.0000,1,26.435900,-0.525855
23,2012-08-03,sh.601231,11.3366572000,12.3800309600,11.0758137600,12.2696741200,31417772,367116820.0000,1,29.417390,7.753304
24,2012-08-10,sh.601231,12.1994470400,12.8314907600,12.0790577600,12.4703229200,39979961,495245935.0000,1,37.434420,1.635323
25,2012-08-17,sh.601231,12.3298687600,13.3130478800,11.9085062800,13.2628856800,47151821,590258889.0000,1,44.149645,6.355591
26,2012-08-24,sh.601231,13.1123990800,14.7276219200,12.9518800400,13.5136966800,102612636,1439433444.0000,1,96.079247,1.891074
27,2012-08-31,sh.601231,13.5136966800,14.6373299600,12.6208095200,13.2127234800,81805470,1117268008.0000,1,76.596882,-2.227171
28,2012-09-07,sh.601231,13.2026910400,15.1088546400,13.0923342000,14.8078814400,79518622,1137395174.0000,1,74.455639,12.072893
29,2012-09-14,sh.601231,14.8379787600,14.8379787600,13.3531776400,13.5839237600,56504945,798905888.0000,1,52.907252,-8.265583
30,2012-09-21,sh.601231,13.4434696000,14.0955782000,12.1994470400,12.2195119200,40380100,537708998.0000,1,37.809082,-10.044313
31,2012-09-28,sh.601231,12.1894146000,12.4602904800,11.5874682000,12.3098038800,22894530,275542362.0000,1,21.436826,0.738916
32,2012-10-12,sh.601231,12.3098038800,13.2729181200,12.1994470400,12.6408744000,29088036,371215256.0000,1,27.235989,2.689487
33,2012-10-19,sh.601231,12.5606148800,13.3331127600,12.4502580400,13.1525288400,17454451,225494801.0000,1,16.343119,4.047619
34,2012-10-26,sh.601231,13.0421720000,13.1424964000,11.9285711600,11.9586684800,17398666,219615544.0000,1,16.290886,-9.077040
35,2012-11-02,sh.601231,11.9486360400,12.5907122000,11.8382792000,12.3098038800,11610428,142296754.0000,1,10.871187,2.936242
36,2012-11-09,sh.601231,12.3198363200,12.5004202400,11.3366572000,11.7379548000,18026778,215855028.0000,1,16.879006,-4.645477
37,2012-11-16,sh.601231,11.7780845600,11.8282467600,10.9855218000,11.1159435200,9672717,109690070.0000,1,9.056851,-5.299145
38,2012-11-23,sh.601231,11.1861706000,11.6275979600,10.9855218000,11.2263003600,12653195,143532623.0000,1,11.847561,0.992780
39,2012-11-30,sh.601231,11.2764625600,11.3466896400,9.3301692000,10.2932834400,17236130,173925504.0000,1,16.138699,-8.310992
40,2012-12-07,sh.601231,10.2330888000,11.1861706000,9.9120507200,10.8551000800,16479728,173963617.0000,1,15.430457,5.458090
41,2012-12-14,sh.601231,10.7046134800,11.1661057200,10.4136727200,11.0457164400,15322898,165193976.0000,1,14.347283,1.756007
42,2012-12-21,sh.601231,10.9052622800,11.4068842800,10.6845486000,11.2062354800,22325346,245800840.0000,1,20.903882,1.453224
43,2012-12-28,sh.601231,11.1460408400,12.1894146000,11.0557488800,11.9386036000,31677704,370248899.0000,1,29.660772,6.535363
44,2013-01-04,sh.601231,11.9386036000,12.0288955600,11.5373060000,11.7981494400,7433678,87463908.0000,1,6.960373,-1.176471
45,2013-01-11,sh.601231,11.7379548000,12.8415232000,11.4269491600,12.2596416800,33026967,398892281.0000,1,30.924126,3.911565
46,2013-01-18,sh.601231,12.2395768000,13.0221071200,12.1693497200,12.4903878000,23256955,293156249.0000,1,21.776175,1.882160
