,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2012-01-20,sh.601360,11.6500000000,11.6500000000,10.5100000000,10.7900000000,19587289,216752690.0000,1,43.721627,-12.983871
1,2012-02-03,sh.601360,10.8300000000,11.0300000000,10.5500000000,10.8500000000,4732050,51013371.0000,1,10.562612,0.556070
2,2012-02-10,sh.601360,10.8700000000,11.3700000000,10.7000000000,11.2200000000,11810068,130542261.0000,1,26.361759,3.410138
3,2012-02-17,sh.601360,11.1500000000,12.3600000000,11.1000000000,11.7000000000,20910162,247321727.0000,1,46.674469,4.278075
4,2012-02-24,sh.601360,11.8500000000,12.2000000000,11.6000000000,12.0100000000,13646145,162307340.0000,1,30.460145,2.649573
5,2012-03-02,sh.601360,12.0800000000,12.4500000000,11.6500000000,11.9600000000,13081103,157630032.0000,1,29.198891,-0.416320
6,2012-03-09,sh.601360,11.9900000000,12.1500000000,11.5800000000,11.9800000000,7967041,94703707.0000,1,17.783574,0.167224
7,2012-03-16,sh.601360,12.0600000000,12.4100000000,11.0700000000,11.3700000000,15506237,184308031.0000,1,34.612136,-5.091820
8,2012-03-23,sh.601360,11.3700000000,11.4500000000,11.0800000000,11.1200000000,4162090,46799612.0000,1,9.290379,-2.198769
9,2012-03-30,sh.601360,11.1100000000,11.2400000000,10.5400000000,10.6300000000,3308015,36024285.0000,1,7.383962,-4.406475
10,2012-04-06,sh.601360,10.6300000000,10.9600000000,10.6300000000,10.8600000000,862059,9359425.0000,1,1.924239,2.163688
11,2012-04-13,sh.601360,10.7500000000,11.1500000000,10.2500000000,10.8900000000,4882736,52173126.0000,1,10.898964,0.276243
12,2012-04-20,sh.601360,10.7800000000,11.1100000000,10.6000000000,11.0000000000,9254211,100348898.0000,1,16.525377,1.010101
13,2012-04-27,sh.601360,11.0000000000,11.0000000000,10.4450755000,10.8202869500,5796085,61637241.0000,1,10.350152,-1.633803
14,2012-05-04,sh.601360,10.9926814000,11.1042307500,10.9014137500,11.0332448000,3663718,39773042.0000,1,6.542354,1.968135
15,2012-05-11,sh.601360,10.9723997000,11.8140902500,10.9521180000,11.6822592000,14262316,162536555.0000,1,25.468421,5.882353
16,2012-05-18,sh.601360,11.7532451500,11.8647945000,11.2157801000,11.2563435000,9320356,106178938.0000,1,16.643493,-3.645833
17,2012-05-25,sh.601360,11.1752167000,11.4490196500,10.6580333500,10.7695827000,8208142,90084404.0000,1,14.657396,-4.324324
18,2012-06-01,sh.601360,10.6985967500,11.5605690000,10.6377516500,11.3273294500,5789838,63303555.0000,1,10.338996,5.178908
19,2012-06-08,sh.601360,11.1346533000,11.3070477500,10.6681742000,10.7797235500,2678241,28933507.0000,1,4.782573,-4.834378
20,2012-06-15,sh.601360,10.7594418500,11.2563435000,10.7493010000,11.1549350000,2731371,29823639.0000,1,4.877448,3.480715
21,2012-06-21,sh.601360,11.1752167000,11.3273294500,10.9014137500,10.9723997000,1796881,19782109.0000,1,3.208716,-1.636364
22,2012-06-29,sh.601360,10.9926814000,11.1549350000,10.5769065500,10.9014137500,2658687,28360336.0000,1,4.747655,-0.646950
23,2012-07-06,sh.601360,11.1042307500,11.3273294500,10.5971882500,10.9115546000,8487544,92077865.0000,1,15.156329,0.093023
24,2012-07-13,sh.601360,10.7695827000,10.8507095000,10.3436670000,10.5464840000,2626901,27398485.0000,1,4.690895,-3.345725
25,2012-07-20,sh.601360,10.6478925000,10.6478925000,9.9684555500,10.1002866000,1825383,18316038.0000,1,3.259613,-4.230769
26,2012-07-27,sh.601360,9.9887372500,10.0495823500,9.6033849500,9.6540892000,2496642,24178929.0000,1,4.458289,-4.417671
27,2012-08-03,sh.601360,9.6845117500,9.7149343000,8.8935254500,9.1571875500,2187335,19700444.0000,1,3.905955,-5.147059
28,2012-08-10,sh.601360,9.0760607500,11.9357804500,9.0354973500,11.5200056000,25715993,271113238.0000,1,45.921416,25.802879
29,2012-08-17,sh.601360,11.6112732500,11.7025409000,10.8709912000,11.0129631000,18771631,208384932.0000,1,33.520770,-4.401408
30,2012-08-24,sh.601360,11.0535265000,11.4185971000,10.6580333500,10.9014137500,14651879,159707627.0000,1,26.164070,-1.012891
31,2012-08-31,sh.601360,10.8405686500,11.4591605000,10.4552163500,10.7087376000,11538052,123456463.0000,1,20.603664,-1.767442
32,2012-09-07,sh.601360,10.8507095000,11.1346533000,10.6478925000,11.1245124500,14844449,158977582.0000,1,26.507945,3.882576
33,2012-09-14,sh.601360,11.0636673500,11.1042307500,10.5971882500,10.6681742000,8199703,88068749.0000,1,14.642327,-4.102097
34,2012-09-21,sh.601360,10.6073291000,10.6478925000,9.3701454000,9.4005679500,3815258,37313174.0000,1,6.812961,-11.882129
35,2012-09-28,sh.601360,9.3802862500,10.0394415000,9.3093003000,9.9785964000,3555658,33942906.0000,1,6.349389,6.148867
36,2012-10-12,sh.601360,9.8974696000,10.0800049000,9.5831032500,9.6540892000,2810872,27385301.0000,1,5.019414,-3.252033
37,2012-10-19,sh.601360,9.5526807000,10.1307091500,9.4715539000,9.8670470500,2779050,26832747.0000,1,4.962589,2.205882
38,2012-10-26,sh.601360,9.8670470500,9.9177513000,9.4309905000,9.4715539000,1651137,15774142.0000,1,2.948459,-4.008222
39,2012-11-02,sh.601360,9.5121173000,9.9481738500,9.4107088000,9.9177513000,2245068,21635244.0000,1,4.009050,4.710921
40,2012-11-09,sh.601360,9.9278921500,9.9887372500,9.3802862500,9.4715539000,1831137,17551937.0000,1,3.269888,-4.498978
41,2012-11-16,sh.601360,9.4918356000,9.5831032500,9.0354973500,9.0963424500,1519039,13922638.0000,1,2.712570,-3.961456
42,2012-11-23,sh.601360,9.0253565000,9.2788777500,8.9949339500,9.1673284000,1131978,10217793.0000,1,2.021389,0.780379
43,2012-11-30,sh.601360,9.1774692500,9.1774692500,8.6095816500,8.7211310000,1102472,9554535.0000,1,1.968700,-4.867257
44,2012-12-07,sh.601360,8.7109901500,9.4614130500,8.4777506000,9.4107088000,2285391,20214140.0000,1,4.081055,7.906977
45,2012-12-14,sh.601360,9.4715539000,9.8264836500,9.1774692500,9.5323990000,4959032,46395470.0000,1,8.855414,1.293103
46,2012-12-21,sh.601360,9.5425398500,9.9583147000,9.4715539000,9.7960611000,4429729,42477702.0000,1,7.910230,2.765957
47,2012-12-28,sh.601360,9.7757794000,10.4450755000,9.6236666500,10.0597232000,5404595,53557303.0000,1,9.651063,2.691511
48,2013-01-04,sh.601360,10.0698640500,10.4856389000,9.9380330000,10.1611317000,2634194,26668312.0000,1,4.703918,1.008065
49,2013-01-11,sh.601360,10.1408500000,10.3436670000,9.9684555500,9.9785964000,4230435,42462781.0000,1,7.554348,-1.796407
50,2013-01-18,sh.601360,10.0394415000,12.3211327500,9.9380330000,12.0980340500,31466533,359891831.0000,1,34.194263,21.239837
51,2013-01-25,sh.601360,12.0676115000,12.4732455000,11.1549350000,11.3983154000,29964984,351168771.0000,1,19.132908,-5.783738
52,2013-02-01,sh.601360,11.4185971000,12.0676115000,11.2969069000,11.9256396000,10556400,122035219.0000,1,6.740355,4.626335
53,2013-02-08,sh.601360,11.9053579000,13.2845135000,11.5200056000,13.0614148000,21877026,269853812.0000,1,13.968675,9.523810
