,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2019-01-18,sh.601598,5.3000000000,5.7000000000,4.7700000000,4.8900000000,318354560,1633168097.0000,1,23.553255,-6.679389
1,2019-01-25,sh.601598,5.0500000000,5.3800000000,4.7500000000,4.7800000000,961056184,4923473999.0000,1,71.103116,-2.249489
2,2019-02-01,sh.601598,4.8000000000,4.8700000000,4.0400000000,4.2000000000,352939088,1550529645.0000,1,26.111969,-12.133891
3,2019-02-15,sh.601598,4.2100000000,4.4900000000,4.1600000000,4.3200000000,312434957,1362243652.0000,1,23.115297,2.857143
4,2019-02-22,sh.601598,4.3400000000,4.8100000000,4.3300000000,4.5600000000,379129008,1714850588.0000,1,28.049613,5.555556
5,2019-03-01,sh.601598,4.5800000000,5.5200000000,4.5600000000,5.2900000000,756586542,3837678415.0000,1,55.975562,16.008772
6,2019-03-08,sh.601598,5.3300000000,7.6900000000,5.3000000000,6.9400000000,1060237858,6863446809.0000,1,78.441007,31.190926
7,2019-03-15,sh.601598,6.9200000000,7.1700000000,5.8200000000,6.0200000000,874798137,5648330621.0000,1,64.721370,-13.256484
8,2019-03-22,sh.601598,6.0300000000,6.3600000000,5.9000000000,6.1800000000,383870231,2372563989.0000,1,28.400389,2.657807
9,2019-03-29,sh.601598,6.0500000000,6.1000000000,5.6700000000,5.9200000000,287913219,1690996425.0000,1,21.301072,-4.207120
10,2019-04-04,sh.601598,5.9600000000,6.8500000000,5.9300000000,6.5000000000,572775380,3686963163.0000,1,42.376413,9.797297
11,2019-04-12,sh.601598,6.4500000000,6.5200000000,5.9500000000,6.0000000000,296781533,1842907601.0000,1,21.957188,-7.692308
12,2019-04-19,sh.601598,6.0900000000,6.2400000000,5.8700000000,6.0000000000,211985232,1278877299.0000,1,15.683589,0.000000
13,2019-04-26,sh.601598,6.0100000000,6.0400000000,5.5500000000,5.5600000000,177311443,1026077773.0000,1,13.118272,-7.333333
14,2019-04-30,sh.601598,5.5600000000,5.6000000000,5.1100000000,5.2900000000,73821802,391587482.0000,1,5.461658,-4.856115
15,2019-05-10,sh.601598,5.1200000000,5.1500000000,4.6500000000,5.0100000000,174118724,853861620.0000,1,12.882060,-5.293006
