,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.601607,38.2495800700,40.4701652700,37.0282582100,39.6929604500,14733777,101344730.0000,1,5.150543,4.992658
1,2007-01-12,sh.601607,39.4153873000,49.2414768100,39.4153873000,46.3547160500,62272832,511363006.0000,1,21.768952,16.783217
2,2007-01-19,sh.601607,46.5767745700,63.8418245000,46.4657453100,59.5116833600,73417306,733106812.0000,1,25.664769,28.383234
3,2007-01-26,sh.601607,59.5116833600,61.0660930000,49.7966231100,53.7381618400,75308314,766122368.0000,1,26.325816,-9.701493
4,2007-02-02,sh.601607,54.2377935100,57.7352152000,49.4635353300,50.0741962600,52906961,510577589.0000,1,18.494889,-6.818182
5,2007-02-09,sh.601607,50.0741962600,58.8455078000,49.9631670000,56.8469811200,48258287,485111232.0000,1,16.869834,13.525499
6,2007-02-16,sh.601607,56.9024957500,74.0010017900,56.8469811200,71.9469604800,60431947,713511685.0000,1,21.125427,26.562500
7,2007-03-02,sh.601607,71.6138727000,75.0002651300,58.7344785400,62.6205026400,50523667,609208867.0000,1,17.661752,-12.962963
8,2007-03-09,sh.601607,62.7870465300,71.5028434400,60.2333735500,69.8929191700,45689506,537525968.0000,1,15.971856,11.613475
9,2007-03-16,sh.601607,69.9484338000,72.1135043700,64.9521171000,65.5072634000,36609682,452521826.0000,1,12.797787,-6.274821
10,2007-03-23,sh.601607,63.2866782000,69.9484338000,62.4539587500,67.6723339700,35521837,425877605.0000,1,12.417505,3.305085
11,2007-03-30,sh.601607,68.4495387900,72.7241653000,63.0091050500,64.5635146900,46171056,567115787.0000,1,16.140193,-4.593929
12,2007-04-06,sh.601607,65.4517487700,70.8921825100,63.6197659800,70.2815215800,62973908,769467520.0000,1,22.014030,8.856406
13,2007-04-13,sh.601607,70.7256386200,80.4962135000,70.6701239900,78.1645990400,87239184,1208691917.0000,1,30.496536,11.216430
14,2007-04-20,sh.601607,78.1645990400,86.6028228000,75.3888675400,80.9958451700,63410990,946809334.0000,1,22.166823,3.622159
15,2007-04-27,sh.601607,81.6336076800,87.0375548000,80.9958451200,85.7705524200,26508768,414644998.0000,1,9.266772,5.894989
16,2007-04-30,sh.601607,86.8143982500,92.3236620000,86.4084525000,91.2798015000,19482299,301208294.0000,1,6.810502,6.423259
17,2007-05-11,sh.601607,92.9615767500,103.0188296800,90.3758846400,102.9583371200,86122845,1376214760.0000,1,30.106293,12.794216
18,2007-05-18,sh.601607,102.9583371200,113.2420723200,101.0830677600,103.5027701600,58083515,1002602114.0000,1,20.304477,0.528790
19,2007-05-25,sh.601607,98.7843504800,105.8014874400,98.0584397600,102.7768594400,81313115,1374788736.0000,1,28.424937,-0.701344
20,2007-06-01,sh.601607,103.8657255200,112.5161616000,98.4213951200,98.4213951200,64744551,1122853065.0000,1,22.633001,-4.237787
21,2007-06-08,sh.601607,98.1794248800,98.1794248800,79.7291940800,89.6499739200,47067512,675127397.0000,1,16.453570,-8.912108
22,2007-06-15,sh.601607,90.0129292800,107.6767568000,90.0129292800,106.1644428000,57671255,968511176.0000,1,20.160362,18.421053
23,2007-06-22,sh.601607,109.9754740800,123.4653149600,107.0718312000,110.0359666400,63269819,1219656782.0000,1,22.117473,3.646724
24,2007-06-29,sh.601607,104.0472032000,114.2704458400,96.0621852800,104.9545916000,40817260,714149807.0000,1,14.268646,-4.617922
25,2007-07-06,sh.601607,101.0830677600,111.0643401600,91.8881986400,103.4422776000,23972867,412578584.0000,1,8.380287,-1.440922
26,2007-07-13,sh.601607,104.9545916000,106.7693684000,93.7634680000,94.9128266400,16740696,274154244.0000,1,5.852109,-8.245614
27,2007-07-20,sh.601607,91.3437656000,95.5177522400,85.2945096000,93.8239605600,37243116,545022264.0000,1,13.019219,-1.147228
28,2007-07-27,sh.601607,93.4005126400,99.6312463200,89.4080036800,97.2115439200,71819230,1119507585.0000,1,25.106123,3.610574
29,2007-08-03,sh.601607,97.6349918400,102.1719338400,89.2265260000,91.7672135200,70387283,1107373906.0000,1,24.605552,-5.600498
30,2007-08-10,sh.601607,91.5857358400,98.6028728000,89.6499739200,97.6349918400,61635373,952030990.0000,1,21.546113,6.394199
31,2007-08-17,sh.601607,99.6917388800,105.7409948800,95.1547968800,96.9204660000,81276036,1287121406.0000,1,27.005254,-0.731836
32,2007-08-24,sh.601607,99.6066512000,111.0773880000,98.7354560000,107.5926072000,86876585,1251642403.0000,1,25.308151,11.011236
33,2007-08-31,sh.601607,109.6253960000,113.2553760000,102.3654360000,105.4872188000,58271014,860022855.0000,1,16.975018,-1.956815
34,2007-09-07,sh.601607,105.9954160000,118.1921488000,105.9954160000,108.9719996000,68136640,1043560907.0000,1,19.848989,3.303510
35,2007-09-14,sh.601607,107.4474080000,109.6253960000,97.9368604000,107.5200076000,55121129,788672593.0000,1,16.057420,-1.332445
36,2007-09-21,sh.601607,107.4474080000,113.4731748000,103.8900276000,107.8104060000,72769676,1098749352.0000,1,21.198645,0.270088
37,2007-09-28,sh.601607,107.5200076000,108.0282048000,100.9134440000,104.3982248000,34164110,491372845.0000,1,9.952399,-3.164983
38,2007-10-12,sh.601607,105.4146192000,107.9556052000,94.2342808000,98.7354560000,57549491,810403450.0000,1,16.764830,-5.424200
39,2007-10-19,sh.601607,101.6394400000,104.8338224000,94.4520796000,102.0750376000,41994485,585125929.0000,1,12.233478,3.382353
40,2007-10-26,sh.601607,101.3490416000,101.3490416000,77.6815720000,79.7869604000,41254938,509239509.0000,1,12.018039,-21.834993
41,2007-11-02,sh.601607,80.6581556000,85.2319304000,74.5597892000,74.6323888000,27845454,305550144.0000,1,8.111702,-6.460419
42,2007-11-09,sh.601607,73.1803968000,78.2623688000,71.1476080000,71.5832056000,15749603,162522707.0000,1,4.588041,-4.085603
43,2007-11-16,sh.601607,71.7284048000,77.5363728000,71.1476080000,75.7213828000,18629437,191407366.0000,1,5.426970,5.780933
44,2007-11-23,sh.601607,76.2295800000,80.3677572000,72.6721996000,76.0117812000,15763741,168388321.0000,1,4.592159,0.383509
45,2007-11-30,sh.601607,76.8829764000,82.4005460000,72.9625980000,80.8759544000,25938698,277286502.0000,1,7.556242,6.399236
46,2007-12-07,sh.601607,81.2389524000,84.5785340000,79.6417612000,83.6347392000,27489361,311741085.0000,1,8.007968,3.411131
47,2007-12-14,sh.601607,82.0375480000,91.1124980000,81.3115520000,88.7167112000,31565634,378217481.0000,1,9.195433,6.076389
48,2007-12-21,sh.601607,89.2975080000,92.8548884000,86.9743208000,91.9110936000,22687036,282465532.0000,1,6.608995,3.600655
49,2007-12-28,sh.601607,92.9274880000,103.9626272000,91.3302968000,100.0422488000,30779847,411757357.0000,1,8.966524,8.846761
50,2008-01-04,sh.601607,101.3490416000,106.3584140000,100.1874480000,102.8736332000,16469254,235198315.0000,1,4.797684,2.830189
51,2008-01-11,sh.601607,102.3654360000,104.9064220000,96.4848684000,99.8244500000,30252137,416722736.0000,1,8.812796,-2.964008
52,2008-01-18,sh.601607,100.1874480000,110.3513920000,99.9696492000,101.5668404000,43550738,625492250.0000,1,12.686832,1.745455
53,2008-01-25,sh.601607,102.3654360000,103.4544300000,83.4895400000,90.8946992000,31719701,395965573.0000,1,9.240315,-10.507505
54,2008-02-01,sh.601607,90.7495000000,90.7495000000,74.6323888000,79.2787632000,14367143,163852082.0000,1,4.185314,-12.779553
55,2008-02-05,sh.601607,81.3115520000,87.4825180000,81.3115520000,85.6675280000,5410630,62999518.0000,1,1.576179,8.058608
56,2008-02-15,sh.601607,85.6675280000,90.0235040000,83.1265420000,89.2975080000,8420004,101806372.0000,1,2.452844,4.237288
57,2008-02-22,sh.601607,90.6043008000,93.2904860000,85.0141316000,87.2647192000,15456100,193070469.0000,1,4.502540,-2.276423
58,2008-02-29,sh.601607,88.0633148000,89.0797092000,82.4731456000,88.4263128000,11838019,141012586.0000,1,3.448551,1.331115
59,2008-03-07,sh.601607,89.0797092000,98.8806552000,88.3537132000,92.7822888000,34522724,449490993.0000,1,10.056867,4.926108
60,2008-03-14,sh.601607,92.5644900000,92.5644900000,81.3841516000,84.0703368000,14823355,177404702.0000,1,4.318214,-9.389671
61,2008-03-21,sh.601607,84.0703368000,84.0703368000,68.0984248000,77.3185740000,20461378,208195635.0000,1,5.960635,-8.031088
62,2008-03-28,sh.601607,78.1171696000,79.1335640000,68.6066220000,72.5270004000,13318646,134103284.0000,1,3.879875,-6.197183
63,2008-04-03,sh.601607,70.4216120000,71.8736040000,60.3302676000,64.5410444000,14335751,127430223.0000,1,4.176170,-11.011011
64,2008-04-11,sh.601607,63.0890524000,68.8244208000,59.8946700000,64.1054468000,19731457,176690021.0000,1,5.748001,-0.674916
65,2008-04-18,sh.601607,61.7096600000,62.9438532000,50.8197200000,51.2553176000,14153289,111736227.0000,1,4.123016,-20.045300
66,2008-04-25,sh.601607,55.1756960000,60.6932656000,45.7377480000,60.6932656000,59234245,455879112.0000,1,17.255618,18.413598
67,2008-04-30,sh.601607,60.9836640000,60.9836640000,56.4098892000,59.6768712000,36072645,292421567.0000,1,10.508377,-1.674641
68,2008-05-09,sh.601607,60.3302676000,63.0164528000,55.7564928000,60.3302676000,41191966,341318882.0000,1,11.999694,1.094891
69,2008-05-16,sh.601607,59.4590724000,74.5597892000,58.8782756000,66.3560344000,103980390,983053289.0000,1,30.290686,9.987966
70,2008-05-23,sh.601607,65.4122396000,69.6956160000,58.3700784000,60.4028672000,35402758,312270374.0000,1,10.313231,-8.971554
71,2008-05-30,sh.601607,60.1850684000,60.6206660000,56.6276880000,57.5714828000,16538312,134238661.0000,1,4.817801,-4.687500
72,2008-06-06,sh.601607,57.9344808000,62.2178572000,56.8454868000,57.0632856000,20743807,170310635.0000,1,6.042910,-0.882724
73,2008-06-13,sh.601607,54.8852976000,54.8852976000,47.3349392000,47.4075388000,13230836,91323153.0000,1,3.854295,-16.921120
74,2008-06-20,sh.601607,48.2787340000,51.6183156000,44.2857560000,48.3513336000,23384538,156711516.0000,1,6.812185,1.990812
75,2008-06-27,sh.601607,46.8267420000,52.1265128000,45.9555468000,51.7635148000,18865967,128355358.0000,1,5.495874,7.057057
76,2008-07-04,sh.601607,47.8431364000,54.3045008000,46.9719412000,51.4731164000,23877441,164460100.0000,1,6.955774,-0.561010
77,2008-07-11,sh.601607,51.9087140000,56.4098892000,50.8923196000,51.6909152000,31232328,230926306.0000,1,9.098337,0.423131
78,2008-07-18,sh.601607,50.9649192000,53.0703076000,46.3185448000,49.0047300000,18204118,125299516.0000,1,5.303069,-5.196629
79,2008-07-25,sh.601607,48.2787340000,53.8689032000,47.9157360000,52.2717120000,24316327,174195252.0000,1,6.745019,6.666667
80,2008-08-01,sh.601607,52.4895108000,54.0867020000,47.9157360000,50.1663236000,14665676,103931551.0000,1,3.945210,-4.027778
81,2008-08-08,sh.601607,49.7307260000,51.9087140000,47.0445408000,47.1897400000,11651449,79370185.0000,1,3.134353,-5.933430
82,2008-08-15,sh.601607,47.1171404000,47.5527380000,40.2201784000,42.8337640000,11195057,66708000.0000,1,3.011579,-9.230769
83,2008-08-22,sh.601607,42.6885648000,49.1499292000,39.2763836000,47.4801384000,25541477,161307911.0000,1,6.870906,10.847458
84,2008-08-29,sh.601607,47.4801390800,47.5532980000,41.1884719600,45.1390536400,17251151,104599780.0000,1,4.640727,-4.930663
85,2008-09-05,sh.601607,45.1390536400,45.5780071600,41.7005844000,42.5784914400,9918855,59449932.0000,1,2.668268,-5.672609
