,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-12,sh.601628,37.0000000000,40.3000000000,37.0000000000,39.5000000000,473709159,18421848312.0000,1,78.951526,109.216102
1,2007-01-19,sh.601628,39.8200000000,49.5000000000,38.9500000000,44.5700000000,229591172,10099092438.0000,1,38.265195,12.835443
2,2007-01-26,sh.601628,44.6800000000,47.4700000000,38.5000000000,40.2600000000,158411055,6828857435.0000,1,26.401843,-9.670182
3,2007-02-02,sh.601628,41.8200000000,42.0000000000,35.8000000000,35.9900000000,116770414,4534554870.0000,1,19.461736,-10.606061
4,2007-02-09,sh.601628,35.7000000000,36.5800000000,33.0000000000,36.1000000000,105766622,3675487322.0000,1,17.627770,0.305640
5,2007-02-16,sh.601628,35.6700000000,38.4800000000,35.3900000000,37.8200000000,74676038,2742807853.0000,1,12.446006,4.764543
6,2007-03-02,sh.601628,37.8700000000,37.8700000000,33.4900000000,33.8000000000,114027528,3996994028.0000,1,19.004588,-10.629297
7,2007-03-09,sh.601628,33.7500000000,33.8500000000,31.5000000000,33.0700000000,74436906,2451445812.0000,1,12.406151,-2.159763
8,2007-03-16,sh.601628,33.0900000000,34.0000000000,32.0000000000,33.8100000000,92130126,3034713670.0000,1,15.355021,2.237678
9,2007-03-23,sh.601628,33.3500000000,35.8000000000,33.2500000000,34.0000000000,102945320,3575476218.0000,1,17.157553,0.561964
10,2007-03-30,sh.601628,34.1000000000,37.5000000000,33.8600000000,35.2300000000,120608269,4258536343.0000,1,20.101378,3.617647
11,2007-04-06,sh.601628,35.3200000000,36.3700000000,34.6500000000,35.2100000000,79184697,2802928597.0000,1,13.197450,-0.056770
12,2007-04-13,sh.601628,35.0500000000,38.3500000000,35.0100000000,37.6900000000,193293787,7152176680.0000,1,23.599327,7.043454
13,2007-04-20,sh.601628,37.7100000000,39.3500000000,34.8900000000,36.8900000000,177764941,6610819730.0000,1,19.751660,-2.122579
14,2007-04-27,sh.601628,36.8900000000,42.3200000000,36.8900000000,40.7800000000,141676822,5549538018.0000,1,15.741869,10.544863
15,2007-04-30,sh.601628,40.3700000000,42.8600000000,39.9000000000,41.6500000000,40786783,1685080181.0000,1,4.531865,2.133399
16,2007-05-11,sh.601628,42.5000000000,42.8800000000,38.5000000000,39.2200000000,127371793,5140702017.0000,1,14.152421,-5.834334
17,2007-05-18,sh.601628,39.2000000000,40.1500000000,37.6500000000,39.0200000000,134306717,5216572455.0000,1,14.922969,-0.509944
18,2007-05-25,sh.601628,38.0000000000,40.1300000000,38.0000000000,39.0300000000,139648856,5495771335.0000,1,15.516540,0.025628
19,2007-06-01,sh.601628,39.3400000000,40.5200000000,35.3000000000,37.0800000000,187093123,7171960467.0000,1,20.788125,-4.996157
20,2007-06-08,sh.601628,36.9700000000,37.1000000000,32.1000000000,35.7400000000,123081420,4286606326.0000,1,13.675713,-3.613808
21,2007-06-15,sh.601628,35.9000000000,38.5400000000,35.9000000000,37.4600000000,91071296,3420964628.0000,1,10.119033,4.812535
22,2007-06-22,sh.601628,38.3600000000,44.7100000000,38.1100000000,43.4400000000,263660234,11055260068.0000,1,29.295582,15.963695
23,2007-06-29,sh.601628,43.8400000000,46.2800000000,40.9900000000,41.1100000000,167228597,7340617514.0000,1,18.580955,-5.363720
24,2007-07-06,sh.601628,40.5380468000,42.9462476000,39.3841172500,42.0231039600,53706667,2197073609.0000,1,5.967407,2.221137
25,2007-07-13,sh.601628,42.4445391000,48.5152119500,42.0431723000,46.6889930100,93274922,4215503247.0000,1,10.363880,11.103152
26,2007-07-20,sh.601628,46.6588905000,50.1909183400,45.0132866200,49.5386972900,94301080,4526594018.0000,1,10.477898,6.103589
27,2007-07-27,sh.601628,49.7694832000,50.1608158300,46.7592322000,47.1605990000,163153341,7804488376.0000,1,18.128149,-4.800486
28,2007-08-03,sh.601628,47.7626492000,51.3548820600,46.8194372200,51.1541986600,152946713,7392218507.0000,1,16.994079,8.468085
29,2007-08-10,sh.601628,51.3849845700,51.5655996300,47.4616241000,48.1840843400,157621419,7734803808.0000,1,17.513491,-5.806199
30,2007-08-17,sh.601628,49.0470229600,52.4686749300,47.2609407000,47.5017607800,163003321,8123439232.0000,1,18.111480,-1.416077
31,2007-08-24,sh.601628,48.5553486300,51.1441644900,47.9633326000,50.1608158300,117668902,5801709459.0000,1,13.074322,5.597803
32,2007-08-31,sh.601628,51.1742670000,59.0811929600,50.4919434400,56.5124454400,214010510,11748583672.0000,1,23.778946,12.662533
33,2007-09-07,sh.601628,56.5124454400,57.6463066500,52.9904517700,54.0942104700,98179194,5398481014.0000,1,10.908799,-4.279119
34,2007-09-14,sh.601628,52.7295633500,55.5591992900,51.9167955800,53.4520235900,82976295,4414901617.0000,1,9.219588,-1.187164
35,2007-09-21,sh.601628,53.6828095000,59.5728672900,53.6828095000,57.1445981500,92031932,5200819761.0000,1,10.225770,6.908203
36,2007-09-28,sh.601628,57.1947690000,63.8674920500,55.6595409900,62.6232549700,94000608,5600959189.0000,1,10.444512,9.587357
37,2007-10-12,sh.601628,65.9144627300,73.2996118500,64.2186880000,71.4131878900,130717105,8971057879.0000,1,14.524123,14.036212
38,2007-10-19,sh.601628,72.2460240000,73.0387234300,67.0182214300,67.9012283900,79578139,5589264819.0000,1,8.842015,-4.917802
39,2007-10-26,sh.601628,66.4262054000,73.2394068300,65.2321391700,70.5903859500,73414781,5123487493.0000,1,8.157198,3.960396
40,2007-11-02,sh.601628,70.8914110500,76.2396236600,69.9682674100,70.8412402000,57684633,4238876840.0000,1,6.409404,0.355366
41,2007-11-09,sh.601628,69.9883357500,71.1121627900,60.4859767600,62.3222298700,60328123,3920667459.0000,1,6.703125,-12.025496
42,2007-11-16,sh.601628,60.5060451000,67.4697590800,59.5829014600,65.5733009500,64356908,4078322236.0000,1,7.150768,5.216551
43,2007-11-23,sh.601628,65.9244969000,66.4262054000,55.3986525700,57.7466483500,52054188,3154420699.0000,1,5.783799,-11.935731
44,2007-11-30,sh.601628,58.7099286700,59.1815346600,52.6693583300,55.0173541100,53772034,2970269382.0000,1,5.974670,-4.726325
45,2007-12-07,sh.601628,55.0875933000,61.4893937600,54.7062948400,60.6866601600,40603057,2382081012.0000,1,4.511451,10.304578
46,2007-12-14,sh.601628,59.2016030000,62.0914439600,56.1913520000,59.0209879400,51695349,3027635899.0000,1,5.743928,-2.744709
47,2007-12-21,sh.601628,58.9005779000,59.5929356300,53.9838346000,58.8002362000,45719160,2579240521.0000,1,5.079907,-0.374022
48,2007-12-28,sh.601628,59.2016030000,61.0077536000,56.1913520000,58.1379809800,77292008,4494825148.0000,1,8.588001,-1.126280
49,2008-01-04,sh.601628,58.1981860000,58.1981860000,54.2848597000,56.8636413900,69409372,3863701655.0000,1,7.712152,-2.191923
50,2008-01-11,sh.601628,56.1913520000,60.8873435600,55.6595409900,59.0109537700,232198249,13428997332.0000,1,18.114522,3.776248
51,2008-01-18,sh.601628,59.6230381400,60.3053617000,51.1742670000,53.0305884500,159249796,8864568467.0000,1,10.616653,-10.134331
52,2008-01-25,sh.601628,53.2112035100,53.5322969500,42.1435140000,45.7558152000,174387256,7904958378.0000,1,11.625817,-13.718070
53,2008-02-01,sh.601628,44.6119198200,44.6520565000,38.1398801700,40.4276709300,119482614,4853429631.0000,1,7.965508,-11.644737
54,2008-02-05,sh.601628,41.2003020200,44.0500063000,41.1501311700,42.7054275200,40200402,1713080802.0000,1,2.680027,5.634152
55,2008-02-15,sh.601628,41.5213954600,41.5414638000,40.1467141700,41.4210537600,28787677,1171772279.0000,1,1.919178,-3.007519
56,2008-02-22,sh.601628,41.9628989400,42.2438557000,37.1264290000,37.9994017900,84113012,3375223086.0000,1,5.607534,-8.260659
57,2008-02-29,sh.601628,37.7284792000,39.4342881000,35.4206201000,39.1834338500,98557098,3697540836.0000,1,6.570473,3.115923
