,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2009-07-31,sh.601668,6.7000000000,7.9600000000,6.2100000000,6.8500000000,6874676299,47550152088.0000,1,114.577938,63.875598
1,2009-08-07,sh.601668,6.7900000000,6.8200000000,6.3000000000,6.3700000000,3000822621,19565146532.0000,1,50.013710,-7.007299
2,2009-08-14,sh.601668,6.4000000000,6.6500000000,5.7700000000,5.7800000000,2244216773,14116809523.0000,1,37.403613,-9.262166
3,2009-08-21,sh.601668,5.6600000000,5.8400000000,5.2500000000,5.4000000000,1614977224,8935091132.0000,1,26.916287,-6.574394
4,2009-08-28,sh.601668,5.4000000000,5.4200000000,4.9700000000,5.0600000000,1400167033,7239136980.0000,1,23.336117,-6.296296
5,2009-09-04,sh.601668,5.0000000000,5.3900000000,4.9600000000,5.3000000000,1447635971,7518183589.0000,1,24.127266,4.743083
6,2009-09-11,sh.601668,5.3600000000,5.3800000000,5.1400000000,5.3100000000,1189373599,6266362572.0000,1,19.822893,0.188679
7,2009-09-18,sh.601668,5.3300000000,5.4700000000,5.1400000000,5.1700000000,1315417865,7009786590.0000,1,21.923631,-2.636535
8,2009-09-25,sh.601668,5.1100000000,5.1600000000,4.8300000000,4.8700000000,857833125,4289850839.0000,1,14.297219,-5.802708
9,2009-09-30,sh.601668,4.8900000000,4.9000000000,4.5900000000,4.6400000000,359957884,1697949153.0000,1,5.999298,-4.722793
10,2009-10-09,sh.601668,4.6900000000,4.8300000000,4.6800000000,4.8200000000,140188337,666819588.0000,1,2.336472,3.879310
11,2009-10-16,sh.601668,4.8100000000,5.2500000000,4.7200000000,5.1400000000,1563558785,8021333625.0000,1,26.059313,6.639004
12,2009-10-23,sh.601668,5.1400000000,5.3400000000,5.1100000000,5.2200000000,1287472464,6737838910.0000,1,21.457874,1.556420
13,2009-10-30,sh.601668,5.2200000000,5.3400000000,4.7000000000,4.7700000000,2705304388,13263372940.0000,1,27.844575,-8.620690
14,2009-11-06,sh.601668,4.6800000000,4.9500000000,4.5800000000,4.8800000000,2450897991,11767098736.0000,1,20.424150,2.306080
15,2009-11-13,sh.601668,4.8800000000,4.9200000000,4.7200000000,4.8100000000,1691303513,8178614659.0000,1,14.094196,-1.434426
16,2009-11-20,sh.601668,4.8300000000,5.0400000000,4.8100000000,4.9800000000,2417027140,11910234347.0000,1,20.141893,3.534304
