,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2010-08-06,sh.601717,28.8000000000,33.9600000000,28.5100000000,33.1700000000,233886901,7266573549.0000,1,208.827590,65.850000
1,2010-08-13,sh.601717,32.9300000000,34.1600000000,30.3100000000,31.1500000000,100883794,3269622633.0000,1,90.074816,-6.089840
2,2010-08-20,sh.601717,31.0000000000,32.0000000000,30.2800000000,31.4200000000,69131232,2158206202.0000,1,61.724314,0.866774
3,2010-08-27,sh.601717,31.6500000000,32.8500000000,30.5100000000,30.8100000000,48481586,1532073910.0000,1,43.287130,-1.941439
4,2010-09-03,sh.601717,31.1400000000,33.4600000000,30.7800000000,32.3300000000,54077006,1740036572.0000,1,48.283041,4.933463
5,2010-09-10,sh.601717,32.4700000000,35.5600000000,32.2100000000,34.4100000000,69489226,2384545746.0000,1,62.043952,6.433653
6,2010-09-17,sh.601717,34.3300000000,35.1800000000,31.4500000000,32.0300000000,29412559,987106386.0000,1,26.261213,-6.916594
7,2010-09-21,sh.601717,32.2100000000,32.2100000000,30.9800000000,31.3000000000,5250592,164995041.0000,1,4.688029,-2.279113
8,2010-09-30,sh.601717,31.3000000000,32.1600000000,30.8000000000,31.8300000000,11388309,359930509.0000,1,10.168133,1.693291
9,2010-10-08,sh.601717,32.2200000000,33.6000000000,32.1800000000,33.1400000000,5542862,183436692.0000,1,4.948984,4.115614
10,2010-10-15,sh.601717,33.0000000000,34.5100000000,31.0900000000,31.5200000000,35136169,1164543401.0000,1,31.371579,-4.888352
11,2010-10-22,sh.601717,31.8000000000,37.8800000000,31.5000000000,35.2500000000,65874114,2311929049.0000,1,58.816173,11.833756
12,2010-10-29,sh.601717,36.0000000000,36.7800000000,34.0400000000,35.3000000000,35359493,1251779027.0000,1,31.570976,0.141844
13,2010-11-05,sh.601717,35.3000000000,36.5100000000,33.7000000000,35.4000000000,35376057,1244733061.0000,1,31.585765,0.283286
14,2010-11-12,sh.601717,36.0000000000,39.4000000000,34.7000000000,35.3100000000,61364726,2282334534.0000,1,43.831947,-0.254237
15,2010-11-19,sh.601717,36.2500000000,39.9700000000,35.3100000000,39.3600000000,65337012,2471511842.0000,1,46.669294,11.469839
16,2010-11-26,sh.601717,39.3400000000,42.9900000000,38.6800000000,41.4000000000,43450581,1769228919.0000,1,31.036129,5.182927
17,2010-12-03,sh.601717,40.8000000000,41.6500000000,38.3100000000,40.7900000000,35304449,1425292642.0000,1,25.217464,-1.473430
18,2010-12-10,sh.601717,40.7900000000,43.2800000000,38.8000000000,42.9600000000,32715875,1362464478.0000,1,23.368482,5.319931
19,2010-12-17,sh.601717,44.0000000000,45.8200000000,43.1300000000,43.8900000000,31087453,1386747575.0000,1,22.205324,2.164804
20,2010-12-24,sh.601717,43.6500000000,44.8100000000,42.0000000000,42.5100000000,26028415,1126078626.0000,1,18.591725,-3.144224
21,2010-12-31,sh.601717,42.7900000000,43.5500000000,38.9000000000,42.4200000000,22208612,914946071.0000,1,15.863294,-0.211715
22,2011-01-07,sh.601717,42.6000000000,44.3300000000,41.5000000000,41.6500000000,17425445,750812282.0000,1,12.446746,-1.815182
23,2011-01-14,sh.601717,41.5000000000,42.4900000000,38.9500000000,39.0800000000,15094894,610757637.0000,1,10.782067,-6.170468
24,2011-01-21,sh.601717,38.9000000000,39.7800000000,36.6600000000,37.8600000000,15655507,594950758.0000,1,11.182505,-3.121801
25,2011-01-28,sh.601717,38.0100000000,42.0000000000,35.5800000000,41.5200000000,22540194,889162834.0000,1,16.100139,9.667195
