,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2009-08-21,sh.601788,30.0000000000,30.8800000000,23.7400000000,24.6800000000,460840058,12222382873.0000,1,135.222625,17.077799
1,2009-08-28,sh.601788,24.6800000000,25.3600000000,23.7500000000,23.8300000000,238735928,5857612133.0000,1,70.051417,-3.444084
2,2009-09-04,sh.601788,23.3100000000,23.7900000000,21.8600000000,23.2000000000,156058091,3564911906.0000,1,45.791559,-2.643726
3,2009-09-11,sh.601788,23.4000000000,24.5800000000,23.2300000000,23.8200000000,154188887,3670251681.0000,1,45.243085,2.672414
4,2009-09-18,sh.601788,23.8900000000,24.9000000000,23.3800000000,23.9900000000,157300427,3800617220.0000,1,46.156093,0.713686
5,2009-09-25,sh.601788,23.7000000000,23.8300000000,22.4600000000,22.8500000000,68822034,1586868247.0000,1,20.194200,-4.751980
6,2009-09-30,sh.601788,22.8600000000,22.9200000000,21.3700000000,21.9400000000,35636052,783226390.0000,1,10.456557,-3.982495
7,2009-10-09,sh.601788,22.2500000000,22.8000000000,22.1100000000,22.7100000000,13950848,314586516.0000,1,4.093547,3.509572
8,2009-10-16,sh.601788,22.6500000000,23.8000000000,22.1500000000,22.9900000000,75399206,1734140681.0000,1,22.124115,1.232937
9,2009-10-23,sh.601788,23.0100000000,25.1800000000,22.8300000000,24.6700000000,114070831,2766911050.0000,1,33.471390,7.307525
10,2009-10-30,sh.601788,25.0500000000,25.2000000000,23.4352169100,23.6297425200,84445109,2015122710.0000,1,24.778422,-4.216662
11,2009-11-06,sh.601788,23.0461656900,24.9402308400,22.8311637000,24.5307032400,98282117,2335748140.0000,1,28.838565,3.812825
12,2009-11-13,sh.601788,24.8276107500,25.5545222400,24.5818941900,25.4009493900,138740381,3405892839.0000,1,40.710086,3.547579
13,2009-11-20,sh.601788,25.4726167200,26.0869081200,23.7526008000,25.0016599800,303962122,7348953937.0000,1,66.731124,-1.571947
14,2009-11-27,sh.601788,24.9811836000,25.5647604300,22.8004491300,22.9949747400,217216722,5190505414.0000,1,41.772447,-8.026208
15,2009-12-04,sh.601788,23.2202149200,25.5852368100,23.1280712100,25.3497584400,195721629,4661385305.0000,1,37.638775,10.240427
16,2009-12-11,sh.601788,25.0835655000,26.4964357200,24.5511796200,25.0938036900,220871744,5514127886.0000,1,42.475335,-1.009693
17,2009-12-18,sh.601788,24.9299926500,25.4316639600,23.1997385400,23.7833153700,112750012,2677654422.0000,1,21.682695,-5.222358
18,2009-12-25,sh.601788,23.8549827000,24.1518902100,23.0871184500,23.7218862300,77431502,1789162711.0000,1,14.890673,-0.258287
19,2009-12-31,sh.601788,24.0392701200,26.3940538200,24.0392701200,26.1278608800,180426594,4477014951.0000,1,34.697422,10.142426
20,2010-01-08,sh.601788,26.2200045900,28.8921721800,25.3190438700,28.8000284700,324083670,8738030484.0000,1,62.323783,10.227273
