,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2011-02-01,sh.601799,20.0000000000,20.5000000000,19.3100000000,19.7300000000,6362149,126453050.0000,1,13.254477,-7.109228
1,2011-02-11,sh.601799,19.6100000000,22.1000000000,19.3200000000,21.8400000000,24667193,526661719.0000,1,51.389985,10.694374
2,2011-02-18,sh.601799,21.9800000000,23.8000000000,21.6600000000,22.6400000000,48175503,1091705319.0000,1,100.365631,3.663004
3,2011-02-25,sh.601799,22.3500000000,23.1500000000,22.0100000000,22.7800000000,16695785,377156954.0000,1,34.782885,0.618375
4,2011-03-04,sh.601799,23.4100000000,24.6900000000,22.8600000000,23.4900000000,19668554,470583178.0000,1,40.976154,3.116769
5,2011-03-11,sh.601799,23.6800000000,24.2400000000,22.5000000000,22.9300000000,12819067,298672745.0000,1,26.706390,-2.383993
6,2011-03-18,sh.601799,22.7100000000,24.0800000000,22.6000000000,23.6000000000,9840630,230978194.0000,1,20.501313,2.921936
7,2011-03-25,sh.601799,23.5700000000,24.3000000000,23.0200000000,23.9100000000,8341016,197423175.0000,1,17.377117,1.313559
8,2011-04-01,sh.601799,23.8500000000,24.2000000000,22.6500000000,22.9900000000,6733961,157192583.0000,1,14.029085,-3.847762
9,2011-04-08,sh.601799,22.8500000000,23.3700000000,22.2100000000,22.6000000000,4015114,91240386.0000,1,8.364821,-1.696390
10,2011-04-15,sh.601799,22.5200000000,23.3800000000,22.1800000000,23.0300000000,4146420,93718135.0000,1,8.638375,1.902655
11,2011-04-22,sh.601799,23.0100000000,23.2500000000,21.7000000000,22.2100000000,2424711,54286385.0000,1,5.051481,-3.560573
12,2011-04-29,sh.601799,22.2200000000,22.4800000000,21.0100000000,21.3000000000,1423217,30475397.0000,1,2.965035,-4.097253
13,2011-05-06,sh.601799,21.1500000000,21.9300000000,20.2000000000,20.9500000000,5332402,112548619.0000,1,8.887337,-1.643192
14,2011-05-13,sh.601799,21.0600000000,21.1500000000,18.6500000000,20.0600000000,5263333,106799044.0000,1,8.772222,-4.248210
15,2011-05-20,sh.601799,20.0800000000,20.4000000000,19.6000000000,20.3700000000,2429442,48405478.0000,1,4.049070,1.545364
16,2011-05-27,sh.601799,20.3600000000,20.3600000000,17.9100000000,18.4400000000,2671459,50664110.0000,1,4.452432,-9.474718
17,2011-06-03,sh.601799,18.2000000000,19.6937146000,17.7700000000,19.4710724000,3095014,58554691.0000,1,5.158357,5.591545
18,2011-06-10,sh.601799,19.4305920000,20.0377980000,18.6007438000,19.5621533000,2242697,42954583.0000,1,3.737828,0.467775
19,2011-06-17,sh.601799,19.2383101000,20.0377980000,18.8031458000,18.8537463000,1298999,24955925.0000,1,2.164998,-3.621314
20,2011-06-24,sh.601799,18.8537463000,19.7443151000,17.9125770000,19.3597513000,2908405,53834771.0000,1,4.847342,2.683843
21,2011-07-01,sh.601799,19.6329940000,19.6835945000,18.6209840000,18.9650674000,6712870,125954755.0000,1,11.188117,-2.038683
22,2011-07-08,sh.601799,19.0460282000,20.7866854000,18.9954277000,20.2402000000,11982352,235321366.0000,1,19.970587,6.723586
23,2011-07-15,sh.601799,20.2402000000,21.3129306000,20.2402000000,20.5336829000,4362095,89014872.0000,1,7.270158,1.450000
24,2011-07-22,sh.601799,20.5336829000,21.0295678000,19.5520332000,19.7949156000,5335994,106106722.0000,1,8.893323,-3.597831
25,2011-07-29,sh.601799,19.7240749000,19.7240749000,18.3275011000,18.6209840000,4905222,91469216.0000,1,8.175370,-5.930470
26,2011-08-05,sh.601799,18.3578614000,20.0681583000,18.3578614000,19.6329940000,7448478,143081994.0000,1,12.414130,5.434783
27,2011-08-12,sh.601799,19.3293910000,20.6146437000,18.4185820000,20.3717613000,6843772,134292901.0000,1,11.406287,3.762887
28,2011-08-19,sh.601799,20.3818814000,21.1105286000,19.2281900000,19.6734744000,5436188,108755904.0000,1,9.060313,-3.427720
29,2011-08-26,sh.601799,19.5925136000,20.5438030000,19.2281900000,20.3110407000,2898172,57248051.0000,1,4.830287,3.240741
30,2011-09-02,sh.601799,20.2908005000,20.3110407000,19.0257880000,19.1067488000,1697874,33192939.0000,1,2.829790,-5.929248
31,2011-09-09,sh.601799,19.0055478000,19.3901116000,18.6311041000,18.8537463000,1471705,27690519.0000,1,2.452842,-1.324153
32,2011-09-16,sh.601799,18.6007438000,19.1573493000,18.3983418000,18.7525453000,858008,15984382.0000,1,1.430013,-0.536769
33,2011-09-23,sh.601799,18.6513443000,20.2402000000,18.3376212000,19.2585503000,1948747,36476603.0000,1,3.247912,2.698327
34,2011-09-30,sh.601799,18.8638664000,19.1978297000,16.5058831000,17.1232092000,2283460,40717010.0000,1,3.805767,-11.087756
35,2011-10-14,sh.601799,17.1232092000,17.6595745000,16.1921600000,16.9005670000,1621514,27159483.0000,1,2.702523,-1.300236
36,2011-10-21,sh.601799,16.9106871000,18.2060599000,15.1599098000,15.5849540000,4042446,65482852.0000,1,6.737410,-7.784431
37,2011-10-28,sh.601799,15.5748339000,17.0827288000,15.2105103000,16.4856429000,5339754,85179261.0000,1,8.899590,5.779221
38,2011-11-04,sh.601799,16.4957630000,17.1839298000,15.8885570000,17.0220082000,6816213,112607130.0000,1,11.360355,3.253530
39,2011-11-11,sh.601799,17.0118881000,17.7000549000,16.6981650000,17.0624886000,6913579,117455450.0000,1,11.522632,0.237812
40,2011-11-18,sh.601799,17.0928489000,17.2244102000,15.9897580000,16.0605987000,5281228,87876119.0000,1,8.802047,-5.871886
41,2011-11-25,sh.601799,16.0707188000,16.4654027000,15.6456746000,16.1213193000,1943187,30691111.0000,1,3.238645,0.378072
42,2011-12-02,sh.601799,16.1415595000,16.1921600000,15.0587088000,15.5950741000,2060421,32182548.0000,1,3.434035,-3.264281
43,2011-12-09,sh.601799,15.3623118000,15.4635128000,14.1175395000,14.5527038000,2709959,39298890.0000,1,4.516598,-6.683971
44,2011-12-16,sh.601799,14.5628239000,14.5729440000,13.5508139000,13.9252576000,2401849,33327649.0000,1,4.003082,-4.311544
45,2011-12-23,sh.601799,13.7734561000,13.8645370000,12.1744803000,12.4173627000,4670249,60045376.0000,1,7.783748,-10.828488
46,2011-12-30,sh.601799,12.4173627000,12.4983235000,11.1624703000,12.2756813000,8811725,102522407.0000,1,14.686208,-1.140994
47,2012-01-06,sh.601799,12.1441200000,12.2959215000,10.8791075000,11.4660733000,4584014,53178451.0000,1,7.640023,-6.595218
48,2012-01-13,sh.601799,11.4357130000,12.7007255000,11.3041517000,11.5369140000,6601574,79035083.0000,1,11.002623,0.617829
49,2012-01-20,sh.601799,11.4154728000,12.5388039000,11.1523502000,12.2756813000,3762740,44669440.0000,1,6.271233,6.403509
