,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2018-01-19,sh.601828,12.2800000000,17.8200000000,12.2800000000,17.8200000000,373328,6054085.0000,1,0.118517,74.193548
1,2018-01-26,sh.601828,19.6000000000,23.7200000000,19.6000000000,22.6100000000,387038425,8776524853.0000,1,122.869341,26.879910
2,2018-02-02,sh.601828,22.1100000000,24.1000000000,19.5000000000,20.2200000000,327733721,7259903124.0000,1,104.042451,-10.570544
3,2018-02-09,sh.601828,19.6600000000,19.9600000000,16.6000000000,16.6800000000,201018261,3712288347.0000,1,63.815321,-17.507418
4,2018-02-14,sh.601828,17.6500000000,18.0500000000,16.8200000000,17.0000000000,81050352,1401229980.0000,1,25.730270,1.918465
5,2018-02-23,sh.601828,17.1900000000,17.5700000000,16.9200000000,17.4400000000,47157149,817092554.0000,1,14.970523,2.588235
6,2018-03-02,sh.601828,17.7500000000,18.4200000000,16.9300000000,17.0600000000,130876286,2308807624.0000,1,41.548027,-2.178899
7,2018-03-09,sh.601828,17.1100000000,18.1000000000,16.9600000000,17.8900000000,134827731,2366944331.0000,1,42.802454,4.865182
8,2018-03-16,sh.601828,17.9900000000,18.5200000000,17.1300000000,17.2500000000,134929052,2414763943.0000,1,42.834620,-3.577418
9,2018-03-23,sh.601828,17.1900000000,17.6600000000,15.5000000000,15.5000000000,97547707,1645401525.0000,1,30.967526,-10.144928
10,2018-03-30,sh.601828,15.0500000000,16.0600000000,14.4000000000,15.7800000000,75670206,1174236742.0000,1,24.022288,1.806452
11,2018-04-04,sh.601828,15.6800000000,15.9800000000,15.1300000000,15.2700000000,27388205,425388561.0000,1,8.694668,-3.231939
12,2018-04-13,sh.601828,15.8800000000,18.1700000000,15.8100000000,17.8000000000,150020079,2530949868.0000,1,47.625422,16.568435
13,2018-04-20,sh.601828,17.8000000000,17.8500000000,15.7800000000,15.8500000000,95003519,1583828820.0000,1,30.159847,-10.955056
14,2018-04-27,sh.601828,15.8500000000,16.5000000000,15.4200000000,15.8200000000,52434284,842952284.0000,1,16.645804,-0.189274
15,2018-05-04,sh.601828,15.8700000000,16.3900000000,15.8300000000,16.0900000000,25466198,410604081.0000,1,8.084507,1.706700
16,2018-05-11,sh.601828,16.1300000000,16.9000000000,16.0800000000,16.2200000000,64975618,1071220908.0000,1,20.627180,0.807955
17,2018-05-18,sh.601828,16.0800000000,16.9400000000,15.9500000000,16.4900000000,58860825,965678055.0000,1,18.685976,1.664612
18,2018-05-25,sh.601828,16.6100000000,17.7300000000,16.5200000000,17.4100000000,121014408,2076456999.0000,1,38.417272,5.579139
19,2018-06-01,sh.601828,17.5100000000,19.4800000000,16.8000000000,18.1800000000,216625521,3944559657.0000,1,68.770007,4.422746
20,2018-06-08,sh.601828,18.4500000000,18.9500000000,17.5500000000,17.8300000000,137326266,2517117980.0000,1,43.595640,-1.925193
21,2018-06-15,sh.601828,17.6800000000,17.8000000000,16.6500000000,17.0100000000,74870351,1283763838.0000,1,23.768365,-4.598990
22,2018-06-22,sh.601828,16.6800000000,16.7800000000,15.0227640200,15.5946707400,54010699,845669041.0000,1,17.146254,-8.320531
23,2018-06-29,sh.601828,15.7478600400,15.9623250600,14.6142592200,15.6048833600,46781703,706571037.0000,1,14.851334,0.065488
24,2018-07-06,sh.601828,15.5027571600,15.7580726600,13.8891632000,14.2261796600,47395491,690820473.0000,1,15.046188,-8.835079
25,2018-07-13,sh.601828,14.2976680000,15.2168038000,14.2976680000,14.9410630600,44519836,646109389.0000,1,14.133281,5.025126
26,2018-07-20,sh.601828,14.9614883000,15.0534018800,14.1444787000,14.5938339800,33513267,478999333.0000,1,10.639132,-2.323992
27,2018-07-27,sh.601828,14.5019204000,15.2678669000,14.5019204000,14.8185116200,43892010,644698372.0000,1,13.933971,1.539538
28,2018-08-03,sh.601828,14.7572359000,15.8806241000,13.8993758200,14.2466049000,46767911,672365120.0000,1,14.846956,-3.859407
29,2018-08-10,sh.601828,13.9912894000,14.0525651200,13.3070438600,13.7563991400,30899677,414393400.0000,1,9.809421,-3.440860
30,2018-08-17,sh.601828,13.5725719800,13.8483127200,13.0210905000,13.0313031200,25074537,331422278.0000,1,7.960170,-5.270973
31,2018-08-24,sh.601828,12.9598147800,13.2355555200,12.8270507200,13.0619409800,17771663,227661933.0000,1,5.641798,0.235110
32,2018-08-31,sh.601828,13.1027914600,13.9300136800,13.1027914600,13.4295953000,31164176,415266299.0000,1,9.893389,2.814699
33,2018-09-07,sh.601828,13.4091700600,13.7053360400,13.2661933800,13.4193826800,21490227,283664520.0000,1,6.822294,-0.076046
34,2018-09-14,sh.601828,13.3070438600,13.3785322000,13.0823662200,13.2457681400,19666198,254781285.0000,1,6.243237,-1.293760
35,2018-09-21,sh.601828,13.2661933800,13.6849108000,12.7862002400,13.6032098400,25394827,329720745.0000,1,8.061850,2.698535
36,2018-09-28,sh.601828,13.4908710200,13.7257612800,13.3376817200,13.7053360400,19788827,262492274.0000,1,6.282167,0.750751
37,2018-10-12,sh.601828,13.3989574400,13.5419341200,11.1419684200,11.5198353600,33760953,409233817.0000,1,10.717763,-15.946349
38,2018-10-19,sh.601828,11.6015363200,11.6219615600,10.4679355000,10.9275034000,28044218,303560799.0000,1,8.902926,-5.141844
39,2018-10-26,sh.601828,11.0194169800,11.5402606000,10.9275034000,11.3870713000,35020832,387624740.0000,1,11.117724,4.205607
40,2018-11-02,sh.601828,11.4074965400,12.2245061400,11.1419684200,12.1428051800,39659963,456822887.0000,1,12.590464,6.636771
41,2018-11-09,sh.601828,12.2551440000,12.5104595000,11.8772770600,11.9487654000,32502673,386495930.0000,1,10.318309,-1.597981
42,2018-11-16,sh.601828,11.9794032600,12.7453497600,11.8874896800,12.6534361800,33950306,412701905.0000,1,10.777875,5.897436
43,2018-11-23,sh.601828,12.6227983200,12.7044992800,11.7036625200,11.7445130000,26081183,314997685.0000,1,8.279741,-7.183212
44,2018-11-30,sh.601828,11.7036625200,12.0406789800,11.4891975000,11.6934499000,17860252,206239210.0000,1,5.669921,-0.434783
45,2018-12-07,sh.601828,12.0508916000,12.4389711600,11.6934499000,11.7445130000,29452842,347731375.0000,1,9.350109,0.436681
46,2018-12-14,sh.601828,11.7036625200,11.8977023000,11.4994101200,11.5504732200,17094135,195698967.0000,1,5.426710,-1.652174
47,2018-12-21,sh.601828,11.4994101200,11.5708984600,11.1726062800,11.2236693800,15465782,172293624.0000,1,4.909772,-2.829355
48,2018-12-28,sh.601828,11.2236693800,11.4687722600,10.9070781600,11.2747324800,17103621,187491959.0000,1,5.429721,0.454959
49,2019-01-04,sh.601828,11.2747324800,11.3257955800,10.5496364600,10.9275034000,13540115,144723685.0000,1,4.298449,-3.079710
50,2019-01-11,sh.601828,10.9683538800,11.2338820000,10.8764403000,11.1011179400,21269137,229887204.0000,1,6.752107,1.588785
51,2019-01-18,sh.601828,11.1317558000,11.3666460600,10.8253772000,11.2440946200,24575572,265649610.0000,1,6.995290,1.287948
52,2019-01-25,sh.601828,11.2849451000,11.6015363200,11.1113305600,11.4279217800,30130494,335765500.0000,1,7.612782,1.634877
53,2019-02-01,sh.601828,11.5606858400,11.7240877600,11.1726062800,11.6832372800,30428498,342737069.0000,1,7.688076,2.234138
54,2019-02-15,sh.601828,11.6423868000,12.2245061400,11.5708984600,11.9589780200,40545026,473168113.0000,1,10.244122,2.360140
55,2019-02-22,sh.601828,11.9589780200,12.2857818600,11.8874896800,12.0917420800,46010629,544385816.0000,1,11.625063,1.110162
56,2019-03-01,sh.601828,12.1325925600,12.9189643000,12.1325925600,12.7759876200,73709520,912040638.0000,1,18.623476,5.658784
57,2019-03-08,sh.601828,12.8168381000,14.4712825400,12.7453497600,13.1640671800,101880287,1337846341.0000,1,25.741113,3.037570
58,2019-03-15,sh.601828,13.0721536000,14.2670301400,13.0721536000,13.4193826800,66572884,891223492.0000,1,16.820331,1.939488
59,2019-03-22,sh.601828,13.4908710200,14.1342660800,13.3070438600,14.0934156000,46850514,636622782.0000,1,11.837269,5.022831
60,2019-03-29,sh.601828,13.8074622400,14.0117146400,12.7759876200,13.3581069600,52767895,696020226.0000,1,13.332357,-5.217391
61,2019-04-04,sh.601828,13.7870370000,14.1444787000,13.5827846000,13.9708641600,56292404,761264631.0000,1,14.222861,4.587156
62,2019-04-12,sh.601828,14.0729903600,14.1342660800,13.0210905000,13.1538545600,49526372,658544266.0000,1,12.513352,-5.847953
63,2019-04-19,sh.601828,13.2764060000,13.3581069600,12.8066254800,13.2253429000,34649148,445875992.0000,1,8.754467,0.543478
64,2019-04-26,sh.601828,13.2253429000,13.2559807600,12.0508916000,12.0508916000,31244547,387378800.0000,1,7.894259,-8.880309
65,2019-04-30,sh.601828,12.2347187600,12.6636488000,12.2347187600,12.6636488000,17424713,212975186.0000,1,4.402535,5.084746
66,2019-05-10,sh.601828,12.5104595000,12.5104595000,11.4483470200,11.8977023000,41457156,484002926.0000,1,10.474581,-6.048387
67,2019-05-17,sh.601828,11.8364265800,14.7061728000,11.7955761000,13.7870370000,83695740,1118133602.0000,1,21.146598,15.879828
68,2019-05-24,sh.601828,13.3785322000,13.3887448200,11.9079149200,11.9794032600,74320470,931111194.0000,1,18.777839,-13.111111
69,2019-05-31,sh.601828,12.2551440000,13.1538545600,12.1836556600,12.9087516800,59009479,737205950.0000,1,14.909358,7.757886
70,2019-06-06,sh.601828,12.9700274000,13.0517283600,12.1836556600,12.2142935200,29756410,365387072.0000,1,7.518266,-5.379747
71,2019-06-14,sh.601828,12.3470575800,13.0619409800,12.1938682800,12.4083333000,37518694,460340331.0000,1,9.479488,1.588629
72,2019-06-21,sh.601828,12.3674828200,12.7862002400,12.3572702000,12.7147119000,26228955,323221644.0000,1,6.627018,2.469136
73,2019-06-28,sh.601828,12.7453497600,13.1130040800,12.5224320000,12.6789624000,47129018,591904055.0000,1,11.907636,-0.281254
74,2019-07-05,sh.601828,12.8146220800,12.9189756800,12.5224320000,12.5954795200,43661525,531446786.0000,1,11.031538,-0.658436
75,2019-07-12,sh.601828,12.6059148800,12.6372209600,11.6041203200,11.7502153600,48020582,549317372.0000,1,12.132899,-6.710853
76,2019-07-19,sh.601828,11.7293446400,11.9484872000,11.4893313600,11.8754396800,33756238,380663913.0000,1,8.528864,1.065719
77,2019-07-26,sh.601828,12.0006640000,12.2093712000,11.6249910400,12.2093712000,31734183,363084293.0000,1,8.017900,2.811951
78,2019-08-02,sh.601828,12.1989358400,12.1989358400,11.4997667200,11.6354264000,24601751,280057111.0000,1,6.215800,-4.700855
79,2019-08-09,sh.601828,11.6145556800,11.6667324800,10.8632097600,10.8945158400,24040296,257304129.0000,1,6.074100,-6.367713
80,2019-08-16,sh.601828,11.0093048000,11.2075766400,10.7797268800,11.1136584000,15119952,160020534.0000,1,3.820100,2.011494
81,2019-08-23,sh.601828,11.1449644800,11.4267192000,11.1136584000,11.3432363200,22574033,244913917.0000,1,5.703600,2.065728
82,2019-08-30,sh.601828,11.1032230400,11.4162838400,11.0197401600,11.2284473600,21026796,227326157.0000,1,5.312600,-1.011960
83,2019-09-06,sh.601828,11.2284473600,11.7293446400,11.1658352000,11.6354264000,33025641,364384335.0000,1,8.344300,3.624535
84,2019-09-12,sh.601828,11.6458617600,11.9067457600,11.6354264000,11.9067457600,24294984,273385801.0000,1,6.138400,2.331839
85,2019-09-20,sh.601828,11.9067457600,11.9380518400,11.3745424000,11.5310728000,25238659,280967674.0000,1,6.376800,-3.155127
86,2019-09-27,sh.601828,11.5519435200,12.3659016000,11.4371545600,11.9484872000,44141177,505074896.0000,1,11.152700,3.619910
87,2019-09-30,sh.601828,12.0110993600,12.0841468800,11.8232628800,11.8441336000,4707610,53927316.0000,1,1.189400,-0.873400
88,2019-10-11,sh.601828,11.8023921600,11.8441336000,11.5206374400,11.7084739200,13808741,154586297.0000,1,3.489000,-1.145374
89,2019-10-18,sh.601828,11.7919568000,12.0006640000,11.4267192000,11.4267192000,24117188,271752672.0000,1,6.093400,-2.406417
90,2019-10-25,sh.601828,11.4580252800,11.5623788800,11.2180120000,11.3849777600,13739390,149898495.0000,1,3.471400,-0.365297
91,2019-11-01,sh.601828,11.4162838400,11.4893313600,11.0406108800,11.3328009600,19018148,205686496.0000,1,4.805100,-0.458295
92,2019-11-08,sh.601828,11.3641070400,11.6354264000,11.3432363200,11.4684606400,17112448,187913689.0000,1,4.323700,1.197053
93,2019-11-15,sh.601828,11.4162838400,11.4162838400,11.0510462400,11.0614816000,14069029,150763102.0000,1,3.554700,-3.548681
94,2019-11-22,sh.601828,11.0614816000,11.3745424000,10.9884340800,11.1136584000,11809122,126408991.0000,1,2.983600,0.471698
95,2019-11-29,sh.601828,11.1345291200,11.3328009600,11.0927876800,11.1553998400,11894015,127539979.0000,1,3.005200,0.375587
96,2019-12-06,sh.601828,11.1240937600,11.1658352000,10.9988694400,11.1449644800,12848654,136326250.0000,1,3.246300,-0.093545
97,2019-12-13,sh.601828,11.1136584000,11.3849777600,11.1136584000,11.3119302400,16606266,179218669.0000,1,4.195700,1.498127
98,2019-12-20,sh.601828,11.3432363200,11.5832496000,11.3119302400,11.5102020800,25643727,281898252.0000,1,6.479200,1.752768
99,2019-12-27,sh.601828,11.4997667200,11.6041203200,11.1867059200,11.5832496000,23712611,259116458.0000,1,5.991100,0.634633
100,2020-01-03,sh.601828,11.5832496000,11.9484872000,11.4580252800,11.7710860800,31611653,356409456.0000,1,7.987000,1.621622
101,2020-01-10,sh.601828,11.7084739200,12.3137248000,11.6667324800,12.1571944000,46360217,529144171.0000,1,11.713400,3.280142
102,2020-01-17,sh.601828,12.1989358400,12.4389491200,11.9171811200,12.4389491200,34638653,402733674.0000,1,8.751800,2.317597
103,2020-01-23,sh.601828,12.3763369600,12.9711524800,12.0424054400,12.1885004800,44671242,537615023.0000,1,11.286700,-2.013423
104,2020-02-07,sh.601828,10.9675633600,11.3954131200,10.2788296000,11.2284473600,66318934,681987074.0000,1,16.756200,-7.876712
105,2020-02-14,sh.601828,11.3328009600,11.9380518400,11.0614816000,11.1240937600,57866121,631955320.0000,1,14.620600,-0.929368
106,2020-02-21,sh.601828,11.2180120000,11.6145556800,11.1345291200,11.4684606400,42217240,463147563.0000,1,10.666700,3.095685
107,2020-02-28,sh.601828,11.4684606400,11.5519435200,10.6649379200,10.7484208000,42841117,459513393.0000,1,10.824300,-6.278435
108,2020-03-06,sh.601828,10.7484208000,11.5206374400,10.6545025600,11.3223656000,38127157,410186391.0000,1,9.633200,5.339806
109,2020-03-13,sh.601828,11.1449644800,11.2701888000,10.4562307200,10.9571280000,41280577,433816454.0000,1,10.429900,-3.225806
110,2020-03-20,sh.601828,11.0406108800,11.0719169600,10.1953467200,10.4353600000,27758443,280186385.0000,1,7.013400,-4.761905
111,2020-03-27,sh.601828,10.2475235200,10.3205710400,9.9553334400,10.0909931200,29779730,289352784.0000,1,7.524200,-3.300000
112,2020-04-03,sh.601828,9.9970748800,10.0179456000,9.6318372800,9.8405444800,22056431,206859819.0000,1,5.572700,-2.481903
113,2020-04-10,sh.601828,9.9135920000,10.1640406400,9.8509798400,9.8509798400,16591852,159351386.0000,1,4.192100,0.106045
114,2020-04-17,sh.601828,9.8927212800,10.3518771200,9.7466262400,10.0388163200,35037283,339743315.0000,1,8.852400,1.906780
115,2020-04-24,sh.601828,10.0492516800,10.1431699200,9.7988030400,9.8196737600,17591649,168120053.0000,1,4.444600,-2.182952
116,2020-04-30,sh.601828,9.8092384000,9.9657688000,9.4440008000,9.9344627200,16346715,153122629.0000,1,4.130100,1.168969
117,2020-05-08,sh.601828,9.8614152000,10.0388163200,9.8092384000,9.9970748800,11123826,105982024.0000,1,2.810500,0.630252
118,2020-05-15,sh.601828,9.9762041600,10.2683942400,9.8614152000,10.0179456000,20257405,195168131.0000,1,5.118100,0.208768
119,2020-05-22,sh.601828,9.9762041600,10.8527744000,9.8927212800,10.4875368000,49176486,493543794.0000,1,12.424900,4.687500
120,2020-05-29,sh.601828,10.4875368000,11.2493180800,10.3414417600,10.6962440000,50009819,521524466.0000,1,12.635500,1.990050
121,2020-06-05,sh.601828,10.7484208000,11.3745424000,10.6231964800,10.7588561600,49210340,515698638.0000,1,12.433400,0.585366
122,2020-06-12,sh.601828,10.8214683200,11.8441336000,10.7484208000,11.5206374400,62921583,688928668.0000,1,15.897700,7.080504
123,2020-06-19,sh.601828,11.4371545600,11.8336982400,11.2388827200,11.4788960000,41626917,458849106.0000,1,10.517400,-0.362319
124,2020-06-24,sh.601828,11.4267192000,11.4788960000,10.9362572800,10.9884340800,19619275,208931008.0000,1,4.957000,-4.272727
125,2020-07-03,sh.601828,10.9884340800,11.6458617600,10.9153865600,11.5102020800,35934140,388748702.0000,1,9.079200,4.748338
126,2020-07-10,sh.601828,11.6393941000,12.8021590000,11.5689235000,12.3675903000,68264791,720251565.0000,1,15.679800,7.448980
127,2020-07-17,sh.601828,12.3910805000,12.6612178000,11.2870411000,11.4397274000,56104030,579635213.0000,1,12.886500,-7.502374
128,2020-07-24,sh.601828,11.5689235000,12.1561785000,11.4632176000,11.5454333000,39511491,397077497.5200,1,9.075400,0.924025
129,2020-07-31,sh.601828,11.5219431000,11.6746294000,11.2870411000,11.5454333000,23868013,233850156.6200,1,5.482300,0.000000
130,2020-08-07,sh.601828,11.6041588000,11.8508059000,11.4632176000,11.7098647000,30163131,299751560.9500,1,6.928100,1.424212
131,2020-08-14,sh.601828,11.6628843000,12.0387275000,11.4279823000,11.5924137000,35903308,359036347.2100,1,8.246700,-1.003009
132,2020-08-21,sh.601828,11.6041588000,11.9682569000,11.5454333000,11.6276490000,30028938,300544873.6500,1,6.897400,0.303951
133,2020-08-28,sh.601828,11.6393941000,11.6863745000,11.1460999000,11.4867078000,18373867,178948679.2900,1,4.220300,-1.212121
134,2020-09-04,sh.601828,11.4984529000,11.6746294000,11.3340215000,11.5689235000,17806304,174583299.2400,1,4.089900,0.715746
135,2020-09-11,sh.601828,11.5924137000,11.9447667000,11.4044921000,11.9212765000,36966811,369830941.2400,1,8.490900,3.045685
136,2020-09-18,sh.601828,11.9095314000,12.2618844000,11.7920804000,12.0504726000,35551629,363392806.8800,1,8.166000,1.083744
137,2020-09-25,sh.601828,12.0504726000,12.1561785000,11.2752960000,11.3222764000,19207907,190713005.9800,1,4.411800,-6.042885
138,2020-09-30,sh.601828,11.3222764000,11.4514725000,11.2400607000,11.2752960000,5709778,55108336.0000,1,1.311500,-0.414938
