,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2019-02-15,sh.601865,2.8800000000,2.8800000000,2.8800000000,2.8800000000,112448,323850.0000,1,0.074965,44.000000
1,2019-02-22,sh.601865,3.1700000000,4.6400000000,3.1700000000,4.6400000000,1069923,4520646.0000,1,0.713282,61.111111
2,2019-03-01,sh.601865,5.1000000000,7.4700000000,5.1000000000,7.4700000000,2400601,15478254.0000,1,1.600401,60.991379
3,2019-03-08,sh.601865,8.2200000000,12.0200000000,8.2200000000,12.0200000000,13228613,141229670.0000,1,8.819075,60.910308
4,2019-03-15,sh.601865,13.2200000000,17.3800000000,13.2200000000,17.3800000000,300866515,4664659732.0000,1,200.577677,44.592346
5,2019-03-22,sh.601865,16.7700000000,18.3800000000,16.1100000000,16.8000000000,391400962,6685478289.0000,1,260.933975,-3.337169
6,2019-03-29,sh.601865,16.0100000000,16.2500000000,13.5500000000,14.6000000000,232470883,3503983289.0000,1,154.980589,-13.095238
7,2019-04-04,sh.601865,14.5000000000,16.9900000000,14.4700000000,16.3100000000,228967836,3600255893.0000,1,152.645224,11.712329
8,2019-04-12,sh.601865,16.3200000000,17.1500000000,13.5500000000,13.8000000000,168706386,2509349450.0000,1,112.470924,-15.389332
9,2019-04-19,sh.601865,13.9200000000,14.1800000000,12.5100000000,12.7100000000,95174403,1255253546.0000,1,63.449602,-7.898551
10,2019-04-26,sh.601865,12.8000000000,16.0200000000,12.7200000000,16.0200000000,224938156,3256481332.0000,1,149.958771,26.042486
11,2019-04-30,sh.601865,16.1000000000,16.8000000000,13.1900000000,13.1900000000,116359079,1721946460.0000,1,77.572719,-17.665418
12,2019-05-10,sh.601865,11.8700000000,12.1000000000,9.6200000000,10.5300000000,163718957,1793997836.0000,1,109.145971,-20.166793
13,2019-05-17,sh.601865,10.3900000000,11.8300000000,10.2100000000,10.8200000000,164514197,1813799472.0000,1,109.676131,2.754036
14,2019-05-24,sh.601865,10.5400000000,10.6200000000,9.9100000000,10.3100000000,97910501,1005314396.0000,1,65.273667,-4.713494
15,2019-05-31,sh.601865,10.2300000000,12.6000000000,10.2200000000,12.2300000000,177643825,2032858042.0000,1,118.429217,18.622696
16,2019-06-06,sh.601865,11.8000000000,11.9500000000,9.7000000000,9.8500000000,112177975,1196764251.0000,1,74.785317,-19.460343
17,2019-06-14,sh.601865,9.9400000000,10.8800000000,9.8500000000,10.1600000000,97357106,1019726726.0000,1,64.904737,3.147208
18,2019-06-21,sh.601865,10.1600000000,10.7400000000,9.9800000000,10.5300000000,74040683,773284689.0000,1,49.360455,3.641732
19,2019-06-28,sh.601865,10.5300000000,10.6800000000,10.0500000000,10.1600000000,52825681,547283437.0000,1,35.217121,-3.513770
20,2019-07-05,sh.601865,10.4000000000,11.1200000000,10.2900000000,10.5500000000,71300694,753755585.0000,1,47.533796,3.838583
21,2019-07-12,sh.601865,10.4400000000,10.4500000000,9.7000000000,9.8200000000,42185768,421315890.0000,1,28.123845,-6.919431
22,2019-07-19,sh.601865,9.8100000000,10.1800000000,9.6600000000,9.6600000000,31494606,310146744.0000,1,20.996404,-1.629328
23,2019-07-26,sh.601865,9.6700000000,9.7000000000,8.7000000000,9.2910700000,36641021,332481088.0000,1,24.427300,-3.819198
24,2019-08-02,sh.601865,9.2810256000,9.2810256000,8.5477844000,8.7185392000,27812778,248637912.0000,1,18.541800,-6.162162
25,2019-08-09,sh.601865,8.7687612000,9.2609368000,8.5578288000,8.6381840000,45200271,400687906.0000,1,30.133500,-0.921659
26,2019-08-16,sh.601865,8.7285836000,9.6426240000,8.6482284000,9.1002264000,82217940,759192310.0000,1,54.811900,5.348837
27,2019-08-23,sh.601865,9.1203152000,11.7017260000,9.1002264000,11.7017260000,154677072,1617545347.0000,1,103.118100,28.587196
28,2019-08-30,sh.601865,11.7619924000,12.0231468000,10.3155988000,10.4662648000,164855146,1850386316.0000,1,109.903300,-10.557940
29,2019-09-06,sh.601865,10.5767532000,11.3602164000,10.3959540000,11.0789732000,93585699,1016782198.0000,1,62.390500,5.854127
30,2019-09-12,sh.601865,11.0990620000,11.8222588000,10.8981740000,11.7519480000,81626785,918512387.0000,1,54.417900,6.074343
31,2019-09-20,sh.601865,11.8624364000,12.3345232000,10.8680408000,11.1492840000,76839146,879619405.0000,1,51.226100,-5.128205
32,2019-09-27,sh.601865,11.0287512000,11.0287512000,10.3256432000,10.6771972000,46604687,494760932.0000,1,31.069800,-4.234234
33,2019-09-30,sh.601865,10.6470640000,10.6571084000,10.1448440000,10.1749772000,7827801,80933420.0000,1,5.218500,-4.703700
34,2019-10-11,sh.601865,10.2051104000,10.7073304000,10.1649328000,10.2653768000,28007363,290684671.0000,1,18.671600,0.888450
35,2019-10-18,sh.601865,10.3959540000,10.6972860000,9.4618248000,9.6928460000,62518718,628480863.0000,1,41.679100,-5.577299
36,2019-10-25,sh.601865,9.6727572000,10.2151548000,9.3915140000,9.8937340000,40491664,392153398.0000,1,26.994500,2.072539
37,2019-11-01,sh.601865,9.4819136000,9.8636008000,9.1504484000,9.3513364000,34201062,324475738.0000,1,22.800700,-5.482234
38,2019-11-08,sh.601865,9.4618248000,9.5020024000,9.2609368000,9.3111588000,23864024,222509793.0000,1,15.909300,-0.429646
39,2019-11-15,sh.601865,9.2408480000,9.2508924000,8.8491164000,8.9294716000,23418649,209849725.0000,1,15.612400,-4.099245
40,2019-11-22,sh.601865,8.9294716000,9.8133788000,8.8692052000,9.8133788000,36511698,338094597.0000,1,24.341100,9.898763
41,2019-11-29,sh.601865,10.1046664000,10.4059984000,9.3613808000,9.7932900000,108697409,1068645719.0000,1,72.464900,-0.204708
42,2019-12-06,sh.601865,9.9740892000,11.5611044000,9.9740892000,11.0990620000,141884046,1518467755.0000,1,94.589400,13.333333
43,2019-12-13,sh.601865,10.9986180000,11.3401276000,10.4461760000,10.6370196000,91496579,986639222.0000,1,60.997600,-4.162896
44,2019-12-20,sh.601865,10.6972860000,12.2843012000,10.5667088000,11.7017260000,102957269,1159876389.0000,1,68.638200,10.009443
45,2019-12-27,sh.601865,11.2284179500,13.0108663600,10.5335651800,12.1146069900,120494695,1396334447.0000,1,80.329800,3.528399
46,2020-01-03,sh.601865,12.1146069900,13.1317103200,12.0843960000,12.9907257000,88124417,1100831769.0000,1,58.749700,7.231920
47,2020-01-10,sh.601865,12.8497410800,15.2968312700,12.5879125000,14.2897982700,106383980,1512582511.0000,1,70.922700,10.000000
48,2020-01-17,sh.601865,14.2797279400,14.8436664200,13.7258597900,14.2595872800,51975284,746243726.0000,1,34.650200,-0.211416
49,2020-01-23,sh.601865,14.2595872800,14.6523301500,12.9705850400,13.2122729600,47133385,649610800.0000,1,31.422100,-7.344633
50,2020-02-07,sh.601865,11.8930597300,13.0410773500,10.8457454100,12.8698817400,45685886,560795650.0000,1,30.457200,-2.591463
51,2020-02-14,sh.601865,12.7792487700,16.6764664800,12.6382641500,14.6019785000,109327936,1609768814.0000,1,72.885300,13.458529
52,2020-02-21,sh.601865,14.6019785000,16.1628796500,14.2092356300,15.7298554600,64375812,994039912.0000,1,18.879600,7.724138
53,2020-02-28,sh.601865,15.6895741400,16.0823170100,12.9202333900,12.9403740500,65609774,950549931.0000,1,19.241500,-17.733675
54,2020-03-06,sh.601865,13.2525542800,14.2797279400,12.9504443800,13.3834685700,66365604,888870082.0000,1,19.463200,3.424125
55,2020-03-13,sh.601865,12.9605147100,13.2928356000,11.4298245500,12.2052399600,59172192,731783296.0000,1,17.353600,-8.803612
56,2020-03-20,sh.601865,12.2757322700,12.4368575500,10.8256047500,11.3694025700,44360223,503569814.0000,1,13.009600,-6.848185
57,2020-03-27,sh.601865,10.9263080500,11.0773630000,10.2717366000,10.7148311200,47138577,501697145.0000,1,13.824400,-5.757307
58,2020-04-03,sh.601865,10.6745498000,11.1780663000,10.2213849500,10.9363783800,44857997,475347912.0000,1,13.155600,2.067669
59,2020-04-10,sh.601865,11.1377849800,11.3593322400,10.7953937600,10.8658860700,26659102,293577489.0000,1,7.818400,-0.644567
60,2020-04-17,sh.601865,10.8658860700,12.1850993000,10.6846201300,11.7520751100,39555829,448682713.0000,1,11.600600,8.155700
61,2020-04-24,sh.601865,12.4872092000,12.8195300900,11.3794729000,11.8729190700,70547766,829071568.0000,1,20.689800,1.028278
62,2020-04-30,sh.601865,11.9736223700,13.1820619700,11.1579256400,12.9605147100,62257055,766303453.0000,1,18.258300,9.160305
63,2020-05-08,sh.601865,12.9705850400,13.4237498900,12.8296004200,13.0612180100,35527553,464130035.0000,1,10.419300,0.777001
64,2020-05-15,sh.601865,13.2324136200,13.3331169200,12.4267872200,12.4771388700,38062949,483664873.0000,1,11.162800,-4.471858
65,2020-05-22,sh.601865,12.4167168900,13.9474070500,12.2153102900,13.6452971500,78759435,1031241413.0000,1,23.097900,9.362389
66,2020-05-29,sh.601865,13.7862817700,13.8869850700,12.7993894300,13.1115696600,58874933,774281575.0000,1,17.266400,-3.911439
67,2020-06-05,sh.601865,13.2122729600,14.1689543100,13.0410773500,14.0783213400,49752456,678938355.0000,1,14.591000,7.373272
68,2020-06-12,sh.601865,13.8869850700,15.8305587600,13.8869850700,15.8104181000,56252165,836617762.0000,1,16.497200,12.303290
69,2020-06-19,sh.601865,15.7197851300,15.8003477700,14.9040884000,15.1256356600,36851707,557524907.0000,1,10.807600,-4.331210
70,2020-06-24,sh.601865,15.0551433500,17.6432181600,15.0047917000,17.6230775000,41361667,664942877.0000,1,12.130200,16.511318
71,2020-07-03,sh.601865,17.6130071700,21.1476930000,17.1296313300,20.3420666000,116453361,2230055957.0000,1,34.152500,15.428571
72,2020-07-10,sh.601865,19.9493237300,22.0842336900,19.7076358100,21.4498029000,90467758,1864572601.0000,1,26.531700,5.445545
73,2020-07-17,sh.601865,21.6008578500,23.3631656000,19.0429940300,19.8385501000,91393272,1915259342.0000,1,26.803100,-7.511737
74,2020-07-24,sh.601865,20.2312929700,23.2725326300,20.2312929700,21.0469897000,84159247,1836792461.6000,1,24.681500,6.091371
75,2020-07-31,sh.601865,21.8928974200,24.0278073800,20.9664270600,22.9502820700,82823980,1837159671.8200,1,24.290000,9.043062
76,2020-08-07,sh.601865,23.2624623000,27.5322822200,22.5575392000,25.2765283000,98623885,2444453892.4300,1,28.923700,10.136025
77,2020-08-14,sh.601865,25.1355436800,26.7467964800,23.3631656000,24.1990029900,51326322,1265018150.8400,1,15.052600,-4.262948
78,2020-08-21,sh.601865,23.9673854000,24.7528711400,22.3561326000,22.7690161300,42859904,1003770618.4200,1,12.569600,-5.909280
79,2020-08-28,sh.601865,22.5877501900,23.7357678100,21.8526161000,23.2523919700,34505586,782954738.0100,1,10.119500,2.122954
80,2020-09-04,sh.601865,23.4940798900,25.3268799500,23.2523919700,24.5212535500,45002573,1087178367.4600,1,13.198100,5.456908
81,2020-09-11,sh.601865,24.2997062900,24.9542777400,19.6472138300,22.0540227000,40869711,884393442.0300,1,11.986000,-10.061602
82,2020-09-18,sh.601865,22.8596491000,26.1325063500,22.3460622700,25.3067392900,58685260,1428727011.3600,1,17.210800,14.748858
83,2020-09-25,sh.601865,25.7196228200,27.1294690200,24.4910425600,25.0449107100,52323084,1325987512.5000,1,15.344900,-1.034620
84,2020-09-30,sh.601865,25.9210294200,30.1304273600,25.5987788600,30.1304273600,47132341,1304771296.0000,1,13.822600,20.305589
85,2020-10-09,sh.601865,33.1414560300,33.1414560300,33.1414560300,33.1414560300,1821265,59937831.0000,1,0.534100,9.993316
86,2020-10-16,sh.601865,36.4545946000,42.0939794000,35.9107967800,38.9721771000,135994354,5141164749.5500,1,39.883400,17.593437
87,2020-10-23,sh.601865,39.2742870000,39.3951309600,31.4496405900,33.2320890000,101780349,3394708298.5900,1,29.849400,-14.728682
88,2020-10-30,sh.601865,32.8292758000,44.2993816700,32.6077285400,41.0869464000,103623746,3874833461.5900,1,30.389900,23.636364
89,2020-11-06,sh.601865,41.4696189400,45.1956410400,38.2672540000,39.6166782200,128913807,5332246430.9000,1,37.806800,-3.578431
90,2020-11-13,sh.601865,39.1224690900,39.6368403000,36.0160704100,38.9106691800,90785352,3427703139.5000,1,26.624900,-1.782077
91,2020-11-20,sh.601865,39.2838404500,39.2838404500,33.3332715500,35.6428991400,84431551,2969115867.1200,1,24.761400,-8.398134
92,2020-11-27,sh.601865,36.2177846100,38.3862122600,34.0997855100,35.4613563600,59109900,2125558970.2200,1,17.335300,-0.509338
93,2020-12-04,sh.601865,35.6227277200,36.5405273300,32.1532434800,32.1532434800,55971736,1891712954.9800,1,16.415000,-9.328783
94,2020-12-11,sh.601865,31.1648439000,33.4643857800,31.1446724800,32.8289860500,98436125,3161015999.3700,1,28.868500,2.101631
95,2020-12-18,sh.601865,33.1618144800,37.0347271200,30.7109869500,33.4139572300,174671904,5841263223.0400,1,51.226400,1.781874
96,2020-12-25,sh.601865,34.4426996500,39.6872688500,34.3720996800,39.5359832000,177338693,6611456016.0200,1,52.008600,18.321763
97,2020-12-31,sh.601865,39.8284687900,40.7966969500,35.4916134900,40.2419829000,103598749,3878266288.0000,1,30.382600,1.785714
98,2021-01-08,sh.601865,40.7966969500,47.0397514400,40.3529257100,43.4088958400,219513036,9619793709.0900,1,51.332600,7.869674
99,2021-01-15,sh.601865,42.8642675000,42.9146960500,36.2581274500,37.7306411100,141398420,5576855212.0200,1,33.065600,-13.080855
100,2021-01-22,sh.601865,37.7407268200,42.7432389800,36.6716415600,41.2808110300,144754751,5647440288.0000,1,33.240500,9.409249
101,2021-01-29,sh.601865,41.0387539900,42.2893820300,34.1502140600,35.3806706800,133956988,5147831920.7300,1,30.761200,-14.292695
102,2021-02-05,sh.601865,34.9066423100,37.8214125000,34.5435567500,35.2697278700,75863347,2706581424.0000,1,16.932700,-0.313569
103,2021-02-10,sh.601865,34.5032139100,38.6282693000,31.9313578600,38.0432981200,67285145,2404919739.9700,1,15.018100,7.863883
104,2021-02-19,sh.601865,39.6166688800,39.7175259800,35.0881850900,36.1976131900,35614241,1309314160.0000,1,7.949100,-4.851538
105,2021-02-26,sh.601865,36.4598416500,36.9641271500,32.2742720000,32.6373575600,70008679,2381617153.7700,1,15.626000,-9.835609
106,2021-03-05,sh.601865,33.0811288000,33.9283284400,29.5612160100,30.4991870400,59762767,1900789312.0000,1,13.339000,-6.551298
107,2021-03-12,sh.601865,30.7412440800,30.8622726000,26.0211318000,28.0584452200,73365028,2033718480.0000,1,16.375000,-8.002646
108,2021-03-19,sh.601865,27.4129597800,28.3206736800,26.6363601100,26.9591028300,52951967,1439045843.0000,1,11.819000,-3.918045
109,2021-03-26,sh.601865,26.9086742800,27.3524455200,25.3353035200,27.1103884800,57561557,1506796054.3900,1,12.847700,0.561167
110,2021-04-02,sh.601865,27.5138168800,28.0887023500,26.4346459100,27.6550168200,84677874,2300110240.0000,1,18.900200,2.008929
111,2021-04-09,sh.601865,27.6651025300,28.4719593300,26.9490171200,27.4533026200,42826398,1171409286.0000,1,9.558900,-0.729395
112,2021-04-16,sh.601865,27.2314170000,27.4331312000,24.7906751800,25.2747892600,52422231,1331997294.0000,1,11.700700,-7.935342
113,2021-04-23,sh.601865,25.0125608000,27.7357025000,24.8108466000,27.0902170600,68859037,1804039437.8100,1,15.369400,7.182800
114,2021-04-30,sh.601865,26.8179028900,28.8552163100,25.2243607100,28.6837592400,99596224,2697347003.2200,1,22.229800,5.882400
115,2021-05-07,sh.601865,27.7357025000,27.7357025000,25.1033321900,25.4159892000,55642259,1435076861.4100,1,12.419400,-11.392400
116,2021-05-14,sh.601865,25.2142750000,27.3221883900,23.7316756300,26.5657601400,91833572,2355238844.0300,1,20.497200,4.523800
117,2021-05-21,sh.601865,26.7977314700,30.0150729600,26.7977314700,29.5410445900,93351650,2656369722.5400,1,20.836200,11.199700
118,2021-05-28,sh.601865,29.2485590000,29.5007017500,27.9575881200,28.5425593000,80362757,2281691178.9300,1,17.937000,-3.380000
119,2021-06-04,sh.601865,28.5022164600,32.6978718200,28.1895594500,28.9459877000,109790492,3327487132.4500,1,24.505300,1.413400
120,2021-06-11,sh.601865,28.9056448600,33.6156714300,28.0080166700,32.9197574400,110752267,3387225585.3900,1,24.719900,13.728200
121,2021-06-18,sh.601865,32.9399288600,33.7266142400,29.8335301800,33.1618144800,91711107,2868443953.7700,1,20.470000,0.735300
122,2021-06-25,sh.601865,33.5854143000,40.0351989600,33.5854143000,38.4556615200,178095736,6636242394.9800,1,39.751000,15.963700
123,2021-07-02,sh.601865,37.8177714000,43.5385320000,36.9976269600,39.0226749600,121661153,4779955270.8400,1,27.154900,1.474500
124,2021-07-09,sh.601865,39.2758059600,46.3735992000,38.4759120000,42.5057575200,108610371,4519148159.5000,1,24.241800,8.925800
125,2021-07-16,sh.601865,43.3360272000,43.9232911200,38.2734072000,41.4527325600,117465859,4808483014.0400,1,26.218500,-2.477400
126,2021-07-23,sh.601865,41.2097268000,47.1329922000,39.1846788000,46.2723468000,142339738,6002603491.0900,1,26.726700,11.626800
127,2021-07-30,sh.601865,46.0698420000,47.5886280000,36.7849969200,43.3866534000,126359077,5331306666.2600,1,23.726100,-6.236300
128,2021-08-06,sh.601865,46.9608631200,55.2635599200,45.1585704000,53.9574039600,141707338,6985738002.5800,1,26.608000,24.364100
129,2021-08-13,sh.601865,53.6637720000,55.8305733600,47.4873756000,48.0341385600,112668366,5634339638.9500,1,21.155500,-10.977700
130,2021-08-20,sh.601865,47.4164989200,48.0948900000,42.1817498400,42.8803914000,129716300,5743670790.8100,1,24.314500,-10.729300
131,2021-08-27,sh.601865,42.2526265200,57.0253516800,41.1996015600,54.6762960000,158028998,7639460369.2900,1,29.621600,27.508900
132,2021-09-03,sh.601865,53.7852748800,60.9336943200,53.5625196000,55.4154385200,121355790,6885383795.1200,1,22.747300,1.351900
133,2021-09-10,sh.601865,55.4356890000,55.6888200000,46.7988592800,53.3498895600,147606640,7313993349.5500,1,27.668000,-3.727400
134,2021-09-17,sh.601865,52.5499956000,52.5499956000,44.9965665600,47.7911328000,115889198,5674448788.8400,1,21.722700,-10.419400
135,2021-09-24,sh.601865,46.5761040000,51.8918550000,45.6142062000,50.1604389600,50867453,2489527555.9400,1,9.534800,4.957600
136,2021-09-30,sh.601865,50.6667009600,50.7072019200,44.6016822000,46.7279826000,61349266,2832594131.3500,1,11.499600,-6.843000
137,2021-10-08,sh.601865,47.2038688800,47.2038688800,42.7892642400,43.5385320000,20542901,901637439.9900,1,3.850600,-6.825600
138,2021-10-15,sh.601865,43.5385320000,49.6744274400,41.5944859200,47.6088784800,66369933,2995408603.8800,1,12.440600,9.348800
139,2021-10-22,sh.601865,47.8620094800,52.5196198800,46.8292350000,49.1580402000,78677912,3889480780.0100,1,14.747600,3.253900
140,2021-10-29,sh.601865,49.1580402000,56.3773363200,48.9150344400,55.6989452400,94530965,4922038658.3300,1,17.719300,13.305900
141,2021-11-05,sh.601865,54.6762960000,57.6429913200,48.2366433600,48.2467686000,74596461,3882794244.8600,1,13.982700,-13.379400
142,2021-11-12,sh.601865,48.0948900000,50.0895622800,46.1103429600,48.4188976800,56988998,2703204054.5600,1,10.682200,0.356800
143,2021-11-19,sh.601865,48.4695238800,48.6112772400,45.1484451600,48.0442638000,58833031,2734742084.1900,1,11.027900,-0.773700
