,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2021-09-30,sh.601868,2.2900000000,3.3300000000,2.1800000000,3.0200000000,6867608288,19966073018.5800,1,58.844500,54.081600
1,2021-10-08,sh.601868,2.9900000000,3.0400000000,2.7200000000,2.7500000000,1885824768,5267383927.9200,1,16.158500,-8.940400
2,2021-10-15,sh.601868,2.6500000000,2.6800000000,2.3700000000,2.4600000000,5383552160,13544369551.6500,1,46.128500,-10.545500
3,2021-10-22,sh.601868,2.4500000000,2.5400000000,2.2500000000,2.2500000000,3426358832,8181906784.3200,1,29.358400,-8.536600
4,2021-10-29,sh.601868,2.2500000000,2.4700000000,2.2000000000,2.3800000000,3956420624,9377114445.0500,1,33.900300,5.777800
5,2021-11-05,sh.601868,2.3600000000,2.4000000000,2.2200000000,2.2300000000,2237213120,5139140184.5100,1,19.169300,-6.302500
6,2021-11-12,sh.601868,2.2400000000,2.2800000000,2.1800000000,2.2100000000,1618964986,3587295470.1100,1,13.872000,-0.896900
7,2021-11-19,sh.601868,2.2000000000,2.2100000000,2.0800000000,2.1400000000,1658511963,3560890660.7400,1,14.210700,-3.167400
8,2021-11-26,sh.601868,2.1300000000,2.1900000000,2.1000000000,2.1300000000,1410990606,3011201351.1600,1,12.090000,-0.467300
9,2021-12-03,sh.601868,2.1500000000,2.7700000000,2.1500000000,2.7700000000,6815445296,16987406330.0900,1,58.397600,30.046900
10,2021-12-10,sh.601868,2.8400000000,2.9500000000,2.6100000000,2.6300000000,6684203408,18449925911.4600,1,57.273000,-5.054200
11,2021-12-17,sh.601868,2.7100000000,2.8300000000,2.6100000000,2.7200000000,4944163424,13458817264.9900,1,42.363700,3.422100
12,2021-12-24,sh.601868,2.7100000000,3.0400000000,2.6700000000,2.8700000000,6794238560,19595387872.4700,1,58.215800,5.514700
13,2021-12-31,sh.601868,2.8500000000,2.9200000000,2.6700000000,2.7300000000,2639365824,7297071540.8700,1,22.615200,-4.878000
14,2022-01-07,sh.601868,2.7400000000,2.9400000000,2.6500000000,2.8400000000,2938567216,8208495789.3600,1,25.178900,4.029300
15,2022-01-14,sh.601868,2.8300000000,2.8700000000,2.6700000000,2.6800000000,2080386368,5758837083.2600,1,17.825600,-5.633800
16,2022-01-21,sh.601868,2.6700000000,2.8800000000,2.6600000000,2.7100000000,2988830528,8293540500.6600,1,25.609500,1.119400
17,2022-01-28,sh.601868,2.6800000000,2.7600000000,2.5700000000,2.6400000000,1701205600,4533868827.9500,1,14.576600,-2.583000
18,2022-02-11,sh.601868,2.6700000000,3.0100000000,2.6700000000,2.8400000000,3724201440,10572377671.7600,1,31.910400,7.575800
19,2022-02-18,sh.601868,2.8100000000,2.8400000000,2.7200000000,2.8000000000,2019231248,5616907755.7000,1,17.301600,-1.408500
20,2022-02-25,sh.601868,2.7900000000,2.7900000000,2.6400000000,2.7000000000,1828805120,4978515594.1400,1,15.669900,-3.571400
21,2022-03-04,sh.601868,2.6900000000,2.7400000000,2.6600000000,2.6800000000,1315039221,3546514160.0000,1,11.267800,-0.740700
22,2022-03-11,sh.601868,2.6700000000,2.7200000000,2.3500000000,2.5500000000,1760571440,4554812336.0000,1,15.085400,-4.850700
23,2022-03-18,sh.601868,2.5100000000,2.5300000000,2.2900000000,2.4800000000,1900837384,4577863605.1500,1,16.287000,-2.745100
24,2022-03-25,sh.601868,2.4800000000,2.5300000000,2.3800000000,2.3900000000,1226649202,3005052656.2600,1,10.510500,-3.629000
25,2022-04-01,sh.601868,2.3700000000,2.5200000000,2.3400000000,2.4700000000,1099219737,2665085791.9300,1,9.418600,3.347300
26,2022-04-08,sh.601868,2.4600000000,2.5500000000,2.4400000000,2.5500000000,1201340800,3006742047.0200,1,10.293600,3.238900
27,2022-04-15,sh.601868,2.5600000000,2.5600000000,2.4200000000,2.4400000000,1305863805,3231080499.5600,1,11.189100,-4.313700
28,2022-04-22,sh.601868,2.4200000000,2.4400000000,2.3100000000,2.3500000000,939037164,2235026430.2000,1,8.046100,-3.688500
29,2022-04-29,sh.601868,2.3300000000,2.4300000000,2.2300000000,2.4200000000,1636238524,3819285726.9800,1,14.019900,2.978700
30,2022-05-06,sh.601868,2.4200000000,2.4500000000,2.3200000000,2.3300000000,472778425,1122554962.1100,1,4.050900,-3.719000
31,2022-05-13,sh.601868,2.3200000000,2.3900000000,2.3000000000,2.3500000000,976440923,2297564401.7500,1,8.366600,0.858400
32,2022-05-20,sh.601868,2.3600000000,2.3700000000,2.2800000000,2.3600000000,854192727,1991639366.2600,1,7.319000,0.425500
33,2022-05-27,sh.601868,2.3600000000,2.3800000000,2.2800000000,2.3400000000,1016598688,2368115716.8500,1,8.710800,-0.847500
34,2022-06-02,sh.601868,2.3400000000,2.3500000000,2.3000000000,2.3200000000,662887539,1536395625.0400,1,5.679900,-0.854700
35,2022-06-10,sh.601868,2.3100000000,2.5200000000,2.3000000000,2.4300000000,1795029023,4305494488.8800,1,15.380700,4.741400
36,2022-06-17,sh.601868,2.4000000000,2.4500000000,2.3500000000,2.3800000000,1284041929,3071657037.3100,1,11.002300,-2.057600
37,2022-06-24,sh.601868,2.3800000000,2.4100000000,2.3400000000,2.3700000000,897302726,2128323499.0900,1,7.688600,-0.420200
38,2022-07-01,sh.601868,2.3700000000,2.4400000000,2.3600000000,2.3800000000,1129927387,2691939515.3200,1,9.681700,0.421900
