,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.601872,7.8800000000,8.3500000000,7.8800000000,8.2300000000,148989317,1212787701.0000,1,24.225905,3.522013
1,2007-01-12,sh.601872,8.3500000000,9.7000000000,8.2400000000,8.3900000000,381114131,3377765411.0000,1,61.969777,1.944107
2,2007-01-19,sh.601872,8.3900000000,9.1400000000,8.2200000000,8.9300000000,253608639,2219564327.0000,1,41.237177,6.436234
3,2007-01-26,sh.601872,9.0200000000,10.5500000000,8.7700000000,9.4100000000,436618028,4161415464.0000,1,70.994801,5.375140
4,2007-02-02,sh.601872,9.5000000000,10.2500000000,8.3200000000,8.3500000000,260621974,2448399008.0000,1,42.377557,-11.264612
5,2007-02-09,sh.601872,8.2400000000,8.9500000000,8.1300000000,8.8000000000,129145942,1113974439.0000,1,20.999340,5.389222
6,2007-02-16,sh.601872,8.8000000000,9.6500000000,8.7800000000,9.4800000000,147035413,1358958257.0000,1,23.908197,7.727273
7,2007-03-02,sh.601872,9.7200000000,10.2000000000,8.3300000000,8.7700000000,362035811,3296590450.0000,1,50.597652,-7.489451
8,2007-03-09,sh.601872,8.7300000000,9.2600000000,8.4200000000,9.0300000000,239701317,2147000728.0000,1,28.035242,2.964652
9,2007-03-16,sh.601872,9.0000000000,9.2000000000,8.7000000000,8.8100000000,223509614,2002697530.0000,1,26.141475,-2.436323
10,2007-03-23,sh.601872,8.5000000000,9.7000000000,8.4000000000,9.5400000000,277584327,2526979358.0000,1,32.466003,8.286039
11,2007-03-30,sh.601872,9.5800000000,9.8800000000,8.9000000000,9.1100000000,362642959,3431503834.0000,1,42.414381,-4.507338
12,2007-04-06,sh.601872,9.0800000000,9.9800000000,9.0300000000,9.7500000000,349922675,3347521867.0000,1,40.926629,7.025247
13,2007-04-13,sh.601872,9.8500000000,10.8500000000,9.6800000000,10.4200000000,474853864,4838530559.0000,1,55.538464,6.871795
14,2007-04-20,sh.601872,10.4200000000,11.2000000000,10.1000000000,10.9300000000,356550803,3770854870.0000,1,41.701848,4.894434
