,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2008-02-01,sh.601898,24.0000000000,24.8900000000,21.3500000000,22.2000000000,597819994,13483605436.0000,1,50.571297,31.907308
1,2008-02-05,sh.601898,22.9000000000,24.4200000000,22.6000000000,22.9800000000,537322033,12651403689.0000,1,45.453602,3.513514
2,2008-02-15,sh.601898,22.2800000000,22.7600000000,21.2700000000,21.8200000000,237982269,5221300115.0000,1,20.131598,-5.047868
3,2008-02-22,sh.601898,22.2000000000,23.4800000000,21.2200000000,21.3200000000,346092407,7765483596.0000,1,29.276943,-2.291476
4,2008-02-29,sh.601898,21.2500000000,21.5000000000,19.5200000000,20.5200000000,216328791,4394504610.0000,1,18.299869,-3.752345
5,2008-03-07,sh.601898,20.1200000000,21.1000000000,19.4500000000,19.6700000000,180301344,3645758370.0000,1,15.252205,-4.142300
6,2008-03-14,sh.601898,19.5000000000,21.2000000000,18.7700000000,20.7200000000,322900715,6523201321.0000,1,27.315092,5.338078
7,2008-03-21,sh.601898,20.6500000000,21.0000000000,18.8800000000,20.2900000000,299166455,5999938895.0000,1,25.307343,-2.075290
8,2008-03-28,sh.601898,20.4000000000,20.5700000000,16.0200000000,17.4000000000,249521775,4483862295.0000,1,21.107758,-14.243470
9,2008-04-03,sh.601898,16.6000000000,17.5200000000,16.2900000000,17.3900000000,111967963,1893864848.0000,1,9.471689,-0.057471
10,2008-04-11,sh.601898,17.0000000000,18.6100000000,16.8100000000,18.0000000000,151270975,2715358381.0000,1,12.796443,3.507763
11,2008-04-18,sh.601898,17.6000000000,18.7200000000,16.7700000000,16.8300000000,139086383,2474810644.0000,1,11.765714,-6.500000
12,2008-04-25,sh.601898,18.3500000000,20.8000000000,16.6600000000,19.9600000000,337521307,6515511023.0000,1,28.551889,18.597742
13,2008-04-30,sh.601898,19.6800000000,19.8000000000,18.8500000000,19.5800000000,165295300,3200447501.0000,1,13.982801,-1.903808
14,2008-05-09,sh.601898,19.1000000000,20.9600000000,19.1000000000,20.1000000000,493460033,9889232603.0000,1,32.350962,2.655771
15,2008-05-16,sh.601898,19.8000000000,20.3300000000,19.0700000000,19.6700000000,228124513,4514222507.0000,1,14.955715,-2.139303
16,2008-05-23,sh.601898,19.7100000000,21.8800000000,19.2500000000,21.3200000000,409331185,8520029623.0000,1,26.835522,8.388409
17,2008-05-30,sh.601898,21.3100000000,21.6200000000,19.8900000000,20.3600000000,224170699,4637094928.0000,1,14.696505,-4.502814
18,2008-06-06,sh.601898,20.3000000000,20.6900000000,17.6200000000,17.8900000000,185511646,3544773195.0000,1,12.162039,-12.131631
19,2008-06-13,sh.601898,17.2500000000,18.1500000000,16.5000000000,16.5100000000,129823808,2233439453.0000,1,8.511176,-7.713807
20,2008-06-20,sh.601898,16.6100000000,17.6000000000,15.9000000000,16.1600000000,118478140,1969303921.0000,1,7.767360,-2.119927
21,2008-06-27,sh.601898,16.1800000000,17.1000000000,15.7000000000,15.9300000000,127069369,2080668430.0000,1,8.330596,-1.423267
22,2008-07-04,sh.601898,15.8800000000,16.3800000000,13.9600000000,14.3100000000,168854076,2577549029.0000,1,11.069978,-10.169492
23,2008-07-11,sh.601898,14.4000000000,15.7104559500,14.1000000000,15.3390266400,242139824,3655291584.0000,1,15.874551,7.191014
24,2008-07-18,sh.601898,15.3591039000,15.6000310200,13.3011847500,14.0540820000,120028097,1724250430.0000,1,7.868975,-8.376963
25,2008-07-25,sh.601898,13.9536957000,14.5058203500,13.6625754300,13.7830389900,149515754,2099560247.0000,1,9.802169,-1.928571
26,2008-08-01,sh.601898,13.8633480300,14.3753181600,13.0702962600,13.3212620100,118637496,1645184939.0000,1,7.777808,-3.350328
27,2008-08-08,sh.601898,13.2509916000,13.2509916000,11.4339995700,11.4641154600,111815359,1361328066.0000,1,7.330552,-13.941221
28,2008-08-15,sh.601898,11.3737677900,11.4641154600,10.6208705400,11.0525316300,88056489,967351778.0000,1,5.772934,-3.590193
29,2008-08-22,sh.601898,11.0324543700,11.3436519000,10.1390163000,10.7814886200,87677610,934814761.0000,1,5.748095,-2.452316
30,2008-08-29,sh.601898,10.7212568400,11.7251198400,10.4502138300,11.5243472400,81646028,897859477.0000,1,5.352668,6.890130
31,2008-09-05,sh.601898,11.3938450500,11.4038836800,10.2394026000,10.3899820500,57599799,628915547.0000,1,3.776210,-9.843206
32,2008-09-12,sh.601898,10.3498275300,10.5204842400,9.1753078200,9.4965439800,56592062,554064897.0000,1,3.710144,-8.599034
33,2008-09-19,sh.601898,9.3158486400,9.9583209600,8.4123719400,9.9583209600,85886169,784901182.0000,1,5.630649,4.862579
34,2008-09-26,sh.601898,10.9521453300,12.5081329800,10.6911409500,11.7652743600,318714928,3610217114.0000,1,20.894771,18.145161
35,2008-10-10,sh.601898,11.3637291600,11.3637291600,8.0509812600,8.0610198900,217251534,2048144045.0000,1,14.242888,-31.484642
36,2008-10-17,sh.601898,7.8301314000,8.7436467300,7.0270410000,7.1876590800,162656433,1268630016.0000,1,10.663664,-10.834371
37,2008-10-24,sh.601898,7.1776204500,7.9405563300,6.9266547000,7.1173886700,146771742,1086083039.0000,1,9.622273,-0.977654
38,2008-10-31,sh.601898,6.9366933300,6.9567705900,6.0231780000,6.4849549800,135880236,878635894.0000,1,8.908232,-8.885755
39,2008-11-07,sh.601898,6.4949936100,6.8664229200,6.2139119700,6.6556116900,86752895,571294158.0000,1,5.687471,2.631579
40,2008-11-14,sh.601898,6.7559979900,7.8803245500,6.7258821000,7.7698996200,219600831,1594293945.0000,1,14.396907,16.742081
41,2008-11-21,sh.601898,7.6293588000,7.9004018100,6.8262684000,7.1274273000,205676884,1508146031.0000,1,13.484061,-8.268734
42,2008-11-28,sh.601898,7.0772341500,7.2077363400,6.4448004600,6.5351481300,126139463,854610391.0000,1,8.269632,-8.309859
43,2008-12-05,sh.601898,6.5251095000,7.6895905800,6.3042596400,7.3583157900,285524812,2022668599.0000,1,18.718846,12.596006
44,2008-12-12,sh.601898,7.4486634600,8.3421015300,7.3081226400,7.4386248300,352808731,2758223562.0000,1,23.129942,1.091405
45,2008-12-19,sh.601898,7.6092815400,7.7799382500,7.1776204500,7.7498223600,116746554,874251831.0000,1,7.653838,4.183536
46,2008-12-26,sh.601898,7.6293588000,7.6795519500,6.6857275800,6.8262684000,120731414,854778519.0000,1,7.915084,-11.917098
47,2008-12-31,sh.601898,6.7660366200,6.7961525100,6.4749163500,6.4949936100,82520221,540666467.0000,1,5.417116,-4.852941
48,2009-01-09,sh.601898,6.6556116900,7.4787793500,6.6455730600,7.3482771600,228096467,1634728524.0000,1,15.027867,13.137558
49,2009-01-16,sh.601898,7.2579294900,7.6393974300,7.0170023700,7.4787793500,170473357,1247892054.0000,1,11.231436,1.775956
50,2009-01-23,sh.601898,7.5289725000,7.8803245500,7.3181612700,7.7096678400,170527143,1299359770.0000,1,11.234980,3.087248
51,2009-02-06,sh.601898,7.8000155100,8.5729900200,7.6092815400,8.5227968700,290587021,2356930526.0000,1,19.144984,10.546875
52,2009-02-13,sh.601898,8.7336081000,9.1050374100,8.3922946800,8.9143034400,378572242,3309807693.0000,1,24.941786,4.593640
53,2009-02-20,sh.601898,9.0247283700,9.5366985000,8.1915220800,8.5428741300,390269836,3441154443.0000,1,25.712469,-4.166667
54,2009-02-27,sh.601898,8.4023333100,8.7336081000,7.3081226400,7.4185475700,265342529,2146999943.0000,1,17.481780,-13.160987
55,2009-03-06,sh.601898,7.3783930500,7.9807108500,7.0270410000,7.7899768800,251417613,1898878508.0000,1,16.564353,5.006766
56,2009-03-13,sh.601898,7.8502086600,8.2316766000,7.4386248300,7.8200927700,209422350,1644729019.0000,1,13.797545,0.386598
57,2009-03-20,sh.601898,7.7297451000,9.0949987800,7.5892042800,8.8641102900,347726333,2945065698.0000,1,22.909540,13.350449
58,2009-03-27,sh.601898,8.9343807000,9.1251146700,8.3521401600,8.8139171400,312905240,2750521675.0000,1,20.615393,-0.566251
59,2009-04-03,sh.601898,8.8339944000,9.6069689100,8.4525264600,9.2255009700,389065418,3529863629.0000,1,25.633117,4.669704
60,2009-04-10,sh.601898,9.2455782300,10.8015658800,9.2455782300,10.6409478000,477333335,4714349049.0000,1,31.448545,15.342764
61,2009-04-17,sh.601898,10.7413341000,11.6347721700,10.1892094500,10.3096730100,560920959,6150971872.0000,1,36.955617,-3.113208
62,2009-04-24,sh.601898,10.2394026000,10.7112182100,9.6471234300,10.2092867100,299107872,3040479915.0000,1,19.706370,-0.973710
63,2009-04-30,sh.601898,10.1289776700,10.6309091700,9.7575483600,10.4502138300,210806839,2157150038.0000,1,13.888760,2.359882
64,2009-05-08,sh.601898,10.5405615000,11.6448108000,10.5405615000,11.2533042300,423417035,4724698228.0000,1,27.896333,7.684918
65,2009-05-15,sh.601898,11.3235746400,12.0965491500,10.4200979400,11.9560083300,470887991,5361306500.0000,1,31.023901,6.244425
66,2009-05-22,sh.601898,11.8355447700,13.0502190000,11.4239609400,11.7251198400,478539895,5880193172.0000,1,31.528038,-1.931150
67,2009-05-27,sh.601898,11.3637291600,11.8154675100,11.1228020400,11.2934587500,226177421,2559912521.0000,1,14.901433,-3.681507
68,2009-06-05,sh.601898,11.5444245000,12.4880557200,11.5042699800,12.2872831200,376156546,4536438428.0000,1,24.782631,8.800000
69,2009-06-12,sh.601898,12.2270513400,12.3374762700,11.4139223100,11.5042699800,264308073,3108158448.0000,1,17.413626,-6.372549
70,2009-06-19,sh.601898,11.4540768300,12.0764718900,11.1830338200,11.8857379200,269076763,3127233172.0000,1,17.727806,3.315881
71,2009-06-26,sh.601898,12.0162401100,12.2973217500,11.5444245000,12.0262787400,246384742,2944235973.0000,1,16.232769,1.182432
