,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2011-12-02,sh.601928,12.0300000000,12.9700000000,10.5200000000,10.5300000000,560739447,6621447055.0000,1,200.299856,19.659091
1,2011-12-09,sh.601928,10.4100000000,11.5700000000,10.0600000000,11.0100000000,425079952,4618820203.0000,1,151.841383,4.558405
2,2011-12-16,sh.601928,10.9600000000,11.2400000000,9.3100000000,10.0200000000,305237800,3163148056.0000,1,109.032970,-8.991826
3,2011-12-23,sh.601928,9.7500000000,10.5000000000,8.8200000000,9.1200000000,228867711,2218900493.0000,1,81.753067,-8.982036
4,2011-12-30,sh.601928,9.0500000000,9.1800000000,7.6500000000,8.3600000000,209111116,1733266958.0000,1,74.695880,-8.333333
5,2012-01-06,sh.601928,8.2000000000,8.6500000000,8.0900000000,8.5600000000,187327306,1570619064.0000,1,66.914558,2.392344
6,2012-01-13,sh.601928,8.5000000000,9.3400000000,8.1000000000,8.1600000000,263922737,2330817521.0000,1,94.274955,-4.672897
7,2012-01-20,sh.601928,8.0000000000,8.7000000000,7.6900000000,8.2200000000,149271095,1218641396.0000,1,53.320627,0.735294
8,2012-02-03,sh.601928,8.2900000000,8.6900000000,7.9400000000,8.5700000000,149701470,1255873272.0000,1,53.474360,4.257908
9,2012-02-10,sh.601928,8.6300000000,9.2000000000,8.2700000000,8.9200000000,210776791,1830456190.0000,1,75.290870,4.084014
10,2012-02-17,sh.601928,8.8300000000,9.3900000000,8.7000000000,8.9200000000,210689789,1898762093.0000,1,75.259792,0.000000
11,2012-02-24,sh.601928,9.0300000000,9.6000000000,8.8200000000,9.3100000000,223358123,2052980774.0000,1,79.785006,4.372197
12,2012-03-02,sh.601928,9.3400000000,10.2000000000,9.1200000000,9.5300000000,456509432,4318833802.0000,1,104.368760,2.363050
13,2012-03-09,sh.601928,9.6500000000,10.2800000000,9.4900000000,10.1500000000,467776849,4621172362.0000,1,91.901149,6.505771
14,2012-03-16,sh.601928,10.1000000000,10.4700000000,9.2700000000,9.7400000000,344290747,3412469836.0000,1,67.640618,-4.039409
15,2012-03-23,sh.601928,9.6500000000,9.7200000000,8.9800000000,9.0600000000,179431565,1672626384.0000,1,35.251781,-6.981520
16,2012-03-30,sh.601928,9.0700000000,9.3100000000,7.9900000000,8.1800000000,136029116,1182076193.0000,1,26.724777,-9.713024
17,2012-04-06,sh.601928,8.2000000000,8.6300000000,8.1200000000,8.5500000000,52983973,445659495.0000,1,10.409425,4.523227
18,2012-04-13,sh.601928,8.4600000000,8.9000000000,8.0900000000,8.7500000000,126261502,1075389097.0000,1,24.805796,2.339181
19,2012-04-20,sh.601928,8.7000000000,8.9800000000,8.5900000000,8.9300000000,112247334,985968674.0000,1,22.052521,2.057143
20,2012-04-27,sh.601928,8.9000000000,9.2000000000,8.1400000000,8.9700000000,177733544,1552772066.0000,1,34.918182,0.447928
21,2012-05-04,sh.601928,9.1100000000,9.3900000000,9.0100000000,9.1800000000,66027099,610496402.0000,1,12.971925,2.341137
22,2012-05-11,sh.601928,9.2300000000,9.8700000000,9.0100000000,9.3000000000,166283955,1576361093.0000,1,32.668753,1.307190
23,2012-05-18,sh.601928,9.4500000000,9.4800000000,8.8100000000,8.8400000000,78122174,706677515.0000,1,15.348168,-4.946237
24,2012-05-25,sh.601928,8.8100000000,9.2000000000,8.4000000000,8.5800000000,63077280,557034414.0000,1,12.392393,-2.941176
25,2012-06-01,sh.601928,8.5500000000,9.1440858600,8.3300000000,8.9422296600,57844946,509443685.0000,1,11.364429,4.221764
26,2012-06-08,sh.601928,8.8312087500,8.8312087500,8.2761042000,8.3265682500,56024138,470527891.0000,1,11.006707,-6.884876
27,2012-06-15,sh.601928,8.3770323000,8.8009303200,8.3164754400,8.6192597400,48182426,408564978.0000,1,9.466095,3.515152
28,2012-06-21,sh.601928,8.6798166000,8.8513943700,8.3164754400,8.5284244500,30970687,265291363.0000,1,6.084614,-1.053864
29,2012-06-29,sh.601928,8.4779604000,8.6798166000,8.0843408100,8.6798166000,40561583,339206623.0000,1,7.968877,1.775148
30,2012-07-06,sh.601928,8.7000022200,8.7807447000,8.3366610600,8.6596309800,34481979,293515934.0000,1,6.774456,-0.232558
31,2012-07-13,sh.601928,8.5284244500,9.1339930500,8.3366610600,9.0330649500,73818637,643406598.0000,1,14.502679,4.312354
32,2012-07-20,sh.601928,8.9826009000,9.4569629700,8.7504662700,9.0532505700,101739285,920608028.0000,1,19.988072,0.223464
33,2012-07-27,sh.601928,8.9321368500,9.2349211500,8.8413015600,9.0330649500,50999594,457815326.0000,1,10.019567,-0.222965
34,2012-08-03,sh.601928,9.0229721400,9.0835290000,8.3972179200,8.8816728000,36868652,318224516.0000,1,7.243350,-1.675978
35,2012-08-10,sh.601928,8.8816728000,9.3459420600,8.8413015600,8.9826009000,42846195,386516992.0000,1,8.417720,1.136364
36,2012-08-17,sh.601928,8.9523224700,9.0835290000,8.5889813100,9.0027865200,31079523,274405066.0000,1,6.105997,0.224719
37,2012-08-24,sh.601928,8.9624152800,9.3358492500,8.8413015600,8.8513943700,60185127,543379211.0000,1,11.824190,-1.681614
38,2012-08-31,sh.601928,8.8413015600,8.9624152800,8.5284244500,8.7000022200,31062317,269596851.0000,1,6.102616,-1.710376
39,2012-09-07,sh.601928,8.6798166000,9.5780766900,8.6394453600,9.3964061100,77356834,698128737.0000,1,15.197806,8.004640
