,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.601988,5.6900000000,5.9700000000,5.0700000000,5.0700000000,1514864017,8275230557.0000,1,31.918261,-6.629834
1,2007-01-12,sh.601988,4.8700000000,5.2900000000,4.7000000000,4.7300000000,1922459143,9629071760.0000,1,36.915038,-6.706114
2,2007-01-19,sh.601988,4.7100000000,5.1000000000,4.6500000000,4.8500000000,1126161769,5469024248.0000,1,21.624545,2.536998
3,2007-01-26,sh.601988,4.8900000000,5.1500000000,4.5200000000,4.8500000000,1355324390,6693175839.0000,1,26.024923,0.000000
4,2007-02-02,sh.601988,4.8500000000,5.1800000000,4.6500000000,4.6600000000,1641378025,8088105440.0000,1,31.517722,-3.917526
5,2007-02-09,sh.601988,4.6500000000,4.7600000000,4.3200000000,4.5400000000,785184519,3577836471.0000,1,15.077104,-2.575107
6,2007-02-16,sh.601988,4.5300000000,5.0200000000,4.5100000000,4.9500000000,883246044,4233605173.0000,1,16.960080,9.030837
7,2007-03-02,sh.601988,4.9400000000,5.0000000000,4.5200000000,4.7100000000,917723238,4378820238.0000,1,17.622111,-4.848485
8,2007-03-09,sh.601988,4.7000000000,5.0700000000,4.5900000000,5.0400000000,1100163927,5367067245.0000,1,21.125335,7.006369
9,2007-03-16,sh.601988,5.0600000000,5.1900000000,4.8800000000,5.0000000000,1102788689,5544114542.0000,1,21.175736,-0.793651
10,2007-03-23,sh.601988,5.0700000000,5.3900000000,5.0500000000,5.2000000000,1276484722,6706871996.0000,1,24.511045,4.000000
11,2007-03-30,sh.601988,5.2000000000,5.8600000000,5.1000000000,5.5500000000,1945337976,10568180360.0000,1,37.354357,6.730769
12,2007-04-06,sh.601988,5.5600000000,5.7500000000,5.5300000000,5.6300000000,1046301641,5895964026.0000,1,20.091072,1.441441
13,2007-04-13,sh.601988,5.6300000000,5.9500000000,5.5600000000,5.7600000000,1647926007,9518076511.0000,1,31.643456,2.309059
