,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2016-08-19,sh.601997,10.1900000000,16.2800000000,10.1900000000,16.2800000000,2118378,32420981.0000,1,0.423676,91.755006
1,2016-08-26,sh.601997,17.9100000000,21.2000000000,17.9100000000,19.5800000000,696355244,14107877630.0000,1,139.271049,20.270270
2,2016-09-02,sh.601997,19.2000000000,20.1000000000,18.2800000000,18.5600000000,424583296,8053686200.0000,1,84.916659,-5.209397
3,2016-09-09,sh.601997,18.6800000000,18.7200000000,17.5200000000,17.5300000000,220603623,3959337854.0000,1,44.120725,-5.549569
4,2016-09-14,sh.601997,17.2000000000,17.5700000000,16.9300000000,17.1200000000,103760902,1787969056.0000,1,20.752180,-2.338848
5,2016-09-23,sh.601997,17.0900000000,17.4700000000,16.3600000000,16.3800000000,129036508,2190068416.0000,1,25.807302,-4.322430
6,2016-09-30,sh.601997,16.3100000000,16.3600000000,15.0200000000,15.0500000000,119556140,1853923652.0000,1,23.911228,-8.119658
7,2016-10-14,sh.601997,15.1200000000,15.5700000000,15.0200000000,15.3400000000,99670869,1528421328.0000,1,19.934174,1.926910
8,2016-10-21,sh.601997,15.2700000000,15.3200000000,14.7500000000,15.1500000000,109999498,1652711008.0000,1,21.999900,-1.238592
9,2016-10-28,sh.601997,15.1600000000,16.3300000000,15.0900000000,15.7200000000,220724429,3450378066.0000,1,44.144886,3.762376
10,2016-11-04,sh.601997,15.7500000000,16.1700000000,15.5500000000,15.6800000000,173470979,2756561828.0000,1,34.694196,-0.254453
11,2016-11-11,sh.601997,15.6700000000,16.4400000000,15.4300000000,16.3400000000,185439961,2957889228.0000,1,37.087992,4.209184
12,2016-11-18,sh.601997,16.2100000000,16.9800000000,16.1100000000,16.1800000000,141190183,2318342204.0000,1,28.238037,-0.979192
13,2016-11-25,sh.601997,16.1200000000,16.9400000000,16.1100000000,16.7800000000,167100133,2763535622.0000,1,33.420027,3.708282
14,2016-12-02,sh.601997,16.8600000000,17.5300000000,16.5100000000,16.6400000000,161841045,2754899392.0000,1,32.368209,-0.834327
15,2016-12-09,sh.601997,16.3200000000,17.9800000000,16.2200000000,17.4200000000,134046640,2283135380.0000,1,26.809328,4.687500
16,2016-12-16,sh.601997,17.6600000000,18.1500000000,16.7600000000,17.2200000000,196517830,3437137398.0000,1,39.303566,-1.148106
17,2016-12-23,sh.601997,17.0400000000,17.0900000000,15.7800000000,15.7900000000,114433512,1865470700.0000,1,22.886702,-8.304297
18,2016-12-30,sh.601997,15.7100000000,16.2200000000,15.5600000000,15.7800000000,64299224,1019508480.0000,1,12.859845,-0.063331
19,2017-01-06,sh.601997,15.8700000000,16.3800000000,15.8300000000,15.8800000000,62791143,1015086568.0000,1,12.558229,0.633714
20,2017-01-13,sh.601997,15.8400000000,16.0600000000,14.8800000000,15.2000000000,66235005,1025956192.0000,1,13.247001,-4.282116
21,2017-01-20,sh.601997,15.0400000000,15.5800000000,14.7000000000,15.5300000000,77880529,1185774158.0000,1,15.576106,2.171053
22,2017-01-26,sh.601997,15.4900000000,16.1200000000,15.3700000000,15.9900000000,39798957,625157448.0000,1,7.959791,2.962009
23,2017-02-03,sh.601997,15.9600000000,15.9800000000,15.7600000000,15.7600000000,6613845,104826496.0000,1,1.322769,-1.438399
24,2017-02-10,sh.601997,15.7800000000,16.5700000000,15.7500000000,16.3400000000,70918581,1146968168.0000,1,14.183716,3.680203
25,2017-02-17,sh.601997,16.3700000000,17.7400000000,16.3700000000,16.7400000000,185512870,3170979588.0000,1,37.102574,2.447980
26,2017-02-24,sh.601997,16.7600000000,18.1500000000,16.7000000000,17.6900000000,216019879,3812484990.0000,1,43.203976,5.675030
27,2017-03-03,sh.601997,17.5900000000,18.3600000000,17.2300000000,17.3700000000,161023495,2868125148.0000,1,32.204699,-1.808932
28,2017-03-10,sh.601997,17.3700000000,18.3400000000,17.3100000000,17.4100000000,110720990,1969398526.0000,1,22.144198,0.230282
29,2017-03-17,sh.601997,17.3500000000,18.1000000000,17.1200000000,17.4200000000,85558600,1507976690.0000,1,17.111720,0.057438
30,2017-03-24,sh.601997,17.3500000000,17.7200000000,16.8100000000,17.0300000000,72147540,1245101328.0000,1,14.429508,-2.238806
31,2017-03-31,sh.601997,17.0300000000,17.7000000000,16.5600000000,17.4900000000,80572497,1387306156.0000,1,16.114499,2.701116
32,2017-04-07,sh.601997,17.1200000000,17.2500000000,16.6800000000,17.0000000000,51976517,885206128.0000,1,10.395303,-2.801601
33,2017-04-14,sh.601997,16.9100000000,17.1600000000,16.2800000000,16.3400000000,67398357,1132144848.0000,1,13.479671,-3.882353
34,2017-04-21,sh.601997,16.2700000000,16.2700000000,15.4200000000,15.6900000000,62336206,982417760.0000,1,12.467241,-3.977968
35,2017-04-28,sh.601997,15.6400000000,16.2300000000,15.3500000000,15.7100000000,54782331,866270899.0000,1,10.956466,0.127470
36,2017-05-05,sh.601997,15.7000000000,15.8000000000,15.1800000000,15.2000000000,53614428,836123794.0000,1,10.722886,-3.246340
37,2017-05-12,sh.601997,15.0500000000,16.3800000000,14.8000000000,16.1700000000,132122413,2072273816.0000,1,26.424483,6.381579
38,2017-05-19,sh.601997,16.1400000000,16.2300000000,15.1700000000,15.3200000000,74915823,1180228659.0000,1,14.983165,-5.256648
39,2017-05-26,sh.601997,15.2600000000,15.7700000000,14.9100000000,15.4800000000,97267195,1494140875.0000,1,19.453439,1.044386
40,2017-06-02,sh.601997,15.7200000000,15.8900000000,15.1800000000,15.8800000000,67274532,1052848928.0000,1,13.454906,2.583979
41,2017-06-09,sh.601997,15.8900000000,16.0800000000,15.5400000000,15.7800000000,85126342,1346773455.0000,1,17.025268,-0.629723
42,2017-06-16,sh.601997,15.7100000000,15.9300000000,15.3826558700,15.4029898500,54303295,842196277.0000,1,10.860659,-2.389186
43,2017-06-23,sh.601997,15.4538248000,16.7145315600,15.4029898500,16.1553471100,88383232,1390147137.0000,1,17.676646,4.884488
44,2017-06-30,sh.601997,16.0740111900,16.3993548700,16.0435102200,16.0740111900,81537134,1298655119.0000,1,16.307427,-0.503461
45,2017-07-07,sh.601997,16.0841781800,16.1350131300,15.7486675100,15.9011723600,58361800,914459378.0000,1,11.672360,-1.075269
46,2017-07-14,sh.601997,15.8706713900,16.4501898200,15.7486675100,16.2875179800,107596450,1702683673.0000,1,21.519290,2.429668
47,2017-07-21,sh.601997,16.2570170100,17.0093742700,16.0536772100,16.3383529300,167913014,2728991792.0000,1,33.582603,0.312110
48,2017-07-28,sh.601997,16.2671840000,16.4705238000,15.8096694500,15.9723412900,92257741,1462816401.0000,1,18.451548,-2.240199
