,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2012-04-27,sh.603000,31.0100000000,35.6000000000,31.0100000000,34.7200000000,47568898,1541491797.0000,1,86.011930,73.600000
1,2012-05-04,sh.603000,35.0000000000,41.9800000000,34.7600000000,39.4200000000,72842780,2822262067.0000,1,131.711021,13.536866
2,2012-05-11,sh.603000,39.1500000000,43.8800000000,38.4600000000,42.7700000000,78217636,3201337056.0000,1,141.429592,8.498224
3,2012-05-18,sh.603000,43.8100000000,48.0400000000,43.3000000000,44.2100000000,69008425,3148326328.0000,1,124.777913,3.366846
4,2012-05-25,sh.603000,44.4400000000,44.6000000000,40.7000000000,41.8500000000,43828188,1844268049.0000,1,79.248148,-5.338159
5,2012-06-01,sh.603000,41.3000000000,42.1000000000,39.6000000000,41.3400000000,31349472,1282118271.0000,1,56.684698,-1.218638
6,2012-06-08,sh.603000,40.0200000000,44.4200000000,40.0000000000,41.4500000000,43734272,1866326436.0000,1,79.078333,0.266086
7,2012-06-15,sh.603000,41.6900000000,42.9500000000,40.3300000000,42.4900000000,26897181,1121642419.0000,1,48.634266,2.509047
8,2012-06-21,sh.603000,42.8200000000,45.5000000000,42.7000000000,44.2600000000,29327766,1296424944.0000,1,53.029140,4.165686
9,2012-06-29,sh.603000,43.7700000000,45.4800000000,40.1100000000,41.0300000000,29251277,1244671313.0000,1,52.890836,-7.297786
10,2012-07-06,sh.603000,41.8200000000,43.1800000000,40.4500000000,42.1600000000,26410546,1102494105.0000,1,47.754355,2.754082
11,2012-07-13,sh.603000,41.8600000000,42.4000000000,40.3000000000,40.5300000000,24133499,997038749.0000,1,43.637102,-3.866224
12,2012-07-20,sh.603000,40.5200000000,40.5200000000,34.8500000000,35.9800000000,24047944,884500253.0000,1,43.482405,-11.226252
13,2012-07-27,sh.603000,35.0000000000,38.9000000000,33.0000000000,37.1700000000,32310804,1153046228.0000,1,53.108483,3.307393
14,2012-08-03,sh.603000,36.2000000000,37.4900000000,33.2500000000,35.3800000000,25743732,895476597.0000,1,37.252695,-4.815712
15,2012-08-10,sh.603000,34.8000000000,39.0500000000,34.6000000000,37.9800000000,33293463,1240068303.0000,1,48.177599,7.348785
16,2012-08-17,sh.603000,37.9800000000,39.1600000000,36.1700000000,38.0400000000,17650694,665143123.0000,1,25.541593,0.157978
17,2012-08-24,sh.603000,37.6300000000,40.5100000000,37.3000000000,37.3800000000,23320198,905309589.0000,1,33.745698,-1.735016
18,2012-08-31,sh.603000,37.1500000000,37.7000000000,34.1100000000,36.0500000000,15293246,555508304.0000,1,22.130227,-3.558052
19,2012-09-07,sh.603000,36.0500000000,45.4800000000,35.9000000000,43.9800000000,58260103,2408911422.0000,1,84.305796,21.997226
20,2012-09-14,sh.603000,43.7000000000,44.4500000000,41.6000000000,42.2800000000,35480115,1528319903.0000,1,51.341814,-3.865393
21,2012-09-21,sh.603000,42.3900000000,43.1500000000,39.0300000000,39.1000000000,22751048,936031828.0000,1,32.922105,-7.521287
