,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2014-11-07,sh.603019,7.6200000000,8.3800000000,7.6200000000,8.3800000000,75122,580578.0000,1,0.100163,58.412098
1,2014-11-14,sh.603019,9.2200000000,13.5000000000,9.2200000000,13.5000000000,135900,1604118.0000,1,0.181200,61.097852
2,2014-11-21,sh.603019,14.8500000000,21.7500000000,14.8500000000,21.7500000000,857336,16172451.0000,1,1.143115,61.111111
3,2014-11-28,sh.603019,23.9300000000,35.0400000000,23.9300000000,35.0400000000,1576544,47148377.0000,1,2.102059,61.103448
4,2014-12-05,sh.603019,38.5400000000,51.2900000000,38.5400000000,51.2900000000,4634987,229534163.0000,1,6.179983,46.375571
5,2014-12-12,sh.603019,56.4200000000,62.9900000000,48.0200000000,53.3200000000,116412647,6369700000.0000,1,155.216863,3.957887
6,2014-12-19,sh.603019,50.9000000000,53.9000000000,46.1000000000,46.1000000000,61845779,3111033858.0000,1,82.461039,-13.540885
7,2014-12-26,sh.603019,45.2300000000,45.9900000000,39.2800000000,43.7400000000,45643560,1931689728.0000,1,60.858080,-5.119306
8,2015-01-09,sh.603019,43.0000000000,45.0000000000,38.8000000000,45.0000000000,38383337,1585423088.0000,1,51.177783,5.807665
9,2015-01-16,sh.603019,46.0000000000,50.6400000000,44.6800000000,48.2400000000,58769690,2782126652.0000,1,78.359587,7.200000
10,2015-01-23,sh.603019,47.0000000000,58.2000000000,46.7000000000,53.7100000000,51194034,2671111680.0000,1,68.258712,11.339138
11,2015-01-30,sh.603019,54.4900000000,57.9900000000,49.4000000000,49.5100000000,39110452,2094605696.0000,1,52.147269,-7.819773
12,2015-02-06,sh.603019,49.0000000000,53.3600000000,48.3000000000,49.1600000000,30088412,1544277760.0000,1,40.117883,-0.706928
13,2015-02-13,sh.603019,48.7300000000,52.4800000000,45.6200000000,51.6100000000,23838084,1180781024.0000,1,31.784112,4.983727
14,2015-02-17,sh.603019,51.6500000000,55.0000000000,51.6500000000,53.9500000000,11711684,623776128.0000,1,15.615579,4.534005
15,2015-02-27,sh.603019,53.7000000000,59.3500000000,53.5300000000,58.9400000000,26487973,1521331588.0000,1,35.317297,9.249305
16,2015-03-06,sh.603019,59.2800000000,62.5000000000,56.6800000000,56.8200000000,31852582,1895109008.0000,1,42.470109,-3.596878
17,2015-03-13,sh.603019,55.8000000000,61.5000000000,55.0000000000,60.4500000000,19633129,1128884000.0000,1,26.177505,6.388596
18,2015-03-20,sh.603019,62.0000000000,67.5800000000,60.3100000000,64.4800000000,31589678,2013689120.0000,1,42.119571,6.666667
19,2015-03-27,sh.603019,64.5200000000,78.6400000000,63.7600000000,70.8900000000,38821136,2766198272.0000,1,51.761515,9.941067
20,2015-04-03,sh.603019,71.0800000000,84.7000000000,68.8000000000,82.5200000000,31566709,2352828316.0000,1,42.088945,16.405699
21,2015-04-10,sh.603019,82.3500000000,99.1900000000,78.8100000000,99.1300000000,26965712,2353694216.0000,1,35.954283,20.128454
