,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2018-05-11,sh.603259,25.9200000000,41.3900000000,25.9200000000,41.3900000000,114095,4230892.0000,1,0.109498,91.620370
1,2018-05-18,sh.603259,45.5300000000,66.6600000000,45.5300000000,66.6600000000,770511,45981812.0000,1,0.739464,61.053395
2,2018-05-25,sh.603259,73.3300000000,107.3600000000,73.3300000000,107.3600000000,3830171,387523668.0000,1,3.675839,61.056106
3,2018-06-01,sh.603259,118.1000000000,135.5700000000,116.0300000000,132.8700000000,154202406,19634870831.0000,1,147.989005,23.761177
4,2018-06-08,sh.603259,136.3900000000,138.8700000000,113.9900000000,118.4600000000,125432049,15343394380.0000,1,120.377915,-10.845187
5,2018-06-15,sh.603259,115.7600000000,116.6400000000,99.0600000000,100.5300000000,98825228,10577434332.0000,1,94.843184,-15.135911
6,2018-06-22,sh.603259,97.7500000000,102.3600000000,87.3600000000,89.9000000000,73338188,7064674289.0000,1,70.383114,-10.573958
7,2018-06-29,sh.603259,90.1000000000,95.9900000000,86.1100000000,94.9500000000,67409445,6241802531.0000,1,64.693262,5.617353
8,2018-07-06,sh.603259,94.9000000000,100.3900000000,88.0000000000,95.8900000000,71417976,6742749395.0000,1,68.540274,0.989995
9,2018-07-13,sh.603259,97.0500000000,105.4000000000,94.1100000000,101.8100000000,69165170,6863465176.0000,1,66.378242,6.173741
10,2018-07-20,sh.603259,100.8100000000,102.5000000000,89.2500000000,92.2200000000,46346670,4413783547.0000,1,44.479186,-9.419507
11,2018-07-27,sh.603259,86.0000000000,91.7500000000,84.4400000000,86.5500000000,42185335,3708153451.0000,1,40.485527,-6.148341
12,2018-08-03,sh.603259,86.5800000000,86.9900000000,75.2500000000,75.3400000000,35741404,2852416174.0000,1,34.301247,-12.952051
13,2018-08-10,sh.603259,74.5000000000,81.4900000000,71.2300000000,80.0200000000,45500912,3465719247.0000,1,43.667507,6.211840
14,2018-08-17,sh.603259,78.1800000000,81.4800000000,71.6500000000,71.9100000000,26512197,2032562546.0000,1,25.443920,-10.134966
15,2018-08-24,sh.603259,71.9200000000,89.6200000000,70.3900000000,85.8800000000,51651215,4222696094.0000,1,49.569991,19.427062
16,2018-08-31,sh.603259,86.6800000000,91.6000000000,84.4500000000,84.5000000000,37141138,3279878702.0000,1,35.644580,-1.606893
17,2018-09-07,sh.603259,83.7200000000,90.6000000000,83.7000000000,88.0000000000,32910505,2873822496.0000,1,31.584416,4.142012
18,2018-09-14,sh.603259,87.9000000000,93.4700000000,80.5000000000,82.8200000000,39846655,3475591692.0000,1,38.241082,-5.886364
19,2018-09-21,sh.603259,81.8000000000,90.8900000000,80.8100000000,90.0000000000,27248823,2360663139.0000,1,26.150864,8.669404
20,2018-09-28,sh.603259,88.5000000000,92.9500000000,87.6500000000,92.5500000000,24531397,2209704034.0000,1,23.542934,2.833333
21,2018-10-12,sh.603259,90.5800000000,90.8000000000,74.0600000000,78.1300000000,30415312,2502006373.0000,1,29.189763,-15.580767
22,2018-10-19,sh.603259,78.5600000000,82.2200000000,74.0000000000,80.8000000000,23235741,1834464963.0000,1,22.299485,3.417381
23,2018-10-26,sh.603259,83.0000000000,89.8300000000,80.4500000000,82.6600000000,32565343,2796017658.0000,1,31.253162,2.301980
24,2018-11-02,sh.603259,81.1000000000,90.4000000000,78.0500000000,88.5500000000,28858744,2467919269.0000,1,27.695915,7.125575
25,2018-11-09,sh.603259,89.3000000000,93.3300000000,85.1100000000,86.6100000000,28408667,2523290487.0000,1,27.263974,-2.190853
26,2018-11-16,sh.603259,86.6100000000,89.5000000000,86.1600000000,86.9400000000,22847263,1999726072.0000,1,21.926660,0.381018
27,2018-11-23,sh.603259,86.0000000000,86.4300000000,78.9600000000,79.0000000000,26406167,2166143443.0000,1,25.342162,-9.132735
28,2018-11-30,sh.603259,79.1000000000,81.8300000000,76.8300000000,79.7500000000,14869809,1183617120.0000,1,14.270648,0.949367
29,2018-12-07,sh.603259,82.0000000000,85.8600000000,78.8300000000,80.1000000000,28987937,2406137492.0000,1,27.819903,0.438871
30,2018-12-14,sh.603259,78.9000000000,81.2700000000,78.5000000000,78.6300000000,15510687,1242227191.0000,1,14.885702,-1.835206
31,2018-12-21,sh.603259,78.6600000000,79.4100000000,74.0000000000,75.7000000000,12356346,951585244.0000,1,11.858462,-3.726313
32,2018-12-28,sh.603259,75.2800000000,77.2000000000,74.0000000000,74.8600000000,9368083,707518753.0000,1,8.990607,-1.109643
33,2019-01-04,sh.603259,75.2800000000,75.2800000000,70.4800000000,72.5900000000,7612954,549783185.0000,1,7.306199,-3.032327
34,2019-01-11,sh.603259,73.0000000000,73.3000000000,71.0200000000,72.3800000000,11624422,837727641.0000,1,11.156030,-0.289296
35,2019-01-18,sh.603259,72.5000000000,75.3000000000,71.3000000000,75.1000000000,14318811,1049517239.0000,1,13.741852,3.757944
36,2019-01-25,sh.603259,75.2100000000,78.0900000000,75.1500000000,76.3800000000,16577687,1272281577.0000,1,15.909709,1.704394
37,2019-02-01,sh.603259,76.3800000000,77.4900000000,72.8800000000,77.2000000000,17042468,1288400590.0000,1,16.355762,1.073579
38,2019-02-15,sh.603259,77.1000000000,84.1000000000,76.1000000000,81.9100000000,23286311,1890023369.0000,1,22.348017,6.101036
39,2019-02-22,sh.603259,82.3000000000,87.8600000000,81.9200000000,85.2800000000,25480195,2153770382.0000,1,24.453501,4.114272
40,2019-03-01,sh.603259,85.1100000000,91.3000000000,84.6000000000,89.8900000000,29135760,2577586180.0000,1,27.961769,5.405722
41,2019-03-08,sh.603259,89.9500000000,101.6000000000,89.9500000000,93.5600000000,36755498,3537387520.0000,1,35.274479,4.082768
