,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2014-07-04,sh.603369,20.3200000000,26.8200000000,20.3200000000,26.8200000000,687491,17450138.0000,1,1.327203,58.417011
1,2014-07-11,sh.603369,29.5000000000,32.4500000000,28.0100000000,28.8100000000,85045428,2571344468.0000,1,164.180363,7.419836
2,2014-07-18,sh.603369,28.0800000000,28.6900000000,26.4100000000,27.3800000000,45332222,1257412032.0000,1,87.513942,-4.963554
3,2014-07-25,sh.603369,27.0000000000,27.1600000000,25.3600000000,25.8200000000,22386531,587475232.0000,1,43.217241,-5.697589
4,2014-08-01,sh.603369,26.2000000000,26.8700000000,25.7700000000,25.8000000000,20583589,542636096.0000,1,39.736658,-0.077459
5,2014-08-08,sh.603369,25.6200000000,26.1200000000,25.6200000000,25.8900000000,11616464,300542280.0000,1,22.425606,0.348837
6,2014-08-15,sh.603369,25.9500000000,28.4900000000,25.8600000000,27.4600000000,28755629,778603224.0000,1,55.512797,6.064117
7,2014-08-22,sh.603369,27.5400000000,28.2900000000,27.0000000000,27.2500000000,20613447,565923516.0000,1,39.794299,-0.764749
8,2014-08-29,sh.603369,27.3000000000,27.3100000000,25.5500000000,26.1100000000,11771952,310310416.0000,1,22.725776,-4.183486
9,2014-09-05,sh.603369,26.0700000000,27.4500000000,25.9700000000,27.1000000000,15176477,409441336.0000,1,29.298218,3.791651
10,2014-09-12,sh.603369,27.1700000000,27.3100000000,26.6500000000,26.9400000000,10597083,285426936.0000,1,20.457689,-0.590406
11,2014-09-19,sh.603369,26.9700000000,26.9700000000,25.6300000000,26.4100000000,14860234,389672216.0000,1,28.687710,-1.967335
12,2014-09-26,sh.603369,26.6600000000,26.9900000000,26.2100000000,26.2500000000,14008805,371858208.0000,1,27.044025,-0.605831
13,2014-09-30,sh.603369,26.2500000000,26.6900000000,26.2500000000,26.6500000000,4065078,107995100.0000,1,7.847641,1.523810
14,2014-10-10,sh.603369,26.6500000000,26.9200000000,26.4400000000,26.4600000000,6343751,169238712.0000,1,12.246624,-0.712946
15,2014-10-17,sh.603369,26.3400000000,26.8700000000,25.7600000000,26.8000000000,10239392,269727928.0000,1,19.767166,1.284958
16,2014-10-24,sh.603369,26.9800000000,28.1800000000,26.0300000000,26.1800000000,26839703,732557068.0000,1,51.814098,-2.313433
17,2014-10-31,sh.603369,26.3000000000,27.7000000000,25.4000000000,27.4000000000,17865711,477134988.0000,1,34.489790,4.660046
18,2014-11-07,sh.603369,27.3900000000,29.4100000000,26.8000000000,28.1800000000,33330982,930374776.0000,1,64.345525,2.846715
19,2014-11-14,sh.603369,28.2500000000,30.8900000000,27.8200000000,28.5000000000,47710770,1393817664.0000,1,92.105734,1.135557
20,2014-11-21,sh.603369,28.8800000000,28.8900000000,27.9900000000,28.4000000000,13963242,396493748.0000,1,26.956066,-0.350877
21,2014-11-28,sh.603369,28.6800000000,29.6000000000,28.1600000000,28.4200000000,21433069,614924608.0000,1,41.376581,0.070423
22,2014-12-05,sh.603369,28.4300000000,30.7600000000,28.0000000000,28.4100000000,35184334,1035709184.0000,1,67.923425,-0.035186
23,2014-12-12,sh.603369,28.0800000000,28.7200000000,27.2100000000,28.3900000000,15961117,449106552.0000,1,30.812967,-0.070398
24,2014-12-19,sh.603369,28.1800000000,29.1700000000,26.8500000000,27.3000000000,13494007,381134656.0000,1,26.050207,-3.839380
