,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2020-04-30,sh.603392,12.6000000000,13.8600000000,12.6000000000,13.8600000000,173024,2235717.0000,1,0.396800,58.400000
1,2020-05-08,sh.603392,15.2500000000,18.4600000000,15.2500000000,18.4600000000,103335,1751260.0000,1,0.237100,33.189033
2,2020-05-15,sh.603392,20.3100000000,29.7300000000,20.3100000000,29.7300000000,449084,11404665.0000,1,1.030000,61.050921
3,2020-05-22,sh.603392,32.7000000000,47.8800000000,32.7000000000,47.8800000000,626755,26580789.0000,1,1.437400,61.049445
4,2020-05-29,sh.603392,52.6700000000,77.1100000000,52.6700000000,77.1100000000,1009943,65755353.0000,1,2.316400,61.048454
5,2020-06-05,sh.603392,84.8200000000,124.1800000000,84.8200000000,124.1800000000,5068692,605902728.0000,1,11.625500,61.042666
6,2020-06-12,sh.603392,136.6000000000,153.6700000000,130.5000000000,153.6700000000,77429980,10812595435.0000,1,177.591800,23.747785
7,2020-06-19,sh.603392,163.0000000000,170.0000000000,153.8800000000,159.5900000000,47540740,7688363563.0000,1,109.038300,3.852411
8,2020-06-24,sh.603392,158.0000000000,159.5000000000,147.6600000000,154.2900000000,17870730,2755898746.0000,1,40.987900,-3.321010
9,2020-07-03,sh.603392,156.8800000000,175.0000000000,152.0000000000,160.1000000000,28383801,4680638742.0000,1,65.100500,3.765636
10,2020-07-10,sh.603392,159.4500000000,204.8300000000,156.9900000000,202.0000000000,28831315,5120589989.0000,1,66.127000,26.171143
11,2020-07-17,sh.603392,208.1200000000,239.9900000000,195.5700000000,220.0000000000,29018074,6322009885.0000,1,66.555300,8.910891
12,2020-07-24,sh.603392,217.9900000000,238.9900000000,188.9300000000,210.0000000000,25390120,5434509351.7500,1,58.234300,-4.545455
13,2020-07-31,sh.603392,211.0000000000,267.4100000000,205.5000000000,262.7100000000,23474470,5404662880.0400,1,53.840500,25.100000
14,2020-08-07,sh.603392,256.0000000000,296.8000000000,238.8800000000,265.3000000000,24405727,6462877608.9800,1,55.976500,0.985878
15,2020-08-14,sh.603392,268.5000000000,268.5000000000,203.9800000000,207.9800000000,15793393,3665264588.7800,1,36.223400,-21.605729
16,2020-08-21,sh.603392,209.0000000000,225.2900000000,202.0000000000,211.5500000000,9761130,2076399668.4600,1,22.388000,1.716511
17,2020-08-28,sh.603392,212.9000000000,218.1400000000,191.5700000000,218.1400000000,10211872,2099694316.1700,1,23.421800,3.115103
18,2020-09-04,sh.603392,221.0000000000,225.5000000000,205.8900000000,213.8600000000,8685173,1874776429.4400,1,19.920100,-1.962043
19,2020-09-11,sh.603392,214.0000000000,214.7900000000,166.0000000000,178.8200000000,9302338,1740855649.6400,1,21.335600,-16.384551
20,2020-09-18,sh.603392,180.0500000000,187.8800000000,175.0000000000,184.3600000000,6407475,1165917658.2900,1,14.696100,3.098087
21,2020-09-25,sh.603392,184.3800000000,203.9600000000,177.9900000000,188.2000000000,8747072,1666797471.6000,1,20.062100,2.082881
22,2020-09-30,sh.603392,191.0000000000,191.0000000000,174.0000000000,184.6000000000,3225387,587887236.0000,1,7.397800,-1.912859
23,2020-10-09,sh.603392,187.3400000000,192.4000000000,183.8200000000,191.5800000000,1116865,210853443.0000,1,2.561600,3.781148
24,2020-10-16,sh.603392,192.4000000000,205.9800000000,186.6800000000,190.5800000000,6182706,1214151441.0200,1,14.180400,-0.521975
25,2020-10-23,sh.603392,190.0000000000,190.9900000000,168.8800000000,172.6700000000,5084821,922162783.5400,1,11.662400,-9.397628
26,2020-10-30,sh.603392,170.0300000000,201.0000000000,168.0900000000,192.5000000000,7270061,1368852943.5000,1,16.674500,11.484334
27,2020-11-06,sh.603392,192.9600000000,199.5000000000,184.9100000000,194.5900000000,5214733,1011400497.7200,1,11.960400,1.085714
28,2020-11-13,sh.603392,193.9400000000,217.9000000000,185.3300000000,188.6000000000,6671430,1319309458.1000,1,15.301500,-3.078267
29,2020-11-20,sh.603392,191.0000000000,191.0000000000,177.6000000000,182.4300000000,2874580,525919839.5400,1,6.593100,-3.271474
30,2020-11-27,sh.603392,184.5900000000,185.0000000000,169.9700000000,172.1900000000,3908250,684443917.0900,1,8.963800,-5.613112
