,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2014-10-10,sh.603456,18.5200000000,22.2200000000,18.5200000000,22.2200000000,101400,2248668.0000,1,0.195150,44.005185
1,2014-10-17,sh.603456,24.4400000000,35.7800000000,24.4400000000,34.3500000000,30274840,1015941242.0000,1,58.265666,54.590459
2,2014-10-24,sh.603456,32.8800000000,36.8000000000,32.5300000000,32.8100000000,61813358,2135346686.0000,1,118.963353,-4.483261
3,2014-10-31,sh.603456,32.6500000000,38.5000000000,32.2200000000,38.1600000000,42941446,1515845440.0000,1,82.643276,16.306004
4,2014-11-07,sh.603456,37.8000000000,42.4700000000,37.4000000000,39.6500000000,37679970,1483541872.0000,1,72.517263,3.904612
5,2014-11-14,sh.603456,39.6500000000,41.5000000000,35.9000000000,36.2100000000,41375383,1610863776.0000,1,79.629298,-8.675914
6,2014-11-21,sh.603456,36.2100000000,37.9600000000,35.5800000000,37.3900000000,21037024,780576048.0000,1,40.486959,3.258768
7,2014-11-28,sh.603456,37.6000000000,38.5600000000,35.8000000000,37.6500000000,20229365,752316208.0000,1,38.932573,0.695373
8,2014-12-05,sh.603456,37.9500000000,38.8500000000,36.1800000000,36.3600000000,21764301,817760864.0000,1,41.886645,-3.426295
9,2014-12-12,sh.603456,35.8900000000,35.9000000000,31.5900000000,33.8000000000,16893254,571679732.0000,1,32.512036,-7.040704
10,2014-12-19,sh.603456,33.3800000000,35.0500000000,31.7100000000,32.2200000000,11557138,389874480.0000,1,22.242375,-4.674556
11,2014-12-26,sh.603456,31.7700000000,34.4700000000,29.9100000000,33.9100000000,10425793,337726588.0000,1,20.065037,5.245189
12,2015-01-09,sh.603456,33.8900000000,33.9500000000,31.8100000000,31.8700000000,5383980,174333834.0000,1,10.361778,-2.359069
13,2015-01-16,sh.603456,31.8700000000,32.1400000000,30.5000000000,31.6100000000,4907060,153550172.0000,1,9.443918,-0.815814
14,2015-01-23,sh.603456,31.3100000000,34.7500000000,30.6100000000,33.6800000000,13817062,457187984.0000,1,26.591728,6.548561
15,2015-01-30,sh.603456,33.5800000000,34.1900000000,32.6800000000,32.9300000000,6027554,202884088.0000,1,11.600373,-2.226841
16,2015-02-06,sh.603456,32.5700000000,33.6600000000,31.8200000000,33.1200000000,4968753,164102344.0000,1,9.562650,0.576981
17,2015-02-13,sh.603456,33.1200000000,33.1200000000,33.1200000000,33.1200000000,0,0.0000,1,0.000000,0.000000
18,2015-02-17,sh.603456,36.0000000000,39.9600000000,34.8000000000,38.0600000000,12791795,474547888.0000,1,24.618543,14.915459
19,2015-02-27,sh.603456,38.0600000000,38.7900000000,36.0800000000,38.2400000000,6874922,256935528.0000,1,13.231182,0.472937
20,2015-03-06,sh.603456,38.1200000000,42.8500000000,37.3000000000,40.7000000000,14744620,591531744.0000,1,28.376867,6.433054
21,2015-03-13,sh.603456,41.9000000000,45.6800000000,40.9000000000,44.6000000000,15499700,678339880.0000,1,29.830062,9.582310
22,2015-03-20,sh.603456,44.2000000000,45.6800000000,42.0000000000,42.8700000000,10873357,471938912.0000,1,20.926399,-3.878924
23,2015-03-27,sh.603456,42.7100000000,48.5000000000,42.1700000000,47.4700000000,21342242,943212440.0000,1,41.074369,10.730114
24,2015-04-03,sh.603456,46.9000000000,48.8900000000,46.0000000000,46.8000000000,9709936,459695024.0000,1,18.687329,-1.411418
25,2015-04-10,sh.603456,46.8800000000,50.0200000000,46.5200000000,48.6000000000,8941075,432718808.0000,1,17.207612,3.846154
26,2015-04-17,sh.603456,47.0000000000,51.9000000000,46.0000000000,47.5900000000,9942689,488386480.0000,1,19.135275,-2.078189
