,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2015-07-03,sh.603589,19.2000000000,33.7300000000,19.2000000000,33.7300000000,31940733,1024402107.0000,1,53.234555,110.812500
1,2015-07-10,sh.603589,37.1000000000,37.1000000000,22.1800000000,29.8100000000,66048719,1969951894.0000,1,110.081198,-11.621702
2,2015-07-17,sh.603589,32.7900000000,38.6900000000,29.2100000000,33.9700000000,77848349,2614030078.0000,1,129.747248,13.955049
3,2015-07-24,sh.603589,33.4000000000,38.9100000000,30.7000000000,37.5700000000,73163355,2521433472.0000,1,121.938925,10.597586
4,2015-07-31,sh.603589,36.9900000000,52.6800000000,33.5700000000,50.0300000000,121256490,5246224450.0000,1,202.094150,33.164759
5,2015-08-07,sh.603589,48.0000000000,50.0000000000,41.4000000000,43.7100000000,90473799,4147862072.0000,1,150.789665,-12.632421
6,2015-08-14,sh.603589,43.7700000000,48.9000000000,42.2300000000,45.1200000000,58471369,2652794182.0000,1,97.452282,3.225806
7,2015-08-21,sh.603589,44.5500000000,44.8200000000,33.1800000000,33.2000000000,43613048,1724552976.0000,1,72.688413,-26.418440
8,2015-08-28,sh.603589,31.8000000000,39.2000000000,28.0100000000,37.8200000000,90603429,3116322924.0000,1,151.005715,13.915663
9,2015-09-02,sh.603589,36.6000000000,37.3000000000,28.3600000000,30.8900000000,33433292,1113050752.0000,1,55.722153,-18.323638
10,2015-09-11,sh.603589,31.6200000000,36.4100000000,30.8000000000,34.0100000000,52306552,1772926252.0000,1,87.177587,10.100356
11,2015-09-18,sh.603589,34.2000000000,34.3900000000,29.5000000000,32.0000000000,43976449,1420776624.0000,1,73.294082,-5.910026
12,2015-09-25,sh.603589,31.3400000000,34.8800000000,31.0000000000,31.4300000000,38099852,1262405152.0000,1,63.499753,-1.781250
13,2015-09-30,sh.603589,31.4500000000,32.2000000000,30.8000000000,31.1400000000,10902582,342869400.0000,1,18.170970,-0.922685
14,2015-10-09,sh.603589,32.0800000000,32.9800000000,31.6500000000,32.3900000000,10509006,339288512.0000,1,17.515010,4.014130
15,2015-10-16,sh.603589,32.8000000000,35.8000000000,32.5600000000,35.1100000000,39772293,1365387168.0000,1,66.287155,8.397654
16,2015-10-23,sh.603589,35.1200000000,35.9100000000,30.9900000000,32.9400000000,35650969,1197889376.0000,1,59.418282,-6.180575
17,2015-10-30,sh.603589,33.5000000000,34.5900000000,31.6000000000,33.8200000000,29867186,986953008.0000,1,49.778643,2.671524
18,2015-11-06,sh.603589,34.0000000000,39.6600000000,33.5900000000,38.1900000000,72765342,2737259862.0000,1,121.275570,12.921348
19,2015-11-13,sh.603589,37.9600000000,43.8400000000,37.3100000000,39.1300000000,58520493,2341854718.0000,1,97.534155,2.461377
20,2015-11-20,sh.603589,37.9000000000,41.4600000000,37.6800000000,39.6500000000,28761897,1135559360.0000,1,47.936495,1.328904
21,2015-11-27,sh.603589,39.6700000000,41.2000000000,36.0600000000,36.3700000000,33336810,1318031824.0000,1,55.561350,-8.272383
22,2015-12-04,sh.603589,36.5000000000,41.5000000000,35.2000000000,40.1500000000,30642437,1190101128.0000,1,51.070728,10.393181
23,2015-12-11,sh.603589,40.6200000000,40.9800000000,37.1500000000,37.5500000000,23716616,932026224.0000,1,39.527693,-6.475716
24,2015-12-18,sh.603589,37.0000000000,41.5000000000,36.6100000000,40.3800000000,22844661,900948848.0000,1,38.074435,7.536618
25,2015-12-25,sh.603589,40.0000000000,48.8600000000,39.7100000000,44.4800000000,53112813,2407224804.0000,1,88.521355,10.153541
