,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2018-04-27,sh.603596,21.7400000000,21.7400000000,21.7400000000,21.7400000000,39083,849664.0000,1,0.095651,43.973510
1,2018-05-04,sh.603596,23.9100000000,28.9300000000,23.9100000000,28.9300000000,158997,4384250.0000,1,0.389126,33.072677
2,2018-05-11,sh.603596,31.8200000000,46.5900000000,31.8200000000,46.5900000000,3814170,160195416.0000,1,9.334728,61.043899
3,2018-05-18,sh.603596,47.0000000000,52.4800000000,45.6100000000,50.1500000000,116123545,5702443754.0000,1,284.198593,7.641125
4,2018-05-25,sh.603596,50.1300000000,55.5800000000,46.5000000000,48.2200000000,80719477,4087440551.0000,1,197.551339,-3.848455
5,2018-06-01,sh.603596,47.3200000000,48.8000000000,42.3200000000,45.7000000000,57329901,2611928682.0000,1,140.308128,-5.226047
6,2018-06-08,sh.603596,46.0900000000,46.9000000000,42.0000000000,44.1500000000,37813769,1667855584.0000,1,92.544711,-3.391685
7,2018-06-15,sh.603596,43.7200000000,46.3800000000,35.5100000000,35.7800000000,42295657,1748938655.0000,1,103.513600,-18.958097
8,2018-06-22,sh.603596,34.5800000000,34.5800000000,29.5000000000,31.3800000000,23186859,738121840.0000,1,56.747085,-12.297373
9,2018-06-29,sh.603596,31.6400000000,34.4900000000,30.1200000000,34.0200000000,32561845,1068187377.0000,1,79.691251,8.413002
10,2018-07-06,sh.603596,34.0300000000,34.9900000000,29.2000000000,31.1400000000,30242073,982784374.0000,1,74.013884,-8.465608
11,2018-07-13,sh.603596,31.2500000000,38.0000000000,31.2200000000,37.0900000000,53041371,1896483414.0000,1,129.812460,19.107258
12,2018-07-20,sh.603596,36.5200000000,36.9000000000,33.5000000000,34.2100000000,25541880,901777576.0000,1,62.510720,-7.764896
13,2018-07-27,sh.603596,34.1900000000,34.4000000000,30.8100000000,34.1200000000,21685535,708194885.0000,1,53.072773,-0.263081
14,2018-08-03,sh.603596,35.8000000000,41.2800000000,31.6100000000,31.8700000000,70995538,2521778166.0000,1,173.753152,-6.594373
15,2018-08-10,sh.603596,30.7500000000,30.7600000000,27.1000000000,28.5900000000,32160384,937845628.0000,1,78.708722,-10.291810
16,2018-08-17,sh.603596,27.9600000000,30.3000000000,27.0000000000,27.0900000000,19533188,560254711.0000,1,47.805159,-5.246590
17,2018-08-24,sh.603596,27.0000000000,27.6000000000,26.0700000000,26.5500000000,15422438,414719354.0000,1,37.744586,-1.993355
18,2018-08-31,sh.603596,26.4700000000,27.9000000000,25.8600000000,26.1100000000,16592307,449185913.0000,1,40.607702,-1.657250
19,2018-09-07,sh.603596,26.1200000000,28.4000000000,25.0000000000,27.4900000000,24892990,674939033.0000,1,60.922638,5.285331
20,2018-09-14,sh.603596,27.4900000000,28.8000000000,26.1500000000,26.5600000000,28050439,775337776.0000,1,68.650120,-3.383048
21,2018-09-21,sh.603596,25.3000000000,25.3000000000,23.1000000000,24.2800000000,19103593,459099367.0000,1,46.753776,-8.584337
22,2018-09-28,sh.603596,24.2800000000,24.8500000000,22.5000000000,23.9800000000,15939718,380389798.0000,1,39.010568,-1.235585
23,2018-10-12,sh.603596,23.7700000000,25.1000000000,21.2100000000,22.6200000000,21327583,499775943.0000,1,52.196728,-5.671393
24,2018-10-19,sh.603596,22.8500000000,22.8600000000,19.0600000000,20.0300000000,15450287,324402570.0000,1,37.812744,-11.450044
25,2018-10-26,sh.603596,20.0600000000,21.2600000000,19.1900000000,19.8800000000,15899333,324145727.0000,1,38.911730,-0.748877
26,2018-11-02,sh.603596,19.8300000000,21.3800000000,19.4000000000,20.9400000000,18841919,384550264.0000,1,46.113360,5.331992
27,2018-11-09,sh.603596,21.3000000000,22.0400000000,20.1600000000,20.2900000000,16509743,346000944.0000,1,40.405636,-3.104107
28,2018-11-16,sh.603596,20.3400000000,21.9700000000,20.0000000000,21.5800000000,21127989,448215896.0000,1,51.708245,6.357812
29,2018-11-23,sh.603596,21.6600000000,21.9900000000,19.5600000000,19.6000000000,15332285,322865711.0000,1,37.523948,-9.175162
30,2018-11-30,sh.603596,19.5600000000,20.1500000000,18.6000000000,19.7000000000,9052527,176856320.0000,1,22.154985,0.510204
31,2018-12-07,sh.603596,20.5000000000,23.0500000000,20.0100000000,23.0100000000,32514635,709674114.0000,1,79.575710,16.802030
32,2018-12-14,sh.603596,22.3900000000,23.6500000000,21.1600000000,21.3100000000,29336153,656528991.0000,1,71.796752,-7.388092
33,2018-12-21,sh.603596,21.4000000000,22.9600000000,21.4000000000,22.3600000000,25258268,562158224.0000,1,61.816613,4.927264
34,2018-12-28,sh.603596,22.2100000000,24.5000000000,21.6800000000,22.8700000000,34121112,789555972.0000,1,83.507372,2.280859
35,2019-01-04,sh.603596,22.9000000000,23.0800000000,19.3000000000,20.2500000000,13374113,282919788.0000,1,32.731554,-11.456056
36,2019-01-11,sh.603596,20.4000000000,20.8700000000,19.5600000000,20.7000000000,18095906,367672718.0000,1,44.287582,2.222222
37,2019-01-18,sh.603596,20.7200000000,21.5000000000,20.0000000000,20.3100000000,18484479,384314796.0000,1,45.238568,-1.884058
38,2019-01-25,sh.603596,20.3600000000,21.8900000000,20.2100000000,20.2900000000,21937387,462871259.0000,1,53.689151,-0.098474
39,2019-02-01,sh.603596,20.3700000000,20.5900000000,17.6200000000,18.6600000000,10126892,194431506.0000,1,24.784366,-8.033514
40,2019-02-15,sh.603596,18.8200000000,20.0400000000,18.8200000000,19.6000000000,9906763,193421155.0000,1,24.245627,5.037513
41,2019-02-22,sh.603596,20.5100000000,20.8500000000,19.9100000000,20.3600000000,16146274,327456951.0000,1,39.516089,3.877551
42,2019-03-01,sh.603596,20.5600000000,23.2800000000,20.3600000000,21.6400000000,36161250,783676381.0000,1,88.500367,6.286837
43,2019-03-08,sh.603596,21.8600000000,24.9500000000,21.6000000000,24.1700000000,41443741,951793017.0000,1,101.428637,11.691312
44,2019-03-15,sh.603596,23.9900000000,25.9800000000,22.1600000000,23.0300000000,36164353,886376564.0000,1,88.507961,-4.716591
45,2019-03-22,sh.603596,23.2300000000,23.6800000000,22.8200000000,23.3200000000,16695133,389177424.0000,1,40.859356,1.259227
46,2019-03-29,sh.603596,22.4000000000,23.0100000000,21.5800000000,22.5900000000,13095957,293187939.0000,1,32.050800,-3.130360
47,2019-04-04,sh.603596,22.7000000000,23.6600000000,22.5200000000,23.1800000000,13898373,321035867.0000,1,34.014618,2.611775
48,2019-04-12,sh.603596,23.1900000000,24.5000000000,22.0400000000,24.4600000000,22351207,518146982.0000,1,54.701926,5.522002
49,2019-04-19,sh.603596,24.1400000000,24.4400000000,22.5800000000,22.8300000000,23978913,571254467.0000,1,58.685543,-6.663941
50,2019-04-26,sh.603596,22.7900000000,23.0000000000,19.8000000000,19.8900000000,11416532,248083790.0000,1,27.940607,-12.877792
51,2019-04-30,sh.603596,19.6200000000,19.8700000000,18.3100000000,19.0200000000,4637596,88256913.0000,1,2.675611,-4.374057
52,2019-05-10,sh.603596,18.9000000000,18.9000000000,17.4200000000,18.5500000000,9057187,163942284.0000,1,5.225446,-2.471083
53,2019-05-17,sh.603596,18.4300000000,18.9900000000,17.4700000000,17.6000000000,8871260,162796812.0000,1,5.118177,-5.121294
54,2019-05-24,sh.603596,17.8000000000,17.8000000000,16.9691680900,17.2100078500,7400200,128708708.0000,1,4.269465,-2.215909
55,2019-05-31,sh.603596,17.1598329000,18.3539967100,17.0895879700,18.2636818000,12024012,213725511.0000,1,6.937123,6.122449
56,2019-06-06,sh.603596,18.2636818000,18.2636818000,15.8653191900,15.9857390700,10206736,173153806.0000,1,5.888666,-12.472527
57,2019-06-14,sh.603596,15.9857390700,17.5612325000,15.8753541800,16.4373136200,10078304,168223658.0000,1,5.814568,2.824859
58,2019-06-21,sh.603596,16.3871386700,17.2200428400,16.1964738600,17.0594830000,9412036,156941408.0000,1,5.430172,3.785104
59,2019-06-28,sh.603596,17.0695179900,17.1999728600,16.4573836000,16.5677684900,8417287,141181688.0000,1,4.856263,-2.882353
60,2019-07-05,sh.603596,17.0293780300,17.3906376700,16.7383633200,17.0795529800,11842619,201461020.0000,1,6.832471,3.089037
61,2019-07-12,sh.603596,17.0594830000,17.0594830000,15.9556341000,16.0559840000,7835520,126689525.0000,1,4.520618,-5.992949
62,2019-07-19,sh.603596,16.0559840000,16.1462989100,15.3334647200,15.6044094500,8033426,126828808.0000,1,4.634798,-2.812500
63,2019-07-26,sh.603596,15.6044094500,15.6545844000,14.9521351000,15.2331148200,6534928,99051050.0000,1,3.770200,-2.379421
64,2019-08-02,sh.603596,15.1227299300,15.3133947400,14.6510854000,14.7313653200,6394587,95852676.0000,1,3.689200,-3.293808
65,2019-08-09,sh.603596,14.6711553800,14.6711553800,13.2160818300,13.8984611500,12030299,167106273.0000,1,6.940700,-5.653951
66,2019-08-16,sh.603596,13.9386011100,14.3199307300,13.3666066800,14.0489860000,16020440,221704651.0000,1,9.242800,1.083032
67,2019-08-23,sh.603596,14.0991609500,14.4403506100,13.9787410700,14.1493359000,16059166,228026180.0000,1,9.265100,0.714286
68,2019-08-30,sh.603596,13.8482862000,15.1427999100,13.7479363000,14.1694058800,24961604,362887088.0000,1,14.401400,0.141844
69,2019-09-06,sh.603596,14.2195808300,15.0223800300,14.1091959400,14.8417502100,15834154,231710548.0000,1,9.135400,4.745042
70,2019-09-12,sh.603596,14.9922750600,16.0559840000,14.8216802300,15.9556341000,26569820,409671663.0000,1,15.329100,7.505071
71,2019-09-20,sh.603596,16.0058090500,16.8989231600,15.1427999100,16.5276285300,37487226,601047366.0000,1,21.627800,3.584906
72,2019-09-27,sh.603596,16.7483983100,17.2601828000,16.0058090500,16.4072086500,23815860,395951908.0000,1,13.740300,-0.728597
73,2019-09-30,sh.603596,16.3971736600,16.4573836000,15.8552842000,15.9255291300,2364827,37811237.0000,1,1.364400,-2.935800
74,2019-10-11,sh.603596,15.8653191900,16.9591331000,15.8653191900,16.6179434400,13611221,222955510.0000,1,7.852900,4.347826
75,2019-10-18,sh.603596,16.8186432400,16.9290281300,15.4438496100,15.9054591500,15174862,243476826.0000,1,8.755000,-4.287440
76,2019-10-25,sh.603596,15.8452492100,16.1663688900,15.2732547800,16.1061589500,8627122,135289283.0000,1,4.977300,1.261830
77,2019-11-01,sh.603596,16.2466488100,17.9425621200,16.1161939400,16.9390631200,20284337,343125622.0000,1,11.702800,5.171340
78,2019-11-08,sh.603596,16.8387132200,18.3038217600,16.4774535800,17.7418623200,23042813,405139723.0000,1,13.294300,4.739336
79,2019-11-15,sh.603596,17.5612325000,19.0464110200,17.2501478100,18.3038217600,24677825,446757356.0000,1,14.237600,3.167421
80,2019-11-22,sh.603596,18.2235418400,20.2205048500,18.0930869700,19.1668309000,27465926,534527174.0000,1,15.846200,4.714912
81,2019-11-29,sh.603596,19.4478106200,19.5481605200,17.9224921400,18.9460611200,21163009,400221264.0000,1,12.209800,-1.151832
82,2019-12-06,sh.603596,18.9962360700,21.0734790000,18.9360261300,20.5115195600,21649437,437923241.0000,1,12.561200,8.262712
83,2019-12-13,sh.603596,20.6018344700,21.3644937100,20.1301899400,21.1336889400,16051087,332764705.0000,1,9.343200,3.033268
84,2019-12-20,sh.603596,21.1236539500,23.9635561200,21.0032340700,22.8396372400,29221874,654130370.0000,1,17.009800,8.072175
85,2019-12-27,sh.603596,22.8697422100,23.2912117900,21.8261032500,22.0268030500,21597918,484769693.0000,1,12.572100,-3.558875
86,2020-01-03,sh.603596,21.9766281000,23.5320515500,21.4748786000,23.1808269000,19168457,434899434.0000,1,11.157800,5.239180
87,2020-01-10,sh.603596,22.9801271000,26.2414988500,22.7192173600,25.5490845400,25420172,617804761.0000,1,14.797000,10.216450
88,2020-01-17,sh.603596,25.6293644600,26.9640181300,24.8867752000,26.6629684300,21018367,537780791.0000,1,12.234600,4.359780
89,2020-01-23,sh.603596,26.1411489500,30.8074193000,25.1677549200,28.8204912800,28516878,807299323.0000,1,16.599500,8.091833
90,2020-02-07,sh.603596,25.9404491500,31.3091688000,25.9404491500,29.9745151300,35682384,1022998915.0000,1,20.770500,4.004178
91,2020-02-14,sh.603596,29.7136053900,32.1119680000,29.0512960500,29.4326256700,31175484,950318169.0000,1,18.147200,-1.807834
92,2020-02-21,sh.603596,29.4326256700,33.7075314100,29.3021708000,33.0251520900,34651010,1080921432.0000,1,20.170100,12.205932
93,2020-02-28,sh.603596,33.0251520900,37.6312125000,30.4361246700,30.6568944500,36145317,1231261450.0000,1,21.040000,-7.171073
94,2020-03-06,sh.603596,31.1887489200,33.6071815100,30.5063696000,30.5766145300,24672250,785825710.0000,1,14.361500,-0.261866
95,2020-03-13,sh.603596,29.6734654300,29.8540952500,25.3483847400,26.6127934800,28969267,808792437.0000,1,16.862900,-12.963571
96,2020-03-20,sh.603596,26.6428984500,27.5360125600,23.3213167600,23.4317016500,32083737,794084970.0000,1,18.675700,-11.953243
97,2020-03-27,sh.603596,23.0001970800,24.3850257000,21.4146686600,23.0001970800,35291551,811771371.0000,1,20.543100,-1.841542
98,2020-04-03,sh.603596,22.3579577200,24.4452356400,21.1035839700,23.4317016500,32954770,753902512.0000,1,19.182800,1.876091
99,2020-04-10,sh.603596,24.0338010500,25.6795394100,23.6424364400,24.6660054200,22860693,567374744.0000,1,13.307100,5.267666
100,2020-04-17,sh.603596,24.1040459800,26.5927235000,23.5420865400,26.1913239000,28073475,695154118.0000,1,16.341400,6.183889
101,2020-04-24,sh.603596,26.2515338400,27.6463974500,25.4286646600,26.4723036200,27834650,728976204.0000,1,16.202400,1.072797
