,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2017-01-20,sh.603638,7.9000000000,9.4800000000,7.9000000000,9.4800000000,26229,246913.0000,1,0.059611,44.072948
1,2017-01-26,sh.603638,10.4300000000,13.8800000000,10.4300000000,13.8800000000,38991,488787.0000,1,0.088616,46.413502
2,2017-02-03,sh.603638,15.2700000000,15.2700000000,15.2700000000,15.2700000000,48527,741007.0000,1,0.110289,10.014409
3,2017-02-10,sh.603638,16.8000000000,24.6000000000,16.8000000000,24.6000000000,534771,11070896.0000,1,1.215389,61.100196
4,2017-02-17,sh.603638,27.0600000000,36.0000000000,27.0600000000,31.5400000000,62460939,2005864778.0000,1,141.956680,28.211382
5,2017-02-24,sh.603638,29.7800000000,31.0900000000,27.5100000000,30.3700000000,56143268,1641041056.0000,1,127.598336,-3.709575
6,2017-03-03,sh.603638,30.0000000000,32.0900000000,28.4000000000,31.3300000000,44202965,1342452736.0000,1,100.461284,3.161014
7,2017-03-10,sh.603638,31.2200000000,34.6200000000,30.8500000000,32.0900000000,54659564,1786613888.0000,1,124.226282,2.425790
8,2017-03-17,sh.603638,31.8000000000,37.3000000000,30.6100000000,33.7800000000,64698091,2224415116.0000,1,147.041116,5.266438
9,2017-03-24,sh.603638,33.3400000000,38.5000000000,33.1500000000,37.7200000000,57291185,2094177982.0000,1,130.207239,11.663706
10,2017-03-31,sh.603638,38.3000000000,38.9700000000,29.2600000000,30.0200000000,37575423,1276603664.0000,1,85.398689,-20.413574
11,2017-04-07,sh.603638,30.3000000000,32.1700000000,29.0200000000,30.6900000000,13820672,428167016.0000,1,31.410618,2.231845
12,2017-04-14,sh.603638,30.3500000000,30.6600000000,27.7600000000,29.0800000000,17000084,500739856.0000,1,38.636555,-5.246008
13,2017-04-21,sh.603638,27.8000000000,28.3600000000,24.7800000000,27.0900000000,20030975,535549120.0000,1,45.524943,-6.843191
14,2017-04-28,sh.603638,27.0000000000,30.4000000000,27.0000000000,30.1300000000,20408310,590835164.0000,1,46.382523,11.221853
15,2017-05-05,sh.603638,29.9600000000,31.3100000000,29.4000000000,29.9600000000,11364398,344918070.0000,1,25.828177,-0.564222
16,2017-05-12,sh.603638,29.8600000000,32.2000000000,28.8600000000,31.7900000000,16708677,514276122.0000,1,37.974266,6.108144
17,2017-05-19,sh.603638,31.7700000000,32.6400000000,31.2000000000,31.4100000000,10002086,317819753.0000,1,22.732014,-1.195344
18,2017-05-26,sh.603638,31.0000000000,31.6300000000,27.7000000000,30.4000000000,9987771,300730549.0000,1,22.699480,-3.215536
19,2017-06-02,sh.603638,31.0000000000,32.2000000000,29.1500000000,31.9800000000,9954178,301678647.0000,1,22.623132,5.197368
20,2017-06-09,sh.603638,32.4000000000,35.9600000000,32.0000000000,34.6541903200,17670787,606833892.0000,1,40.160880,8.362033
21,2017-06-16,sh.603638,34.5936766000,36.4998587800,33.9986250200,35.3500981000,12004908,419458982.0000,1,27.283882,2.008149
22,2017-06-23,sh.603638,35.4106118200,35.4106118200,32.8286931000,33.9582825400,6610513,223648064.0000,1,15.023893,-3.937233
23,2017-06-30,sh.603638,34.2406799000,36.4292594400,33.7061420400,35.9854921600,7141929,249725930.0000,1,16.231657,5.969706
24,2017-07-07,sh.603638,35.9854921600,38.5270684000,35.6022386000,37.0041397800,13827427,504516619.0000,1,31.425970,2.830717
25,2017-07-14,sh.603638,37.1655097000,37.1957665600,33.2825460000,33.7565701400,16139278,573022076.0000,1,36.680177,-8.776233
26,2017-07-21,sh.603638,34.4726491600,34.8155602400,27.6850269000,27.9472530200,26225741,811669049.0000,1,59.603957,-17.209441
27,2017-07-28,sh.603638,27.2916877200,29.8332639600,27.2311740000,29.0264143600,10529544,302087607.0000,1,23.930782,3.861422
28,2017-08-04,sh.603638,28.7944451000,29.1877842800,25.7284166200,25.9603858800,10782155,296006772.0000,1,24.504898,-10.562891
29,2017-08-11,sh.603638,26.0309852200,29.5306953600,26.0309852200,28.8045307200,10497415,289755743.0000,1,23.857761,10.955711
30,2017-08-18,sh.603638,28.9961575000,30.5493429800,28.5423046000,29.6012947000,9980195,290964965.0000,1,22.682261,2.766106
31,2017-08-25,sh.603638,29.3794110600,30.2871168600,28.7541026200,29.3088117200,5504529,161645548.0000,1,12.510293,-0.988075
32,2017-09-01,sh.603638,29.2482980000,31.2049082800,29.2382123800,30.6602848000,8705998,258560222.0000,1,19.786359,4.611149
33,2017-09-08,sh.603638,30.6401135600,30.6905416600,28.6835032800,28.9356437800,8919655,258476266.0000,1,20.271943,-5.625000
34,2017-09-15,sh.603638,29.0264143600,29.1171849400,28.3405922000,28.3708490600,4219200,119893745.0000,1,9.589091,-1.951900
35,2017-09-22,sh.603638,28.4918765000,28.6229895600,27.0798897000,27.6245131800,5595760,153042986.0000,1,12.717636,-2.630643
36,2017-09-29,sh.603638,27.5942563200,28.8247019600,26.8781773000,28.4111915400,6581539,182566978.0000,1,14.958043,2.847755
37,2017-10-13,sh.603638,28.7440170000,30.4585724000,28.3103353400,30.2064319000,11031395,322857527.0000,1,25.071352,6.318779
38,2017-10-20,sh.603638,30.0551476000,30.2366887600,27.6345988000,29.1373561800,5299960,152953435.0000,1,12.045364,-3.539232
39,2017-10-27,sh.603638,29.3995823000,31.4368775400,28.8347875800,31.1645658000,12938424,387226741.0000,1,29.405509,6.957425
40,2017-11-03,sh.603638,31.5679906000,33.1514329400,29.8130927200,31.8403023400,15701089,493669766.0000,1,35.684293,2.168285
41,2017-11-10,sh.603638,32.1025284600,33.0707479800,30.9931102600,31.7394461400,7247193,229153352.0000,1,16.470893,-0.316756
42,2017-11-17,sh.603638,31.4873056400,32.5261245000,28.0581948400,28.1590510400,7649426,232161819.0000,1,17.385059,-11.280585
