,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2018-06-29,sh.603650,17.7400000000,21.4600000000,17.7400000000,21.4600000000,153063,3025741.0000,1,0.260311,74.188312
1,2018-07-06,sh.603650,23.6100000000,34.5700000000,23.6100000000,34.5700000000,3576597,116109556.0000,1,6.082648,61.090401
2,2018-07-13,sh.603650,38.0300000000,47.4900000000,38.0300000000,44.6800000000,163080373,6995105155.0000,1,277.347573,29.245010
3,2018-07-20,sh.603650,43.9000000000,50.8300000000,42.0800000000,45.0400000000,153241741,7027184405.0000,1,260.615206,0.805730
4,2018-07-27,sh.603650,44.2200000000,50.8800000000,40.0100000000,40.6200000000,141441010,6460527622.0000,1,240.545935,-9.813499
5,2018-08-03,sh.603650,40.5300000000,41.2200000000,36.5900000000,36.5900000000,87890704,3421404800.0000,1,149.473986,-9.921221
6,2018-08-10,sh.603650,34.4800000000,35.0000000000,30.7100000000,32.2600000000,69681307,2287043006.0000,1,118.505624,-11.833834
7,2018-08-17,sh.603650,31.2000000000,34.3000000000,30.3800000000,34.2700000000,79630968,2647337136.0000,1,135.426816,6.230626
8,2018-08-24,sh.603650,34.1500000000,36.3900000000,30.7100000000,30.8200000000,90966166,3028340648.0000,1,154.704364,-10.067114
9,2018-08-31,sh.603650,30.9000000000,32.4300000000,29.0000000000,29.1300000000,56610438,1769792938.0000,1,96.276255,-5.483452
10,2018-09-07,sh.603650,28.7000000000,29.3500000000,26.6600000000,28.3100000000,49229807,1384899062.0000,1,83.724162,-2.814967
11,2018-09-14,sh.603650,28.5000000000,31.0000000000,27.0000000000,27.3700000000,62112985,1826758111.0000,1,105.634328,-3.320381
12,2018-09-21,sh.603650,26.8800000000,27.1800000000,25.6700000000,26.4500000000,32565447,856548367.0000,1,55.383413,-3.361345
13,2018-09-28,sh.603650,26.5500000000,29.1000000000,26.0000000000,27.1700000000,46697263,1284175604.0000,1,79.417114,2.722117
14,2018-10-12,sh.603650,26.4200000000,28.8300000000,23.0600000000,24.6000000000,49833826,1337307855.0000,1,84.751405,-9.458962
15,2018-10-19,sh.603650,24.9300000000,25.2600000000,21.4000000000,22.7200000000,30980078,716998349.0000,1,52.687207,-7.642276
16,2018-10-26,sh.603650,22.8200000000,24.4900000000,21.7100000000,22.3000000000,34277749,791945914.0000,1,58.295491,-1.848592
17,2018-11-02,sh.603650,22.0000000000,24.3500000000,21.8500000000,23.8700000000,47337537,1109706607.0000,1,80.506015,7.040359
18,2018-11-09,sh.603650,24.3000000000,24.5700000000,22.0800000000,22.1700000000,33483459,765999340.0000,1,56.944658,-7.121910
19,2018-11-16,sh.603650,21.8000000000,23.8700000000,21.7700000000,23.5300000000,41734318,965243247.0000,1,70.976731,6.134416
20,2018-11-23,sh.603650,23.4200000000,24.3600000000,21.6800000000,21.6900000000,30712495,710692303.0000,1,52.232134,-7.819805
21,2018-11-30,sh.603650,21.7500000000,21.9000000000,19.1800000000,19.8500000000,21630743,447386183.0000,1,36.786978,-8.483172
22,2018-12-07,sh.603650,20.3500000000,21.5800000000,20.1100000000,20.1900000000,21438150,443722038.0000,1,36.459439,1.712846
23,2018-12-14,sh.603650,20.0900000000,20.9900000000,19.5400000000,20.6600000000,18951805,385973536.0000,1,32.230961,2.327885
24,2018-12-21,sh.603650,21.3500000000,22.7300000000,20.7000000000,21.8600000000,42187840,918010087.0000,1,71.748027,5.808325
25,2018-12-28,sh.603650,21.6800000000,22.4800000000,19.7000000000,19.8300000000,32160548,693435605.0000,1,54.694810,-9.286368
26,2019-01-04,sh.603650,19.9100000000,20.0200000000,18.8100000000,19.6300000000,9611808,188050944.0000,1,16.346612,-1.008573
27,2019-01-11,sh.603650,19.7000000000,20.4600000000,19.4000000000,20.4300000000,22044162,438115451.0000,1,37.490071,4.075395
28,2019-01-18,sh.603650,20.6100000000,20.7200000000,19.6200000000,20.3700000000,23497979,472762973.0000,1,39.962549,-0.293686
29,2019-01-25,sh.603650,21.0000000000,21.6600000000,20.0000000000,20.0600000000,35770445,745692604.0000,1,60.834090,-1.521846
30,2019-02-01,sh.603650,20.2400000000,20.3300000000,17.9100000000,19.1200000000,15668125,300145506.0000,1,26.646471,-4.685942
31,2019-02-15,sh.603650,19.2400000000,21.7900000000,19.1800000000,21.4100000000,30917632,634058769.0000,1,52.581007,11.976987
32,2019-02-22,sh.603650,21.4900000000,22.3000000000,20.8100000000,21.4400000000,42572350,914687101.0000,1,72.401956,0.140121
33,2019-03-01,sh.603650,21.6900000000,22.9800000000,21.4600000000,21.9500000000,40284523,894039637.0000,1,68.511094,2.378731
34,2019-03-08,sh.603650,22.1400000000,24.8800000000,21.9800000000,22.6900000000,54795957,1274010032.0000,1,93.190403,3.371298
35,2019-03-15,sh.603650,23.2600000000,24.6600000000,22.2400000000,22.6700000000,34544840,809858201.0000,1,58.749728,-0.088145
36,2019-03-22,sh.603650,22.5900000000,23.8900000000,22.5100000000,23.8100000000,27110524,627469103.0000,1,46.106333,5.028672
37,2019-03-29,sh.603650,23.2500000000,26.6000000000,23.1100000000,25.5200000000,68585897,1723482478.0000,1,116.642682,7.181856
38,2019-04-04,sh.603650,25.6800000000,27.9500000000,25.3700000000,26.1600000000,42389918,1128641331.0000,1,72.091697,2.507837
39,2019-04-12,sh.603650,26.2500000000,26.7100000000,22.9800000000,23.5100000000,33668362,837502943.0000,1,57.259119,-10.129969
40,2019-04-19,sh.603650,23.6800000000,26.0000000000,23.0000000000,25.6900000000,28517226,691668077.0000,1,48.498684,9.272650
41,2019-04-26,sh.603650,25.5000000000,25.6900000000,21.8200000000,21.8500000000,24210659,575284177.0000,1,41.174590,-14.947450
42,2019-04-30,sh.603650,21.9000000000,22.0300000000,20.1900000000,20.7100000000,6181066,128682261.0000,1,10.512017,-5.217391
43,2019-05-10,sh.603650,19.8000000000,19.9600000000,18.3400000000,19.6400000000,14448087,276975681.0000,1,24.571577,-5.166586
44,2019-05-17,sh.603650,19.5000000000,22.0600000000,19.2800000000,21.6500000000,26375187,548390984.0000,1,44.855760,10.234216
45,2019-05-24,sh.603650,21.7600000000,21.9600000000,19.0800000000,19.3200000000,23542294,487962572.0000,1,40.037915,-10.762125
46,2019-05-31,sh.603650,19.1300000000,25.9200000000,19.1100000000,23.8900000000,51820727,1211526895.0000,1,88.130488,23.654244
47,2019-06-06,sh.603650,23.5800000000,28.5200000000,22.0300000000,24.8300000000,82862462,2094783064.0000,1,140.922554,3.934701
48,2019-06-14,sh.603650,24.5900000000,29.1000000000,23.6000000000,23.6300000000,111083657,2939490797.0000,1,188.917784,-4.832863
49,2019-06-21,sh.603650,23.3900000000,23.9900000000,22.5000000000,23.3300000000,46011247,1073642417.0000,1,78.250420,-1.269573
50,2019-06-28,sh.603650,22.9800000000,23.7500000000,20.7800000000,21.8400000000,35999902,787854679.0000,1,52.253902,-6.386627
51,2019-07-05,sh.603650,21.7900000000,22.3100000000,20.8400000000,20.9200000000,23419095,504772128.0000,1,22.468670,-4.212454
52,2019-07-12,sh.603650,20.9100000000,21.7452773000,19.8700000000,21.0129761000,24991174,511624031.0000,1,23.976949,0.444479
53,2019-07-19,sh.603650,20.7993882500,21.3079307500,20.2501623500,20.3315291500,18474965,377745301.0000,1,17.725189,-3.242982
54,2019-07-26,sh.603650,20.2603332000,20.4230668000,19.1720522500,20.0874287500,15150986,293909903.0000,1,14.536100,-1.200600
55,2019-08-02,sh.603650,20.0670870500,21.5723728500,19.5483737000,20.7892174000,25820663,516496021.0000,1,24.772800,3.493671
56,2019-08-09,sh.603650,20.5044336000,21.1248554500,18.9177810000,18.9279518500,24779932,480575835.0000,1,23.774300,-8.953033
57,2019-08-16,sh.603650,19.0093186500,20.0365745000,18.5923138000,19.4873486000,18865084,355114196.0000,1,18.099500,2.955400
58,2019-08-23,sh.603650,19.4263235000,19.9552077000,19.1618814000,19.4771777500,24378149,469919347.0000,1,23.388800,-0.052192
59,2019-08-30,sh.603650,19.1211980000,20.2094789500,19.0194895000,19.4161526500,28269077,549778538.0000,1,27.121800,-0.313316
60,2019-09-06,sh.603650,19.3246150000,20.3111874500,19.2534190500,20.1789664000,26201951,512345017.0000,1,25.138600,3.928759
61,2019-09-12,sh.603650,20.3722125500,20.9417801500,20.3315291500,20.6061421000,23286055,471909343.0000,1,22.341000,2.116935
62,2019-09-20,sh.603650,20.7587048500,21.5316894500,20.0467453500,20.7587048500,31290563,638271426.0000,1,30.020700,0.740375
63,2019-09-27,sh.603650,20.8197299500,20.8197299500,19.1822231000,19.4263235000,16711969,327633535.0000,1,16.033700,-6.418422
64,2019-09-30,sh.603650,19.3246150000,19.6704239000,19.2025648000,19.5280320000,1638698,31415799.0000,1,1.572200,0.523600
65,2019-10-11,sh.603650,19.5890571000,19.9653785500,19.3347858500,19.5382028500,8256513,159919308.0000,1,7.921500,0.052083
66,2019-10-18,sh.603650,19.7009364500,20.9824635500,19.3144441500,19.3449567000,23155844,458524754.0000,1,22.216100,-0.989068
67,2019-10-25,sh.603650,19.3856401000,19.4771777500,18.7957308000,18.9686352500,9480253,178259837.0000,1,9.095500,-1.945321
68,2019-11-01,sh.603650,18.9686352500,19.2635899000,17.4124952000,18.1244547000,15048738,271463540.0000,1,14.437900,-4.450402
69,2019-11-08,sh.603650,18.1142838500,18.2770174500,17.7989875000,17.9006960000,7750185,137231709.0000,1,7.435600,-1.234568
70,2019-11-15,sh.603650,17.7989875000,17.8091583500,16.4666061500,16.5479729500,9510552,160771761.0000,1,9.124600,-7.556818
71,2019-11-22,sh.603650,16.5784855000,16.9141235500,16.2021640500,16.5276312500,9974661,162220543.0000,1,9.569800,-0.122926
72,2019-11-29,sh.603650,16.6395106000,17.0463446000,16.3343851000,16.7310482500,10936806,179425985.0000,1,9.253500,1.230769
73,2019-12-06,sh.603650,16.7208774000,17.1480531000,16.3547268000,17.0971988500,11115278,183916311.0000,1,8.457900,2.188450
74,2019-12-13,sh.603650,17.1683948000,17.9617211000,16.7412191000,17.7074498500,14126509,240373058.0000,1,10.749300,3.569304
75,2019-12-20,sh.603650,17.5650579500,18.2261632000,17.5447162500,17.6260830500,16502662,289610934.0000,1,12.557400,-0.459506
76,2019-12-27,sh.603650,17.6769373000,18.5312887000,17.3616409500,17.7481332500,18782118,332057237.0000,1,14.291900,0.692441
77,2020-01-03,sh.603650,17.7074498500,18.0736004500,17.3921535000,17.9718919500,12182150,213213720.0000,1,9.269900,1.260745
78,2020-01-10,sh.603650,17.8803543000,18.4194093500,17.7684749500,18.2058215000,22311086,397554036.0000,1,16.977300,1.301641
79,2020-01-17,sh.603650,18.2058215000,19.7009364500,18.0430879000,19.4771777500,29812530,552559538.0000,1,22.685400,6.983240
80,2020-01-23,sh.603650,19.8229866500,19.8229866500,18.4702636000,18.6635097500,20919043,395365167.0000,1,15.918000,-4.177546
81,2020-02-07,sh.603650,16.8022442000,17.4430077500,15.1240539500,17.1683948000,19476205,319474484.0000,1,14.820100,-8.010899
82,2020-02-14,sh.603650,17.0870280000,17.7888166500,16.8836110000,17.2701033000,13118542,224064778.0000,1,9.982400,0.592417
83,2020-02-21,sh.603650,17.1989073500,19.5483737000,17.1887365000,18.9279518500,30127312,550479329.0000,1,22.924800,9.599529
84,2020-02-28,sh.603650,19.3246150000,19.7111073000,16.7615608000,16.8327567500,31764564,581102634.0000,1,24.170700,-11.069318
85,2020-03-06,sh.603650,17.0056612000,19.3144441500,17.0056612000,19.3144441500,25126412,452183816.0000,1,19.119600,14.743202
86,2020-03-13,sh.603650,19.2229065000,19.4263235000,17.0361737500,17.5345454000,25633297,465342361.0000,1,19.505300,-9.215377
87,2020-03-20,sh.603650,17.6972790000,17.8295000500,15.6122547500,16.7615608000,18831919,306203429.0000,1,14.329900,-4.408353
88,2020-03-27,sh.603650,16.2733600000,16.5784855000,15.6732798500,16.0190887500,13453830,213915602.0000,1,10.237500,-4.429612
89,2020-04-03,sh.603650,15.7953300500,16.2937017000,15.2867875500,16.0597721500,13579768,209444420.0000,1,10.333300,0.253968
90,2020-04-10,sh.603650,16.4767770000,16.4971187000,15.3986669000,15.4495211500,11678317,183793652.0000,1,8.886400,-3.799873
91,2020-04-17,sh.603650,15.5512296500,15.8665260000,15.3173001000,15.5817422000,8958653,137646807.0000,1,6.816800,0.855826
92,2020-04-24,sh.603650,15.5817422000,16.0597721500,15.3884960500,15.7749883500,9907475,153748720.0000,1,7.538900,1.240209
93,2020-04-30,sh.603650,15.7749883500,15.8970385500,14.4426070000,15.1545665000,9120846,134842920.0000,1,6.940400,-3.932946
94,2020-05-08,sh.603650,15.0528580000,16.2428474500,15.0528580000,15.8665260000,9176573,142495490.0000,1,6.982700,4.697987
95,2020-05-15,sh.603650,15.9173802500,17.1887365000,15.7953300500,16.7819025000,26047549,426514494.0000,1,19.820500,5.769231
96,2020-05-22,sh.603650,17.1073697000,18.1549672500,16.8632693000,17.1683948000,27451966,471655999.0000,1,20.889200,2.303030
97,2020-05-29,sh.603650,17.2395907500,18.7143640000,16.5276312500,17.4836911500,34268269,594534879.0000,1,26.075800,1.836493
98,2020-06-05,sh.603650,17.4328369000,22.2639906500,17.4328369000,20.5146044500,90759122,1838741982.0000,1,69.061700,17.335660
99,2020-06-12,sh.603650,20.8502425000,21.8673275000,19.5890571000,20.6755200000,58801194,1190006154.0000,1,44.743800,-0.842836
100,2020-06-19,sh.603650,20.7788976000,24.3144115200,20.6858577600,22.8671251200,51225699,1135576738.0000,1,38.979300,10.600000
101,2020-06-24,sh.603650,22.9498272000,24.1076563200,22.4329392000,23.6217816000,22735507,507606979.0000,1,17.300200,3.300181
102,2020-07-03,sh.603650,23.7975235200,25.8237244800,23.6011060800,25.6169692800,40566968,968503495.0000,1,30.868800,8.446389
103,2020-07-10,sh.603650,28.1807337600,41.2683379200,28.1807337600,41.2683379200,26156396,939598006.0000,1,19.903300,61.097659
104,2020-07-17,sh.603650,42.3848160000,43.4082542400,31.7162476800,32.3055000000,117692789,4186550818.0000,1,89.556300,-21.718437
105,2020-07-24,sh.603650,33.5977200000,36.8954654400,31.4578036800,32.2434734400,63945169,2101492055.8400,1,48.658000,-0.192000
106,2020-07-31,sh.603650,31.0132800000,36.1718222400,29.1524832000,35.3551392000,54547736,1719184330.6400,1,41.507200,9.650529
107,2020-08-07,sh.603650,36.0581068800,40.2862507200,34.3833897600,35.7376363200,62761719,2256528990.6000,1,47.757400,1.081871
108,2020-08-14,sh.603650,35.4791923200,37.7121484800,33.0808320000,33.9078528000,28463835,970893801.4700,1,21.659100,-5.120046
109,2020-08-21,sh.603650,33.8044752000,39.4799054400,33.8044752000,37.2262737600,42396985,1529258114.3400,1,32.261300,9.786585
110,2020-08-28,sh.603650,37.9292414400,38.6942356800,33.0911697600,35.3758147200,40302841,1406849239.1800,1,30.667800,-4.970841
111,2020-09-04,sh.603650,35.3758147200,35.9030404800,32.7706992000,33.4529913600,20111843,661832860.0900,1,15.303800,-5.435418
112,2020-09-11,sh.603650,32.1504336000,34.0112304000,30.3930144000,31.1166576000,19005109,592158470.8100,1,14.461700,-6.983931
113,2020-09-18,sh.603650,31.1166576000,33.4529913600,30.6101073600,32.8637390400,14882625,461353563.6600,1,11.324700,5.614618
114,2020-09-25,sh.603650,32.8947523200,36.1924977600,32.8947523200,34.6004827200,26421674,891631054.9900,1,20.105200,5.284681
115,2020-09-30,sh.603650,34.4557540800,36.3785774400,33.6700843200,35.3551392000,9253991,313941064.0000,1,7.041700,2.181058
116,2020-10-09,sh.603650,35.7169608000,37.2159360000,35.4378412800,36.0891201600,6419958,225218862.0000,1,4.885200,2.076023
117,2020-10-16,sh.603650,36.1097956800,40.5033436800,35.4585168000,39.9140913600,24629447,919747885.9500,1,18.741400,10.598682
