,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2016-06-03,sh.603737,22.9500000000,22.9500000000,22.9500000000,22.9500000000,15500,355725.0000,1,0.062000,43.977415
1,2016-06-08,sh.603737,25.2500000000,30.5600000000,25.2500000000,30.5600000000,21575,637920.0000,1,0.086300,33.159041
2,2016-06-17,sh.603737,33.6200000000,49.2300000000,33.6200000000,49.2300000000,260339,11147309.0000,1,1.041356,61.092932
3,2016-06-24,sh.603737,54.1500000000,79.2900000000,54.1500000000,79.2900000000,790983,54073368.0000,1,3.163932,61.060329
4,2016-07-01,sh.603737,87.2200000000,116.0800000000,87.2200000000,111.8100000000,28275177,3159299360.0000,1,113.100708,41.013999
5,2016-07-08,sh.603737,111.8900000000,118.5000000000,108.3300000000,110.4200000000,31793990,3600436740.0000,1,127.175960,-1.243180
6,2016-07-15,sh.603737,110.0000000000,110.8000000000,92.0600000000,100.8800000000,22267465,2224271388.0000,1,89.069860,-8.639739
7,2016-07-22,sh.603737,100.0000000000,100.9800000000,87.7000000000,88.4800000000,13510794,1267442288.0000,1,54.043176,-12.291832
8,2016-07-29,sh.603737,88.3300000000,94.0800000000,83.0000000000,88.7500000000,14514486,1283141024.0000,1,58.057944,0.305154
9,2016-08-05,sh.603737,87.3500000000,89.8800000000,80.0200000000,85.1500000000,12254855,1060182656.0000,1,49.019420,-4.056338
10,2016-08-12,sh.603737,85.0000000000,93.6000000000,82.1000000000,90.0700000000,13528399,1201722256.0000,1,54.113596,5.778039
11,2016-08-19,sh.603737,90.1000000000,96.5300000000,88.6000000000,92.6800000000,15435503,1448277648.0000,1,61.742012,2.897746
12,2016-08-26,sh.603737,92.6200000000,92.6600000000,83.1500000000,83.6300000000,10115929,870414040.0000,1,40.463716,-9.764782
13,2016-09-02,sh.603737,83.4700000000,85.2000000000,82.2100000000,83.0000000000,5922977,496272424.0000,1,23.691908,-0.753318
14,2016-09-09,sh.603737,83.8000000000,85.9600000000,81.0500000000,84.6400000000,6756071,566136508.0000,1,27.024284,1.975904
15,2016-09-14,sh.603737,82.5000000000,88.1600000000,80.2800000000,80.5900000000,9282301,782864624.0000,1,37.129204,-4.784972
16,2016-09-23,sh.603737,80.5600000000,81.6000000000,76.1200000000,76.2800000000,6755773,532197488.0000,1,27.023092,-5.348058
17,2016-09-30,sh.603737,76.2400000000,76.2400000000,71.8800000000,73.3193099200,5591776,409124424.0000,1,22.367104,-3.881374
18,2016-10-14,sh.603737,73.3293646800,80.5386276000,73.3293646800,79.5130420800,8793491,686478384.0000,1,35.173964,8.447614
19,2016-10-21,sh.603737,79.0304136000,81.0413656000,77.7434043200,79.5029873200,6915676,545580936.0000,1,27.662704,-0.012645
20,2016-10-28,sh.603737,79.4124944800,84.6409696800,78.7388255600,82.0367868400,6722078,551912888.0000,1,26.888312,3.187049
21,2016-11-04,sh.603737,81.3430084000,88.7433117600,81.0413656000,87.1647144400,8836477,750975264.0000,1,35.345908,6.250766
22,2016-11-11,sh.603737,88.4818880000,88.4818880000,82.8311128800,86.3904979200,7296068,626518456.0000,1,29.184272,-0.888222
23,2016-11-18,sh.603737,86.3904979200,86.4508264800,82.5596343600,84.0477388400,5145195,431922036.0000,1,20.580780,-2.711825
24,2016-11-25,sh.603737,83.6757127200,91.4782064800,82.3183201200,85.3548576400,8993974,777771728.0000,1,35.975896,1.555210
25,2016-12-02,sh.603737,85.1638172000,85.1638172000,77.9420132400,78.7367240100,4197229,341869024.0000,1,16.788916,-7.753629
26,2016-12-09,sh.603737,77.6402243400,80.6681729700,75.4572846300,75.8999083500,3046421,236798672.0000,1,12.185684,-3.602913
27,2016-12-16,sh.603737,75.9401468700,76.1614587300,70.2966944400,72.4092167400,3380150,242403428.0000,1,13.520600,-4.599072
28,2016-12-23,sh.603737,72.4092167400,72.9323175000,70.4375292600,70.5280659300,2053876,146382674.0000,1,8.215504,-2.597944
29,2016-12-30,sh.603737,70.2966944400,73.9382805000,66.3935580000,73.4554182600,3295723,236354322.0000,1,13.182892,4.150620
30,2017-01-06,sh.603737,73.4554182600,74.9341838700,70.8197952000,71.0310474300,1972629,143885712.0000,1,7.890516,-3.300466
31,2017-01-13,sh.603737,70.4174100000,72.7512441600,63.9792468000,64.8846135000,2532275,174280366.0000,1,10.129100,-8.653165
32,2017-01-20,sh.603737,64.8846135000,65.5887876000,56.1327354000,59.8346792400,3061825,181661590.0000,1,12.247300,-7.782946
33,2017-01-26,sh.603737,60.3577800000,66.4136772600,59.6536059000,61.7057704200,2109180,129472490.0000,1,8.436720,3.127102
34,2017-02-03,sh.603737,61.8365456100,62.0779767300,60.5589726000,60.8607615000,202188,12267197.0000,1,0.808752,-1.369416
35,2017-02-10,sh.603737,61.1021926200,65.3574161100,60.8205229800,62.2590500700,2635012,165041354.0000,1,10.540048,2.297521
36,2017-02-17,sh.603737,62.3697060000,63.6372193800,60.9211192800,60.9512981700,2391806,148350540.0000,1,9.567224,-2.100501
37,2017-02-24,sh.603737,60.9512981700,63.7780542000,59.3819958900,63.2448938100,4413886,268827232.0000,1,17.655544,3.762997
38,2017-03-03,sh.603737,62.6714949000,67.6510117500,62.6714949000,64.4118108900,6805788,441343696.0000,1,27.223152,1.845077
39,2017-03-10,sh.603737,65.3875950000,73.4352990000,64.8846135000,71.6446848600,9194547,639699140.0000,1,36.778188,11.229111
40,2017-03-17,sh.603737,71.5139096700,72.9222578700,68.6066766000,69.4215066300,4204750,294655476.0000,1,16.819000,-3.103061
41,2017-03-24,sh.603737,69.4013873700,77.6905224900,67.7918465700,74.5116794100,9020634,655896904.0000,1,36.082536,7.332271
42,2017-03-31,sh.603737,73.1536293600,79.1491688400,69.6126396000,72.2382030300,9463299,691377856.0000,1,37.853196,-3.051168
43,2017-04-07,sh.603737,72.2683819200,76.9259906100,71.8056389400,75.6282983400,2879316,214599776.0000,1,11.517264,4.692940
44,2017-04-14,sh.603737,74.8235279400,74.8235279400,71.0310474300,71.4233730000,3657612,263832740.0000,1,14.630448,-5.559989
45,2017-04-21,sh.603737,68.9084655000,74.7531105300,68.9084655000,71.1819418800,3497988,251147928.0000,1,13.991952,-0.338028
46,2017-04-28,sh.603737,71.2020611400,71.5943867100,61.4643393000,64.5928842300,3517480,232776731.0000,1,14.069920,-9.256642
47,2017-05-05,sh.603737,64.4621090400,67.5001173000,63.6573386400,66.6048102300,1990176,130964669.0000,1,7.960704,3.114780
48,2017-05-12,sh.603737,66.6450487500,67.2989247000,62.8928067600,66.4438561500,1922955,124401535.0000,1,7.691820,-0.241655
49,2017-05-19,sh.603737,66.4438561500,68.6871536400,65.2367005500,65.9911728000,1603293,106455867.0000,1,6.413172,-0.681302
50,2017-05-26,sh.603737,65.8905765000,68.9084655000,61.6554722700,67.8320850900,1967267,126713777.0000,1,7.869068,2.789634
51,2017-06-02,sh.603737,69.4416258900,69.7031762700,63.4963845600,66.4840946700,2211065,145258702.0000,1,8.844260,-1.987246
52,2017-06-09,sh.603737,66.5042139300,68.1841721400,64.2622540000,65.4361786400,3841323,252984963.0000,1,12.710790,-1.576199
53,2017-06-16,sh.603737,65.1022173200,66.8934644000,63.9687728400,64.7884960800,2582345,166665598.0000,1,8.544880,-0.989793
54,2017-06-23,sh.603737,64.7682560000,65.7903800400,63.0276091200,65.4968988800,1669746,106832396.0000,1,5.525125,1.093408
55,2017-06-30,sh.603737,64.1205734400,66.3065020800,64.1205734400,64.8998165200,1913864,123674699.0000,1,6.332902,-0.911619
56,2017-07-07,sh.603737,64.8998165200,65.7600199200,63.2300099200,63.4020506000,2702483,172497774.0000,1,8.942412,-2.307812
57,2017-07-14,sh.603737,63.4121706400,63.4121706400,57.6842280000,58.2914304000,2792437,167325772.0000,1,9.240066,-8.060654
58,2017-07-21,sh.603737,58.3926308000,58.8986328000,53.8588528800,55.9638212000,3243908,179586534.0000,1,10.733966,-3.993056
59,2017-07-28,sh.603737,55.6905801200,57.2591863200,52.7254084000,55.7917805200,1736716,94793944.0000,1,5.746726,-0.307414
60,2017-08-04,sh.603737,55.7108202000,57.1883460400,55.3060186000,56.1965821200,1485412,82847936.0000,1,4.915171,0.725558
61,2017-08-11,sh.603737,55.5488995600,58.3926308000,55.1542180000,56.7127041600,1716541,96911983.0000,1,5.679968,0.918422
62,2017-08-18,sh.603737,57.2288262000,60.4065187600,56.6924640800,58.8379125600,1782468,104428643.0000,1,5.898118,3.747323
63,2017-08-25,sh.603737,58.4634710800,60.6797598400,58.4128708800,60.6190396000,1415452,83647790.0000,1,4.683676,3.027176
64,2017-09-01,sh.603737,61.2363620400,64.2420139200,61.0036011200,62.8454484000,2278279,141808914.0000,1,7.538737,3.672788
65,2017-09-08,sh.603737,62.7847281600,64.1711736400,61.5804434000,62.2382460000,1326022,82992008.0000,1,4.387756,-0.966184
66,2017-09-15,sh.603737,62.2483660400,65.6284594000,61.7626041200,62.3090862800,1577892,99201121.0000,1,5.221184,0.113821
67,2017-09-22,sh.603737,62.3090862800,71.8624040400,61.8334444000,66.0231409600,4495492,296746904.0000,1,14.875409,5.960695
68,2017-09-29,sh.603737,65.5272590000,66.7922640000,62.9770089200,66.7214237200,2026569,129878007.0000,1,6.705839,1.057633
69,2017-10-13,sh.603737,68.2799098800,75.3436978000,65.4564187200,73.6941312800,4408395,308512169.0000,1,14.587209,10.450478
70,2017-10-20,sh.603737,75.9003000000,75.9003000000,72.4594864000,73.6840112400,3250893,238532046.0000,1,10.757079,-0.013732
71,2017-10-27,sh.603737,73.8256918000,77.7927474800,73.4208902000,74.8275757600,3357109,251549379.0000,1,11.108544,1.551985
72,2017-11-03,sh.603737,74.9287761600,77.3980659200,71.3462820000,75.7282593200,2833942,209453459.0000,1,9.377405,1.203679
73,2017-11-10,sh.603737,76.4872623200,78.5315104000,74.6960152400,76.4366621200,3523936,268318774.0000,1,11.660568,0.935454
74,2017-11-17,sh.603737,75.8496998000,78.6124707200,72.0546848000,74.1596531200,3292174,246563429.0000,1,10.893677,-2.978949
