,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2016-10-14,sh.603816,29.5900000000,35.5100000000,29.5900000000,35.5100000000,60604,2145536.0000,1,0.073459,43.998378
1,2016-10-21,sh.603816,39.0600000000,57.2000000000,39.0600000000,56.0100000000,44188757,2419441445.0000,1,53.562130,57.730217
2,2016-10-28,sh.603816,54.4500000000,59.9900000000,53.1300000000,58.2400000000,109539201,6196093180.0000,1,132.774789,3.981432
3,2016-11-04,sh.603816,57.8000000000,68.9000000000,54.7300000000,61.1600000000,124504829,7604454270.0000,1,150.914944,5.013736
4,2016-11-11,sh.603816,61.4600000000,68.5000000000,58.9000000000,63.8900000000,83536336,5234733630.0000,1,101.256165,4.463702
5,2016-11-18,sh.603816,62.9000000000,63.3900000000,59.2300000000,60.1600000000,40745388,2496699456.0000,1,49.388349,-5.838159
6,2016-11-25,sh.603816,59.9000000000,60.6000000000,54.8100000000,56.9200000000,36107667,2115771776.0000,1,43.766869,-5.385638
7,2016-12-02,sh.603816,57.0000000000,57.2800000000,54.3000000000,54.8900000000,23135997,1286656688.0000,1,28.043633,-3.566409
8,2016-12-09,sh.603816,54.0100000000,56.4900000000,53.7200000000,54.1800000000,18654831,1030879488.0000,1,22.611916,-1.293496
9,2016-12-16,sh.603816,53.8300000000,54.2800000000,48.0900000000,49.8200000000,18408838,919593344.0000,1,22.313743,-8.047250
10,2016-12-23,sh.603816,50.6200000000,51.4300000000,49.0200000000,49.3900000000,14075074,704199576.0000,1,17.060696,-0.863107
11,2016-12-30,sh.603816,48.9500000000,49.5500000000,47.0300000000,47.3400000000,9519294,459374584.0000,1,11.538538,-4.150638
12,2017-01-06,sh.603816,47.3600000000,49.3000000000,47.0000000000,47.1500000000,8971318,431067360.0000,1,10.874325,-0.401352
13,2017-01-13,sh.603816,46.9700000000,47.4900000000,44.2000000000,44.8300000000,11263291,522141232.0000,1,13.652474,-4.920467
14,2017-01-20,sh.603816,44.3900000000,44.8000000000,40.4000000000,43.2900000000,14260251,606839704.0000,1,17.285153,-3.435200
15,2017-01-26,sh.603816,43.3300000000,44.6500000000,43.0300000000,43.8800000000,5416680,237468740.0000,1,6.565673,1.362901
16,2017-02-03,sh.603816,43.8000000000,43.9900000000,43.0600000000,43.2100000000,984875,42638712.0000,1,1.193788,-1.526892
17,2017-02-10,sh.603816,43.2000000000,44.9900000000,43.0600000000,44.9200000000,10220803,450829788.0000,1,12.388852,3.957417
18,2017-02-17,sh.603816,45.0000000000,48.2700000000,44.7600000000,47.3300000000,17836333,843132120.0000,1,21.619798,5.365093
19,2017-02-24,sh.603816,47.0600000000,50.5500000000,47.0400000000,48.4900000000,18024578,882307536.0000,1,21.847973,2.450877
20,2017-03-03,sh.603816,48.4800000000,52.4800000000,47.6600000000,50.7500000000,14130161,696755608.0000,1,17.127468,4.660755
21,2017-03-10,sh.603816,50.5000000000,52.9800000000,50.5000000000,52.4100000000,17835419,926249160.0000,1,21.618690,3.270936
22,2017-03-17,sh.603816,52.4000000000,54.3900000000,50.8800000000,50.9500000000,18263277,969904888.0000,1,22.137305,-2.785728
23,2017-03-24,sh.603816,50.2000000000,53.7800000000,48.8900000000,53.0900000000,19891213,1020352592.0000,1,24.110561,4.200196
24,2017-03-31,sh.603816,52.8100000000,53.5000000000,48.6000000000,49.5600000000,13762152,699181048.0000,1,16.681396,-6.649086
25,2017-04-07,sh.603816,50.0000000000,52.1100000000,49.6600000000,51.6600000000,7188778,366582152.0000,1,8.713670,4.237288
26,2017-04-14,sh.603816,51.6800000000,54.2800000000,51.6600000000,52.4100000000,17855053,949230128.0000,1,21.642488,1.451800
27,2017-04-21,sh.603816,51.3000000000,56.2200000000,51.1000000000,53.1200000000,20124489,1098895176.0000,1,24.393320,1.354703
28,2017-04-28,sh.603816,53.0100000000,54.2800000000,50.5000000000,52.1600000000,12060461,634605731.0000,1,14.618741,-1.807229
29,2017-05-05,sh.603816,51.5000000000,53.8800000000,51.3100000000,52.5100000000,5958401,314164111.0000,1,7.222304,0.671012
30,2017-05-12,sh.603816,52.2000000000,52.6800000000,50.0200000000,52.1100000000,6904327,355858901.0000,1,8.368881,-0.761760
31,2017-05-19,sh.603816,52.0100000000,54.5500000000,51.2900000000,53.1776714900,9136317,485790475.0000,1,11.074324,2.048906
32,2017-05-26,sh.603816,52.9041342200,53.1574094700,49.7027350600,52.3773217000,8369087,424074431.0000,1,10.144348,-1.505049
33,2017-06-02,sh.603816,53.0864924000,53.6842219900,50.1282374800,51.1413384800,4562998,233640947.0000,1,5.530907,-2.359768
34,2017-06-09,sh.603816,51.1616005000,56.7336560000,50.6651810100,55.3051835900,12935745,689680060.0000,1,15.679691,8.141838
35,2017-06-16,sh.603816,55.2140045000,56.2068434800,53.7956631000,54.8999431900,7991424,431873202.0000,1,9.686575,-0.732735
36,2017-06-23,sh.603816,54.8999431900,57.2300754900,53.5322568400,56.1055333800,10845165,591663827.0000,1,13.145655,2.195977
37,2017-06-30,sh.603816,55.8927821700,60.5023917200,55.8927821700,59.5500767800,14547450,844163715.0000,1,17.633273,6.139401
38,2017-07-07,sh.603816,59.3474565800,62.0828292800,57.8075430600,60.5834398000,12207035,724011092.0000,1,14.796406,1.735284
39,2017-07-14,sh.603816,60.3909506100,61.3837895900,57.7467570000,59.2968015300,6763467,398065499.0000,1,8.198142,-2.123746
40,2017-07-21,sh.603816,58.8712991100,59.3575875900,55.8522581300,57.3009925600,8368138,472169173.0000,1,10.143198,-3.365795
41,2017-07-28,sh.603816,56.5816908500,58.6889409300,55.7712100500,58.0810803300,5992164,340508651.0000,1,7.263229,1.361386
42,2017-08-04,sh.603816,57.9291151800,58.7699890100,54.0084143100,55.0113843000,8631420,476629562.0000,1,10.462327,-5.285191
43,2017-08-11,sh.603816,54.9100742000,55.5179348000,52.7015140200,52.8129551300,5750802,305230879.0000,1,6.970669,-3.996317
44,2017-08-18,sh.603816,52.7825621000,54.6973229900,52.3773217000,54.2616895600,5137388,272000103.0000,1,6.227137,2.743142
45,2017-08-25,sh.603816,54.2718205700,55.8117340900,52.7217760400,53.7652700700,5045559,270656197.0000,1,6.115829,-0.914862
46,2017-09-01,sh.603816,53.8969732000,55.6395069200,53.7956631000,54.6264059200,6109232,331224437.0000,1,7.405130,1.601658
47,2017-09-08,sh.603816,55.0417773300,55.0721703600,52.9851823000,53.2789815900,8639020,457392118.0000,1,10.471539,-2.466617
48,2017-09-15,sh.603816,53.1371474500,53.8159251200,52.5292868500,53.1067544200,6171308,323699577.0000,1,7.480373,-0.323255
49,2017-09-22,sh.603816,53.0459683600,53.7855320900,51.3844827200,51.8099851400,5836027,304417462.0000,1,7.073972,-2.441816
50,2017-09-29,sh.603816,51.6580199900,53.2688505800,50.6550500000,52.9750512900,5404149,274955930.0000,1,6.550484,2.248729
