,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2017-09-08,sh.603882,9.9800000000,9.9800000000,9.9800000000,9.9800000000,23363,233163.0000,1,0.034017,44.011544
1,2017-09-15,sh.603882,10.9800000000,16.0800000000,10.9800000000,16.0800000000,90749,1339865.0000,1,0.132133,61.122244
2,2017-09-22,sh.603882,17.6900000000,25.9100000000,17.6900000000,25.9100000000,743818,16927375.0000,1,1.083020,61.131841
3,2017-09-29,sh.603882,28.5000000000,41.7300000000,28.5000000000,41.7300000000,4493201,169919813.0000,1,6.542226,61.057507
4,2017-10-13,sh.603882,43.7900000000,47.8100000000,38.1000000000,38.8300000000,141410182,5909857957.0000,1,205.897178,-6.949437
5,2017-10-20,sh.603882,37.9600000000,39.9900000000,36.5000000000,37.6300000000,60290188,2297667017.0000,1,87.784199,-3.090394
6,2017-10-27,sh.603882,37.3900000000,38.4200000000,34.9900000000,35.2600000000,35670573,1323221909.0000,1,51.937351,-6.298166
7,2017-11-03,sh.603882,34.1500000000,37.4700000000,31.7500000000,35.5800000000,38232132,1339207538.0000,1,55.667053,0.907544
8,2017-11-10,sh.603882,35.6600000000,40.5700000000,35.6600000000,37.9100000000,47510427,1821259385.0000,1,69.176510,6.548623
9,2017-11-17,sh.603882,38.2400000000,41.4900000000,35.6100000000,35.7000000000,49879422,1958419748.0000,1,72.625833,-5.829596
10,2017-11-24,sh.603882,35.7000000000,36.1900000000,31.9800000000,32.7100000000,22085437,760070993.0000,1,32.157014,-8.375350
11,2017-12-01,sh.603882,32.0800000000,33.1600000000,30.0200000000,30.5500000000,15672051,491343883.0000,1,22.818944,-6.603485
12,2017-12-08,sh.603882,30.7800000000,30.7800000000,27.4400000000,30.0700000000,16416344,472653638.0000,1,23.902656,-1.571195
13,2017-12-15,sh.603882,30.1200000000,30.9100000000,29.1800000000,29.6000000000,11891239,357781029.0000,1,17.313976,-1.563020
14,2017-12-22,sh.603882,29.2900000000,30.5000000000,28.1800000000,30.0000000000,9927595,291882873.0000,1,14.454856,1.351351
15,2017-12-29,sh.603882,29.8700000000,33.5000000000,29.7300000000,31.6300000000,19709992,633860705.0000,1,28.698299,5.433333
16,2018-01-05,sh.603882,31.8700000000,33.3300000000,31.2200000000,32.7500000000,12015943,387830417.0000,1,17.495549,3.540942
17,2018-01-12,sh.603882,32.5000000000,35.1100000000,31.6000000000,31.9900000000,21284716,702538898.0000,1,30.991142,-2.320611
18,2018-01-19,sh.603882,32.0500000000,32.0500000000,28.9000000000,29.6600000000,13374798,402815488.0000,1,19.474080,-7.283526
19,2018-01-26,sh.603882,29.3000000000,31.2000000000,28.4000000000,29.3800000000,11549764,345547795.0000,1,16.816779,-0.944032
20,2018-02-02,sh.603882,29.3900000000,29.8700000000,26.1500000000,26.8600000000,8493200,238618167.0000,1,12.366337,-8.577263
21,2018-02-09,sh.603882,26.5000000000,26.9900000000,23.3500000000,23.8600000000,9921291,245723080.0000,1,14.445677,-11.169025
22,2018-02-14,sh.603882,24.0500000000,24.9400000000,24.0500000000,24.4700000000,3141462,77283920.0000,1,4.574056,2.556580
23,2018-02-23,sh.603882,24.6000000000,25.8000000000,24.6000000000,25.7800000000,2601631,65596268.0000,1,3.788047,5.353494
24,2018-03-02,sh.603882,26.0100000000,27.9900000000,26.0100000000,26.8100000000,8466361,227444125.0000,1,12.327258,3.995345
25,2018-03-09,sh.603882,27.1000000000,28.8800000000,26.5000000000,28.5500000000,11050637,308536505.0000,1,16.090036,6.490116
26,2018-03-16,sh.603882,28.7100000000,30.5000000000,27.5000000000,28.3800000000,12578969,369010788.0000,1,18.315331,-0.595447
27,2018-03-23,sh.603882,28.3500000000,30.3300000000,28.1500000000,28.6000000000,13717994,403000634.0000,1,19.973783,0.775194
28,2018-03-30,sh.603882,28.4800000000,32.2800000000,27.5000000000,30.8800000000,20158709,618521395.0000,1,29.351644,7.972028
29,2018-04-04,sh.603882,30.9400000000,31.3800000000,29.6500000000,30.6700000000,7375408,225660915.0000,1,10.738800,-0.680052
30,2018-04-13,sh.603882,30.6500000000,32.3500000000,29.7000000000,31.0400000000,16030140,501923488.0000,1,23.340332,1.206391
31,2018-04-20,sh.603882,32.2000000000,32.3300000000,27.5000000000,27.6000000000,16134968,482084682.0000,1,23.492964,-11.082474
32,2018-04-27,sh.603882,27.5700000000,30.3000000000,26.9000000000,29.9600000000,12996311,375516864.0000,1,18.922992,8.550725
33,2018-05-04,sh.603882,30.0200000000,32.2600000000,28.5100000000,32.2600000000,11718249,361175852.0000,1,17.062098,7.676903
34,2018-05-11,sh.603882,33.4600000000,33.5000000000,31.0300000000,31.5900000000,29942726,966900310.0000,1,43.597446,-2.076875
35,2018-05-18,sh.603882,31.2800000000,33.4600000000,30.6800000000,31.1700000000,17956579,577172021.0000,1,26.145281,-1.329535
36,2018-05-25,sh.603882,31.1400000000,32.7600000000,30.8000000000,31.4900000000,12393148,392603755.0000,1,18.044770,1.026628
37,2018-06-01,sh.603882,31.2000000000,34.5700000000,30.3500000000,30.9400000000,26773910,873014002.0000,1,38.983561,-1.746586
38,2018-06-08,sh.603882,31.2000000000,31.6600000000,28.8500000000,29.2000000000,11512018,352268944.0000,1,16.761820,-5.623788
39,2018-06-15,sh.603882,29.0300000000,29.4000000000,27.5900000000,27.8400000000,7840214,222478701.0000,1,11.415571,-4.657534
40,2018-06-22,sh.603882,27.4400000000,27.4400000000,25.1000000000,26.0900000000,5701564,149159684.0000,1,8.301637,-6.285920
41,2018-06-29,sh.603882,26.4300000000,26.9800000000,25.8000000000,26.8000000000,7358015,194481335.0000,1,10.713476,2.721349
42,2018-07-06,sh.603882,26.8100000000,27.1000000000,23.2042241700,24.1171443600,6825178,173763897.0000,1,9.937650,-10.010657
43,2018-07-13,sh.603882,24.2977219800,26.6853594000,24.1773369000,26.2840758000,5842330,148405398.0000,1,8.506596,8.985025
44,2018-07-20,sh.603882,26.2941078900,26.5850385000,24.7993264800,25.6620862200,3882070,99719722.0000,1,5.652402,-2.366412
45,2018-07-27,sh.603882,25.1604817200,26.6652952200,24.3579145200,25.2006100800,6558896,164740433.0000,1,9.549936,-1.798280
46,2018-08-03,sh.603882,25.0902570900,25.2106421700,22.2210793500,22.3414644300,5103489,119862554.0000,1,7.430823,-11.345541
47,2018-08-10,sh.603882,22.0705980000,23.8763742000,21.4586405100,23.7559891200,5740638,130267101.0000,1,8.358529,6.331388
48,2018-08-17,sh.603882,23.2744488000,24.4381712400,22.0705980000,22.6624913100,3466205,81464617.0000,1,5.046891,-4.603041
49,2018-08-24,sh.603882,22.7026196700,23.0637749100,21.6693144000,21.6994106700,4130722,91920036.0000,1,6.014447,-4.249668
50,2018-08-31,sh.603882,21.7295069400,22.7026196700,21.1978061700,21.2279024400,3698282,81385462.0000,1,5.384802,-2.172908
51,2018-09-07,sh.603882,21.2279024400,21.4686726000,19.2616128000,19.4020620600,6093717,122221205.0000,1,8.872622,-8.601134
52,2018-09-14,sh.603882,19.4321583300,19.9437949200,17.5862537700,18.0878582700,8716174,159097017.0000,1,3.116934,-6.773526
53,2018-09-21,sh.603882,18.0276657300,18.5593665000,17.6263821300,18.3687567900,5584175,100787961.0000,1,1.996920,1.552967
54,2018-09-28,sh.603882,18.3587247000,19.5023829600,18.1781470800,18.9405859200,4611246,86774620.0000,1,1.648997,3.113053
55,2018-10-12,sh.603882,18.7901045700,18.7901045700,17.0846492700,17.6564784000,3964234,71025072.0000,1,1.417624,-6.779661
56,2018-10-19,sh.603882,17.7567993000,18.3286284300,15.9008626500,16.9542321000,4893820,83719289.0000,1,1.750047,-3.977273
57,2018-10-26,sh.603882,17.4157082400,18.5092060500,17.0545530000,17.7267030300,5562337,99789835.0000,1,1.989111,4.556213
58,2018-11-02,sh.603882,17.6564784000,20.0742120900,17.1047134500,19.9136986500,9864038,185513223.0000,1,3.527414,12.337295
59,2018-11-09,sh.603882,19.6628964000,21.5689935000,19.5726075900,20.1243725400,14504733,297095597.0000,1,5.186942,1.057935
60,2018-11-16,sh.603882,19.7933135700,22.0204375500,19.7933135700,21.4285442400,10607186,225511895.0000,1,3.793166,6.480558
61,2018-11-23,sh.603882,21.4686726000,22.3715607000,20.4654636000,21.0974852700,8729439,186585818.0000,1,3.121677,-1.544944
62,2018-11-30,sh.603882,21.0974852700,22.0104054600,20.5657845000,21.8398599300,6635221,142839269.0000,1,2.372778,3.518783
