,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2019-11-22,sh.688111,140.0000000000,149.0000000000,125.0000000000,133.4800000000,80375568,11002893024.0000,1,120.607600,191.059747
1,2019-11-29,sh.688111,134.2700000000,140.0000000000,128.0000000000,136.5000000000,16980551,2279147322.0000,1,25.480100,2.262511
2,2019-12-06,sh.688111,136.0000000000,142.0000000000,132.8300000000,136.9000000000,11388414,1569137826.0000,1,17.088800,0.293040
3,2019-12-13,sh.688111,133.1000000000,165.0000000000,133.1000000000,153.6100000000,14551824,2184480291.0000,1,21.835700,12.205990
4,2019-12-20,sh.688111,153.7900000000,175.0000000000,151.9300000000,166.9500000000,11653821,1912962811.0000,1,17.487100,8.684330
5,2019-12-27,sh.688111,163.0200000000,166.9800000000,152.0000000000,161.7000000000,9000376,1447024550.0000,1,13.505500,-3.144654
6,2020-01-03,sh.688111,161.2200000000,165.4600000000,148.8800000000,150.0000000000,12300091,1928006668.0000,1,18.456900,-7.235622
7,2020-01-10,sh.688111,150.5000000000,162.6200000000,147.0200000000,156.2700000000,14529716,2241019660.0000,1,21.802600,4.180000
8,2020-01-17,sh.688111,156.3700000000,188.0000000000,153.6200000000,183.0000000000,14420031,2387201434.0000,1,21.638100,17.105011
9,2020-01-23,sh.688111,184.0000000000,191.5600000000,167.0200000000,179.5000000000,10912872,1949459364.0000,1,16.375200,-1.912568
10,2020-02-07,sh.688111,163.0000000000,246.0000000000,163.0000000000,245.0000000000,23064945,4817761745.0000,1,34.610200,36.490251
11,2020-02-14,sh.688111,239.9900000000,240.0000000000,210.0000000000,218.0000000000,21147280,4740692375.0000,1,31.732500,-11.020408
12,2020-02-21,sh.688111,217.0000000000,243.5000000000,213.9900000000,227.6000000000,14039145,3178907875.0000,1,21.066400,4.403670
13,2020-02-28,sh.688111,227.1000000000,249.8500000000,213.0000000000,235.5200000000,13949841,3219729994.0000,1,20.932400,3.479789
14,2020-03-06,sh.688111,237.0000000000,292.0000000000,225.2000000000,247.0000000000,14113246,3585609425.0000,1,21.177700,4.874321
15,2020-03-13,sh.688111,238.0000000000,251.7000000000,201.0000000000,223.0300000000,13834403,3035553603.0000,1,20.759300,-9.704453
16,2020-03-20,sh.688111,221.0500000000,236.6800000000,203.7700000000,228.0000000000,10953031,2439261742.0000,1,16.435600,2.228400
17,2020-03-27,sh.688111,222.3900000000,260.2000000000,204.5000000000,245.8000000000,9938788,2324689080.0000,1,14.913700,7.807018
18,2020-04-03,sh.688111,240.1000000000,247.0500000000,218.5000000000,241.9600000000,7144225,1658024844.0000,1,10.720300,-1.562246
19,2020-04-10,sh.688111,247.4600000000,254.3600000000,218.5700000000,223.2500000000,5789726,1369145110.0000,1,8.687800,-7.732683
20,2020-04-17,sh.688111,221.0000000000,247.3800000000,215.8100000000,244.3100000000,6331192,1469179623.0000,1,9.500300,9.433371
21,2020-04-24,sh.688111,244.8600000000,258.0000000000,240.5000000000,248.0100000000,5051929,1259011328.0000,1,7.580600,1.514469
22,2020-04-30,sh.688111,240.0000000000,265.9200000000,220.9500000000,262.4800000000,4516203,1134536643.0000,1,6.776800,5.834442
23,2020-05-08,sh.688111,261.0000000000,285.0100000000,260.0000000000,274.8700000000,3673655,993230742.0000,1,5.512500,4.720360
24,2020-05-15,sh.688111,277.0000000000,291.5800000000,253.4600000000,264.6800000000,6886665,1838669377.0000,1,10.333700,-3.707207
25,2020-05-22,sh.688111,263.0000000000,294.5000000000,250.5000000000,273.0200000000,7691379,2102225859.0000,1,10.878900,3.150975
26,2020-05-29,sh.688111,271.1800000000,278.7100000000,258.0000000000,267.4700000000,5152006,1383672443.0000,1,7.287200,-2.032818
27,2020-06-05,sh.688111,270.0000000000,285.3100000000,256.2734080000,259.8672421200,6836549,1843744799.0000,1,9.669800,-2.842453
28,2020-06-12,sh.688111,261.2787480000,267.1850492000,251.8386767600,258.9462595600,6444060,1664258840.0000,1,9.114600,-0.354405
29,2020-06-19,sh.688111,260.2776800000,282.0008556000,256.2734080000,282.0008556000,5902777,1581997553.0000,1,8.349000,8.903236
30,2020-06-24,sh.688111,285.8549674000,341.1439530400,285.8549674000,320.7622085600,5314244,1623712074.0000,1,7.516600,13.745119
31,2020-07-03,sh.688111,318.8401580000,343.7867725600,304.5949603600,316.0371676000,8565790,2744577518.0000,1,12.115600,-1.473067
32,2020-07-10,sh.688111,312.3131946400,415.9938074000,309.0597236400,391.4175880000,9618737,3480148900.0000,1,13.605000,23.851758
33,2020-07-17,sh.688111,388.7947898400,436.4656480000,344.2572745200,349.0223582000,12907535,5061327746.0000,1,18.256800,-10.831202
34,2020-07-24,sh.688111,355.3891506800,398.9255980000,322.3438960000,384.4101120000,10172540,3781596597.7100,1,14.388300,10.139108
35,2020-07-31,sh.688111,384.9106460000,396.4229280000,351.0545262400,393.4097133200,6952720,2608463225.5400,1,9.834100,2.341146
36,2020-08-07,sh.688111,398.4550960400,436.4656480000,373.3983640000,393.4197240000,7662925,3106714371.0000,1,10.838600,0.002545
37,2020-08-14,sh.688111,399.3460465600,424.0323834400,352.6662457200,370.3851493200,7857928,2977437260.0000,1,11.114500,-5.854962
38,2020-08-21,sh.688111,366.8914220000,392.4286666800,346.3695280000,356.3802080000,8140310,2959430669.0000,1,11.513900,-3.781183
39,2020-08-28,sh.688111,363.2675558400,363.8882180000,314.2152238400,319.3707240400,9619013,3221572148.0000,1,13.605300,-10.384831
40,2020-09-04,sh.688111,323.3449640000,350.3838106800,306.1265944000,310.3911440800,11281015,3712157938.0000,1,15.956200,-2.811648
41,2020-09-11,sh.688111,310.3310800000,324.0457116000,291.3107880000,305.4959215600,8820885,2678467459.4400,1,12.476500,-1.577114
42,2020-09-18,sh.688111,312.5033975600,338.3609840000,312.5033975600,334.3467013200,8252391,2690638122.0000,1,11.672400,9.443917
43,2020-09-25,sh.688111,335.4478761200,337.3599160000,302.3225360000,307.8083886400,7635559,2474870919.0000,1,10.799900,-7.937363
44,2020-09-30,sh.688111,308.3289440000,335.9083674000,303.5238176000,330.3524400000,5613001,1797203315.0000,1,7.939200,7.324054
45,2020-10-09,sh.688111,339.3620520000,350.2336504800,333.3556440000,349.3727320000,2439066,837311820.0000,1,3.449900,5.757576
46,2020-10-16,sh.688111,351.3748680000,358.3823440000,335.6080470000,335.6080470000,6558085,2287720778.0000,1,9.275900,-3.939828
47,2020-10-23,sh.688111,338.0406422400,341.5543909200,297.3171960000,300.3204000000,6088751,1951087134.6500,1,8.612100,-10.514541
48,2020-10-30,sh.688111,295.3150600000,337.5100762000,284.3934081200,327.8597806800,8239371,2608768200.0000,1,11.653900,9.170000
49,2020-11-06,sh.688111,325.8476340000,349.2526038400,311.5523829600,339.3620520000,6345854,2121011173.3400,1,8.975700,3.508290
50,2020-11-13,sh.688111,340.3230772800,340.3230772800,287.3065160000,296.3161280000,10457765,3228690880.0000,1,14.791700,-12.684366
51,2020-11-20,sh.688111,307.4179721200,337.2197664800,295.3150600000,314.8559073600,8997412,2824796512.0000,1,7.195000,6.256757
52,2020-11-27,sh.688111,314.8659180400,327.3292146400,302.3225360000,315.1862598000,5908021,1853780280.4900,1,2.737500,0.104922
53,2020-12-04,sh.688111,314.1051063600,350.3738000000,310.8616460400,345.3684600000,8802554,2935246624.0000,1,4.078700,9.575989
54,2020-12-11,sh.688111,348.3716640000,363.9683034400,324.3460320000,331.4135720800,9854217,3379818336.0000,1,4.565800,-4.040580
55,2020-12-18,sh.688111,334.3567120000,374.3994320000,327.3492360000,361.0652062400,9820017,3472562736.0000,1,4.550100,8.947019
56,2020-12-25,sh.688111,359.6637110400,389.0050141200,356.3902186800,372.2271144400,8439691,3130313712.0000,1,3.910500,3.091383
57,2020-12-31,sh.688111,372.2271144400,416.2440744000,358.3823440000,411.4389480000,7949318,3015822080.0000,1,3.683300,10.534384
58,2021-01-08,sh.688111,411.6391616000,435.7649004000,383.7293857600,400.0267728000,13581409,5517902752.0000,1,6.292900,-2.773723
59,2021-01-15,sh.688111,399.4161213200,420.4485600000,385.1609130000,415.4031772800,10780957,4329392704.0000,1,4.995500,3.843844
60,2021-01-22,sh.688111,415.7435404000,493.5265240000,408.7360644000,492.2952103600,10425821,4710394416.0000,1,4.830800,18.510218
