,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2020-07-24,sh.688256,250.0000000000,297.7700000000,202.0000000000,259.3300000000,75829797,19121338414.6200,1,243.788300,302.748874
1,2020-07-31,sh.688256,252.2800000000,257.9000000000,227.5000000000,249.6000000000,31599979,7654260501.5600,1,101.592000,-3.751976
2,2020-08-07,sh.688256,250.0100000000,257.8800000000,223.3700000000,227.4400000000,26830184,6500844120.0000,1,86.257400,-8.878205
3,2020-08-14,sh.688256,219.9900000000,226.3000000000,207.5000000000,212.6800000000,10187031,2219206503.0000,1,32.750700,-6.489624
4,2020-08-21,sh.688256,213.0000000000,219.8000000000,200.1100000000,204.9500000000,8579814,1800741426.0000,1,27.583600,-3.634568
5,2020-08-28,sh.688256,206.3000000000,207.8400000000,168.0200000000,174.2800000000,15392775,2823022298.0000,1,49.486800,-14.964626
6,2020-09-04,sh.688256,173.0000000000,182.3000000000,164.2800000000,174.5300000000,11283348,1948591473.0000,1,36.275300,0.143447
7,2020-09-11,sh.688256,170.4000000000,172.8000000000,155.0000000000,161.9600000000,9365285,1524374517.2200,1,30.108900,-7.202200
8,2020-09-18,sh.688256,164.0000000000,178.0000000000,161.2600000000,174.2600000000,9801645,1663058875.0000,1,31.511700,7.594468
9,2020-09-25,sh.688256,173.9900000000,176.8800000000,161.5200000000,162.4500000000,5729447,967390740.0000,1,18.419800,-6.777229
10,2020-09-30,sh.688256,162.4500000000,163.5000000000,156.5000000000,160.1900000000,2506720,401553698.0000,1,8.059000,-1.391197
11,2020-10-09,sh.688256,164.0000000000,164.9800000000,163.0700000000,163.7300000000,698762,114628812.0000,1,2.246500,2.209876
12,2020-10-16,sh.688256,164.9400000000,175.6500000000,164.0300000000,171.4000000000,7018170,1202881512.0000,1,22.563000,4.684542
13,2020-10-23,sh.688256,172.2000000000,189.9800000000,172.0100000000,172.0100000000,12535008,2273842631.5400,1,40.299300,0.355893
14,2020-10-30,sh.688256,170.0200000000,193.8800000000,166.5600000000,187.0800000000,11061986,2025822929.0000,1,35.563700,8.761119
15,2020-11-06,sh.688256,187.0100000000,193.3800000000,178.0000000000,188.7000000000,9966291,1846847423.3700,1,32.041000,0.865940
16,2020-11-13,sh.688256,190.0200000000,202.9900000000,175.8000000000,179.2000000000,10117298,1913411299.0000,1,32.526500,-5.034446
17,2020-11-20,sh.688256,179.5800000000,182.1800000000,166.7100000000,169.7700000000,5207100,894266246.0000,1,16.740500,-5.262277
18,2020-11-27,sh.688256,168.6500000000,172.8400000000,161.2400000000,163.9900000000,3994124,667149357.0700,1,12.841000,-3.404606
19,2020-12-04,sh.688256,165.0000000000,171.6900000000,164.1000000000,166.4200000000,4200324,704998494.0000,1,13.503700,1.481798
20,2020-12-11,sh.688256,168.3600000000,170.8900000000,158.1900000000,163.2200000000,4786542,780133259.0000,1,15.388400,-1.922846
21,2020-12-18,sh.688256,162.0000000000,163.0000000000,154.1000000000,159.6600000000,3537638,561317172.0000,1,11.373200,-2.181105
22,2020-12-25,sh.688256,160.5000000000,163.6000000000,149.4800000000,149.5000000000,4264277,668791157.0000,1,13.709500,-6.363522
23,2020-12-31,sh.688256,149.2900000000,149.5000000000,136.0800000000,146.7800000000,4626721,652252660.0000,1,14.874700,-1.819398
24,2021-01-08,sh.688256,146.7800000000,156.0000000000,141.5100000000,146.4800000000,5184640,770764382.0000,1,16.668300,-0.204388
25,2021-01-15,sh.688256,145.5100000000,163.9600000000,145.4000000000,155.1000000000,7827171,1215795966.0000,1,25.163800,5.884762
26,2021-01-22,sh.688256,154.0000000000,172.0000000000,143.4300000000,162.3600000000,12627495,2013774421.0000,1,38.744700,4.680851
27,2021-01-29,sh.688256,161.2000000000,180.7900000000,152.0000000000,153.6000000000,11971206,2013285465.0000,1,36.281300,-5.395418
28,2021-02-05,sh.688256,150.5000000000,156.5400000000,137.8100000000,137.8900000000,5329169,775719174.0000,1,16.151200,-10.227865
29,2021-02-10,sh.688256,138.0000000000,148.0000000000,136.1200000000,145.8400000000,2832012,406500264.0300,1,8.583000,5.765465
30,2021-02-19,sh.688256,146.0000000000,152.8500000000,146.0000000000,151.2700000000,1892927,283363563.0000,1,5.737000,3.723258
31,2021-02-26,sh.688256,151.2500000000,154.9000000000,137.1900000000,144.0200000000,4356808,633274111.8600,1,13.204200,-4.792755
32,2021-03-05,sh.688256,144.8000000000,157.9800000000,144.0200000000,152.9100000000,5645750,861891695.0000,1,17.110700,6.172754
33,2021-03-12,sh.688256,154.0000000000,167.7700000000,149.0000000000,153.0000000000,8027381,1281605908.0000,1,24.328700,0.058858
34,2021-03-19,sh.688256,150.2800000000,152.9000000000,141.3600000000,146.9700000000,3613873,530568443.0000,1,10.952600,-3.941176
35,2021-03-26,sh.688256,146.7000000000,149.6900000000,140.3100000000,142.8400000000,1974366,284500166.5800,1,5.983800,-2.810097
36,2021-04-02,sh.688256,143.0000000000,148.0000000000,139.2800000000,146.0100000000,2085507,298823530.0000,1,6.320500,2.219266
37,2021-04-09,sh.688256,147.0000000000,147.3000000000,139.8600000000,142.0000000000,1601861,228515693.0000,1,4.854700,-2.746387
38,2021-04-16,sh.688256,141.9900000000,142.7500000000,127.0000000000,131.2800000000,3023580,404523521.0000,1,9.163600,-7.549296
39,2021-04-23,sh.688256,131.3900000000,133.2500000000,127.8000000000,129.9600000000,3281883,428619562.4300,1,9.946500,-1.005500
40,2021-04-30,sh.688256,130.0000000000,132.1800000000,111.1100000000,111.6900000000,5837616,696620878.6700,1,17.692200,-14.058200
41,2021-05-07,sh.688256,112.3900000000,112.3900000000,106.6600000000,106.7100000000,1673698,183227787.6000,1,5.072500,-4.458800
42,2021-05-14,sh.688256,106.8000000000,120.4200000000,104.6500000000,114.0500000000,4927479,553719794.2800,1,14.933900,6.878500
