,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2020-09-04,sh.688390,114.0000000000,141.0000000000,114.0000000000,135.0000000000,15710932,1984715871.0000,1,78.402300,255.918798
1,2020-09-11,sh.688390,133.2800000000,134.9000000000,104.0000000000,132.0000000000,28659311,3451586474.7600,1,143.018700,-2.222222
2,2020-09-18,sh.688390,135.0500000000,159.6000000000,130.6400000000,143.1400000000,14482517,2061306213.0000,1,72.272100,8.439394
3,2020-09-25,sh.688390,143.5000000000,159.8800000000,136.7400000000,148.0500000000,6951799,1028901511.0000,1,34.691600,3.430208
4,2020-09-30,sh.688390,148.0500000000,161.7700000000,142.5100000000,153.3000000000,3050284,460675292.0000,1,15.221900,3.546099
5,2020-10-09,sh.688390,168.0000000000,183.5800000000,168.0000000000,176.3700000000,1603195,281545610.0000,1,8.000400,15.048924
6,2020-10-16,sh.688390,177.9900000000,182.8500000000,162.0500000000,165.1600000000,5537386,949366849.0000,1,27.633200,-6.355956
7,2020-10-23,sh.688390,167.0000000000,174.7600000000,149.3000000000,150.8200000000,4662480,751324665.3100,1,23.267200,-8.682490
8,2020-10-30,sh.688390,152.9700000000,191.0000000000,146.2100000000,181.2000000000,4892271,858714748.0000,1,24.414000,20.143217
9,2020-11-06,sh.688390,183.4600000000,198.8800000000,178.8000000000,191.5000000000,3697634,689600903.8100,1,18.452400,5.684327
10,2020-11-13,sh.688390,191.7700000000,207.3800000000,187.1200000000,195.2000000000,3121962,612876980.0000,1,15.579400,1.932115
11,2020-11-20,sh.688390,194.2800000000,194.2800000000,166.1600000000,180.8300000000,4070780,721320478.0000,1,20.314400,-7.361680
12,2020-11-27,sh.688390,181.5000000000,186.6000000000,166.1600000000,177.1900000000,3237528,577164076.0200,1,16.156300,-2.012940
13,2020-12-04,sh.688390,176.5000000000,176.9900000000,158.5500000000,164.3100000000,3467346,573310233.0000,1,17.303100,-7.269033
14,2020-12-11,sh.688390,163.5000000000,191.3800000000,160.0000000000,181.5000000000,6830499,1211542658.0000,1,34.086300,10.461932
15,2020-12-18,sh.688390,185.0000000000,214.0000000000,181.5000000000,205.5000000000,5981504,1193779181.0000,1,29.849400,13.223140
16,2020-12-25,sh.688390,208.8900000000,247.4000000000,200.6800000000,247.4000000000,7441135,1631946997.0000,1,37.133400,20.389294
