,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2020-08-21,sh.688521,150.0000000000,174.0000000000,124.0000000000,130.2200000000,63825130,9443385519.0000,1,149.314600,237.970413
1,2020-08-28,sh.688521,126.0000000000,136.6000000000,106.6800000000,118.1900000000,22515075,2704442061.0000,1,52.672500,-9.238212
2,2020-09-04,sh.688521,117.2500000000,128.0000000000,108.0500000000,122.0500000000,16348501,1931691556.0000,1,38.246200,3.265928
3,2020-09-11,sh.688521,119.6000000000,123.8100000000,88.3200000000,95.6500000000,17005784,1710944549.2800,1,39.783800,-21.630479
4,2020-09-18,sh.688521,99.0000000000,111.9900000000,98.0000000000,105.9100000000,13563517,1440844260.0000,1,31.731000,10.726607
5,2020-09-25,sh.688521,104.5000000000,109.1600000000,98.7200000000,98.8500000000,9061061,945914522.0000,1,21.197800,-6.666037
6,2020-09-30,sh.688521,95.9500000000,97.8600000000,91.2000000000,92.5000000000,4727690,447339844.0000,1,11.060100,-6.423875
7,2020-10-09,sh.688521,95.9700000000,96.9900000000,94.0300000000,95.4100000000,861745,82058236.0000,1,2.016000,3.145946
8,2020-10-16,sh.688521,96.9400000000,109.4400000000,95.5000000000,100.2000000000,8505581,880281979.0000,1,19.898300,5.020438
9,2020-10-23,sh.688521,102.2600000000,102.4300000000,86.5000000000,88.0000000000,6587997,620224091.6900,1,15.412200,-12.175649
10,2020-10-30,sh.688521,87.5000000000,92.5000000000,83.5000000000,85.2400000000,9116216,799200887.0000,1,21.326800,-3.136364
11,2020-11-06,sh.688521,86.1000000000,94.2000000000,82.5800000000,91.4300000000,9593804,859771904.9300,1,22.444100,7.261849
12,2020-11-13,sh.688521,92.9700000000,109.7200000000,91.8000000000,101.3000000000,13746391,1414313886.0000,1,32.158800,10.795144
13,2020-11-20,sh.688521,101.7500000000,101.9800000000,91.0000000000,92.1900000000,7450343,710980693.0000,1,17.429600,-8.993090
14,2020-11-27,sh.688521,93.0000000000,96.8800000000,89.0000000000,94.1500000000,7746540,723959064.6700,1,18.122600,2.126044
15,2020-12-04,sh.688521,95.0000000000,100.9900000000,92.6500000000,92.6700000000,8453217,824147410.0000,1,19.775700,-1.571960
16,2020-12-11,sh.688521,95.0000000000,95.4700000000,88.8800000000,91.0000000000,4481818,412343929.0000,1,10.484900,-1.802093
17,2020-12-18,sh.688521,90.9000000000,93.3000000000,83.7900000000,86.2100000000,5912788,520904747.0000,1,13.832500,-5.263736
18,2020-12-25,sh.688521,85.3700000000,89.4800000000,75.5000000000,76.1000000000,6911963,569995779.0000,1,16.170000,-11.727178
19,2020-12-31,sh.688521,76.0900000000,82.8800000000,73.0000000000,80.5800000000,5541474,426405578.0000,1,12.963900,5.886991
20,2021-01-08,sh.688521,80.9900000000,81.0000000000,70.0100000000,71.0500000000,10182669,772729031.0000,1,23.821700,-11.826756
21,2021-01-15,sh.688521,72.0000000000,83.9500000000,67.8800000000,79.8600000000,10483058,790922935.0000,1,24.524500,12.399719
22,2021-01-22,sh.688521,79.1000000000,87.5000000000,78.2600000000,85.7000000000,9553887,802481361.0000,1,22.350700,7.312797
23,2021-01-29,sh.688521,84.8300000000,92.8000000000,82.1900000000,82.2000000000,8043366,702869827.0000,1,18.816800,-4.084014
24,2021-02-05,sh.688521,82.7000000000,86.0000000000,77.3000000000,79.8800000000,5960286,485860269.0000,1,13.943800,-2.822384
25,2021-02-10,sh.688521,81.5800000000,83.4000000000,75.5800000000,77.6500000000,3929690,311432216.1500,1,9.193200,-2.791688
26,2021-02-19,sh.688521,78.8800000000,82.3200000000,73.6500000000,75.7400000000,4182214,325334115.0000,1,9.249700,-2.459755
27,2021-02-26,sh.688521,76.0100000000,78.0700000000,70.0600000000,71.8200000000,5377024,402985706.6800,1,11.892200,-5.175601
28,2021-03-05,sh.688521,72.0500000000,76.6000000000,71.6900000000,72.7000000000,4388110,323759161.0000,1,9.705100,1.225285
29,2021-03-12,sh.688521,72.7100000000,73.2800000000,61.4400000000,62.1500000000,6760173,442263686.0000,1,14.951300,-14.511692
30,2021-03-19,sh.688521,62.1500000000,62.1500000000,58.2500000000,60.7000000000,5274525,316559192.0000,1,11.665600,-2.333065
31,2021-03-26,sh.688521,60.1800000000,63.0000000000,55.2200000000,57.3900000000,5667437,331519058.0600,1,12.534500,-5.453048
