,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2020-10-30,sh.689009,33.0000000000,51.5600000000,33.0000000000,47.6000000000,74555473,1515930836.0000,1,129.292600,151.319958
1,2020-11-06,sh.689009,50.2000000000,68.6000000000,48.8100000000,68.6000000000,125167572,7203193161.6100,1,217.063100,44.117647
2,2020-11-13,sh.689009,70.5000000000,71.6800000000,55.0400000000,61.1800000000,95084602,5999190768.0000,1,164.893900,-10.816327
3,2020-11-20,sh.689009,62.1800000000,88.3900000000,62.1800000000,86.6500000000,76489727,5836576784.0000,1,132.646900,41.631252
4,2020-11-27,sh.689009,84.5000000000,88.2500000000,70.6800000000,70.9900000000,54615878,4371617635.4900,1,94.713800,-18.072706
5,2020-12-04,sh.689009,72.6000000000,74.6600000000,63.7500000000,67.0600000000,49940661,3432910048.0000,1,86.606100,-5.535991
6,2020-12-11,sh.689009,68.0000000000,74.8500000000,63.8900000000,67.8500000000,35429004,2441466928.0000,1,61.440200,1.178050
7,2020-12-18,sh.689009,68.4500000000,75.5000000000,64.1000000000,71.9800000000,34483114,2419970288.0000,1,59.799900,6.086957
8,2020-12-25,sh.689009,71.0000000000,81.2000000000,67.6100000000,75.1000000000,39248771,2957250208.0000,1,68.064300,4.334537
9,2021-01-08,sh.689009,74.8200000000,92.5000000000,74.3200000000,77.7000000000,28926059,2430247504.0000,1,50.163100,-9.461664
10,2021-01-15,sh.689009,77.0000000000,91.8700000000,74.6200000000,82.8100000000,25338372,2109148256.0000,1,43.941300,6.576577
11,2021-01-22,sh.689009,79.0000000000,102.7700000000,78.3800000000,99.1000000000,25841317,2249469392.0000,1,44.813400,19.671537
12,2021-01-29,sh.689009,98.1100000000,112.7000000000,95.3100000000,100.2800000000,23100641,2397552896.0000,1,40.060700,1.190716
13,2021-02-05,sh.689009,96.0000000000,107.8900000000,89.0000000000,95.8800000000,19839056,1952276512.0000,1,34.404400,-9.453530
14,2021-02-19,sh.689009,91.0000000000,101.7800000000,87.0500000000,90.3000000000,6735277,640273707.0000,1,11.680200,-7.734750
15,2021-02-26,sh.689009,90.3000000000,92.5000000000,68.6800000000,70.1000000000,17864029,1401173270.9800,1,30.979400,-22.369878
16,2021-03-05,sh.689009,71.2600000000,76.5500000000,69.0100000000,71.2200000000,11633626,845625581.0000,1,20.174800,1.597718
17,2021-03-12,sh.689009,71.2200000000,71.8800000000,58.0000000000,64.8100000000,12034670,778437515.0000,1,20.870400,-9.000281
18,2021-03-19,sh.689009,65.7800000000,66.8800000000,58.3700000000,59.0300000000,7993395,494628771.0000,1,13.862000,-8.918377
19,2021-03-26,sh.689009,59.8400000000,65.9200000000,58.6200000000,63.4100000000,9492945,597930228.1700,1,16.462400,7.419956
20,2021-04-02,sh.689009,63.4200000000,71.4500000000,63.4200000000,71.0700000000,9434624,632404163.0000,1,16.361400,12.080114
21,2021-04-09,sh.689009,70.9000000000,76.6600000000,69.0000000000,69.2100000000,7406673,542793349.0000,1,12.844500,-2.617138
22,2021-04-16,sh.689009,69.6800000000,70.7000000000,63.5000000000,69.1400000000,6782809,453749282.0000,1,11.762600,-0.101141
23,2021-04-23,sh.689009,68.9000000000,73.4900000000,68.0100000000,69.8800000000,8918423,628985770.8200,1,15.466300,1.070300
24,2021-04-30,sh.689009,71.2100000000,76.8000000000,62.0000000000,74.4000000000,12037756,821530708.5800,1,20.315500,6.468200
25,2021-05-07,sh.689009,74.0000000000,76.3800000000,69.9100000000,69.9200000000,4760898,345311134.4300,1,7.862500,-6.021500
26,2021-05-14,sh.689009,70.0000000000,71.7800000000,65.6600000000,66.6500000000,7750812,529473565.4800,1,12.800300,-4.676800
27,2021-05-21,sh.689009,66.8500000000,71.3300000000,65.7600000000,69.4000000000,8356282,571344415.3300,1,13.800200,4.126000
28,2021-05-28,sh.689009,70.0200000000,73.9900000000,66.4600000000,69.8000000000,9115688,635271911.4100,1,15.054400,0.576400
29,2021-06-04,sh.689009,70.7000000000,82.8900000000,70.1800000000,75.3600000000,13241731,1026539531.5200,1,21.868400,7.965600
30,2021-06-11,sh.689009,75.3600000000,85.4900000000,75.0200000000,80.9200000000,10735001,875206392.7400,1,17.728600,7.377900
31,2021-06-18,sh.689009,80.0000000000,83.2300000000,76.0000000000,80.5200000000,6685727,529816080.8900,1,11.041300,-0.494300
32,2021-06-25,sh.689009,80.6800000000,82.5000000000,77.3800000000,82.0000000000,8879507,708847864.2500,1,14.664300,1.838100
33,2021-07-02,sh.689009,81.4700000000,88.9800000000,78.1400000000,78.3400000000,10478488,884463397.5500,1,17.305000,-4.463400
34,2021-07-09,sh.689009,78.0000000000,79.1200000000,73.6500000000,74.9000000000,8104324,615330289.7100,1,13.384100,-4.391100
35,2021-07-16,sh.689009,75.1700000000,76.4400000000,62.5000000000,64.3300000000,10599631,718410545.7300,1,17.505100,-14.112100
36,2021-07-23,sh.689009,64.0000000000,68.9000000000,60.9100000000,68.0800000000,9507034,620138050.4300,1,15.700600,5.829300
37,2021-07-30,sh.689009,67.8600000000,70.9700000000,63.0000000000,68.4000000000,8644161,577966133.3700,1,14.275600,0.470000
38,2021-08-06,sh.689009,67.6600000000,68.4900000000,62.4000000000,62.9600000000,4819949,313933803.9800,1,7.882500,-7.953200
39,2021-08-13,sh.689009,63.0000000000,69.8000000000,61.5000000000,63.8000000000,7524452,492306517.0200,1,12.305300,1.334200
40,2021-08-20,sh.689009,64.0000000000,66.3300000000,62.8800000000,63.0600000000,3817416,247185401.2800,1,6.242800,-1.159900
41,2021-08-27,sh.689009,63.6900000000,87.9000000000,63.0600000000,78.0500000000,19456405,1553817373.5000,1,32.110000,23.771000
42,2021-09-03,sh.689009,76.8900000000,86.8500000000,72.6300000000,80.5000000000,11483647,893235278.0200,1,18.965000,3.139000
43,2021-09-10,sh.689009,80.3000000000,88.5000000000,78.3700000000,81.2000000000,8868149,740629049.5800,1,14.645500,0.869600
44,2021-09-17,sh.689009,81.5300000000,83.9800000000,74.7400000000,81.4600000000,9580046,754541905.6300,1,15.821300,0.320200
45,2021-09-24,sh.689009,80.0000000000,83.0000000000,75.8900000000,79.6000000000,2653870,208622610.1600,1,4.382900,-2.283300
46,2021-09-30,sh.689009,79.6000000000,82.9400000000,76.6900000000,80.9000000000,5455328,440618162.6100,1,9.009300,1.633200
47,2021-10-08,sh.689009,80.8000000000,82.5000000000,77.8200000000,80.5800000000,1498451,120119831.4400,1,2.474700,-0.395600
48,2021-10-15,sh.689009,80.8800000000,92.9000000000,78.0300000000,78.8800000000,8687577,736463106.4000,1,14.347300,-2.109700
49,2021-10-22,sh.689009,78.0000000000,80.5100000000,75.1000000000,75.6800000000,4909026,379931722.5900,1,8.107100,-4.056800
50,2021-10-29,sh.689009,76.0000000000,76.7600000000,62.1500000000,64.0000000000,9699232,648515444.9300,1,14.081600,-15.433400
51,2021-11-05,sh.689009,63.1100000000,65.9900000000,62.4800000000,63.0000000000,6969566,445493005.5500,1,1.573400,-1.562500
52,2021-11-12,sh.689009,62.8000000000,67.5400000000,61.9000000000,66.0000000000,9235646,594871150.7300,1,2.084800,4.761900
53,2021-11-19,sh.689009,62.5000000000,65.8800000000,60.0100000000,60.8700000000,10191608,642486745.5800,1,2.300600,-7.772700
54,2021-11-26,sh.689009,61.4700000000,63.1000000000,60.7000000000,62.1400000000,10386577,642233710.3800,1,2.344500,2.086400
