,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sz.000002,529.2705186000,558.2624068800,492.8621007600,500.6157453000,131246213,2047579966.3200,1,4.033065,-3.821244
1,2007-01-12,sz.000002,498.2559404400,587.2542951600,489.1538359800,542.7551178000,331032736,5309645577.9100,1,10.172306,8.417508
2,2007-01-19,sz.000002,544.4406927000,654.3401761800,524.2137939000,579.5006506200,541220241,9322745919.3200,1,16.631158,6.770186
3,2007-01-26,sz.000002,581.5233405000,632.7648174600,550.1716473600,626.3596328400,354841919,6241495593.0900,1,10.903938,8.086097
4,2007-02-02,sz.000002,625.6854028800,640.5184620000,482.0744214000,486.1198011600,397959880,6537801880.6500,1,12.228910,-22.389666
5,2007-02-09,sz.000002,483.7599963000,528.2591736600,461.8475226000,507.0209299200,314557994,4634558304.3300,1,9.666054,4.299584
6,2007-02-16,sz.000002,501.6270902400,593.3223648000,492.5249857800,561.2964417000,254317717,4183964114.7700,1,7.814930,10.704787
7,2007-03-02,sz.000002,552.8685672000,552.8685672000,465.2186724000,485.1084562200,298567538,4431396449.3200,1,9.174683,-13.573574
8,2007-03-09,sz.000002,483.7599963000,542.7551178000,475.6692367800,525.8993688000,259487660,3972765301.1000,1,7.973797,8.408617
9,2007-03-16,sz.000002,519.1570692000,550.1716473600,498.2559404400,536.0128182000,292774253,4545257146.5500,1,8.996661,1.923077
10,2007-03-23,sz.000002,515.7859194000,589.9512150000,509.0436198000,547.1376125400,374536004,6231989789.9500,1,11.509118,2.075472
11,2007-03-30,sz.000002,549.8345323800,589.9512150000,536.6870481600,559.2737518200,268452181,4475600433.4600,1,8.249268,2.218115
12,2007-04-06,sz.000002,557.2510619400,606.8069640000,556.9139469600,587.2542951600,325698548,5681096461.0500,1,10.008392,5.003014
13,2007-04-13,sz.000002,591.6367899000,637.1473122000,570.0614311800,628.3823227200,318570299,5697050757.3500,1,9.789348,7.003444
14,2007-04-20,sz.000002,630.7421275800,671.1959251800,573.0954660000,604.4471591400,403739146,7489360782.0700,1,12.406501,-3.809013
15,2007-04-27,sz.000002,603.4358142000,644.9009567400,593.3223648000,605.1213891000,318469133,5846538797.2000,1,9.786239,0.111545
16,2007-04-30,sz.000002,602.7615842400,615.2348385000,600.0646644000,609.5038838400,60348532,1087208069.7200,1,1.854450,0.724234
17,2007-05-11,sz.000002,629.7307826400,760.1942799000,627.0338628000,754.8004402200,476416760,9917162439.9300,1,14.639812,23.838496
18,2007-05-18,sz.000002,751.7664054000,863.4470662400,731.5395066000,845.1191804000,576292962,10716838793.9200,1,13.806869,11.965900
19,2007-05-25,sz.000002,808.4634087200,969.8506257000,801.8450055000,932.6857460800,753681528,13321529749.0100,1,15.439846,10.361446
20,2007-06-01,sz.000002,936.7586096000,1006.5063973800,893.9935426400,926.5764508000,936562783,17598272236.9000,1,19.186333,-0.655022
21,2007-06-08,sz.000002,929.1219905000,975.9599209800,758.5708306000,944.3952287000,813834742,14430068051.9200,1,16.672138,1.923077
22,2007-06-15,sz.000002,947.4498763400,1012.6156926600,916.3942920000,972.3961654000,610817650,11570629035.5800,1,12.513150,2.964960
23,2007-06-22,sz.000002,995.3060227000,1091.5274233600,977.4872448000,1000.9062100400,632024960,12776727608.1800,1,12.947601,2.931937
24,2007-06-29,sz.000002,1002.4335338600,1043.6712770000,954.5773875000,973.4143812800,353759345,6930550929.7700,1,7.247079,-2.746694
25,2007-07-06,sz.000002,967.3050860000,1033.4891182000,917.4125078800,986.6511877200,270613988,5170930888.0300,1,5.541556,1.359833
26,2007-07-13,sz.000002,988.6876194800,1108.8370933200,988.6876194800,1082.3634804400,386694269,8050933705.8300,1,7.918615,9.700722
27,2007-07-20,sz.000002,1084.3999122000,1305.3527581600,1038.5801976000,1305.3527581600,451956912,10536686716.8700,1,9.255045,20.602070
28,2007-07-27,sz.000002,1333.8628028000,1424.4840161200,1314.5167010800,1389.8646762000,462199261,12428833430.4600,1,9.464785,6.474259
29,2007-08-03,sz.000002,1367.4639268400,1766.6045518000,1364.4092792000,1720.7848372000,499163873,15035409965.6700,1,10.221736,23.809524
30,2007-08-10,sz.000002,1730.9669960000,1806.3149711200,1609.2901983400,1718.7484054400,612124948,20372386147.6400,1,12.534921,-0.118343
31,2007-08-17,sz.000002,1679.0379861200,1756.4223930000,1562.9613758000,1570.5979949000,494893798,16188769993.9400,1,10.134295,-8.619668
32,2007-08-24,sz.000002,1623.0361127200,1822.6064252000,1623.0361127200,1771.1865232600,388719183,13212762875.1800,1,7.960081,12.771475
33,2007-08-31,sz.000002,1771.1865232600,1878.0991906600,1677.5106623000,1720.7848372000,285039959,9778173762.9300,1,5.481080,-2.845645
34,2007-09-07,sz.000002,1722.8212689600,1790.0235170400,1623.0361127200,1628.1271921200,525274387,17494027660.5700,1,10.100588,-5.384615
35,2007-09-14,sz.000002,1603.6900110000,1676.4924464200,1527.3238200000,1625.5816524200,322715678,10222145361.6900,1,6.205553,-0.156348
36,2007-09-21,sz.000002,1598.5989316000,1654.6008050000,1486.5951848000,1522.2327406000,418961749,12899334265.5200,1,8.056285,-6.357657
37,2007-09-28,sz.000002,1522.2327406000,1644.4186462000,1471.3219466000,1537.5059788000,356658501,10869892906.1900,1,6.858245,1.003344
38,2007-10-12,sz.000002,1577.2163981200,1776.2776026600,1542.5970582000,1674.4560146600,685563837,22840551052.8000,1,13.182820,8.907285
