,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sz.000009,14.3778334500,14.6497546500,14.0379319500,14.3098531500,14460159,60632360.7500,1,2.495206,-0.472813
1,2007-01-12,sz.000009,14.3098531500,16.3832523000,14.1399024000,15.3635478000,151520475,691260812.5900,1,26.145964,7.363420
2,2007-01-19,sz.000009,15.1256167500,16.2472917000,14.4458137500,15.0236463000,123611483,555806489.3600,1,21.330064,-2.212389
3,2007-01-26,sz.000009,15.0236463000,17.0630553000,15.0236463000,16.7911341000,158514259,756886512.3700,1,27.352793,11.764706
4,2007-02-02,sz.000009,16.9950750000,18.2187204000,15.6694591500,15.8054197500,127800011,639734945.0400,1,22.052825,-5.870445
5,2007-02-09,sz.000009,15.7374394500,16.8931045500,15.6354690000,16.5871932000,54158520,262047444.6400,1,9.345448,4.946237
6,2007-02-16,sz.000009,16.4852227500,18.4906416000,16.4852227500,18.2527105500,88703967,461579461.7100,1,15.306517,10.040984
7,2007-03-02,sz.000009,18.3546810000,19.6463067000,17.3349765000,18.2867007000,124530377,671026399.5500,1,21.488626,0.186220
8,2007-03-09,sz.000009,18.4226613000,21.0738930000,17.7428583000,20.2921195500,129563190,748158028.8800,1,22.357074,10.966543
9,2007-03-16,sz.000009,20.2241392500,24.2009868000,19.9862082000,23.8270951500,160690145,1070575704.4200,1,27.728258,17.420436
10,2007-03-23,sz.000009,22.9433512500,28.8236472000,22.6374399000,27.1921200000,132946848,1017029101.3400,1,22.940949,14.122682
11,2007-03-30,sz.000009,26.8522185000,26.8522185000,24.4729080000,25.4926125000,166610517,1264044142.9800,1,28.749861,-6.250000
12,2007-04-06,sz.000009,25.4926125000,27.6000018000,25.2206913000,27.1581298500,108101717,835141294.2500,1,18.653741,6.533333
13,2007-04-13,sz.000009,27.1921200000,29.4694600500,26.0364549000,29.4014797500,157988052,1294189324.0000,1,27.261992,8.260325
14,2007-04-20,sz.000009,29.5714305000,33.6162583500,29.5714305000,31.5088690500,191327724,1773464189.3000,1,33.014996,7.167630
15,2007-04-27,sz.000009,31.9167508500,34.8738939000,30.2512335000,33.9901500000,173572936,1672394426.0700,1,29.951277,7.874865
16,2007-04-30,sz.000009,33.7182288000,35.6896575000,33.5822682000,35.6896575000,35520841,369347965.9600,1,6.129380,5.000000
17,2007-05-11,sz.000009,37.0832536500,43.4054215500,37.0832536500,43.3374412500,115275159,1392604580.8400,1,19.891570,21.428571
18,2007-05-18,sz.000009,41.6719239000,43.0655200500,37.1512339500,41.3660125500,193962096,2320739969.4200,1,33.469576,-4.549020
19,2007-05-25,sz.000009,39.4625641500,50.9852250000,39.4285740000,49.0477864500,171396838,2343096979.3200,1,29.575776,18.570255
20,2007-06-01,sz.000009,49.3536978000,50.2714318500,42.5556678000,42.5556678000,161072264,2224769115.6300,1,27.794195,-13.236313
21,2007-06-08,sz.000009,40.4142883500,41.9098549500,36.5054211000,40.6522194000,119806994,1372599992.3900,1,20.673572,-4.472843
22,2007-06-15,sz.000009,42.5896579500,46.2266040000,42.4876875000,42.9295594500,132740720,1733993498.2200,1,22.905380,5.602007
23,2007-06-22,sz.000009,44.1192147000,46.9064070000,42.8615791500,43.7113329000,123130614,1626587619.7200,1,21.247086,1.821061
24,2007-06-29,sz.000009,43.7453230500,44.7310374000,39.4285740000,39.4285740000,82522503,993380806.7500,1,14.239860,-9.797823
25,2007-07-06,sz.000009,37.4571453000,38.4088695000,32.0527114500,34.2620712000,78641258,812804098.0100,1,13.570123,-13.103448
26,2007-07-13,sz.000009,34.6019727000,37.0152733500,32.9704455000,35.7576378000,82547263,852909224.0400,1,14.244133,4.365079
27,2007-07-20,sz.000009,35.2137954000,37.1852241000,33.0044356500,37.1852241000,53582466,559600433.0600,1,9.246046,3.992395
28,2007-07-27,sz.000009,38.5788202500,43.6773427500,38.5788202500,42.8955693000,76855352,925408112.9800,1,13.261952,15.356490
29,2007-08-03,sz.000009,42.3177367500,44.7310374000,40.6522194000,43.0655200500,88280574,1111410690.6600,1,15.233458,0.396197
30,2007-08-10,sz.000009,43.4734018500,46.4985252000,41.6719239000,41.7738943500,100923319,1307569581.0000,1,17.415056,-2.999211
31,2007-08-17,sz.000009,42.1137958500,42.7935988500,39.8704459500,41.4339928500,54967739,673060091.2200,1,9.485085,-0.813670
32,2007-08-24,sz.000009,42.4876875000,46.2266040000,41.9778352500,44.0172442500,87418682,1136797533.3200,1,15.084732,6.234619
33,2007-08-31,sz.000009,44.0172442500,46.2266040000,41.4339928500,44.9689684500,85579391,1106401944.5300,1,14.767349,2.162162
34,2007-09-07,sz.000009,45.3768502500,50.7812841000,44.1871950000,46.4985252000,131639349,1838290980.4400,1,22.715331,3.401361
35,2007-09-14,sz.000009,45.7847320500,47.4842395500,42.3177367500,45.1729093500,69991054,926159806.0800,1,12.077467,-2.850877
36,2007-09-21,sz.000009,45.0369487500,49.2857175000,44.1871950000,47.4842395500,90287729,1239252826.1000,1,15.579807,5.116629
37,2007-09-28,sz.000009,47.8581312000,50.1354712500,45.8867025000,49.3876879500,97057045,1375414688.0300,1,16.747902,4.008590
38,2007-10-12,sz.000009,49.7275894500,54.3842400000,47.6202001500,50.4753727500,119961091,1814080071.2900,1,20.700162,2.202340
39,2007-10-19,sz.000009,50.5773432000,52.6507423500,48.5379342000,50.6453235000,78479751,1165350882.1100,1,13.542254,0.336700
40,2007-10-26,sz.000009,49.8635500500,51.2571462000,45.1049290500,45.8867025000,81478029,1162200870.0500,1,14.059629,-9.395973
41,2007-11-02,sz.000009,47.9601016500,52.7187226500,46.4985252000,52.7187226500,81899913,1217637555.9500,1,14.132428,14.888889
42,2007-11-09,sz.000009,52.6847325000,53.9423680500,47.6541903000,47.7561607500,74703218,1128836214.3100,1,12.890586,-9.413282
43,2007-11-16,sz.000009,46.7364562500,47.5182297000,44.1871950000,45.5807911500,42566332,574558239.6900,1,7.345131,-4.555160
44,2007-11-23,sz.000009,45.7167517500,48.4359637500,43.0995102000,44.0172442500,28129715,379665734.3300,1,4.853988,-3.430276
45,2007-11-30,sz.000009,45.2068995000,45.3088699500,37.7290665000,39.0886725000,38184407,454134587.5600,1,6.588998,-11.196911
46,2007-12-07,sz.000009,38.3068990500,43.6433526000,38.3068990500,43.6433526000,28593174,352300465.5500,1,4.933961,11.652174
