,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sz.000027,41.2785811000,45.3177740000,40.9830304000,44.3326050000,71977897,627296805.2200,1,13.045289,8.043217
1,2007-01-12,sz.000027,44.6281557000,49.6525176000,43.8892789500,44.0370543000,117763235,1116482540.1900,1,21.343434,-0.666667
2,2007-01-19,sz.000027,44.0370543000,49.0614162000,44.0370543000,48.6673486000,107105310,1016671937.2200,1,19.411789,10.514541
3,2007-01-26,sz.000027,49.5540007000,51.8198894000,45.7118416000,48.7658655000,104554601,1056120093.8100,1,18.949498,0.202429
4,2007-02-02,sz.000027,49.0121577500,51.2287880000,45.8103585000,45.8103585000,85772417,850529765.2200,1,15.545411,-6.060606
5,2007-02-09,sz.000027,45.8103585000,54.1350365500,44.6774141500,51.1795295500,108386549,1081221476.6000,1,19.644001,11.720430
6,2007-02-16,sz.000027,51.1795295500,60.9819611000,50.7362035000,59.2086569000,117493938,1333245046.4400,1,21.294626,15.688162
7,2007-03-02,sz.000027,59.8490167500,61.5730625000,52.7065415000,54.5783626000,100019816,1141476567.4100,1,18.127613,-7.820300
8,2007-03-09,sz.000027,54.9231717500,58.3712632500,53.1006091000,56.3024083500,81682274,929176954.6200,1,14.804113,3.158845
9,2007-03-16,sz.000027,56.1546330000,59.9967921000,54.1842950000,59.9475336500,96652523,1125162574.6600,1,17.517324,6.474191
10,2007-03-23,sz.000027,58.1249710000,65.5629969500,57.5831280500,63.0508160000,116460614,1490288403.7900,1,21.107346,5.176664
11,2007-03-30,sz.000027,63.1493329000,66.5481659500,61.4745456000,62.4104561500,94919306,1231699530.7800,1,17.203195,-1.015625
12,2007-04-06,sz.000027,62.5089730500,71.3262356000,62.5089730500,70.6858757500,109152064,1486400679.5500,1,19.782743,13.259669
13,2007-04-13,sz.000027,71.1784602500,86.3500628500,70.3410666000,82.2616115000,189868457,2974326837.2200,1,34.411800,16.376307
14,2007-04-20,sz.000027,83.8871403500,85.6604445500,71.1784602500,78.2224186000,264090257,4192444753.6100,1,47.863774,-4.910180
15,2007-04-27,sz.000027,78.6164862000,81.9168023500,75.3654285000,78.0253848000,204483713,3283718397.8200,1,36.733249,-0.251889
16,2007-04-30,sz.000027,78.0253848000,78.5672277500,76.3505975000,77.3357665000,26409858,414231823.1800,1,4.433381,-0.883838
17,2007-05-11,sz.000027,78.8135200000,90.1429635000,78.3209355000,87.6307825500,222641265,3847732124.4700,1,37.374433,13.312102
18,2007-05-18,sz.000027,84.2812079500,88.5666931000,78.5672277500,84.4289833000,119694379,2053090944.3900,1,20.092904,-3.653738
