,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-04-30,sz.000338,70.0000000000,71.0000000000,62.8800000000,64.9300000000,20737497,1365189210.8000,1,11.815365,217.195896
1,2007-05-11,sz.000338,66.6000000000,68.0000000000,59.6000000000,60.6500000000,26711464,1671761522.8800,1,15.219083,-6.591714
2,2007-05-18,sz.000338,59.3500000000,63.5300000000,58.0000000000,62.0000000000,18708821,1138934711.3700,1,10.659509,2.225886
3,2007-05-25,sz.000338,59.8000000000,65.6000000000,59.8000000000,64.1900000000,17686153,1108000360.7300,1,10.076836,3.532258
4,2007-06-01,sz.000338,64.2200000000,78.3900000000,64.2200000000,74.3500000000,23343608,1702426210.9600,1,13.300219,15.828011
5,2007-06-08,sz.000338,74.3500000000,77.9900000000,64.3100000000,77.4000000000,19876837,1441957193.6100,1,11.324996,4.102219
6,2007-06-15,sz.000338,77.0000000000,91.5000000000,76.5300000000,87.0000000000,11310527,956574045.3200,1,6.444269,12.403101
7,2007-06-22,sz.000338,87.2200000000,89.0000000000,78.8800000000,80.4000000000,10640778,905097943.5200,1,6.062673,-7.586207
8,2007-06-29,sz.000338,80.4200000000,85.0000000000,76.0000000000,78.5000000000,6664620,535804232.1500,1,3.797224,-2.363184
9,2007-07-06,sz.000338,78.5000000000,80.1800000000,74.0100000000,77.8100000000,6307010,493357253.9800,1,3.593472,-0.878981
10,2007-07-13,sz.000338,77.7700000000,79.1200000000,74.6000000000,76.0500000000,4283073,328210208.8700,1,2.440317,-2.261920
11,2007-07-20,sz.000338,76.2000000000,80.0000000000,74.6000000000,79.5000000000,4640649,358736555.6600,1,2.644049,4.536489
12,2007-07-27,sz.000338,80.7000000000,82.8800000000,77.9200000000,78.9000000000,15852833,1260724945.7400,1,9.032286,-0.754717
13,2007-08-03,sz.000338,78.5500000000,83.5000000000,77.5500000000,81.8100000000,16532886,1333593618.9200,1,9.419752,3.688213
14,2007-08-10,sz.000338,82.1100000000,94.2000000000,82.1100000000,91.3000000000,16448179,1430310609.9600,1,9.371489,11.600049
15,2007-08-17,sz.000338,90.0000000000,90.9800000000,83.5000000000,83.5000000000,9222999,797606691.2900,1,5.254882,-8.543264
16,2007-08-24,sz.000338,85.5500000000,98.7000000000,84.5000000000,98.7000000000,12535085,1129619673.4700,1,7.141971,18.203593
17,2007-08-31,sz.000338,99.9000000000,107.6446950000,94.0800000000,105.6420030000,18430359,1838571562.5000,1,10.500853,7.033456
18,2007-09-07,sz.000338,105.4417338000,109.4471178000,94.1365374600,94.8074392800,15580630,1546474436.5700,1,8.877196,-10.255924
19,2007-09-14,sz.000338,94.1265240000,102.8382342000,90.1211400000,101.1059056200,11772073,1136528543.3300,1,6.707238,6.643431
20,2007-09-21,sz.000338,101.1860133000,102.1372920000,91.9636166400,93.5257164000,16381523,1547509150.3800,1,9.333512,-7.497276
21,2007-09-28,sz.000338,93.5257164000,95.1278700000,88.1184480000,93.9262548000,14347153,1295567879.0300,1,8.174412,0.428266
22,2007-10-12,sz.000338,96.2493775200,98.7327156000,89.9308842600,97.3308312000,22749920,2104649755.9000,1,12.961960,3.624733
23,2007-10-19,sz.000338,98.4323118000,102.1372920000,91.2226206000,91.7733609000,20806760,2034897170.9500,1,11.854828,-5.709877
24,2007-10-26,sz.000338,90.5216784000,97.4109388800,88.3187172000,94.2166451400,16778132,1550051740.7700,1,9.559483,2.662302
25,2007-11-02,sz.000338,95.6285430000,104.9110204200,93.1351914600,98.1519349200,24090519,2389860381.7700,1,13.725777,4.176852
26,2007-11-09,sz.000338,97.1405754600,107.9651257200,86.7165636000,88.4589056400,26559266,2539054166.4200,1,15.132367,-9.875536
27,2007-11-16,sz.000338,86.9168328000,88.6191210000,81.6197124600,84.0129294000,12745340,1071183670.9000,1,7.261765,-5.026036
28,2007-11-23,sz.000338,83.1317449200,87.4175058000,79.1063340000,80.3279761200,8255942,687814271.3500,1,4.703893,-4.386174
29,2007-11-30,sz.000338,81.9201162600,82.4007623400,73.0982580000,76.4928209400,7929448,619133150.9400,1,4.517870,-4.774370
30,2007-12-07,sz.000338,76.4928209400,81.7699143600,75.7017576000,80.6984741400,5413966,428430449.2200,1,3.084653,5.498102
31,2007-12-14,sz.000338,79.2465224400,84.2232120600,76.6029690000,79.8072762000,9656796,782601220.7900,1,5.502041,-1.104355
32,2007-12-21,sz.000338,79.5068724000,84.1030505400,77.1036420000,84.0629967000,7168840,576613526.4500,1,4.084507,5.332497
33,2007-12-28,sz.000338,84.0629967000,88.4288652600,84.0629967000,86.7165636000,9548256,823286020.9900,1,5.440200,3.156641
34,2008-01-04,sz.000338,86.8166982000,86.9168328000,83.8427005800,86.4862540200,6866847,583348436.0200,1,3.912444,-0.265589
35,2008-01-11,sz.000338,86.6264424600,97.3808985000,85.5850426200,97.1806293000,22940944,2129998351.4500,1,13.070797,12.365405
36,2008-01-18,sz.000338,97.7814369000,98.2220291400,87.1171020000,90.6318264600,14965032,1386626719.9200,1,8.526454,-6.738794
37,2008-01-25,sz.000338,90.7219476000,90.7219476000,75.7017576000,81.9201162600,15739200,1282508354.5100,1,8.967543,-9.612198
38,2008-02-01,sz.000338,81.1090260000,84.9642081000,73.5989310000,76.9033728000,11037260,892542203.4900,1,6.288572,-6.123946
39,2008-02-05,sz.000338,80.1076800000,84.6137370000,78.3953783400,82.5910180800,3241978,266908997.6500,1,1.847144,7.395833
40,2008-02-15,sz.000338,81.7599009000,81.7599009000,78.7658763600,80.5883260800,2500131,200977496.5800,1,1.424471,-2.424830
41,2008-02-22,sz.000338,81.1991471400,86.2158906000,80.1076800000,80.7084876000,5929544,490940199.9200,1,3.378408,0.149105
42,2008-02-29,sz.000338,81.6096990000,81.6096990000,73.6990656000,75.5815960800,6753438,513717976.1700,1,3.847829,-6.352357
43,2008-03-07,sz.000338,75.1009500000,77.0936285400,67.4706934800,67.5407877000,17084009,1221977965.5400,1,9.733759,-10.638580
44,2008-03-14,sz.000338,67.6909896000,68.7424029000,61.9833174000,64.0761305400,8177874,530437558.7000,1,4.659413,-5.129726
